證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 權利金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 不動產、廠房及設備減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2332,2014年01月01日至2014年03月31日,,,              7153229,,                 28619,              7181848,,,              5159295,              5159295,              5159295,              2022553,              2022553,,,              1323260,,                340445,,                272865,              1936570,                 85983,,,,                 16900,                    644,,,                 25804,                 43348,,                  2082,                    545,                  4322,,,,                 17922,,                              0,,,                  2900,                  2900,                -13873,,                  8323,,                 22963,                 44115,                130098,,                 44566,                 85532,                 85532,,,,                              0,                              0,,                237863,                 83530,                 39073,                286855,                286855,                372387,,                 80524,                  5008,,                360865,                 11522,,                              0.13,                              0.13,,                              0.13,                              0.13,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                  4535,,,,,,
2332,2013年第3季,,,              8131960,,                 26745,              8158705,,,              5908155,              5908155,              5908155,              2250550,              2250550,,,              1406234,,                355616,,                238502,              2000352,                250198,,,,                 14847,                    644,                    171,                 19963,                 16207,                 51832,,                              0,                 87833,                              0,,                              0,                              0,                 10756,                  5022,                              0,                 42900,,                  5400,                  5400,                 23755,,                  7447,,                 98069,                166209,                416407,,                 81628,                334779,                334779,,,,,,,,,,,               -177445,                157334,,                333405,                  1374,,                168576,                -11242,,                              0.54,                              0.54,,                              0.53,                              0.53,,,,,,,,,,               -119129,                -58068,,,                -18378,                -18130
2332,2013年第2季,,,              7197714,,                 26315,              7224029,,,              5382927,              5382927,              5382927,              1841102,              1841102,,,              1399666,,                361815,,                226674,              1988155,               -147053,,,,                 11521,                    626,                    171,                              0,                 14970,                 27288,,                 75812,                              0,                              0,,                 37145,                 37145,                 16270,,                101668,                  3326,,                  5200,                  5200,                -13507,,                 25906,,                 35875,                 23750,               -123303,,                -19619,               -103684,               -103684,,,,,,,,,,,                -86708,               -190392,,               -110464,                  6780,,               -184224,                 -6168,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,,,,,,,,,,                -79332,                -41100,,,                 22618,                -11106
2332,2013年度,,,             30444084,,                114390,             30558474,,,             22490692,             22490692,             22490692,              8067782,              8067782,,,              5457448,,              1261094,,                950967,              7669509,                398273,,,,                 42275,                  2576,                    682,                 33913,                 51078,                130524,,                164202,                              0,                 12332,,                 37145,                 37145,                 54310,,                157097,,,                 24200,                 24200,                -21928,,                 40540,,                279922,                347978,                746251,,                 69971,                676280,                676280,,,,,,,,,,,                136643,                812923,,                647609,                 28671,,                800066,                 12857,,                              1.04,                              1.04,,                              1.04,                              1.04,,,,,,,,,,                 83047,                -39610,                   -372,,                110427,                 16849
2332,2013年07月01日至2013年09月30日,,,              8131960,,                 26745,              8158705,,,              5908155,              5908155,              5908155,              2250550,              2250550,,,              1406234,,                355616,,                238502,              2000352,                250198,,,,                 14847,                    644,                    171,                 19963,                 16207,                 51832,,                              0,                 87833,,,                              0,                              0,                  7901,                  5022,                              0,                 42900,,                  5400,                  5400,                 26610,,                 10302,,                 98069,                166209,                416407,,                 81628,                334779,                334779,,,,,,,,,,,               -177445,                157334,,                333405,                  1374,,                168576,                -11242,,                              0.55,                              0.55,,                              0.54,                              0.54,,,,,,,,,,               -119129,                -58068,,,                -18378,                -18130
2332,2013年04月01日至2013年06月30日,,,              7197714,,                 26315,              7224029,,,              5382927,              5382927,              5382927,              1841102,              1841102,,,              1399666,,                361815,,                226674,              1988155,               -147053,,,,                 11521,                    626,                    171,                    308,                 14662,                 27288,,                 75812,                              0,                 -3326,,                 37145,                 37145,                 16270,,                101668,,,                  5200,                  5200,                -13507,,                 25906,,                 35875,                 23750,               -123303,,                -19619,               -103684,               -103684,,,,,,,,,,,                -86708,               -190392,,               -110464,                  6780,,               -184224,                 -6168,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,,,,,,,,,,                -79332,                -41100,,,                 22618,                -11106
2332,2013年01月01日至2013年12月31日,,,             30444084,,                114390,             30558474,,,             22490692,             22490692,             22490692,              8067782,              8067782,,,              5457448,,              1261094,,                950967,              7669509,                398273,,,,                 42275,                  2576,                    682,                 33913,                 51078,                130524,,                164202,                              0,                 12332,,                 37145,                 37145,                 32356,,                157097,,,                 24200,                 24200,                     26,,                 62494,,                279922,                347978,                746251,,                 69971,                676280,                676280,,,,,,,,,,,                136643,                812923,,                647609,                 28671,,                800066,                 12857,,                              1.06,                              1.06,,                              1.06,                              1.06,,,,,,,,,,                 83047,                -39610,                   -372,,                110427,                 16849
2332,2013年01月01日至2013年09月30日,,,             22533364,,                 72375,             22605739,,,             16549234,             16549234,             16549234,              6056505,              6056505,,,              4124361,,              1012605,,                680646,              5817612,                238893,,,,                 31940,                  1931,                    512,                 20579,                 37776,                 92738,,                 96134,                              0,                              0,,                 37145,                 37145,                 36816,                              0,                 65383,                  3105,,                 19100,                 19100,                  8875,,                 29861,,                165192,                236944,                475837,,                113747,                362090,                362090,,,,,,,,,,,                 28858,                390948,,                346515,                 15575,,                393926,                 -2978,,                              0.56,                              0.56,,                              0.55,                              0.55,,,,,,,,,,                 19281,                -19382,,,                 35420,                  6461
2332,2013年01月01日至2013年06月30日,,,             14401404,,                 45630,             14447034,,,             10641079,             10641079,             10641079,              3805955,              3805955,,,              2718127,,                656989,,                442144,              3817260,                -11305,,,,                 17093,                  1287,                    341,                              0,                 22185,                 40906,,                101156,                              0,                 39795,,                 37145,                 37145,                 17181,,                153216,                              0,,                 13700,                 13700,                 -6001,,                 31293,,                 67123,                 70735,                 59430,,                 32119,                 27311,                 27311,,,,,,,,,,,                206303,                233614,,                 13110,                 14201,,                225350,                  8264,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,,                138410,                 38686,,,                 53798,                 24591
2332,2013年01月01日至2013年03月31日,,,              7203690,,                 19315,              7223005,,,              5258152,              5258152,              5258152,              1964853,              1964853,,,              1318461,,                295174,,                215470,              1829105,                135748,,,,                  5572,                    661,,                    308,                  7077,                 13618,,                 25344,                              0,                 43121,,,,                    911,,                 51548,,,                  8500,                  8500,                  7506,,                  5387,,                 31248,                 46985,                182733,,                 51738,                130995,                130995,,,,,,,,,,,                293011,                424006,,                123574,                  7421,,                409574,                 14432,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,                217742,                 79786,,,                 31180,                 35697
2332,2012年07月01日至2012年09月30日,,,              8332581,,                 34466,              8367047,,,              6121551,              6121551,              6121551,              2245496,              2245496,,,              1335027,,                406145,,                232882,              1974054,                271442,,,,                 13270,                    848,                    170,                 13447,                 19019,                 46754,,                  5225,                100247,,,                              0,                              0,                  5811,                              0,                              0,                 89668,,                 18000,                 18000,                 -8007,,                  3377,,                 76617,                111987,                383429,,                 97932,                285497,                285497,,,,,,,,,,,                -47965,                237532,,                281402,                  4095,,                227830,                  9702,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,,,,,,               -139305,                 83586,,,                -16865,                -24619
2332,2012年04月01日至2012年06月30日,,,              7672913,,                 47322,              7720235,,,              5849714,              5849714,              5849714,              1870521,              1870521,,,              1355931,,                383377,,                229722,              1969030,                -98509,,,,                 13013,                    812,                    228,                     16,                 46269,                 60338,,                 10174,                              0,                 52634,,                              0,                              0,                     73,,                112340,,,                              0,                              0,                -49605,,                 15206,,                 93405,                 88932,                 -9577,,                 -4698,                 -4879,                 -4879,,,,,,,,,,,               -199964,               -204843,,                -10241,                  5362,,               -196770,                 -8073,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,,,,,,,,,,                -59696,               -141476,,,                 -6832,                 -8040
2332,2012年01月01日至2012年12月31日,,,             32308184,,                158766,             32466950,,,             23772243,             23772243,             23772243,              8694707,              8694707,,,              5454792,,              1599590,,                957267,              8011649,                683058,,,,                 57892,                  3522,                 26488,                 13999,                121959,                223860,,                 59636,                  8961,                 49102,,                              0,                              0,                135781,,                              0,,,                 22200,                 22200,                -40282,,                 38020,,                275486,                421044,              1104102,,                293044,                811058,                811058,,,,,,,,,,,               -457451,                353607,,                786135,                 24923,,                343546,                 10061,,                              1.24,                              1.24,,                              1.23,                              1.23,,,,,,,,,,               -492213,                 57242,                -26184,,                -77450,                -81154
2332,2012年01月01日至2012年09月30日,,,             24188873,,                121673,             24310546,,,             17936328,             17936328,             17936328,              6374218,              6374218,,,              4058982,,              1219241,,                683171,              5961394,                412824,,,,                 41354,                  2662,                 14311,                 13664,                 85254,                157245,,                 30857,                 68435,,,                              0,                              0,                107820,                              0,                              0,                  2230,,                 18000,                 18000,                -28758,,                 35398,,                184318,                277407,                690231,,                159358,                530873,                530873,,,,,,,,,,,               -278843,                252030,,                516169,                 14704,,                243374,                  8656,,                              0.81,                              0.81,,                              0.80,                              0.80,,,,,,,,,,               -409473,                100705,,,                -38662,                -68587
2332,2012年01月01日至2012年06月30日,,,             15856292,,                 87207,             15943499,,,             11814777,             11814777,             11814777,              4128722,              4128722,,,              2723955,,                813096,,                450289,              3987340,                141382,,,,                 28084,                  1814,                 14141,                    217,                 66235,                110491,,                 25632,                              0,                 87438,,                              0,                              0,                102009,,                 31812,,,                              0,                              0,                -20751,,                 32021,,                107701,                165420,                306802,,                 61426,                245376,                245376,,,,,,,,,,,               -230878,                 14498,,                234767,                 10609,,                 15544,                 -1046,,                              0.37,                              0.37,,                              0.37,                              0.37,,,,,,,,,,               -270168,                 17119,,,                -21797,                -43968
2332,2012年01月01日至2012年03月31日,,,              8183379,,                 39885,              8223264,,,              5965063,              5965063,              5965063,              2258201,              2258201,,,              1368024,,                429719,,                220567,              2018310,                239891,,,,                 15071,                  1002,                 13913,                    201,                 19966,                 50153,,                 15458,                 80528,                 34804,,,,                101936,,                              0,,,                              0,                              0,                 28854,,                 16815,,                 14296,                 76488,                316379,,                 66124,                250255,                250255,,,,,,,,,,,                -30914,                219341,,                245008,                  5247,,                212314,                  7027,,                              0.39,                              0.39,,                              0.38,                              0.38,,,,,,,,,,               -210472,                158595,,,                -14965,                -35928
