證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額
9907,2015年第3季,,              9342382,,              8230937,              1111445,              1111445,,,                300544,,                308836,                609380,                502065,,,                 32610,,               -237587,,                160032,               -365009,                137056,,                 22421,                114635,                114635,,,                345277,                -64419,                280858,                280858,                395493,,                143796,                -29161,,                389399,                  6094,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,,,,,,,,,,,
9907,2015年第2季,,              9079886,,              7945710,              1134176,              1134176,,,                310069,,                309979,                620048,                514128,,,                 28416,,                -26540,,                167248,               -165372,                348756,,                 94667,                254089,                254089,,,               -164650,                 -1364,               -166014,               -166014,                 88075,,                263851,                 -9762,,                114024,                -25949,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,,,,,,,,
9907,2015年01月01日至2015年09月30日,,             28885038,,             25551867,              3333171,              3333171,,,                952472,,                980854,              1933326,              1399845,,,                111973,,                117926,,                495113,               -265214,              1134631,,                293611,                841020,                841020,,,                 70731,                -71348,                   -617,                   -617,                840403,,                900034,                -59014,,                891553,                -51150,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,,,,,,,,,,,
9907,2015年01月01日至2015年06月30日,,             19542656,,             17320930,              2221726,              2221726,,,                651928,,                672018,              1323946,                897780,,,                 79363,,                355513,,                335081,                 99795,                997575,,                271190,                726385,                726385,,,               -274546,                 -6929,               -281475,               -281475,                444910,,                756238,                -29853,,                502154,                -57244,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,,,,,,,,,,,
9907,2015年01月01日至2015年03月31日,,             10462770,,              9375220,              1087550,              1087550,,,                341859,,                362039,                703898,                383652,,,                 50947,,                382053,,                167833,                265167,                648819,,                176523,                472296,                472296,,,               -109896,                 -5565,               -115461,               -115461,                356835,,                492387,                -20091,,                388130,                -31295,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,,,,
9907,2014年第3季,,              9580201,,              8700110,                880091,                880091,,,                361560,,                273945,                635505,                244586,,,                 40155,,                 57376,,                127058,                -29527,                215059,,                 57359,                157700,                157700,,,                281785,                 -1902,                279883,                279883,                437583,,                161608,                 -3908,,                432679,                  4904,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,,,,,,,,,,,
9907,2014年第2季,,              9035484,,              8053905,                981579,                981579,,,                337846,,                242668,                580514,                401065,,,                 39396,,                -48642,,                122153,               -131399,                269666,,                 91323,                178343,                178343,,,               -131355,                 10220,               -121135,               -121135,                 57208,,                180366,                 -2023,,                 59044,                 -1836,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,,,,
9907,2014年度,,             36437962,,             32692192,              3745770,              3745770,,,              1367148,,              1075864,              2443012,              1302758,,,                135091,,                 66948,,                516436,               -314397,                988361,,                225653,                762708,                762708,,,,,,                278334,              1041042,,                775960,                -13252,,              1012319,                 28723,,                              0.49,                              0.49,,                              0.49,                              0.49,                289323,                    761,                -13074,                 -1324,,,,,,,,,,,,
9907,2014年01月01日至2014年09月30日,,             28037298,,             24976451,              3060847,              3060847,,,              1029824,,                794209,              1824033,              1236814,,,                113837,,                -50037,,                377878,               -314078,                922736,,                238352,                684384,                684384,,,                -49472,                -25479,                -74951,                -74951,                609433,,                689975,                 -5591,,                631939,                -22506,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,,,,,,,,,,,,,
9907,2014年01月01日至2014年06月30日,,             18457097,,             16276341,              2180756,              2180756,,,                668264,,                520264,              1188528,                992228,,,                 73682,,               -107413,,                250820,               -284551,                707677,,                180993,                526684,                526684,,,               -331257,                -23577,               -354834,               -354834,                171850,,                528367,                 -1683,,                199260,                -27410,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,,,,,,,,,
