證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他費損,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2450,2014年01月01日至2014年06月30日,,,,             20712176,                229237,                409442,             20073497,,              1409065,             21482562,,,             18378069,,                365005,             18743074,              2739488,              2739488,,,              2336253,,                222127,              2558380,,                  7993,                 -7993,                173115,,,,                  5683,                 21804,,                 52662,                 80149,,                  6678,                              0,                  5902,                              0,                    456,                    320,,                  5064,                  5064,,                 99845,                175250,                348365,,                 61213,                287152,                287152,,,                -24641,,                    333,                    333,                -24308,                -24308,                262844,,                287152,,,                262844,,,                              1.11,                              1.11,,                              1.11,                              1.11,,,,,,,,
2450,2014年01月01日至2014年03月31日,,,,             10137660,                120459,                214612,              9802589,,                753254,             10555843,,,              8919173,,                199298,              9118471,              1437372,              1437372,,,              1193684,,                108343,              1302027,,                  2872,                 -2872,                132473,,,,                  1775,                 10869,,                 20862,                 33506,,                  5469,                     58,                    839,                              0,                    771,                  3917,,                  1467,                  1467,,                 43305,                 79261,                211734,,                 28805,                182929,                182929,,,,,,,,                 -7138,                175791,,                182929,,,                175791,,,                              0.71,                              0.71,,                              0.70,                              0.70,,                 -8610,,,                  1472,,                  1472,
2450,2013年第3季,,,,             10395990,                129989,                184862,             10081139,,                703432,             10784571,,,              8992235,,                209359,              9201594,              1582977,              1582977,,,              1197551,,                113826,              1311377,,                  1156,                 -1156,                270444,,,,                  1740,                  9745,                    996,                 34446,                 46927,,                  3487,                              0,                  1497,                              0,                  1132,                    858,,                  3680,                  3680,,                 49779,                 93884,                364328,,                 53420,                310908,                310908,,,,,,,,                -10779,                300129,,                310908,,,                300129,,,                              1.21,                              1.21,,                              1.20,                              1.20,,                 -9771,,,                 -1008,,                 -1008,
2450,2013年第2季,,,,              9912260,                 20303,                187997,              9703960,,                672790,             10376750,,,              8704871,,                205269,              8910140,              1466610,              1466610,,,              1044924,,                113878,              1158802,,                  1443,                 -1443,                306365,,,,                  2634,                 10887,,                 29310,                 42831,,                  1999,                     21,                  2462,,                     36,                   -478,,                    788,                    788,,                 45507,                 87072,                393437,,                 86592,                306845,                306845,,,,,,,,                 13498,                320343,,                306845,,,                320343,,,                              1.19,                              1.19,,                              1.18,                              1.18,,                 12514,,,                    984,,                    984,
2450,2013年度,,,,             40965209,                344823,                791747,             39828639,,              2882524,             42711163,,,             35561741,,                806539,             36368280,              6342883,              6342883,,,              4464008,,                460185,              4924193,,                  4350,                 -4350,              1414340,,,,                  9150,                 42965,                    996,                 78946,                132057,,                  3116,                    337,                  5509,,                    246,                 13123,,                  9308,                  9308,,                175237,                311109,              1725449,,                295483,              1429966,              1429966,,,,,,,,                 41529,              1471495,,              1429966,,,              1471495,,,                              5.55,                              5.55,,                              5.51,                              5.51,                 15425,                 36414,                  3558,,                  4014,                 -1853,                  2161,                    604
2450,2013年07月01日至2013年09月30日,,,,             10395990,                129989,                184862,             10081139,,                703432,             10784571,,,              8992235,,                209359,              9201594,              1582977,              1582977,,,              1197551,,                113826,              1311377,,,                 -1156,                270444,,,,                  1740,                  9745,                    996,                 34446,                 46927,,                  3487,                              0,                  1497,                              0,                  1132,                    858,,                  3680,                  3680,,                 49779,                 93884,                364328,,                 53420,                310908,                310908,,,,,,,,                -10779,                300129,,                310908,,,                300129,,,                              1.21,                              1.21,,                              1.20,                              1.20,,                 -9771,,,                 -1008,,                 -1008,
2450,2013年04月01日至2013年06月30日,,,,              9912260,                 20303,                187997,              9703960,,                672790,             10376750,,,              8704871,,                205269,              8910140,              1466610,              1466610,,,              1044924,,                113878,              1158802,,,                 -1443,                306365,,,,                  2634,                 10887,,                 29310,                 42831,,                  1999,                     21,                  2462,,                     36,                   -478,,                    788,                    788,,                 45507,                 87072,                393437,,                 86592,                306845,                306845,,,,,,,,                 13498,                320343,,                306845,,,                320343,,,                              1.19,                              1.19,,                              1.18,                              1.18,,                 12514,,,                    984,,                    984,
2450,2013年01月01日至2013年12月31日,,,,             40965209,                344823,                791747,             39828639,,              2882524,             42711163,,,             35561741,,                806539,             36368280,              6342883,              6342883,,,              4464008,,                460185,              4924193,,                  4350,                 -4350,              1414340,,,,                  9150,                 42965,                    996,                 78946,                132057,,                  3116,                    337,                  5509,,                    246,                 13123,,                  9308,                  9308,,                175237,                311109,              1725449,,                295483,              1429966,              1429966,,,,,,,,                 41529,              1471495,,              1429966,,,              1471495,,,                              5.55,                              5.55,,                              5.51,                              5.51,                 15425,                 36414,                  3558,,                  4014,                 -1853,                  2161,                    604
2450,2013年01月01日至2013年09月30日,,,,             30842620,                202746,                542370,             30097504,,              2168431,             32265935,,,             26894545,,                601218,             27495763,              4770172,              4770172,,,              3259241,,                345837,              3605078,,                  3313,                 -3313,              1161781,,,,                  6807,                 31693,                    996,                 85417,                124913,,                  4448,                    363,                  4455,                              0,                    671,                   -315,,                  4623,                  4623,,                127211,                247186,              1408967,,                245497,              1163470,              1163470,,,,,,,,                 22978,              1186448,,              1163470,,,              1186448,,,                              4.52,                              4.52,,                              4.48,                              4.48,,                 20689,,,                  2289,,                  2289,
2450,2013年01月01日至2013年06月30日,,,,             20446630,                 72757,                357508,             20016365,,              1464999,             21481364,,,             17902310,,                391859,             18294169,              3187195,              3187195,,,              2061690,,                232011,              2293701,,                  2157,                 -2157,                891337,,,,                  5067,                 21948,,                 50971,                 77986,,                    961,                    944,                  2958,,                    120,                 -1173,,                    943,                    943,,                 77432,                153302,              1044639,,                192077,                852562,                852562,,,,,,,,                 33757,                886319,,                852562,,,                886319,,,                              3.31,                              3.31,,                              3.28,                              3.28,,                 30460,,,                  3297,,                  3297,
2450,2013年01月01日至2013年03月31日,,,,             10534370,                 52454,                169511,             10312405,,                792209,             11104614,,,              9197439,,                186590,              9384029,              1720585,              1720585,,,              1016766,,                118133,              1134899,,                    714,                   -714,                584972,,,,                  2433,                 11061,,                 21661,                 35155,,                              0,                    923,                    496,                  1038,                     84,                   -695,,                    155,                    155,,                 31925,                 66230,                651202,,                105485,                545717,                545717,,,,,,,,                 20259,                565976,,                545717,,,                565976,,,                              2.12,                              2.12,,                              2.10,                              2.10,,                 17946,,,                  2313,,                  2313,
2450,2012年07月01日至2012年09月30日,,,,              8540156,                 67658,                160644,              8311854,,                527154,              8839008,,,              7415655,,                157458,              7573113,              1265895,              1265895,,,                807209,,                 99410,                906619,,,                   -973,                358303,,,,                  1752,                 11441,                              0,                 14793,                 27986,,                              0,                              0,                  3211,                  2062,                     93,                 -5366,,                     44,                     44,,                 32570,                 55146,                413449,,                 64782,                348667,                348667,,,,,,,,                 -5683,                342984,,                348667,,,                342984,,,                              1.36,                              1.36,,                              1.35,                              1.35,,                 -4068,,,                 -1615,,                 -1615,
2450,2012年04月01日至2012年06月30日,,,,              8202077,                 80315,                178488,              7943274,,                483478,              8426752,,,              7159080,,                147287,              7306367,              1120385,              1120385,,,                774302,,                 93021,                867323,,,                 -2214,                250848,,,,                  3525,                 11708,,                 18696,                 33929,,                  3480,                    380,                  5109,,                              0,                 -1249,,                              0,                              0,,                 34884,                 67564,                318412,,                 57596,                260816,                260816,,,,,,,,                  7153,                267969,,                260816,,,                267969,,,                              1.02,                              1.02,,                              1.01,                              1.01,,                  2156,,,                  4997,,                  4997,
2450,2012年01月01日至2012年12月31日,,,,             33723353,                199904,                753419,             32770030,,              2225205,             34995235,,,             29268963,,                595224,             29864187,              5131048,              5131048,,,              3193106,,                378975,              3572081,,                 11179,                -11179,              1547788,,,,                 11457,                 41971,                              0,                 75007,                128435,,                  2003,                    292,                 15618,,                     24,                -13347,,                     44,                     44,,                119470,                234514,              1782302,,                289352,              1492950,              1492950,,,,,,,,                -33396,              1459554,,              1492950,,,              1459554,,,                              5.81,                              5.81,,                              5.75,                              5.75,                              0,                -10084,                -25655,,                 -1438,                   -581,                 -2019,                 -4362
2450,2012年01月01日至2012年09月30日,,,,             25276448,                186419,                580141,             24509888,,              1616885,             26126773,,,             21863357,,                431568,             22294925,              3831848,              3831848,,,              2370012,,                286669,              2656681,,,                 -9488,              1165679,,,,                  9309,                 31775,                              0,                 52224,                 93308,,                  3393,                    285,                 11964,                              0,                    222,                 -8508,,                     44,                     44,,                 96160,                180916,              1346595,,                222123,              1124472,              1124472,,,,,,,,                -10307,              1114165,,              1124472,,,              1114165,,,                              4.38,                              4.38,,                              4.33,                              4.33,,                -10492,,,                    185,,                    185,
2450,2012年01月01日至2012年06月30日,,,,             16736292,                118761,                419497,             16198034,,              1089731,             17287765,,,             14447702,,                274110,             14721812,              2565953,              2565953,,,              1562803,,                187259,              1750062,,,                 -8515,                807376,,,,                  7557,                 20334,,                 37431,                 65322,,                  5455,                    294,                  8753,,                    138,                 -3142,,                              0,                              0,,                 63590,                125770,                933146,,                157341,                775805,                775805,,,,,,,,                 -4624,                771181,,                775805,,,                771181,,,                              3.02,                              3.02,,                              2.99,                              2.99,,                 -6424,,,                  1800,,                  1800,
2450,2012年01月01日至2012年03月31日,,,,              8534215,                 38446,                241009,              8254760,,                606253,              8861013,,,              7288622,,                126823,              7415445,              1445568,              1445568,,,                788501,,                 94238,                882739,,,                 -6301,                556528,,,,                  4032,                  8626,,                 18735,                 31393,,,                     31,                  3644,                 -1975,                    255,                 -1893,,                              0,                              0,,                 28706,                 58206,                614734,,                 99745,                514989,                514989,,,,,,,,                -11777,                503212,,                514989,,,                503212,,,                              2.01,                              2.01,,                              1.98,                              1.98,,                 -8580,,,                 -3197,,                 -3197,
