證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 其他收入－其他
1532,2013年第2季,,              4159961,,              3158303,              1001658,              1001658,,,                152442,,                287020,                439462,,                  1775,                563971,,,                 76212,,                -69865,,                 66781,                 66781,,                 -9203,                -69637,                494334,,                 55746,                438588,                438588,,,,,,,,,                150254,                588842,,                245821,                192767,,                344067,                244775,,                              0.62,,                              0.62,                150290,                    -36,,,,,,
1532,2013年度,,             14915064,,             11647180,              3267884,              3267884,,,                507361,,              1313493,              1820854,,                  5978,              1453008,,,                354244,,              2824871,,                249566,                249566,,                -47663,              2881886,              4334894,,                494829,              3840065,              3840065,,,,,,,,,                471814,              4311879,,              3196542,                643523,,              3462054,                849825,,                              8.12,,                              8.10,                472677,                     37,                   -900,,,,,
1532,2013年07月01日至2013年09月30日,,              3814293,,              3024922,                789371,                789371,,,                114095,,                297718,                411813,,                  1651,                379209,,,                100136,,                 57984,,                 55105,                 55105,,                -11459,                 91556,                470765,,                 75706,                395059,                395059,,,,,,,,,               -107257,                287802,,                216231,                178828,,                163067,                124735,,                              0.56,,                              0.56,               -107253,                     -4,,                              0.56,                              0.56,,,                100136
1532,2013年04月01日至2013年06月30日,,              4159961,,              3158303,              1001658,              1001658,,,                152442,,                287020,                439462,,                  1775,                563971,,,                 76212,,                -69865,,                 66781,                 66781,,                 -9203,                -69637,                494334,,                 55746,                438588,                438588,,,,,,,,,                150254,                588842,,                245821,                192767,,                344067,                244775,,                              0.64,,                              0.64,                150290,                    -36,,                              0.64,                              0.64,,,                 76212
1532,2013年01月01日至2013年12月31日,,             14915064,,             11647180,              3267884,              3267884,,,                507361,,              1313493,              1820854,,                  5978,              1453008,,,                354244,,              2824871,,                249566,                249566,,                -47663,              2881886,              4334894,,                494829,              3840065,              3840065,,,,,,,,,                471814,              4311879,,              3196542,                643523,,              3462054,                849825,,                              8.28,,                              8.26,                472677,                     37,                   -900,                              8.28,                              8.26,                              0,                 47663,
1532,2013年01月01日至2013年09月30日,,             10995997,,              8551504,              2444493,              2444493,,,                368881,,                857491,              1226372,,                  5261,              1223382,,,                262491,,                 59711,,                188003,                188003,,                -18112,                116087,              1339469,,                170469,              1169000,              1169000,,,,,,,,,                343430,              1512430,,                646690,                522310,,                841505,                670925,,                              1.64,,                              1.64,                343453,                    -23,,,,,,
1532,2013年01月01日至2013年06月30日,,              7181704,,              5526582,              1655122,              1655122,,,                254786,,                559773,                814559,,                  3610,                844173,,,                162355,,                  1727,,                132898,                132898,,                 -6653,                 24531,                868704,,                 94763,                773941,                773941,,,,,,,,,                450687,              1224628,,                430459,                343482,,                678438,                546190,,                              1.09,,                              1.09,                450706,                    -19,,,,,,
1532,2013年01月01日至2013年03月31日,,              3021743,,              2368279,                653464,                653464,,,                102344,,                272753,                375097,,                  1835,                280202,,,                 86143,,                 71592,,                 66117,                 66117,,                  2550,                 94168,                374370,,                 39017,                335353,                335353,,,,,,,,,                300434,                635787,,                184638,                150715,,                334372,                301415,,                              0.48,,                              0.48,                300416,                     18,,                              0.48,                              0.48,,,
1532,2012年07月01日至2012年09月30日,,              2995396,,              2494838,                500558,                500558,,,                126477,,                281031,                407508,,                  1291,                 94341,,,                 69252,,                 24609,,                 64757,                 64757,,                 -3881,                 25223,                119564,,                 17268,                102296,                102296,,,,,,,,,               -100208,                  2088,,                 43120,                 59176,,                 -8731,                 10819,,                              0.11,,                              0.11,               -100208,                              0,,                              0.11,                              0.11,,,                 69252
1532,2012年04月01日至2012年06月30日,,              3681581,,              2979545,                702036,                702036,,,                179796,,                225664,                405460,,                  1255,                297831,,,                130506,,                  5943,,                 57011,                 57011,,                -10704,                 68734,                366565,,                 68659,                297906,                297906,,,,,,,,,                 42755,                340661,,                150593,                147313,,                182446,                158215,,                              0.39,,                              0.39,                 42797,                    -42,,                              0.39,                              0.39,,,                130506
1532,2012年01月01日至2012年12月31日,,             14022577,,             11361262,              2661315,              2661315,,,                528728,,              1082077,              1610805,,                  4928,              1055438,,,                380584,,                 19312,,                231684,                231684,,                  5990,                174202,              1229640,,                169544,              1060096,              1060096,,,,,,,,,               -310703,                749393,,                491696,                568400,,                346019,                403374,,                              1.27,,                              1.27,               -302918,                     -5,                 -7780,                              1.27,                              1.27,                  5990,                              0,
1532,2012年01月01日至2012年09月30日,,             10055785,,              8320439,              1735346,              1735346,,,                371534,,                802554,              1174088,,                  3636,                564894,,,                284071,,                 34814,,                174128,                174128,,                -12331,                132426,                697320,,                117361,                579959,                579959,,,,,,,,,               -284054,                295905,,                253921,                326038,,                126590,                169315,,                              0.66,,                              0.66,               -284043,                    -11,,                              0.66,                              0.66,,,                284071
1532,2012年01月01日至2012年06月30日,,              7060389,,              5825601,              1234788,              1234788,,,                245057,,                521523,                766580,,                  2345,                470553,,,                214819,,                 10205,,                109371,                109371,,                 -8450,                107203,                577756,,                100093,                477663,                477663,,,,,,,,,               -183846,                293817,,                210801,                266862,,                135321,                158496,,                              0.55,,                              0.55,               -183835,                    -11,,                              0.55,                              0.55,,,                214819
1532,2012年01月01日至2012年03月31日,,              3378808,,              2846056,                532752,                532752,,,                 65261,,                295859,                361120,,                  1090,                172722,,,                 84313,,                  4262,,                 52360,                 52360,,                  2254,                 38469,                211191,,                 31434,                179757,                179757,,,,,,,,,               -226601,                -46844,,                 60208,                119549,,                -47125,                    281,,                              0.16,,                              0.16,               -226632,                     31,,                              0.16,                              0.16,,,                 84313
