證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
6281,2015年第3季,,              4171950,,              3362465,                809485,                809485,,,                599716,,                110269,                709985,                 99500,,,,                  2811,                    443,                  3603,                  6857,,                 -1717,,                      5,                  5135,                104635,,                 17788,                 86847,                 86847,                 86847,,                              0.88,,                              0.87
6281,2015年第2季,,              4683600,,              3795000,                888600,                888600,,,                614654,,                124982,                739636,                148964,,,,                  3298,                  1291,                  3007,                  7596,,                   -870,,                      8,                  6718,                155682,,                 26332,                129350,                129350,                129350,,                              1.30,,                              1.29
6281,2015年01月01日至2015年09月30日,,             12846092,,             10308706,              2537386,              2537386,,,              1794843,,                331902,              2126745,                410641,,,,                  9508,                  3447,                 17867,                 30822,,                 -3432,,                     21,                 27369,                438010,,                 74328,                363682,                363682,                363682,,                              3.67,,                              3.63
6281,2015年01月01日至2015年06月30日,,              8674142,,              6946241,              1727901,              1727901,,,              1195127,,                221633,              1416760,                311141,,,,                  6697,                  3004,                 14264,                 23965,,                 -1715,,                     16,                 22234,                333375,,                 56540,                276835,                276835,                276835,,                              2.79,,                              2.76
6281,2015年01月01日至2015年03月31日,,              3990542,,              3151241,                839301,                839301,,,                580473,,                 96651,                677124,                162177,,,,                  3399,                  1713,                 11257,                 16369,,                   -845,,                      8,                 15516,                177693,,                 30208,                147485,                147485,                147485,,                              1.49,,                              1.47
6281,2014年第3季,,              4732483,,              3859584,                872899,                872899,,,                631295,,                113879,                745174,                127725,,,,                  3312,                  1713,                  2186,                  7211,,                 -2632,,                      8,                  4571,                132296,,                 22491,                109805,                109805,                109805,,                              1.10,,                              1.10
6281,2014年第2季,,              4266862,,              3436108,                830754,                830754,,,                584551,,                112733,                697284,                133470,,,,                  3214,                  1714,                  3219,                  8147,,                   -936,,                      8,                  7203,                140673,,                 22801,                117872,                117872,                117872,,                              1.19,,                              1.18
6281,2014年度,,             15938305,,             12643275,              3295030,              3295030,,,              2372147,,                446230,              2818377,                476653,,,,                 13642,                  6854,                 19847,                 40343,,                 -5622,,                     32,                 34689,                511342,,                 84446,                426896,                426896,                426896,,                              4.30,,                              4.26
6281,2014年01月01日至2014年09月30日,,             12651702,,             10144972,              2506730,              2506730,,,              1770844,,                327648,              2098492,                408238,,,,                  9826,                  5140,                 16406,                 31372,,                 -4232,,                     24,                 27116,                435354,,                 72897,                362457,                362457,                362457,,                              3.65,,                              3.62
6281,2014年01月01日至2014年06月30日,,              7919219,,              6285388,              1633831,              1633831,,,              1139549,,                213769,              1353318,                280513,,,,                  6514,                  3427,                 14220,                 24161,,                 -1600,,                     16,                 22545,                303058,,                 50406,                252652,                252652,                252652,,                              2.55,,                              2.52
6281,2014年01月01日至2014年03月31日,,              3652357,,              2849280,                803077,                803077,,,                554998,,                101036,                656034,                147043,,,,                  3300,                  1713,                 11001,                 16014,,                   -664,,                      8,                 15342,                162385,,                 27605,                134780,                134780,                134780,,                              1.36,,                              1.35
6281,2013年第3季,,              3888859,,              3151413,                737446,                737446,,,                565715,,                 99128,                664843,                 72603,,,,                  4041,                  1701,                  2268,                  8010,,                   -832,,                      8,                  7170,                 79773,,                 13561,                 66212,                 66212,                 66212,,                              0.67,,                              0.66
6281,2013年第2季,,              4154634,,              3321839,                832795,                832795,,,                567864,,                112733,                680597,                152198,,,,                  4079,                  1555,                  2224,                  7858,,                   -178,,                      8,                  7672,                159870,,                 26253,                133617,                133617,                133617,,                              1.35,,                              1.34
6281,2013年度,,             14730916,,             11621671,              3109245,              3109245,,,              2226329,,                415837,              2642166,                467079,,,,                 16290,                  6431,                 10446,                 33167,,                 -1365,,                     31,                 31771,                498850,,                 83023,                415827,                415827,                415827,,                              4.19,,                              4.16
6281,2013年07月01日至2013年09月30日,,              3888859,,              3151413,                737446,                737446,,,                565715,,                 99128,                664843,                 72603,,,,                  4041,                  1701,                  2268,                  8010,,                   -832,,                      8,                  7170,                 79773,,                 13561,                 66212,                 66212,                 66212,,                              0.67,,                              0.66
6281,2013年04月01日至2013年06月30日,,              4154634,,              3321839,                832795,                832795,,,                567864,,                112733,                680597,                152198,,,,                  4079,                  1555,                  2224,                  7858,,                   -178,,                      8,                  7672,                159870,,                 26253,                133617,                133617,                133617,,                              1.35,,                              1.34
6281,2013年01月01日至2013年12月31日,,             14730916,,             11621671,              3109245,              3109245,,,              2226329,,                415837,              2642166,                467079,,,,                 16290,                  6431,                 10446,                 33167,,                 -1365,,                     31,                 31771,                498850,,                 83023,                415827,                415827,                415827,,                              4.19,,                              4.16
6281,2013年01月01日至2013年09月30日,,             11597253,,              9218921,              2378332,              2378332,,,              1676804,,                307587,              1984391,                393941,,,,                 12646,                  4777,                  5415,                 22838,,                   -869,,                     23,                 21946,                415887,,                 70102,                345785,                345785,                345785,,                              3.49,,                              3.46
6281,2013年01月01日至2013年06月30日,,              7708394,,              6067508,              1640886,              1640886,,,              1111089,,                208459,              1319548,                321338,,,,                  8605,                  3076,                  3147,                 14828,,                    -37,,                     15,                 14776,                336114,,                 56541,                279573,                279573,                279573,,                              2.82,,                              2.79
6281,2013年01月01日至2013年03月31日,,              3553760,,              2745669,                808091,                808091,,,                543225,,                 95726,                638951,                169140,,,,                  4526,                  1521,                    923,                  6970,,                    141,,                      7,                  7104,                176244,,                 30288,                145956,                145956,                145956,,                              1.47,,                              1.46
6281,2012年07月01日至2012年09月30日,,              4126498,,              3307053,                819445,                819445,,,                587913,,                100154,                688067,                131378,,,,                  4686,                  1521,                  3290,                  9497,,                   -529,,                      7,                  8961,                140339,,                 24279,                116060,                116060,                116060,,                              1.17,,                              1.16
6281,2012年04月01日至2012年06月30日,,              3822976,,              3044296,                778680,                778680,,,                520255,,                 93207,                613462,                165218,,,,                  5519,                  1522,                  1527,                  8568,,                   -990,,                      8,                  7570,                172788,,                 30155,                142633,                142633,                142633,,                              1.44,,                              1.42
6281,2012年01月01日至2012年12月31日,,             14908540,,             11699614,              3208926,              3208926,,,              2210149,,                384346,              2594495,                614431,,,,                 20027,                  6086,                 16371,                 42484,,                 -1632,,                     29,                 40823,                655254,,                112904,                542350,                542350,                542350,,                              5.47,,                              5.41
6281,2012年01月01日至2012年09月30日,,             11755435,,              9295943,              2459492,              2459492,,,              1661795,,                283746,              1945541,                513951,,,,                 15162,                  4564,                  5790,                 25516,,                 -1589,,                     22,                 23905,                537856,,                 92426,                445430,                445430,                445430,,                              4.49,,                              4.44
6281,2012年01月01日至2012年06月30日,,              7628937,,              5988890,              1640047,              1640047,,,              1073882,,                183592,              1257474,                382573,,,,                 10476,                  3043,                  2500,                 16019,,                 -1060,,                     15,                 14944,                397517,,                 68147,                329370,                329370,                329370,,                              3.32,,                              3.28
6281,2012年01月01日至2012年03月31日,,              3805961,,              2944594,                861367,                861367,,,                553627,,                 90385,                644012,                217355,,,,                  4957,                  1521,                    973,                  7451,,                    -70,,                      7,                  7374,                224729,,                 37992,                186737,                186737,                186737,,                              1.88,,                              1.86
