證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 非控制權益（綜合損益）,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入,　　　　 佣金收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 租賃成本,　　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本,　　　　 勞務成本合計,　　　 勞務成本合計,　　 其他營業成本,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 手續費支出,　　　　 非以透過損益按公允價值衡量之金融負債所產生之手續費費損,　　　　 手續費支出合計,　　　 什項支出,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額
5525,2015年第3季,,                714211,,                529584,                184627,                184627,,,                 20202,,                 31548,                 51750,                132877,,,                  5376,,                 -3300,,                  2537,,                    -87,                   -548,                132329,,                  6018,                126311,                126311,                126311,,                126340,                    -29,,                126311,,                              0.52,                              0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2015年第2季,,              1270573,,                898945,                371628,                371628,,,,,,                 50103,                321525,,,                  4717,,                 -6204,,                  3268,,                   -114,                 -4869,                316656,,                 14568,                302088,                302088,                302088,,                302820,                   -732,,                302088,,                              1.27,                              1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2015年01月01日至2015年09月30日,,              3150439,,              2306299,                844140,                844140,,,                 64821,,                 97785,                162606,                681534,,,                 13605,,                -12983,,                 11869,,                   -238,                -11485,                670049,,                 44457,                625592,                625592,                625592,,                626358,                   -766,,                625592,,                              2.56,                              2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2015年01月01日至2015年06月30日,,              2436228,,              1776715,                659513,                659513,,,,,,                110856,                548657,,,                  8229,,                 -9683,,                  9332,,                   -151,                -10937,                537720,,                 38439,                499281,                499281,                499281,,                500018,                   -737,,                499281,,                              2.10,                              2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2015年01月01日至2015年03月31日,,              1165655,,                877770,                287885,                287885,,,                 27720,,                 33033,                 60753,                227132,,,                  3512,,                 -3479,,                  6064,,                    -37,                 -6068,                221064,,                 23871,                197193,                197193,                197193,,                197198,                     -5,,                197193,,                              0.83,                              0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年第3季,,                321574,,                289347,                 32227,                 32227,,,                 25560,,                 20610,                 46170,                -13943,,,                  1445,,                 -4155,,                    828,,                   -269,                 -3807,                -17750,,                    565,                -18315,                -18315,                -18315,,                -18312,                     -3,,                -18315,,                             -0.07,                             -0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年第2季,,                555786,,                395184,                160602,                160602,,,,,,                 89541,                 71061,,,                  2423,,                 -9104,,                    591,,                    -55,                 -7327,                 63734,,                -13234,                 76968,                 76968,                 76968,,                 76970,                     -2,,                 76968,,                              0.32,                              0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年度,,              4042406,,              3089233,                953173,                953173,,,                153159,,                147220,                300379,                652794,,,                 12544,,                -28201,,                  6277,,                   -558,                -22492,                630302,,                 46174,                584128,                584128,                584910,,                584131,                     -3,,                584913,,                              2.46,                              2.46,,                    886,                    104,                    782,                     -3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年01月01日至2014年09月30日,,              1403435,,              1050988,                352447,                352447,,,                109774,,                 82554,                192328,                160119,,,                  4534,,                -18543,,                  2822,,                   -365,                -17196,                142923,,                 10213,                132710,                132710,                132710,,                132719,                     -9,,                132710,,                              0.54,                              0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年01月01日至2014年06月30日,,              1081861,,                761641,                320220,                320220,,,,,,                146158,                174062,,,                  3089,,                -14388,,                  1994,,                    -96,                -13389,                160673,,                  9648,                151025,                151025,                151025,,                151031,                     -6,,                151025,,                              0.64,                              0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2014年01月01日至2014年03月31日,,                526075,,                366457,                159618,                159618,,,                 27827,,                 28790,                 56617,                103001,,,                    666,,                 -5284,,                  1403,,                    -41,                 -6062,                 96939,,                 22882,                 74057,                 74057,                 74057,,                 74061,                     -4,,                 74057,,                              0.31,                              0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年第3季,,                134693,,                104826,                 29867,                 29867,,,                 15860,,                 26384,                 42244,                -12377,,,                  1652,,                 -3499,,                    185,,                   -141,                 -2173,                -14550,,                    688,                -15238,                -15238,                -15238,,                -15235,                     -3,,                -15238,,                             -0.06,                             -0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年第2季,,              1709198,,              1096877,                612321,                612321,,,,,,                 48065,                564256,,,                  7896,,                 -6797,,                  2129,,                   -275,                 -1305,                562951,,                 30813,                532138,                532138,                532138,,                532143,                     -5,,                532138,,                              2.31,                              2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年度,,              2942973,,              2084292,                858681,                858681,,,                 72229,,                114956,                187185,                671496,,,                 17376,,                -21329,,                  9773,,                   -794,                -14520,                656976,,                 36407,                620569,                620569,                620917,,                620588,                    -19,,                620936,,                              2.61,                              2.61,,                    272,                    -76,                    348,                    -19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年07月01日至2013年09月30日,,                134693,,                104826,                 29867,                 29867,,,                 15860,,                 26384,                 42244,                -12377,,,                  1652,,                 -3499,,                    185,,                   -141,                 -2173,                -14550,,                    688,                -15238,                -15238,                -15238,,                -15235,                     -3,,                -15238,,                             -0.11,                             -0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年04月01日至2013年06月30日,,              1709198,,              1096877,                612321,                612321,,,                 10074,,                 37991,                 48065,                564256,,,                  7896,,                 -6797,,                  2129,,                   -275,                 -1305,                562951,,                 30813,                532138,                532138,                532138,,                532143,                     -5,,                532138,,                              2.36,                              2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年01月01日至2013年12月31日,,              2942973,,              2084292,                858681,                858681,,,                 72229,,                114956,                187185,                671496,,,                 17376,,                -21329,,                  9773,,                   -794,                -14520,                656976,,                 36407,                620569,                620569,                620917,,                620588,                    -19,,                620936,,                              2.69,                              2.69,,                    272,                    -76,                    348,                    -19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年01月01日至2013年09月30日,,              1967428,,              1306515,                660913,                660913,,,                 33188,,                 84577,                117765,                543148,,,                 11611,,                -16230,,                  8648,,                   -819,                -14086,                529062,,                 45318,                483744,                483744,                483744,,                483758,                    -14,,                483744,,                              2.03,                              2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年01月01日至2013年06月30日,,              1832735,,              1201689,                631046,                631046,,,,,,                 75521,                555525,,,                  9959,,                -12731,,                  8463,,                   -678,                -11913,                543612,,                 44630,                498982,                498982,                498982,,                498993,                    -11,,                498982,,                              2.17,                              2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2013年01月01日至2013年03月31日,,                123537,,                104812,                 18725,                 18725,,,,,,                 27456,                 -8731,,,                  2063,,                 -5934,,                  6334,,                   -403,                -10608,                -19339,,                 13817,                -33156,                -33156,                -33156,,                -33150,                     -6,,                -33156,,                             -0.14,                             -0.14,,,,,,,                 21868,                 21868,,,                 96719,                    331,                 96388,                 96388,,,                  2953,                              0,                  2953,                  2953,,                  2328,                  2328,,                 17836,                 17836,,                 82593,                 82593,,,                    678,                    678,                    678,                  3705,,                    606,                    606,                     29,                  1428,,                  1696,                  1696,                  2256,,                  1982,                  1982,                  6334,                   -403
5525,2012年07月01日至2012年09月30日,,                669713,,                472957,                196756,                196756,,,                  3071,,                 38499,                 41570,                155186,,,                    655,,                 -3429,,                  4522,,                   -123,                 -7419,                147767,,                  7943,                139824,                139824,                139824,,                139828,                     -4,,                139824,,                              0.59,                              0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2012年04月01日至2012年06月30日,,                795320,,                580295,                215025,                215025,,,                 33761,,                 25828,                 59589,                155436,,,                  3866,,                 -5199,,                    516,,                    -71,                 -1920,                153516,,                 10406,                143110,                143110,                143110,,                143114,                     -4,,                143110,,                              0.64,                              0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2012年01月01日至2012年12月31日,,              2739474,,              2008189,                731285,                731285,,,                108253,,                 95413,                203666,                527619,,,                  9627,,                -49074,,                 12946,,                   -240,                -52633,                474986,,                 10780,                464206,                464206,                463612,,                464225,                    -19,,                463631,,                              2.01,                              2.01,,                   -716,                   -122,                   -594,                    -19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2012年01月01日至2012年09月30日,,              1486804,,              1090009,                396795,                396795,,,                 60335,,                 84773,                145108,                251687,,,                  4864,,                -11910,,                  5422,,                   -206,                -12674,                239013,,                -22232,                261245,                261245,                261245,,                261258,                    -13,,                261245,,                              1.13,                              1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2012年01月01日至2012年06月30日,,                817091,,                617052,                200039,                200039,,,                 57264,,                 46274,                103538,                 96501,,,                  4209,,                 -8481,,                    900,,                    -83,                 -5255,                 91246,,                -30175,                121421,                121421,                121421,,                121430,                     -9,,                121421,,                              0.54,                              0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5525,2012年01月01日至2012年03月31日,,                 21771,,                 36757,                -14986,                -14986,,,,,,                 43949,                -58935,,,                    343,,                 -3282,,                    384,,                    -12,                 -3335,                -62270,,                -40581,                -21689,                -21689,                -21689,,                -21684,                     -5,,                -21689,,                             -0.10,                             -0.10,,,,,,,                 16422,                 16422,,,                    376,                     77,                    299,                    299,,,                  3230,,                  3230,                  3230,,                  1820,                  1820,,                 18071,                 18071,,                 15597,                 15597,,,                    490,                    490,                    490,                  2599,,                     89,                     89,                     28,                    226,,                  3280,                  3280,                      2,,                              0,                              0,                    384,                    -12
