證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
8454,2015年第3季,,              6328337,,              5581328,                747009,                747009,,,                261510,,                241271,                502781,,                      4,                244232,,,                 22817,,                 15700,,                      4,,                 18765,                 57278,                301510,,                 59749,                241761,,                              0,                241761,,,,,,,,,,                  2507,                -48779,,                -17143,                -63415,                -63415,                178346,,                259169,                -17408,,                194564,                -16218,,                              1.83,                              0.00,                              1.83,,                              1.83,                              0.00,                              1.83,,,,,,,
8454,2015年第2季,,              6198935,,              5436924,                762011,                762011,,,                253885,,                236312,                490197,,                 -1243,                270571,,,                 24632,,                  5321,,                      7,,                 15137,                 45083,                315654,,                 62601,                253053,,                              0,                253053,,,,,,,,,,                 -7771,                -12979,,                 -2761,                -23511,                -23511,                229542,,                268862,                -15809,,                246026,                -16484,,                              1.89,                              0.00,                              1.89,,                              1.89,                              0.00,                              1.89,,,,,,,
8454,2015年度,,             25639898,,             22536236,              3103662,              3103662,,,              1059398,,                983867,              2043265,,                 -1628,              1058769,,,                107000,,                  2382,,                    239,,                 68147,                177290,              1236059,,                242970,                993089,,                              0,                993089,,,                 -1000,,                 -1274,                 -1274,                   -170,                 -2104,,                -11110,               -101848,,                -39745,               -152703,               -154807,                838282,,              1060781,                -67692,,                907126,                -68844,,                              7.48,                              0.00,                              7.48,,                              7.48,                              0.00,                              7.48,,,,,,,
8454,2015年01月01日至2015年09月30日,,             18786924,,             16502267,              2284657,              2284657,,,                759682,,                714090,              1473772,,                 -1210,                809675,,,                 69851,,                 18736,,                     23,,                 39372,                127936,                937611,,                185071,                752540,,                              0,                752540,,,,,,,,,,                 -9362,                -69134,,                -37882,               -116378,               -116378,                636162,,                802377,                -49837,,                686406,                -50244,,                              5.65,                              0.00,                              5.65,,                              5.65,                              0.00,                              5.65,,,,,,,
8454,2015年01月01日至2015年06月30日,,             12458587,,             10920939,              1537648,              1537648,,,                498172,,                472819,                970991,,                 -1214,                565443,,,                 47034,,                  3036,,                     19,,                 20607,                 70658,                636101,,                125322,                510779,,                              0,                510779,,,,,,,,,,                -11869,                -20355,,                -20739,                -52963,                -52963,                457816,,                543208,                -32429,,                491842,                -34026,,                              3.82,                              0.00,                              3.82,,                              3.82,                              0.00,                              3.82,,,,,,,
8454,2015年01月01日至2015年03月31日,,              6259652,,              5484015,                775637,                775637,,,                244287,,                236507,                480794,,                     29,                294872,,,                 22402,,                 -2285,,                     12,,                  5470,                 25575,                320447,,                 62721,                257726,,                              0,                257726,,,,,,,,,,                 -4098,                 -7376,,                -17978,                -29452,                -29452,                228274,,                274346,                -16620,,                245816,                -17542,,                              1.93,                              0.00,                              1.93,,                              1.93,                              0.00,                              1.93,                              0,,,,,,
8454,2014年第3季,,              6282622,,              5365962,                916660,                916660,,,                250465,,                241009,                491474,,                    101,                425287,,,                 25496,,                    452,,                  3545,,                  2125,                 24528,                449815,,                 88777,                361038,,                              0,                361038,,,,,,,,,,                  4786,                -28594,,                    443,                -23365,                -23365,                337673,,                367737,                 -6699,,                344094,                 -6421,,                              2.88,                              0.00,                              2.88,,                              2.88,                              0.00,                              2.88,,,,,,,
8454,2014年第2季,,              5616264,,              4830808,                785456,                785456,,,                226084,,                191262,                417346,,                              0,                368110,,,                 15999,,                   -333,,                  2973,,                  3515,                 16208,                384318,,                 78356,                305962,,                -38597,                267365,,,,,,,,,,                 -5374,                  4784,,                 32957,                 32367,                 32367,                299732,,                273692,                 -6327,,                306250,                 -6518,,                              2.44,                             -0.30,                              2.14,,                              2.44,                             -0.30,                              2.14,,,,,,,
8454,2014年度,,             23897005,,             20592348,              3304657,              3304657,,,                985224,,                894460,              1879684,,                  2442,              1427415,,,                 72776,,                 -4567,,                 10041,,                 24167,                 82335,              1509750,,                298556,              1211194,,                -78329,              1132865,,,                 -1651,,                              0,                              0,                   -281,                 -1370,,                 12161,                -42857,,                 53513,                 22817,                 21447,              1154312,,              1170042,                -37177,,              1188882,                -34570,,                              9.72,                             -0.61,                              9.11,,                              9.72,                             -0.61,                              9.11,,                 12161,                -42857,                 -1651,,                 53513,                   -281
8454,2014年上半年度,,             11280197,,              9765235,              1514962,              1514962,,,                455625,,                408460,                864085,,                  1042,                651919,,,                 31961,,                 -5013,,                  5395,,                  9631,                 31184,                683103,,                141175,                541928,,                -78329,                463599,,,,,,,,,,,,,,,                 38768,                502367,,                477268,                -13669,,                516176,                -13809,,                              4.34,                             -0.61,                              3.73,,                              4.34,                             -0.61,                              3.73,,                 -4967,                 10732,,,                 33003,                              0
8454,2014年01月01日至2014年09月30日,,             17562819,,             15131197,              2431622,              2431622,,,                706090,,                649469,              1355559,,                  1143,              1077206,,,                 57457,,                 -4561,,                  8940,,                 11756,                 55712,              1132918,,                229952,                902966,,                -78329,                824637,,,,,,,,,,                   -181,                -17862,,                 33446,                 15403,                 15403,                840040,,                845005,                -20368,,                860270,                -20230,,                              7.22,                             -0.61,                              6.61,,                              7.22,                             -0.61,                              6.61,,,,,,,
8454,2014年01月01日至2014年06月30日,,             11280197,,              9765235,              1514962,              1514962,,,                455625,,                408460,                864085,,                  1042,                651919,,,                 31961,,                 -5013,,                  5395,,                  9631,                 31184,                683103,,                141175,                541928,,                -78329,                463599,,,,,,,,,,                 -4967,                 10732,,                 33003,                 38768,                 38768,                502367,,                477268,                -13669,,                516176,                -13809,,                              4.34,                             -0.61,                              3.73,,                              4.34,                             -0.61,                              3.73,,,,,,,
8454,2014年01月01日至2014年03月31日,,              5663933,,              4934427,                729506,                729506,,,                229541,,                217198,                446739,,                  1042,                283809,,,                 15962,,                 -4680,,                  2422,,                  6116,                 14976,                298785,,                 62819,                235966,,                -39732,                196234,,,,,,,,,,                    407,                  5948,,                     46,                  6401,                  6401,                202635,,                203576,                 -7342,,                209926,                 -7291,,                              1.90,                             -0.31,                              1.59,,                              1.90,                             -0.31,                              1.59,                              0,,,,,,
8454,2013年第3季,,              5118325,,              4545269,                573056,                573056,,,                226938,,                181755,                408693,,                 -2809,                161554,,,                 15661,,                -22190,,                  5023,,                 -6511,                -18063,                143491,,                 41497,                101994,,                -53464,                 48530,,,,,,,,,,,,,,,                 -3538,                 44992,,                 61603,                -13073,,                 57971,                -12979,,                              0.90,                             -0.42,                              0.48,,                              0.90,                             -0.42,                              0.48,,                    328,                    643,,,                 -4509,                              0
8454,2013年度,,             20542841,,             17987595,              2555246,              2555246,,,                896544,,                720282,              1616826,,                 -3638,                934782,,,                 51881,,                -12549,,                 14763,,                 21285,                 45854,                980636,,                213079,                767557,,               -249392,                518165,,,,,,,,,,,,,,,                -37789,                480376,,                561668,                -43503,,                523032,                -42656,,                              6.34,                             -1.95,                              4.39,,                              6.34,                             -1.95,                              4.39,,                  5111,                -41409,                  2943,,                 -3934,                    500
8454,2013年上半年度,,              9830157,,              8596505,              1233652,              1233652,,,                424638,,                338109,                762747,,                  2400,                473305,,,                 18638,,                  4328,,                  6703,,                 20757,                 37020,                510325,,                106285,                404040,,               -155132,                248908,,,,,,,,,,,,,,,                -49173,                199735,,                271718,                -22810,,                222203,                -22468,,                              3.34,                             -1.21,                              2.13,,                              3.34,                             -1.22,                              2.12,,                  1704,                -50975,,,                     98,                              0
