證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資支出（投資公司適用）合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資損失,　　　 壞帳轉回利益,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 股利收入,　　　 處分投資性不動產利益,　　 遞延所得稅費用（利益）
6226,2014年01月01日至2014年03月31日,,,,,,,                205884,,,,,                205884,,,,                147478,,,,                147478,                 58406,                 58406,,,                 25692,,                 38002,,                  3869,                 67563,                 -9157,,,                  6460,,,,,,,,,                 -1033,,                  6395,,,                   -583,                 -1551,                -10708,,                 -1059,                 -9649,                 -9649,,,                 -1798,                   -535,                              0,                 -2333,                 -2333,                -11982,,                 -9545,                   -104,,                -11878,                   -104,,                             -0.13,,,,,,,,,,,,,,,,,,,
6226,2013年第3季,,,,,,,                389281,,,,,                389281,,,,                303822,,,,                303822,                 85459,                 85459,,,                 28493,,                 38217,,                  4607,                 71317,                 14142,,,                  6009,,                    -50,,                              0,                    -20,                  1865,,                              0,                 -5560,,                  7228,,,                   -835,                 -7614,                  6528,,                 -2410,                  8938,                  8938,,,,,,,                 -7653,                  1285,,                  2730,                  6208,,                 -4923,                  6208,,                              0.04,,                              0.04,,,,                  3625,,                 -7479,                   -174,                              0,                              0,,,,,,,,
6226,2013年第2季,,,,,                320716,                  1655,                319061,,,,,                319061,,,,,,,,                232044,                 87017,                 87017,,,                 18917,,                 39146,,                  5111,                 63174,                 23843,,,                  7618,,,,,,,,,                  1490,,                  7502,,,                    513,                  2119,                 25962,,                  8119,                 17843,                 17843,,,,,,,                 10275,                 28118,,                  8530,                  9313,,                 18805,                  9313,,                              0.12,,                              0.00,,,,,                  8119,                 11010,                   -735,                              0,,,,,,,,,
6226,2013年度,,,,,              1618485,                  7250,              1611235,,,,,              1611235,,,,              1261993,,,,              1261993,                349242,                349242,,,                110052,,                156045,,                 18287,                284384,                 64858,,,                 23125,,,,,,,,,                 15148,,                 28893,,,                     50,                  9430,                 74288,,                 10057,                 64231,                 64231,,,,,,,                 33133,                 97364,,                 23433,                 40798,,                 56566,                 40798,,                              0.33,,                              0.33,,,,,                 10057,                 33778,                   -645,                              0,,,,,,,,,
6226,2013年07月01日至2013年09月30日,,,,,                391518,                  2237,                389281,,,,,                389281,,,                303822,                303822,,,,                303822,                 85459,                 85459,,,                 28493,,                 38217,,                  4607,                 71317,                 14142,,,                  6009,,,,                              0,                              0,                  1865,,                              0,                 -5560,,                  7228,,                              0,                   -835,                 -7614,                  6528,,                 -2410,                  8938,                  8938,,,,,,,                 -7653,                  1285,,                  2730,                  6208,,                 -4923,                  6208,,                              0.04,,                              0.04,,                     87,                  5276,                  3625,                 -2410,                 -7479,                   -174,                              0,                              0,                    643,                     50,                     20,                  7228,                    835,                      3,                              0,
6226,2013年04月01日至2013年06月30日,,,,,                320716,                  1655,                319061,,,,,                319061,,,                232044,                232044,,,,                232044,                 87017,                 87017,,,                 18917,,                 39146,,                  5111,                 63174,                 23843,,,                  7618,,                     73,,                  5291,                  3631,                  1337,,                  6168,                  1490,,                  7502,,                    513,                    513,                  2119,                 25962,,                  8119,                 17843,                 17843,,,,,,,                 10275,                 28118,,                  8530,                  9313,,                 18811,                  9307,,                              0.09,,,,                    181,                  1590,                              0,                  8119,                 11010,                   -735,                              0,                              0,                  5847,                              0,,                  7502,                              0,,                              0,
6226,2013年01月01日至2013年12月31日,,,,,              1618485,                  7250,              1611235,,,,,              1611235,,,              1261993,              1261993,,,,              1261993,                349242,                349242,,,                110052,,                156045,,                 18287,                284384,                 64858,,,                 23125,,                    297,,                 22990,                  3917,                  5889,,                  6167,                 15148,,                 28893,,                     50,                     50,                  9430,                 74288,,                 10057,                 64231,                 64231,,,,,,,                 33133,                 97364,,                 23433,                 40798,,                 56566,                 40798,,                              0.33,,                              0.33,,                    910,                 14371,                              0,                 10057,                 33778,                   -645,                              0,                              0,                  7844,                              0,                              0,                 28893,                              0,,,
6226,2013年01月01日至2013年09月30日,,,,,,,                986167,,,,,                986167,,,,                755297,,,,                755297,                230870,                230870,,,                 81103,,                117340,,                 13968,                212411,                 18459,,,                 23210,,                     99,,                 13073,                  3798,                  3839,,                  6168,                  6963,,                 22275,,,                    687,                  8585,                 27044,,                  5761,                 21283,                 21283,,,,,,,                 21129,                 42412,,                  4041,                 17242,,                 25170,                 17242,,                              0.06,,                              0.06,,,,                              0,,                 21462,                   -333,                              0,                              0,,,,,,,,
6226,2013年01月01日至2013年06月30日,,,,,                599730,                  2844,                596886,,,,,                596886,,,,,,,,                451475,                145411,                145411,,,                 52610,,                 79123,,                  9361,                141094,                  4317,,,                 17201,,,,,,,,,                 12523,,                 15047,,,                  1522,                 16199,                 20516,,                  8171,                 12345,                 12345,,,,,,,                 28781,                 41126,,                  1311,                 11034,,                 30092,                 11034,,                              0.02,,                              0.00,,,,,                  8171,                 28940,                   -159,                              0,,,,,,,,,
6226,2013年01月01日至2013年03月31日,,,,,                279014,                  1189,                277825,,,,,                277825,,,                219431,                219431,,,,                219431,                 58394,                 58394,,,                 33693,,                 39977,,                  4250,                 77920,                -19526,,,                  9583,,                     76,,                 11407,                    188,                    637,,                              0,                 11034,,                  7545,,                  1009,                  1009,                 14081,                 -5445,,                     52,                 -5497,                 -5497,,,,,,,                 18506,                 13009,,                 -7218,                  1721,,                 11288,                  1721,,                             -0.10,,,,                    129,                  3822,                              0,                     52,                 17930,                    576,                              0,                              0,                  5632,                              0,                              0,                  7545,                              0,,,
6226,2012年07月01日至2012年09月30日,,,,,                293456,                  2359,                291097,,,,,                291097,,,                236259,                236259,,,,                236259,                 54838,                 54838,,,                 27733,,                 44084,,                  3634,                 75451,                -20613,,,                  4112,,,,                              0,                     43,                  2721,,                              0,                 -6844,,                  7988,,                              0,                 -2851,                -13571,                -34184,,                    112,                -34296,                -34296,,,,,,,                 -6053,                -40349,,                -34257,                    -39,,                -40310,                    -39,,                             -0.48,,                              0.00,,                    146,                    502,                  4083,                    112,                 -5891,                   -162,                              0,                              0,                  3464,                     83,                              0,                  7988,                  2851,                              0,                              0,
6226,2012年04月01日至2012年06月30日,,,,,                295251,                  2801,                292450,,,,,                292450,,,                246214,                246214,,,,                246214,                 46236,                 46236,,,                 27070,,                 43227,,                  3140,                 73437,                -27201,,,                  5129,,                              0,,                    870,                  2684,                  5687,,                              0,                 -2729,,                  8644,,                              0,                 -4384,                -10628,                -37829,,                 -4539,                -33290,                -33290,,,,,,,                  1732,                -31558,,                -36116,                  2826,,                -34384,                  2826,,                             -0.40,,,,                    389,                  2963,                              0,                 -4539,                  2844,                 -1112,                              0,                    476,                  1777,                    120,,                  8644,                  4384,,                              0,
6226,2012年01月01日至2012年12月31日,,,,,              1115359,                 10253,              1105106,,,,,              1105106,,,                916502,                916502,,,,                916502,                188604,                188604,,,                106227,,                165050,,                 14772,                286049,                -97445,,,                 10803,,                 -2730,,                -12775,                  3088,                 10857,,                              0,                -24194,,                 33782,,                -20340,                -20340,                -67513,               -164958,,                 -1470,               -163488,               -163488,,,,,,,                -20417,               -183905,,               -167952,                  4464,,               -188369,                  4464,,                             -2.38,,                              0.00,,                    903,                  5948,                              0,                 -1470,                -21248,                    831,                              0,                    920,                  3952,                              0,                              0,                 33782,                              0,,,
6226,2012年01月01日至2012年09月30日,,,,,                856489,                  6404,                850085,,,,,                850085,,,                704632,                704632,,,,                704632,                145453,                145453,,,                 79854,,                130624,,                 10440,                220918,                -75465,,,                 10483,,,,                              0,                  3086,                 10250,,                              0,                -22487,,                 25674,,                 -9349,                 -9349,                -47027,               -122492,,                -10337,               -112155,               -112155,,,,,,,                -20392,               -132547,,               -118768,                  6613,,               -139160,                  6613,,                             -1.67,,                              0.00,,                    693,                  4549,                 12086,                -10337,                -21024,                    632,                              0,                    476,                  5241,                  2761,                              0,                 25674,                              0,                              0,                              0,
6226,2012年01月01日至2012年06月30日,,,,,                563033,                  4045,                558988,,,,,                558988,,,                468373,                468373,,,,                468373,                 90615,                 90615,,,                 52121,,                 86540,,                  6806,                145467,                -54852,,,                  6371,,                              0,,                              0,                  3043,                  7529,,                              0,                -15643,,                 17686,,                              0,                 -6498,                -33456,                -88308,,                -10449,                -77859,                -77859,,,,,,,                -14339,                -92198,,                -84511,                  6652,,                -98850,                  6652,,                             -0.93,,,,                    547,                  4047,                  8003,                -10449,                -15133,                    794,                              0,                    476,                  1777,                  2678,,                 17686,                  6498,,                              0,
6226,2012年01月01日至2012年03月31日,,,,                267782,                267782,                  1244,                266538,,,,,                266538,,,,,,,,                222159,                 44379,                 44379,,,                 25051,,                 43313,,                  3666,                 72030,                -27651,,,                  1242,,                 -2558,,                 -8873,                    359,                  1842,,,                -12914,,                  9042,,                 -2114,                 -2114,                -22828,                -50479,,                 -5910,                -44569,                -44569,,,,,,,                -16071,                -60640,,                -48395,                  3826,,                -64466,                  3826,,                             -0.53,,,,                    158,                  1084,,                 -5910,                -17977,                  1906,                              0,,                              0,,,                  9042,,,,                              0
