證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3504,2015年第3季,,              1139348,,                801854,                337494,                337494,,,                 34433,,                 98884,,                152356,                285673,                 51821,,,                 20721,,                 10239,,                  1215,                 29745,                 81566,,                 24250,                 57316,                 57316,,,,,,,                 65957,                 65957,                 65957,                123273,,                 57508,                   -192,,                123459,                   -186,,                              0.50,,                              0.50,,,,,,
3504,2015年第2季,,              1108250,,                803729,                304521,                304521,,,                 33131,,                 97144,,                154928,                285203,                 19318,,,                 20079,,                 -5994,,                  1610,                 12475,                 31793,,                 -3563,                 35356,                 35356,,,,,,,                -26626,                -26626,                -26626,                  8730,,                 35399,                    -43,,                  8775,                    -45,,                              0.31,,                              0.31,,                              0,                              0,,,
3504,2015年度,,              4460489,,              3233836,              1226653,              1226653,,,                127296,,                383980,,                616573,              1127849,                 98804,,,                 76879,,                  4408,,                  5748,                 75539,                174343,,                 45876,                128467,                128467,,,                  9094,                  1546,                  7548,,                -41581,                -41581,                -34033,                 94434,,                128665,                   -198,,                 94627,                   -193,,                              1.13,,                              1.12,,,,,,
3504,2015年01月01日至2015年09月30日,,              3298259,,              2385141,                913118,                913118,,,                 94854,,                288296,,                463599,                846749,                 66369,,,                 62493,,                  7306,,                  4218,                 65581,                131950,,                 21579,                110371,                110371,,,,,,,                  3772,                  3772,                  3772,                114143,,                110606,                   -235,,                114374,                   -231,,                              0.97,,                              0.96,,,,,,
3504,2015年01月01日至2015年06月30日,,              2158911,,              1583287,                575624,                575624,,,                 60421,,                189412,,                311243,                561076,                 14548,,,                 41772,,                 -2933,,                  3003,                 35836,                 50384,,                 -2671,                 53055,                 53055,,,,,,,                -62185,                -62185,                -62185,                 -9130,,                 53098,                    -43,,                 -9085,                    -45,,                              0.47,,                              0.46,,                              0,                              0,,,
3504,2015年01月01日至2015年03月31日,,              1050661,,                779558,                271103,                271103,,,                 27290,,                 92268,,                156315,                275873,                 -4770,,,                 21693,,                  3061,,                  1393,                 23361,                 18591,,                    892,                 17699,                 17699,,,,,,,                -35559,                -35559,                -35559,                -17860,,                 17699,                              0,,                -17860,                              0,,                              0.16,,                              0.15,,                              0,,,,
3504,2014年第3季,,              1179971,,                843854,                336117,                336117,,,                 27508,,                 97559,,                157552,                282619,                 53498,,,                 24094,,                  3233,,                  2272,                 25055,                 78553,,                 17343,                 61210,                 61210,,,,,,,                 45541,                 45541,                 45541,                106751,,                 61210,                              0,,                106751,                              0,,                              0.54,,                              0.54,,,,,,
3504,2014年第2季,,              1257598,,                940650,                316948,                316948,,,                 31243,,                 96057,,                153719,                281019,                 35929,,,                 28116,,                 -5310,,                  3595,                 19211,                 55140,,                 23214,                 31926,                 31926,,,,,,,                -47919,                -47919,                -47919,                -15993,,                 31926,                              0,,                -15993,                              0,,                              0.28,,                              0.28,,                              0,                              0,,,
3504,2014年度,,              5005603,,              3666431,              1339172,              1339172,,,                126349,,                383397,,                627908,              1137654,                201518,,,                107543,,                -18511,,                 10524,                 78508,                280026,,                 87308,                192718,                192718,,,                 -4522,                   -769,                 -3753,,                140771,                140771,                137018,                329736,,                192718,                              0,,                329736,                              0,,                              1.69,,                              1.68,,,,                140771,                 -4522,                   -769
3504,2014年01月01日至2014年09月30日,,              3636973,,              2700537,                936436,                936436,,,                 90253,,                292434,,                448068,                830755,                105681,,,                 83471,,                -12719,,                  7519,                 63233,                168914,,                 53279,                115635,                115635,,,,,,,                 29835,                 29835,                 29835,                145470,,                115635,                              0,,                145470,                              0,,                              1.01,,                              1.01,,,,,,
