證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 備供出售金融資產未實現評價損益,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　 非控制權益（綜合損益）
1521,2015年第3季,,              1349334,,              1135649,                213685,                     57,                  1661,                215289,,,                 50295,,                 36676,,                 38514,                125485,,                   -277,                   -277,                 89527,,,                 10121,,                 21931,,                  2720,                 34772,                124299,,                 15483,                108816,                108816,,,                  8582,                    -10,                  1459,                  7113,                  7113,                115929,,                108816,,                115929,,                              1.43,                              1.43,,                              1.43,                              1.43,,,,,,,,,,,,,,,,,,,,
1521,2015年第2季,,              1341047,,              1110885,                230162,                    361,                  4285,                234086,,,                 57667,,                 36047,,                 38145,                131859,,                   -185,                   -185,                102042,,,                 10271,,                -14847,,                 13972,                  9396,                111438,,                 18311,                 93127,                 93127,,,                 -3349,                     10,                   -569,                 -2770,                 -2770,                 90357,,                 93127,,                 90357,,                              1.22,                              1.22,,                              1.22,                              1.22,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
1521,2015年第1季,,              1610395,,              1303672,                306723,                    695,                  2938,                308966,,,                 54210,,                 38845,,                 35720,                128775,,,                              0,                180191,,,                 10226,,                 -3450,,                 17357,                 24133,                204324,,                 33928,                170396,                170396,,,                 -9734,,                 -1655,                 -8079,                 -8079,                162317,,                170396,,                162317,,                              2.24,                              2.24,,                              2.23,                              2.23,,,,,,,,,,,,,,,,,,,,
1521,2015年01月01日至2015年09月30日,,              4300776,,              3550206,                750570,                  1113,                  8884,                758341,,,                162172,,                111568,,                112379,                386119,,                   -462,                   -462,                371760,,,                 30618,,                  3634,,                 34049,                 68301,                440061,,                 67722,                372339,                372339,,,                 -4501,                              0,                   -765,                 -3736,                 -3736,                368603,,                372339,,                368603,,                              4.88,                              4.88,,                              4.88,                              4.88,,,,,,,,,,,,,,,,,,,,
1521,2015年01月01日至2015年06月30日,,              2951442,,              2414557,                536885,                  1056,                  7223,                543052,,,                111877,,                 74892,,                 73865,                260634,,                   -185,                   -185,                282233,,,                 20497,,                -18297,,                 31329,                 33529,                315762,,                 52239,                263523,                263523,,,                -13083,                     10,                 -2224,                -10849,                -10849,                252674,,                263523,,                252674,,                              3.46,                              3.46,,                              3.45,                              3.45,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
1521,2014年第3季,,              1253677,,              1042561,                211116,                  4478,                    570,                207208,,,                 44334,,                 32583,,                 36484,                113401,,                              0,                              0,                 93807,,,                  6735,,                  6860,,                  2158,                 15753,                109560,,                 18625,                 90935,                 90935,,,                  6196,                              0,                  1053,                  5143,                  5143,                 96078,,                 90935,,                 96078,,                              1.19,                              1.19,,                              1.19,                              1.19,,,,,,,,,,,,,,,,,,,,
1521,2014年第2季,,              1224457,,              1000346,                224111,                    333,                    521,                224299,,,                 48301,,                 35048,,                 40567,                123916,,                     -6,                     -6,                100377,,,                  8134,,                 -7772,,                  8109,                  8471,                108848,,                 16793,                 92055,                 92055,,,                 -6809,                              0,                 -1153,                 -5656,                 -5656,                 86399,,                 92055,,                 86399,,                              1.21,                              1.21,,                              1.21,                              1.21,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
1521,2014年第1季,,              1170798,,                939057,                231741,                  3329,                    507,                228919,,,                 47966,,                 37532,,                 34385,                119883,,,                   -143,                108893,,,                 11549,,                 -2022,,                  9436,                 18963,                127856,,                 25651,                102205,                102205,,,                  1892,,                    317,                  1575,                  1575,                103780,,                102205,,                103780,,                              1.34,                              1.34,,                              1.34,                              1.34,,,,,,,,,,,,,,,,,,,,
1521,2014年度,,              4962422,,              4061688,                900734,                 11915,                  2198,                891017,,,                200757,,                140954,,                159484,                501195,,                   -561,                   -561,                389261,,,                 33886,,                  5711,,                 24538,                 64135,                453396,,                 79943,                373453,                373453,,,,,,,                    368,                373821,,                373453,,                373821,,                              4.90,                              4.90,,                              4.89,                              4.89,,,,,,,,,,,,                 33886,                 17142,                -16714,                     60,,,,,
1521,2014年01月01日至2014年09月30日,,              3648932,,              2981964,                666968,                  8140,                  1598,                660426,,,                140601,,                105163,,                111436,                357200,,                   -149,                   -149,                303077,,,                 26427,,                 -2943,,                 19703,                 43187,                346264,,                 61069,                285195,                285195,,,                  1279,                              0,                    217,                  1062,                  1062,                286257,,                285195,,                286257,,                              3.74,                              3.74,,                              3.74,                              3.74,,,,,,,,,,,,,,,,,,,,
1521,2014年01月01日至2014年06月30日,,              2395255,,              1939403,                455852,                  3662,                  1028,                453218,,,                 96267,,                 72580,,                 74952,                243799,,                   -149,                   -149,                209270,,,                 19692,,                 -9803,,                 17545,                 27434,                236704,,                 42444,                194260,                194260,,,                 -4917,                              0,                   -836,                 -4081,                 -4081,                190179,,                194260,,                190179,,                              2.55,                              2.55,,                              2.55,                              2.55,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
1521,2014年01月01日至2014年03月31日,,              1170798,,                938770,                232028,                  3329,                    507,                229206,,,                 47966,,                 37409,,                 34385,                119760,,,                   -143,                109303,,,                 11558,,                 -2031,,                  9436,                 18963,                128266,,                 25721,                102545,                102545,,,,,,,                  1575,                104120,,                102545,,                104120,,                              1.35,                              1.35,,                              1.34,                              1.34,,,,,,,,,,,,,                  1892,,                    317,,,                              0,,
1521,2013年第3季,,              1054204,,                885049,                169155,                  2262,                    524,                167417,,,                 30701,,                 30600,,                 36025,                 97326,,                    -14,                    -14,                 70077,,,                 10063,,                 -4638,,                 12850,                 18275,                 88352,,                 13777,                 74575,                 74575,,,,,,,                 -2486,                 72089,,                 74575,,                 72089,,                              0.98,                              0.98,,                              0.98,                              0.98,,,,,,,,,,,,                 10063,                 -2927,,                   -499,                    -58,,,,
1521,2013年第2季,,                902413,,                752471,                149942,                  3350,                    456,                147048,,,                 32179,,                 29739,,                 29323,                 91241,,                   -131,                   -131,                 55676,,,                  8960,,                 -5762,,                 14719,                 17917,                 73593,,                 11999,                 61594,                 61594,,,,,,,                  5047,                 66641,,                 61594,,                 66641,,                              0.81,                              0.81,,                              0.81,                              0.81,,,,,,,,,,,,                  8960,                  6021,,                  1025,                     51,,,,
1521,2013年度,,              4203616,,              3526623,                676993,                  5684,                  2011,                673320,,,                140189,,                131831,,                130943,                402963,,                   -222,                   -222,                270135,,,                 45195,,                 -7774,,                 59750,                 97171,                367306,,                 60926,                306380,                306380,,,,,,,                -12940,                293440,,                306380,,                293440,,                              4.02,                              4.02,,                              4.02,                              4.02,,,,,,,,,,,,                 45195,                 16840,                -32437,                 -2657,,,,,
1521,2013年07月01日至2013年09月30日,,              1054204,,                885049,                169155,                  2262,                    524,                167417,,,                 30701,,                 30600,,                 36025,                 97326,,                    -14,                    -14,                 70077,,,                 10063,,                 -4638,,                 12850,                 18275,                 88352,,                 13777,                 74575,                 74575,,,,,,,                 -2486,                 72089,,                 74575,,                 72089,,                              0.98,                              0.98,,                              0.98,                              0.98,,,,,,,,,,,,                 10063,                 -2927,,                   -499,                    -58,,,                              0.00,
1521,2013年04月01日至2013年06月30日,,                902413,,                752471,                149942,                  3350,                    456,                147048,,,                 32179,,                 29739,,                 29323,                 91241,,                   -131,                   -131,                 55676,,,                  8960,,                 -5762,,                 14719,                 17917,                 73593,,                 11999,                 61594,                 61594,,,,,,,                  5047,                 66641,,                 61594,,                 66641,,                              0.81,                              0.81,,                              0.81,                              0.81,,,,,,,,,,,,                  8960,                  6021,,                  1025,                     51,,                              0,,
1521,2013年01月01日至2013年12月31日,,              4203616,,              3526623,                676993,                  5684,                  2011,                673320,,,                140189,,                131831,,                130943,                402963,,                   -222,                   -222,                270135,,,                 45195,,                 -7774,,                 59750,                 97171,                367306,,                 60926,                306380,                306380,,,,,,,                -12940,                293440,,                306380,,                293440,,                              4.02,                              4.02,,                              4.02,                              4.02,,,,,,,,,,,,                 45195,                 16840,                -32437,                 -2657,,,,,
1521,2013年01月01日至2013年09月30日,,              2916414,,              2465457,                450957,                  5675,                  1494,                446776,,,                 99515,,                 93431,,                 93506,                286452,,                   -145,                   -145,                160179,,,                 29517,,                 -5101,,                 42862,                 67278,                227457,,                 36909,                190548,                190548,,,,,,,                  9529,                200077,,                190548,,                200077,,                              2.50,                              2.50,,                              2.50,                              2.50,,,,,,,,,,,,                 29517,                 11482,,                  1946,                     -7,,,                              0.00,
1521,2013年01月01日至2013年06月30日,,              1862210,,              1580408,                281802,                  3413,                    970,                279359,,,                 68814,,                 62831,,                 57481,                189126,,                   -131,                   -131,                 90102,,,                 19454,,                   -463,,                 30012,                 49003,                139105,,                 23132,                115973,                115973,,,,,,,                 12015,                127988,,                115973,,                127988,,                              1.52,                              1.52,,                              1.52,                              1.52,,,,,,,,,,,,                 19454,                 14409,,                  2445,                     51,,,,
1521,2013年01月01日至2013年03月31日,,                959797,,                827937,                131860,                     63,                    514,                132311,,,                 36635,,                 33092,,                 28158,                 97885,,,                              0,                 34426,,,                 10494,,                  5299,,                 15293,                 31086,                 65512,,                 11133,                 54379,                 54379,,,,,,,                  6968,                 61347,,                 54379,,                 61347,,                              0.71,                              0.71,,                              0.71,                              0.71,,,,,,,,,,,,,                  8388,,                  1420,,,                              0,,                              0
1521,2012年07月01日至2012年09月30日,,                956341,,                808852,                147489,                    595,                    525,                147419,,,                 32365,,                 29903,,                 27900,                 90168,,                              0,                              0,                 57251,,,                 10588,,                 -5291,,                 -3431,                  1866,                 59117,,                  9779,                 49338,                 49338,,,,,,,                 -4752,                 44586,,                 49338,,                 44586,,                              0.65,                              0.65,,                              0.65,                              0.65,,,,,,,,,,,,                 10588,                 -5725,,                   -973,                              0,,,                              0.00,
1521,2012年04月01日至2012年06月30日,,              1133420,,                954688,                178732,                  3749,                    573,                175556,,,                 39174,,                 35294,,                 27195,                101663,,                              0,                              0,                 73893,,,                 20668,,                  7626,,                  4452,                 32746,                106639,,                 17737,                 88902,                 88902,,,,,,,                  1612,                 90514,,                 88902,,                 90514,,                              1.16,                              1.16,,                              1.16,                              1.16,,,,,,,,,,,,                 20668,                  1942,,                    330,                              0,,                              0,,
1521,2012年01月01日至2012年12月31日,,              4220200,,              3554367,                665833,                  5489,                  2131,                662475,,,                148114,,                126220,,                113154,                387488,,                    -41,                    -41,                274946,,,                 52743,,                -26204,,                 28809,                 55348,                330294,,                 44427,                285867,                285867,,,,,,,                -25899,                259968,,                285867,,                259968,,                              3.75,                              3.75,,                              3.75,                              3.75,,,,,,,,,,,,                 52743,                -10433,                -20764,                 -5298,,,,,
