證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
4746,2015年第3季,,                712904,,                514817,                198087,                198087,,,                 38590,,                 33690,,                 41578,                113858,                 84229,,,                  1818,,                 58660,,                  9087,,                   -113,                 51278,                135507,,                 21797,                113710,                113710,,,                     72,                 13800,                     11,                 13861,                 13861,                127571,,                113710,,                127571,,                              1.34,                              1.34,,                              1.24,                              1.24,,,,
4746,2015年第2季,,                485082,,                335219,                149863,                149863,,,                 25108,,                 28439,,                 54589,                108136,                 41727,,,                  3509,,                -13040,,                  7476,,                   -117,                -17124,                 24603,,                  7974,                 16629,                 16629,,,                    -26,                -26730,                     -4,                -26752,                -26752,                -10123,,                 16629,,                -10123,,                              0.20,                              0.20,,                              0.19,                              0.19,,,,
4746,2015年01月01日至2015年09月30日,,              1726117,,              1195206,                530911,                530911,,,                 95671,,                 96656,,                143560,                335887,                195024,,,                  5773,,                 33774,,                 24022,,                   -391,                 15134,                210158,,                 38259,                171899,                171899,,,                     27,                -74437,                      4,                -74414,                -74414,                 97485,,                171899,,                 97485,,                              2.02,                              2.02,,                              1.91,                              1.91,,,,
4746,2015年01月01日至2015年06月30日,,              1013213,,                680389,                332824,                332824,,,                 57081,,                 62966,,                101982,                222029,                110795,,,                  3955,,                -24886,,                 14935,,                   -278,                -36144,                 74651,,                 16462,                 58189,                 58189,,,                    -45,                -88237,                     -7,                -88275,                -88275,                -30086,,                 58189,,                -30086,,                              0.69,                              0.69,,                              0.67,                              0.67,,,,
4746,2015年01月01日至2015年03月31日,,                528131,,                345170,                182961,                182961,,,                 31973,,                 34527,,                 47393,                113893,                 69068,,,                    446,,                -11846,,                  7459,,                   -161,                -19020,                 50048,,                  8488,                 41560,                 41560,,,                    -19,                -61507,                     -3,                -61523,                -61523,                -19963,,                 41560,,                -19963,,                              0.49,                              0.49,,                              0.47,                              0.47,,,,
4746,2014年第3季,,                575940,,                363575,                212365,                212365,,,                 38511,,                 30482,,                 46325,                115318,                 97047,,,                  4307,,                 12061,,                  6377,,                     -3,                  9988,                107035,,                 17749,                 89286,                 89286,,,                     51,                 66689,                      9,                 66731,                 66731,                156017,,                 89286,,                156017,,                              1.06,                              1.06,,                              1.03,                              1.03,,,,
4746,2014年第2季,,                785958,,                584948,                201010,                201010,,,                 32665,,                 30275,,                 45621,                108561,                 92449,,,                 -2403,,                -13118,,                  5624,,                   -100,                -21245,                 71204,,                 12447,                 58757,                 58757,,,                    -40,                 11472,                     -7,                 11439,                 11439,                 70196,,                 58757,,                 70196,,                              0.70,                              0.70,,                              0.68,                              0.68,,,,
4746,2014年度,,              2496224,,              1809538,                686686,                686686,,,                118005,,                115177,,                179557,                412739,                273947,,,                 11650,,                 48465,,                 24059,,                   -159,                 35897,                309844,,                 47349,                262495,                262495,,,,,,,                221905,                484400,,                262495,,                484400,,                              3.11,                              3.11,,                              2.98,                              2.98,                     63,                222684,                 -1001,                   -159
4746,2014年01月01日至2014年09月30日,,              1970683,,              1410721,                559962,                559962,,,                104140,,                 86262,,                131416,                321818,                238144,,,                  5107,,                 18599,,                 16433,,                    -21,                  7252,                245396,,                 41544,                203852,                203852,,,                     -1,                 77868,                              0,                 77867,                 77867,                281719,,                203852,,                281719,,                              2.42,                              2.42,,                              2.33,                              2.33,,,,
4746,2014年01月01日至2014年06月30日,,              1394743,,              1047146,                347597,                347597,,,                 65629,,                 55780,,                 85091,                206500,                141097,,,                    800,,                  6538,,                 10056,,                    -18,                 -2736,                138361,,                 23795,                114566,                114566,,,                    -52,                 11179,                     -9,                 11136,                 11136,                125702,,                114566,,                125702,,                              1.36,                              1.36,,                              1.32,                              1.32,,,,
4746,2014年01月01日至2014年03月31日,,                608785,,                462198,                146587,                146587,,,                 32964,,                 25505,,                 39470,                 97939,                 48648,,,                  3203,,                 19656,,                  4432,,                     82,                 18509,                 67157,,                 11348,                 55809,                 55809,,,                    -12,                   -293,                     -2,                   -303,                   -303,                 55506,,                 55809,,                 55506,,                              0.66,                              0.66,,                              0.65,                              0.65,,,,
4746,2013年第3季,,                718052,,                553772,                164280,                164280,,,                 28070,,                 28458,,                 57247,                113775,                 50505,,,                  6300,,                 -7563,,                  7371,,                   -188,                 -8822,                 41683,,                 -2760,                 44443,                 44443,,,,,,,                 -2864,                 41579,,                 44443,,                 41579,,                              0.63,                              0.63,,                              0.58,                              0.58,                    -29,                 -2840,,                     -5
4746,2013年第2季,,                778550,,                666183,                112367,                112367,,,                 30374,,                 29488,,                 46305,                106167,                  6200,,,                    143,,                  7282,,                  6457,,                   -106,                    862,                  7062,,                  4942,                  2120,                  2120,,,,,,,                     37,                  2157,,                  2120,,                  2157,,                              0.03,                              0.03,,                              0.03,                              0.03,                     45,                              0,,                      8
4746,2013年度,,              2473633,,              2134318,                339315,                339315,,,                110046,,                110031,,                194284,                414361,                -75046,,,                 10652,,                 32908,,                 26515,,                   -387,                 16658,                -58388,,                 11013,                -69401,                -69401,,,,,,,                 97983,                 28582,,                -69401,,                 28582,,                             -0.97,                             -0.97,,                             -0.97,                             -0.97,                    130,                 99040,                 -1403,                   -216
4746,2013年07月01日至2013年09月30日,,                718052,,                553772,                164280,                164280,,,                 28070,,                 28458,,                 57247,                113775,                 50505,,,                  6300,,                 -7563,,                  7371,,                   -188,                 -8822,                 41683,,                 -2760,                 44443,                 44443,,,,,,,                 -2864,                 41579,,                 44443,,                 41579,,                              0.63,                              0.63,,                              0.58,                              0.58,                    -29,                 -2840,,                     -5
