證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 金融資產（負債）出售淨利益,　　　 投資收入（投資公司適用）合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 金融資產（負債）出售淨損失,　　　 投資支出（投資公司適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 其他綜合損益,　　　 利息費用
1235,2015年第3季,,,                 30546,,                   -510,                   -510,                 30036,,,                 25785,,                    893,                    893,                 26678,                  3358,                  3358,,,                    751,,                  2414,,                    158,                  3323,                     35,,,                 30282,,                  2175,,                  4721,,                 28199,                 55935,                 55970,,                     39,                 55931,                 55931,,,                     34,                 54627,,                  7839,                  7839,                      6,                 62494,                 62494,                118425,,                 55931,                              0,,                118425,                              0,,                              0.95,,                              0.95,,,,,,,,,,,,,,,,,,,,,
1235,2015年第2季,,,                 26563,,                              0,                              0,                 26563,,,                 22932,,,,                 22932,                  3631,                  3631,,,                  1308,,                  7386,,                    179,                  8873,                 -5242,,,                  2064,,                 -9926,,                  4608,,                -14395,                -26865,                -32107,,                     48,                -32155,                -32155,,,                     -7,                -56872,,                -10784,                -10784,                     -1,                -67662,                -67662,                -99817,,                -32155,                              0,,                -99817,                              0,,                             -0.55,,                             -0.55,,,,,,,,,,,,,,,,,,,,,
1235,2015年01月01日至2015年09月30日,,,                 78929,,                              0,                              0,                 78929,,,                 70408,,                    893,                    893,                 71301,                  7628,                  7628,,,                  2415,,                 14124,,                    522,                 17061,                 -9433,,,                 34189,,                 -2994,,                 14933,,                 16986,                 33248,                 23815,,                    231,                 23584,                 23584,,,                     21,                 18473,,                 -1403,                 -1403,                      4,                 17087,                 17087,                 40671,,                 23584,                              0,,                 40671,                              0,,                              0.40,,                              0.40,,,,,,,,,,,,,,,,,,,,,
1235,2015年01月01日至2015年06月30日,,,                 48383,,                    510,                    510,                 48893,,,                 44623,,,,                 44623,                  4270,                  4270,,,                  1664,,                 11710,,                    364,                 13738,                 -9468,,,                  3907,,                 -5169,,                 10212,,                -11213,                -22687,                -32155,,                    192,                -32347,                -32347,,,                    -13,                -36154,,                 -9242,                 -9242,                     -2,                -45407,                -45407,                -77754,,                -32347,                              0,,                -77754,                              0,,                             -0.55,,                             -0.55,,,,,,,,,,,,,,,,,,,,,
1235,2015年01月01日至2015年03月31日,,,                 21820,,                    510,                    510,                 22330,,,                 21691,,,,                 21691,                    639,                    639,,,                    356,,                  4324,,                    185,                  4865,                 -4226,,,                  1843,,                  4757,,                  5604,,                  3182,                  4178,                    -48,,                    144,                   -192,                   -192,,,                     -6,                 20718,,                  1542,                  1542,                     -1,                 22255,                 22255,                 22063,,                   -192,                              0,,                 22063,                              0,,                              0.00,,                              0.00,,,,,,,,,,,,,,,,,,,,,
1235,2014年第3季,,,                 44157,,                    539,                    539,                 44696,,,                 42958,,                              0,                              0,                 42958,                  1738,                  1738,,,                    296,,                 12139,,                    129,                 12564,                -10826,,,                 18050,,                    825,,                  4046,,                 69781,                 84610,                 73784,,                    779,                 73005,                 73005,,,                     46,                282016,,                 39236,                 39236,                      8,                321290,                321290,                394295,,                 73105,                   -100,,                394395,                   -100,,                              1.25,,                              1.25,,,,,,,,,,,,,,,,,,,,,
1235,2014年第2季,,,                 62830,,                    410,                    410,                 63240,,,                 58357,,,,                 58357,                  4883,                  4883,,,                    358,,                  6529,,                    157,                  7044,                 -2161,,,                  3480,,                 18253,,                  3803,,                 20115,                 38045,                 35884,,                    113,                 35771,                 35771,,,                    -57,                119373,,                 25766,                 25766,                    -10,                145092,                145092,                180863,,                 35868,                    -97,,                180960,                    -97,,                              0.61,,                              0.61,,,,,,,,,,,,,,,,,,,,,
1235,2014年度,,,                171059,,                  1037,                  1037,                172096,,,                162140,,                              0,                              0,                162140,                  9956,                  9956,,,                  3174,,                 47634,,                    588,                 51396,                -41440,,,                 31569,,                  6380,,                 18534,,                 72484,                 91899,                 50459,,                   -990,                 51449,                 51449,,,,,,,,,,                334799,                386248,,                 52341,                   -892,,                387140,                   -892,,                              0.97,,                              0.97,,                171059,                171059,                162140,,                              0,,                              0,                    107,                288624,                 -4949,,                 51035,                 51035,                     18,                              0.97,                              0.97,,,,
1235,2014年01月01日至2014年09月30日,,,                144568,,                  1037,                  1037,                145605,,,                136611,,                              0,                              0,                136611,                  8994,                  8994,,,                  1103,,                 24328,,                    438,                 25869,                -16875,,,                 28442,,                 25598,,                 11502,,                111669,                154207,                137332,,                    844,                136488,                136488,,,                     52,                497958,,                 87768,                 87768,                      9,                585769,                585769,                722257,,                136785,                   -297,,                722554,                   -297,,                              2.34,,                              2.34,,,,,,,,,,,,,,,,,,,,,
1235,2014年01月01日至2014年06月30日,,,                100411,,                    498,                    498,                100909,,,                 93653,,,,                 93653,                  7256,                  7256,,,                    807,,                 12189,,                    309,                 13305,                 -6049,,,                 10392,,                 24773,,                  7456,,                 41888,                 69597,                 63548,,                     65,                 63483,                 63483,,,                      6,                215942,,                 48532,                 48532,                      1,                264479,                264479,                327962,,                 63680,                   -197,,                328159,                   -197,,                              1.09,,                              1.09,,,,,,,,,,,,,,,,,,,,,
