證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 什項支出
4938,2015年第3季,,,,            311841605,              2303924,            309537681,            309537681,,            288668048,             20869633,                              0,                              0,             20869633,,,              2398569,,              2791878,,              3861296,              9051743,             11817890,,,                589084,,             -1487297,,                269157,,                -19092,             -1186462,             10631428,,              3119065,              7512363,              7512363,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,              3955573,               -276477,                -67661,              3746757,              3746757,             11259120,,              6013775,              1498588,,              9217876,              2041244,,                              2.31,                              2.31,,                              2.28,                              2.28,,,,,
4938,2015年第2季,,,,            218640407,                711661,            217928746,            217928746,,            204024452,             13904294,                              0,                              0,             13904294,,,              2207903,,              2570238,,              3387711,              8165852,              5738442,,,              1222956,,                535057,,                212552,,                -10654,              1534807,              7273249,,              1542616,              5730633,              5730633,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,             -1314776,               -169061,                 11402,             -1495239,             -1495239,              4235394,,              4655693,              1074940,,              3551273,                684121,,                              1.82,                              1.82,,                              1.80,                              1.80,,,,,
4938,2015年01月01日至2015年09月30日,,,,            805241655,              3512652,            801729003,            801729003,,            749879922,             51849081,                              0,                              0,             51849081,,,              6925366,,              7909817,,             10566414,             25401597,             26447484,,,              2499600,,             -1047703,,                614683,,                -43001,                794213,             27241697,,              6781921,             20459776,             20459776,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                855830,               -128062,                -53566,                781334,                781334,             21241110,,             16997338,              3462438,,             17751088,              3490022,,                              6.60,                              6.60,,                              6.53,                              6.53,,,,,
4938,2015年01月01日至2015年06月30日,,,,            493400050,              1208728,            492191322,            492191322,,            461211874,             30979448,                              0,                              0,             30979448,,,              4526797,,              5117939,,              6705118,             16349854,             14629594,,,              1954186,,                395924,,                345526,,                -23909,              1980675,             16610269,,              3662856,             12947413,             12947413,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,             -3099743,                148415,                 14095,             -2965423,             -2965423,              9981990,,             10983563,              1963850,,              8533212,              1448778,,                              4.29,                              4.29,,                              4.25,                              4.25,,,,,
4938,2015年01月01日至2015年03月31日,,,,            274759643,                497067,            274262576,            274262576,,            257187422,             17075154,                              0,                              0,             17075154,,,              2318894,,              2547701,,              3317407,              8184002,              8891152,,,                731230,,               -139133,,                132974,,                -13255,                445868,              9337020,,              2120240,              7216780,              7216780,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,             -1784967,                317476,                  2693,             -1470184,             -1470184,              5746596,,              6327870,                888910,,              4981939,                764657,,                              2.48,                              2.48,,                              2.46,                              2.46,,,,,
4938,2014年第3季,,,,            237159951,                456665,            236703286,            236703286,,            221482685,             15220601,                              0,                              0,             15220601,,,              2049126,,              2873550,,              3229535,              8152211,              7068390,,,                722604,,                547472,,                257931,,                -54281,                957864,              8026254,,              1846613,              6179641,              6179641,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,              1840670,                676197,                 -1450,              2518317,              2518317,              8697958,,              4747657,              1431984,,              6280907,              2417051,,                              2.03,                              2.03,,                              1.96,                              1.96,,,,,
4938,2014年第2季,,,,            212822983,                470625,            212352358,            212352358,,            199349523,             13002835,                              0,                              0,             13002835,,,              2085666,,              2459983,,              2752957,              7298606,              5704229,,,                696336,,             -2358321,,                321734,,                -49088,             -2032807,              3671422,,              1187949,              2483473,              2483473,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,             -2224932,                167634,                 -9012,             -2048286,             -2048286,                435187,,              1498392,                985081,,               -156028,                591215,,                              0.65,                              0.65,,                              0.64,                              0.64,,,,,
4938,2014年度,,,,          1022705728,              2966895,          1019738833,          1019738833,,            960283391,             59455442,                              0,                              0,             59455442,,,              8534908,,             10264751,,             12335198,             31134857,             28320585,,,              3038901,,             -3686996,,              1090080,,               -320323,             -2058498,             26262087,,              7334474,             18927613,             18927613,,,,,,,,,,,,,,,,,,              6256340,             25183953,,             14658138,              4269475,,             19604022,              5579931,,,                              6.24,,,                              6.17,              5802814,                397057,                 39077,                -17392,
4938,2014年01月01日至2014年09月30日,,,,            669688601,              1896105,            667792496,            667792496,,            628271592,             39520904,                              0,                              0,             39520904,,,              5327632,,              7528272,,              8825847,             21681751,             17839153,,,              2145320,,             -2697815,,                956001,,               -170634,             -1679130,             16160023,,              4010445,             12149578,             12149578,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,              1221594,                960029,                 -3045,              2184668,              2184668,             14334246,,              8977549,              3172029,,             10254295,              4079951,,                              3.86,                              3.86,,                              3.82,                              3.82,,,,,
4938,2014年01月01日至2014年06月30日,,,,            432528650,              1439440,            431089210,            431089210,,            406788907,             24300303,                              0,                              0,             24300303,,,              3278506,,              4654722,,              5596312,             13529540,             10770763,,,              1563712,,             -3386283,,                698070,,               -116353,             -2636994,              8133769,,              2163832,              5969937,              5969937,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,               -619076,                283832,                 -1595,               -333649,               -333649,              5636288,,              4229892,              1740045,,              3973388,              1662900,,                              1.82,                              1.82,,                              1.81,                              1.81,,,,,
