證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備損失,　　　 利息費用,　　 銷貨成本,　　　 銷貨成本合計,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 權益工具投資之利益（損失）
3013,2015年第3季,,,,                809214,                809214,                809214,                809214,,                686656,                122558,                122558,,,                 30019,,                 44411,,                 11945,                 86375,                 36183,,,,                    103,                  3122,                    495,                  3720,,                 54407,                  5863,                 48544,,                  3064,                 49200,                 85383,,                 14515,                 70868,                 70868,,,                              0,                  2354,                              0,                  2354,                  2354,                 73222,,                 70868,,                 73222,,                              0.40,,                              0.40,,,,,,,,,,,,
3013,2015年第2季,,,,,,,                849178,,                753603,                 95575,                 95575,,,                 25495,,                 28896,,                 10282,                 64673,                 30902,,,,                    523,                  3216,                    127,                  3866,,                 -3408,,                 -3408,,                  2953,                 -2495,                 28407,,                 15290,                 13117,                 13117,,,                              0,                   -414,                              0,                   -414,                   -414,                 12703,,                 13117,,                 12703,,                              0.07,,,                              0,                  2953,,,,,,,,,,
3013,2015年01月01日至2015年09月30日,,,,              2369255,              2369255,              2369255,              2369255,,              2100661,                268594,                268594,,,                 80790,,                104333,,                 32822,                217945,                 50649,,,,                    738,                  9533,                    784,                 11055,,                 52855,                  7094,                 45761,,                  8650,                 48166,                 98815,,                 27259,                 71556,                 71556,,,                              0,                  2021,                              0,                  2021,                  2021,                 73577,,                 71556,,                 73577,,                              0.40,,                              0.40,,,,,,,,,,,,
3013,2015年01月01日至2015年06月30日,,,,,,,              1560041,,              1414005,                146036,                146036,,,                 50771,,                 59922,,                 20877,                131570,                 14466,,,,                    635,                  6411,                    289,                  7335,,                 -1552,,                 -2783,,                  5586,                 -1034,                 13432,,                 12744,                    688,                    688,,,                              0,                   -333,                              0,                   -333,                   -333,                    355,,                    688,,                    355,,                              0.00,,,                  1231,                  5586,,,,,,,,,,
3013,2015年01月01日至2015年03月31日,,,,,,,                710863,,                660402,                 50461,                 50461,,,                 25276,,                 31026,,                 10595,                 66897,                -16436,,,,                    112,                  3195,                    162,                  3469,,                  1856,                  1231,                    625,,                  2633,                  1461,                -14975,,                 -2546,                -12429,                -12429,,,                              0,                     81,                              0,                     81,                     81,                -12348,,                -12429,,                -12348,,                             -0.07,,,,,,                660402,,,,,,,,
3013,2014年第3季,,,,                729684,                729684,                729684,                729684,,                689994,                 39690,                 39690,,,                 30157,,                 36640,,                 13844,                 80641,                -40951,,,,                    372,                  3145,                  2259,                  5776,,                 16755,                    982,                 15773,,                  4196,                 17353,                -23598,,                   -383,                -23215,                -23215,,,                    972,                   -189,                    165,                    618,                    618,                -22597,,                -23215,,                -22597,,                             -0.13,,                             -0.13,,,,,,,,,,,,
3013,2014年第2季,,,,,,,                739736,,                692299,                 47437,                 47437,,,                 27905,,                 44588,,                 10997,                 83490,                -36053,,,,                    626,                  3093,                  4601,                  8320,,                 -2915,,                 -4963,,                  4373,                 -1016,                -37069,,                 -5893,                -31176,                -31176,,,                 -1113,                  1764,                   -189,                    840,                    840,                -30336,,                -31176,,                -30336,,                             -0.17,,,                  2048,                  4373,,,,,,,,,,
3013,2014年度,,,,,,,              3017695,,              2766566,                251129,                251129,,,                113752,,                151830,,                 44032,                309614,                -58485,,,,                  1978,                 12534,                177611,                192123,,                 53906,                  5291,                 48615,,                 16856,                223882,                165397,,                 35345,                130052,                130052,,,,,,,                 14783,                144835,,                130052,,                144835,,                              0.72,,,,                 16856,,,,                              0,                              0,                 11735,                  5257,                   -246,                  1963,
3013,2014年01月01日至2014年09月30日,,,,              2181063,              2181063,              2181063,              2181063,,              2007263,                173800,                173800,,,                 85283,,                115465,,                 33612,                234360,                -60560,,,,                  1411,                  9341,                  7937,                 18689,,                 36459,                  3198,                 33261,,                 13032,                 38918,                -21642,,                    358,                -22000,                -22000,,,                   -666,                  2769,                   -113,                  2216,                  2216,                -19784,,                -22000,,                -19784,,                             -0.12,,                             -0.12,,,,,,,,,,,,
3013,2014年01月01日至2014年06月30日,,,,,,,              1451379,,              1317269,                134110,                134110,,,                 55126,,                 78825,,                 19768,                153719,                -19609,,,,                  1039,                  6196,                  5678,                 12913,,                 19704,,                 17488,,                  8836,                 21565,                  1956,,                    741,                  1215,                  1215,,,                 -1638,                  2958,                   -278,                  1598,                  1598,                  2813,,                  1215,,                  2813,,                              0.01,,,                  2216,                  8836,,,,,,,,,,
3013,2014年01月01日至2014年03月31日,,,,,,,                711643,,                624970,                 86673,                 86673,,,                 27221,,                 34237,,                  8771,                 70229,                 16444,,,,                    413,                  3103,                  1077,                  4593,,                 22619,                    168,                 22451,,                  4463,                 22581,                 39025,,                  6634,                 32391,                 32391,,,                   -525,                  1194,                    -89,                    758,                    758,                 33149,,                 32391,,                 33149,,                              0.18,,,,,,                624970,,,,,,,,
3013,2013年第3季,,,,                754750,                754750,                754750,                754750,,                560448,                194302,                194302,,,                 25308,,                 82942,,                 12570,                120820,                 73482,,,,                    401,                  3056,                  1424,                  4881,,                  4622,                  1864,                -15745,,                  4915,                -15779,                 57703,,                 12201,                 45502,                 45502,,,,,,,                 -3068,                 42434,,                 45502,,                 42434,,                              0.25,,,,,,,,                 18503,                 18503,                   -869,                 -2347,,                   -148,
3013,2013年第2季,,,,,,,                522556,,                435374,                 87182,                 87182,,,                 23849,,                 38075,,                  8060,                 69984,                 17198,,,,                    751,                  3065,                  7000,                 10816,,                  6462,,                 -4273,,                  4685,                  1858,                 19056,,                  2770,                 16286,                 16286,,,,,,,                 -2229,                 14057,,                 16286,,                 14057,,                              0.09,,,                 10735,                  4685,,,,,,                    358,,,                     61,                 -2526
3013,2013年度,,,,,,,              2671160,,              2127927,                543233,                543233,,,                105475,,                268186,,                 45475,                419136,                124097,,,,                  2402,                 12239,                 12839,                 27480,,                 38303,                 12474,                -13702,,                 19657,                 -5879,                118218,,                 22569,                 95649,                 95649,,,,,,,                 -4749,                 90900,,                 95649,,                 90900,,                              0.53,,,,                 19657,,,,                 39531,                 39531,                  1386,                 -6111,                    256,                    280,
3013,2013年07月01日至2013年09月30日,,,,,,,                754750,,                560448,                194302,                194302,,,                 25308,,                 82942,,                 12570,                120820,                 73482,,,,                    401,                  3056,                  1424,                  4881,,                  4622,                  1864,                -15745,,                  4915,                -15779,                 57703,,                 12201,                 45502,                 45502,,,,,,,                 -3068,                 42434,,                 45502,,                 42434,,                              0.25,,,,                  4915,,,,                 18503,                 18503,                   -869,,,                   -148,                 -2347
3013,2013年04月01日至2013年06月30日,,,,,,,                522556,,                398909,                123647,                123647,,,                 24025,,                 70767,,                 11657,                106449,                 17198,,,,                    751,                  3065,                  7000,                 10816,,                  6462,,                 -4273,,                  4685,                  1858,                 19056,,                  2770,                 16286,                 16286,,,,,,,                 -2229,                 14057,,                 16286,,                 14057,,                              0.09,,,                 10735,                  4685,,,,,,                    358,,,                     61,                 -2526
3013,2013年01月01日至2013年12月31日,,,,,,,              2671160,,              2127927,                543233,                543233,,,                105475,,                268186,,                 45475,                419136,                124097,,,,                  2402,                 12239,                 12839,                 27480,,                 38303,                 12474,                -13702,,                 19657,                 -5879,                118218,,                 22569,                 95649,                 95649,,,,,,,                 -4749,                 90900,,                 95649,,                 90900,,                              0.53,,,,                 19657,,,,                 39531,                 39531,                  1386,                 -6111,                    256,                    280,
3013,2013年01月01日至2013年09月30日,,,,              1797168,              1797168,              1797168,              1797168,,              1402314,                394854,                394854,,,                 72542,,                220164,,                 36369,                329075,                 65779,,,,                  1694,                  9170,                  9027,                 19891,,                 30506,                 12599,                   -596,,                 15315,                  3980,                 69759,,                 15172,                 54587,                 54587,,,,,,,                 -5343,                 49244,,                 54587,,                 49244,,                              0.30,,,,,,,,                 18503,                 18503,                    925,                 -6111,,                    157,
