證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2477,2015年第3季,,,,              1249271,              1249271,              1249271,,,              1016459,              1016459,              1016459,                232812,                232812,,,                 71129,,                 40317,,                 18666,                130112,                102700,,,                 51285,,                 42689,,                  1051,,                   -602,                 92321,                195021,,                 40399,                154622,                154622,,,                 88264,,                    -48,                    -48,                 17272,                 70944,                 70944,                225566,,                150477,                  4145,,                234803,                 -9237,,                              0.63,,                              0.63,,,,,,
2477,2015年第2季,,,,                940729,                940729,                940729,,,                803188,                803188,                803188,                137541,                137541,,,                 48268,,                 47932,,                 17403,                113603,                 23938,,,                   -763,,                 -5194,,                    796,,                   -900,                 -7653,                 16285,,                  3037,                 13248,                 13248,,,                -60246,,                    -39,                    -39,                 -7990,                -52295,                -52295,                -39047,,                 11945,                  1303,,                -27062,                -11985,,                              0.05,,                              0.05,,,,,,
2477,2015年01月01日至2015年09月30日,,,,              3021945,              3021945,              3021945,,,              2534288,              2534288,              2534288,                487657,                487657,,,                167334,,                134262,,                 52024,                353620,                134037,,,                108099,,                 18899,,                  8035,,                 -1669,                117294,                251331,,                 50286,                201045,                201045,,,                -49617,,                   -154,                   -154,                    512,                -50283,                -50283,                150762,,                196672,                  4373,,                199172,                -48410,,                              0.82,,                              0.82,,,,,,
2477,2015年01月01日至2015年06月30日,,,,              1772674,              1772674,              1772674,,,              1517829,              1517829,              1517829,                254845,                254845,,,                 96205,,                 93945,,                 33358,                223508,                 31337,,,                 56814,,                -23790,,                  6984,,                 -1067,                 24973,                 56310,,                  9887,                 46423,                 46423,,,               -137881,,                   -106,                   -106,                -16760,               -121227,               -121227,                -74804,,                 46195,                    228,,                -35631,                -39173,,                              0.19,,                              0.19,,,,,,
2477,2015年01月01日至2015年03月31日,,,,,                831945,                831945,,,                714641,                714641,                714641,                117304,                117304,,,                 47937,,                 46013,,                 15955,                109905,                  7399,,,                 57577,,                -18596,,                  6188,,                   -167,                 32626,                 40025,,                  6850,                 33175,                 33175,,,                -77635,,                    -67,                    -67,                 -8770,                -68932,                -68932,                -35757,,                 34250,                 -1075,,                 -8569,                -27188,,                              0.14,,                              0.14,,,,,,
2477,2014年第3季,,,,              1035588,              1035588,              1035588,,,                941505,                941505,                941505,                 94083,                 94083,,,                 42211,,                 47696,,                 15958,                105865,                -11782,,,                 39791,,               -154986,,                  1119,,                    -88,               -116402,               -128184,,                 12655,               -140839,               -140839,,,                 54387,,                   -834,                   -834,                  8795,                 44758,                 44758,                -96081,,                -94735,                -46104,,                -51793,                -44288,,                             -0.40,,                             -0.40,,,,,,
2477,2014年第2季,,,,                838269,                838269,                838269,,,                763139,                763139,                763139,                 75130,                 75130,,,                 67055,,                 54573,,                 17019,                138647,                -63517,,,                 35433,,                 -3057,,                    982,,                   -411,                 30983,                -32534,,                 10250,                -42784,                -42784,,,                -91394,,                    219,                    219,                -11773,                -79402,                -79402,               -122186,,                -47139,                  4355,,               -104621,                -17565,,                             -0.20,,                              0.00,,,,,,
2477,2014年度,,,,,              3753713,              3753713,,,              3429471,              3429471,              3429471,                324242,                324242,,,                239713,,                210572,,                 69359,                519644,               -195402,,,                139755,,               -162284,,                  4711,,                   -220,                -27460,               -222862,,                 -4585,               -218277,               -218277,,,,,,,,,                 78330,               -139947,,               -180595,                -37682,,               -101274,                -38673,,                             -0.76,,                              0.00,                 92994,                  2289,,                   -706,                   -706,                 16247
2477,2014年01月01日至2014年09月30日,,,,              2664820,              2664820,              2664820,,,              2406340,              2406340,              2406340,                258480,                258480,,,                160383,,                154780,,                 51286,                366449,               -107969,,,                112617,,               -167393,,                  3094,,                    932,                -56938,               -164907,,                 22300,               -187207,               -187207,,,                -20554,,                   -450,                   -450,                   -752,                -20252,                -20252,               -207459,,               -150714,                -36493,,               -154385,                -53074,,                             -0.63,,                             -0.63,,,,,,
2477,2014年01月01日至2014年06月30日,,,,              1629232,              1629232,              1629232,,,              1464835,              1464835,              1464835,                164397,                164397,,,                118172,,                107084,,                 35328,                260584,                -96187,,,                 72826,,                -12407,,                  1975,,                  1020,                 59464,                -36723,,                  9645,                -46368,                -46368,,,                -74941,,                    384,                    384,                 -9547,                -65010,                -65010,               -111378,,                -55979,                  9611,,               -102592,                 -8786,,                             -0.23,,                              0.00,,,,,,
