證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 其他費用,　　　 推銷費用合計,　　 管理費用,　　　 其他費用[duplicate]22,　　　 管理費用合計,　　 研究發展費用,　　　 其他費用[duplicate]25,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 停業單位損益,　　 停業單位損益合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 其他利息收入,　　　　 利息收入合計,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
6133,2015年第3季,,,,                299883,                299883,                    491,                    539,                298853,                298853,,,                235908,                235908,                235908,                 62945,                 62945,,,                 23275,                 23275,,                 21992,                 21992,,                 10122,                 10122,                 55389,                  7556,,,                  5638,                  5638,,                 29884,,                              0,                              0,                 35522,                 43078,,                  7320,                 35758,                 35758,,,                 30615,                 -2088,                 28527,                 28527,                 64285,,                 35758,,                 64285,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2015年第2季,,,,                317660,                317660,                  2063,                     67,                315530,                315530,,,                241454,                241454,                241454,                 74076,                 74076,,,                 24965,                 24965,,                 22434,                 22434,,                  9829,                  9829,                 57228,                 16848,,,                  5261,                  5261,,                 -7493,,                              0,                              0,                 -2232,                 14616,,                  6959,                  7657,                  7657,,,                -10590,                  3850,                 -6740,                 -6740,                    917,,                  7657,,                    917,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2015年01月01日至2015年09月30日,,,,                906323,                906323,                  3184,                    715,                902424,                902424,,,                709759,                709759,                709759,                192665,                192665,,,                 75249,                 75249,,                 68575,                 68575,,                 29789,                 29789,                173613,                 19052,,,                 16367,                 16367,,                 17404,,                              0,                              0,                 33771,                 52823,,                 13889,                 38934,                 38934,,,                 12752,                  4989,                 17741,                 17741,                 56675,,                 38934,,                 56675,,                              0.35,                              0.35,,                              0.34,                              0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2015年01月01日至2015年06月30日,,,,                606440,                606440,                  2693,                    176,                603571,                603571,,,                473851,                473851,                473851,                129720,                129720,,,                 51974,                 51974,,                 46583,                 46583,,                 19667,                 19667,                118224,                 11496,,,                 10729,                 10729,,                -12480,,                              0,                              0,                 -1751,                  9745,,                  6569,                  3176,                  3176,,,                -17863,                  7077,                -10786,                -10786,                 -7610,,                  3176,,                 -7610,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2015年01月01日至2015年03月31日,,,,,                288780,                    630,                    109,                288041,                288041,,,,,                232397,                 55644,                 55644,,,,                 27009,,,                 24149,,,                  9838,                 60996,                 -5352,,,,                  5468,,                 -4987,,,                              0,                    481,                 -4871,,                   -390,                 -4481,                 -4481,,,                 -7273,                  3227,                 -4046,                 -4046,                 -8527,,                 -4481,,                 -8527,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,
6133,2014年第3季,,,,                285875,                285875,                  1076,                     32,                284767,                284767,,,                228102,                228102,                228102,                 56665,                 56665,,,                 22220,                 22220,,                 24189,                 24189,,                  7296,                  7296,                 53705,                  2960,,,                  7116,                  7116,,                  4112,,                     10,                     10,                 11218,                 14178,,                  2150,                 12028,                 12028,,,                 15959,                 -5164,                 10795,                 10795,                 22823,,                 12028,,                 22823,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2014年第2季,,,,                287610,                287610,                  1962,                    114,                285534,                285534,,,                222513,                222513,                222513,                 63021,                 63021,,,                 26760,                 26760,,                 23488,                 23488,,                  7503,                  7503,                 57751,                  5270,,,                  5604,                  5604,,                 -9291,,                     52,                     52,                 -3739,                  1531,,                   -438,                  1969,                  1969,,,                -13668,                  1116,                -12552,                -12552,                -10583,,                  1969,,                -10583,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2014年度,,,,,              1190912,                  3884,                    214,              1186814,              1186814,,,,,                946604,                240210,                240210,,,,                102698,,,                 95784,,,                 30943,                229425,                 10785,,,,                 24620,,                 24259,,,                  1684,                 47195,                 57980,,                  9766,                 48214,                 48214,,,,,,                 37115,                 85329,,                 48214,,                 85329,,,                              0.46,,,                              0.44,,,,,,,,,,,,,,,,                 26043,                  2642,                 10156,                  1726,,,,,,,,,
6133,2014年01月01日至2014年09月30日,,,,                863637,                863637,                  3185,                    178,                860274,                860274,,,                681596,                681596,                681596,                178678,                178678,,,                 74565,                 74565,,                 72260,                 72260,,                 22857,                 22857,                169682,                  8996,,,                 17923,                 17923,,                  5397,,                  1661,                  1661,                 21659,                 30655,,                  4737,                 25918,                 25918,,,                  1743,                   -566,                  1177,                  1177,                 27095,,                 25918,,                 27095,,                              0.26,                              0.26,,                              0.25,                              0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2014年01月01日至2014年06月30日,,,,                577762,                577762,                  2109,                    146,                575507,                575507,,,                453494,                453494,                453494,                122013,                122013,,,                 52345,                 52345,,                 48071,                 48071,,                 15561,                 15561,                115977,                  6036,,,                 10807,                 10807,,                  1285,,                  1651,                  1651,                 10441,                 16477,,                  2587,                 13890,                 13890,,,                -14216,                  4598,                 -9618,                 -9618,                  4272,,                 13890,,                  4272,,                              0.15,                              0.15,,                              0.13,                              0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
