證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1904,2015年第3季,,             10937665,,              9165871,              1771794,              1771794,,,                743820,,                643176,,                 27348,              1414344,                357450,,,                 31875,,                -67583,,                117023,,                 25508,               -127223,                230227,,                 92670,                137557,                137557,,,                853757,                -30526,,                   -243,                106009,                716979,                716979,                854536,,                241090,               -103533,,                732168,                122368,,                              0.22,,                              0.22,,,,,,
1904,2015年第2季,,             10697020,,              8792503,              1904517,              1904517,,,                662044,,                552485,,                 26613,              1241142,                663375,,,                  6005,,               -301400,,                128660,,                  7861,               -416194,                247181,,                 95301,                151880,                151880,,,               -523502,                 14036,,                 -5306,                -66686,               -448086,               -448086,               -296206,,                176389,                -24509,,               -137641,               -158565,,                              0.16,,                              0.15,,,,,,
1904,2015年01月01日至2015年09月30日,,             32367624,,             26991532,              5376092,              5376092,,,              2067576,,              1800463,,                 80185,              3948224,              1427868,,,                480926,,               -378082,,                371381,,                 46914,               -221623,              1206245,,                298641,                907604,                907604,,,                253816,                  2179,,                  3270,                 31713,                227552,                227552,              1135156,,              1101376,               -193772,,              1257968,               -122812,,                              0.99,,                              0.99,,,,,,
1904,2015年01月01日至2015年06月30日,,             21429959,,             17825661,              3604298,              3604298,,,              1323756,,              1157287,,                 52837,              2533880,              1070418,,,                449051,,               -310499,,                254358,,                 21406,                -94400,                976018,,                205971,                770047,                770047,,,               -599941,                 32705,,                  3513,                -74296,               -489427,               -489427,                280620,,                860286,                -90239,,                525800,               -245180,,                              0.78,,                              0.77,,,,,,
1904,2015年01月01日至2015年03月31日,,             10732939,,              9033158,              1699781,              1699781,,,                661712,,                604802,,                 26224,              1292738,                407043,,,                443046,,                 -9099,,                125698,,                 13545,                321794,                728837,,                110670,                618167,                618167,,,                -76439,                 18669,,                  8819,                 -7610,                -41341,                -41341,                576826,,                683897,                -65730,,                663441,                -86615,,                              0.62,,                              0.62,,,,,,
1904,2014年第3季,,             11186385,,              9420349,              1766036,              1766036,,,              1003874,,                427270,,                 27432,              1458576,                307460,,,                 17613,,                -24208,,                116695,,                 31495,                -91795,                215665,,                 17273,                198392,                198392,,,                170526,                 -3494,,                 -1465,                 16780,                148787,                148787,                347179,,                320322,               -121930,,                402616,                -55437,,                              0.30,,                              0.30,,,,,,
1904,2014年第2季,,             10858102,,              8961586,              1896516,              1896516,,,                819403,,                565029,,                 28539,              1412971,                483545,,,                 14870,,                -85809,,                135259,,                 20059,               -186139,                297406,,                147892,                149514,                149514,,,               -465020,                 -6868,,                  1427,                -52563,               -417898,               -417898,               -268384,,                316578,               -167064,,                 47270,               -315654,,                              0.30,,                              0.30,,,,,,
1904,2014年度,,             44870316,,             37686138,              7184178,              7184178,,,              3543308,,              2224736,,                110229,              5878273,              1305905,,,                 75820,,               -337028,,                521562,,                 74333,               -708437,                597468,,                349847,                247621,                247621,,,,,,,,,                 77586,                325207,,                752408,               -504787,,                775898,               -450691,,                              0.70,,,                152398,                 -3840,                -56810,,                  3797,                 17959
1904,2014年01月01日至2014年09月30日,,             31888968,,             26753672,              5135296,              5135296,,,              2862007,,              1555806,,                 84155,              4501968,                633328,,,                 65245,,               -359082,,                389365,,                 67198,               -616004,                 17324,,                151645,               -134321,               -134321,,,               -272899,                    -50,,                  1122,                -34551,               -237276,               -237276,               -371597,,                425755,               -560076,,                255751,               -627348,,                              0.40,,                              0.40,,,,,,
1904,2014年01月01日至2014年06月30日,,             20702583,,             17333323,              3369260,              3369260,,,              1858133,,              1128536,,                 56723,              3043392,                325868,,,                 47632,,               -334874,,                272670,,                 35703,               -524209,               -198341,,                134372,               -332713,               -332713,,,               -443425,                  3444,,                  2587,                -51331,               -386063,               -386063,               -718776,,                105433,               -438146,,               -146865,               -571911,,                              0.10,,                              0.10,,,,,,
