證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　 停業單位損益,　　 停業單位損益合計,　　　 與可能重分類之項目相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 繼續營業單位淨利（淨損）,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 壞帳轉回利益,　　　　 不動產、廠房及設備減損損失,　　 停業單位淨利（淨損）,　　 停業單位稅後損益,　　 權益工具投資之利益（損失）,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
3229,2015年第3季,,,,                186312,                186312,                     44,                    619,                185649,                185649,,,                158699,                158699,                158699,                 26950,                 26950,,,                 11896,,                 31532,                 43428,                -16478,,,,                    265,                    265,                    678,                  1673,                  2616,,                   -260,                 -5036,                   -315,                  1113,                              0,                 -6724,,                  1028,                  1028,                 -3080,                -19558,,                  3633,                  3633,                -23191,                -23191,,,                 28934,                 28934,                 28934,                  5743,,                -17604,                 -5587,,                  7016,                 -1273,,                             -0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3229,2015年第2季,,,,                240164,                240164,                     64,                    813,                239287,                239287,,,                207648,                207648,                207648,                 31639,                 31639,,,                  5284,,                 30113,                 35397,                 -3758,,,,                    628,                    628,                              0,                  2985,                  3613,,                  1221,,                    240,                    513,                              0,                 -3466,,                  1915,                  1915,                  1306,                 -2452,,,                  1004,                 -3456,                 -3456,,,                 -2900,                 -2900,                 -2900,                 -6356,,                 -5097,                  1641,,                 -7997,                  1641,,                             -0.05,                              0,                              0,                              0,                  4414,,                              0,,                              0,,                    756,                    756,,                              0,                              0,                              0,                              0,                             -0.05,,,,,,,,,,,,,,,,,,,,,,
3229,2015年01月01日至2015年09月30日,,,,                596052,                596052,                    285,                  1595,                594172,                594172,,,                500320,                500320,                500320,                 93852,                 93852,,,                 22329,,                 89742,                112071,                -18219,,,,                  1454,                  1454,                    903,                  5422,                  7779,,                    945,                -17145,                  1612,                  3050,                  1401,                -19039,,                  3773,                  3773,                 -7487,                -25706,,                  4637,                  4637,                -30343,                -30343,,,                 25653,                 25653,                 25653,                 -4690,,                -26397,                 -3946,,                 -5545,                    855,,                             -0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3229,2015年01月01日至2015年06月30日,,,,                409740,                409740,                    242,                    975,                408523,                408523,,,                341621,                341621,                341621,                 66902,                 66902,,,                 10433,,                 58210,                 68643,                 -1741,,,,                  1189,                  1189,                    225,                  3749,                  5163,,                  1205,,                  1927,                    518,                  1401,                -10896,,                  2745,                  2745,                 -4407,                 -6148,,,                  1004,                 -7152,                 -7152,,,                 -3768,                 -3768,                 -3768,                -10920,,                 -8793,                  1641,,                -12561,                  1641,,                             -0.09,                              0,                              0,                              0,                 12109,,                              0,,                              0,,                  1419,                  1419,,                              0,                              0,                              0,                              0,                             -0.09,,,,,,,,,,,,,,,,,,,,,,
3229,2015年01月01日至2015年03月31日,,,,,,,,                169236,                169236,,,                133973,                133973,                133973,                 35263,                 35263,,,                  5149,,                 28098,                 33247,                  2016,,,,,,,                  1550,                  1550,,,                              0,                  1687,                    668,                  1401,                 -8092,,                    830,                    830,                 -5712,                 -3696,,,                              0,                 -3696,                 -3696,,,                   -868,                   -868,                   -868,                 -4564,,                 -3696,,,                 -4564,,,                             -0.04,,,                     16,                  7694,,,,,,,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,
3229,2014年第3季,,,,                174624,                174624,                    129,                  1049,                173446,                173446,,,                135962,                135962,                135962,                 37484,                 37484,,,                  4945,,                 30640,                 35585,                  1899,,,,                     68,                     68,                    136,                  1434,                  1638,,                              0,                  7442,                    -88,                     23,                              0,                  7331,,                  1941,                  1941,                 10910,                 12809,,                  1380,                  1380,                 11429,                 11429,,,                  2392,                  2392,                  2392,                 13821,,                 11429,                              0,,                 13821,                              0,,                              0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3229,2014年第2季,,,,                173089,                173089,                  1336,                    688,                171065,                171065,,,                128326,                128326,                128326,                 42739,                 42739,,,                  5135,,                 28190,                 33325,                  9414,,,,                  2084,                  2084,                              0,                    472,                  2556,,                              0,,                    129,                   -153,                              0,                 -7300,,                  2397,                  2397,                 -4153,                  5261,,,                    651,                  4610,                  4610,,,                 -2675,                 -2675,                 -2675,                  1935,,                  4610,                              0,,                  1935,                              0,,                              0.05,                              0,                              0,                    191,                  7391,,                              0,,                              0,,                  1806,                  1806,,                              0,                              0,                              0,                              0,                              0.05,,,,,,,,,,,,,,,,,,,,,,
3229,2014年度,,,,                823675,                823675,                  3445,                  2689,                817541,                817541,,,                651771,                651771,                651771,                165770,                165770,,,                 20245,,                116393,                136638,                 29132,,,,                  3813,                  3813,                    136,                  2483,                  6432,,,                 19753,                    579,                     97,,                 19952,,                  6510,                  6510,                 29446,                 58578,,,                  9354,                 49224,                 49224,,,,,                  4772,                 53996,,                 49224,,,                 53996,,,                              0.53,,,                    283,,,,,,,                  3448,                  3448,,,,,,,                              0,,                              0,                  9354,                  8750,                   -935,                 -3043,,,,,,,,,,,,,,,
3229,2014年01月01日至2014年09月30日,,,,                637391,                637391,                  1510,                  2286,                633595,                633595,,,                502651,                502651,                502651,                130944,                130944,,,                 15721,,                 86604,                102325,                 28619,,,,                  2711,                  2711,                    136,                  2730,                  5577,,                   -283,                  1399,                    -49,                  2402,                              0,                 -1335,,                  5340,                  5340,                  9582,                 38201,,                  5231,                  5231,                 32970,                 32970,,,                  4601,                  4601,                  4601,                 37571,,                 32970,                              0,,                 37571,                              0,,                              0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3229,2014年01月01日至2014年06月30日,,,,                462767,                462767,                  1381,                  1237,                460149,                460149,,,                366689,                366689,                366689,                 93460,                 93460,,,                 10776,,                 55964,                 66740,                 26720,,,,                  2643,                  2643,                              0,                  1296,                  3939,,                              0,,                     39,                     82,                              0,                 -6369,,                  3399,                  3399,                 -1328,                 25392,,,                  3851,                 21541,                 21541,,,                  2209,                  2209,                  2209,                 23750,,                 21541,                              0,,                 23750,                              0,,                              0.23,                              0,                              0,                    283,                  6043,,                              0,,                              0,,                  2297,                  2297,,                              0,                              0,                              0,                              0,                              0.23,,,,,,,,,,,,,,,,,,,,,,
