證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）,　　 國外營運機構財務報表換算之兌換差額
2913,2015年第3季,,                192010,,                 93502,                 98508,                 98508,,,                 23753,,                 28291,,                  1280,                 53324,,                              0,                 45184,,,                    493,,                141991,,                 12343,                130141,                175325,,                -15417,                190742,                190742,                190742,,                190742,                              0,,                190742,                              0,,                              0.24,,                              0.24,,,,,,
2913,2015年第2季,,                259378,,                162768,                 96610,                 96610,,,                 67760,,                 30357,,                  1305,                 99422,,                              0,                 -2812,,,                  6842,,                210226,,                  9421,                207647,                204835,,                  6284,                198551,                198551,                198551,,                199211,                   -660,,                199211,                   -660,,                              0.27,,                              0.27,,,,,,
2913,2015年01月01日至2015年09月30日,,                746464,,                449423,                297041,                297041,,,                115807,,                 86838,,                  3768,                206413,,                              0,                 90628,,,                  7943,,                511832,,                 29025,                490750,                581378,,                -27697,                609075,                609075,                609075,,                608539,                    536,,                608539,                    536,,                              0.81,,                              0.81,,,,,,
2913,2015年01月01日至2015年06月30日,,                554454,,                355921,                198533,                198533,,,                 92054,,                 58547,,                  2488,                153089,,                              0,                 45444,,,                  7450,,                369841,,                 16682,                360609,                406053,,                -12280,                418333,                418333,                418333,,                417797,                    536,,                417797,                    536,,                              0.57,,                              0.57,,,,,,
2913,2015年01月01日至2015年03月31日,,                295076,,                193153,                101923,                101923,,,                 24294,,                 28190,,                  1183,                 53667,,                              0,                 48256,,,                    608,,                159615,,                  7261,                152962,                201218,,                -18564,                219782,                219782,                219782,,                218586,                  1196,,                218586,                  1196,,                              0.30,,                              0.30,                              0.30,                              0.30,,,,
2913,2014年第3季,,                482843,,                310539,                172304,                172304,,,                 34412,,                 38671,,                  3351,                 76434,,                 -2299,                 93571,,,                  1634,,                155933,,                 10135,                147432,                241003,,                -17061,                258064,                258064,                258064,,                241756,                 16308,,                241756,                 16308,,                              0.34,,                              0.34,,,,,,
2913,2014年第2季,,                530713,,                374735,                155978,                155978,,,                 32453,,                 58509,,                  3307,                 94269,,                  2658,                 64367,,,                 26406,,                 94381,,                  9649,                111138,                175505,,                 52834,                122671,                122671,                122671,,                111124,                 11547,,                111124,                 11547,,                              0.15,,                              0.15,,,,,,
2913,2014年度,,              1882000,,              1257999,                624001,                624001,,,                131374,,                220573,,                 12869,                364816,,                 -3658,                255527,,,                 34914,,                625564,,                 39408,                621070,                876597,,                  1101,                875496,                875496,                875357,,                833105,                 42391,,                833512,                 41845,,                              1.16,,                              1.15,,,,                   -139,                   -139,
2913,2014年01月01日至2014年09月30日,,              1437542,,                966247,                471295,                471295,,,                 98001,,                132265,,                  9831,                240097,,                  2076,                233274,,,                 32463,,                338955,,                 29582,                341836,                575110,,                 23688,                551422,                551422,                551422,,                515045,                 36377,,                515045,                 36377,,                              0.72,,                              0.72,,,,,,
2913,2014年01月01日至2014年06月30日,,                954699,,                655708,                298991,                298991,,,                 63589,,                 93594,,                  6480,                163663,,                  4375,                139703,,,                 30829,,                183022,,                 19447,                194404,                334107,,                 40749,                293358,                293358,                293358,,                273289,                 20069,,                273289,                 20069,,                              0.38,,                              0.38,,,,,,
2913,2014年01月01日至2014年03月31日,,                423986,,                280973,                143013,                143013,,,                 31136,,                 35085,,                  3173,                 69394,,                  1717,                 75336,,,                  4423,,                 88641,,                  9798,                 83266,                158602,,                -12085,                170687,                170687,                170687,,                162165,                  8522,,                162165,                  8522,,                              0.23,,                              0.23,                              0.23,                              0.23,,,,
2913,2013年第3季,,                451390,,                301081,                150309,                150309,,,                 41932,,                 38590,,                  2587,                 83109,,                  2644,                 69844,,,                  4638,,                119828,,                 19246,                105220,                175064,,                -27453,                202517,                202517,                202517,,                190774,                 11743,,                190774,                 11743,,                              0.29,,                              0.29,,,,,,
2913,2013年第2季,,                400485,,                256854,                143631,                143631,,,                 44978,,                 39029,,                  3013,                 87020,,                   -111,                 56500,,,                  1565,,                177619,,                 19438,                159746,                216246,,                 44549,                171697,                171697,                171697,,                165033,                  6664,,                165033,                  6664,,                              0.25,,                              0.25,,,,,,
2913,2013年度,,              1774665,,              1180568,                594097,                594097,,,                179408,,                203755,,                 11824,                394987,,                 -9081,                190029,,,                 31096,,                822196,,                 74680,                778612,                968641,,                -64354,              1032995,              1032995,              1037052,,              1022509,                 10486,,              1025731,                 11321,,                              1.52,,                              1.44,,,,                  4057,                  4057,
2913,2013年07月01日至2013年09月30日,,                451390,,                301081,                150309,                150309,,,                 41932,,                 38590,,                  2587,                 83109,,                  2644,                 69844,,,                  4638,,                119828,,                 19246,                105220,                175064,,                -27453,                202517,                202517,                202517,,                190774,                 11743,,                190774,                 11743,,                              0.29,,                              0.29,,,,,                              0,                              0
2913,2013年04月01日至2013年06月30日,,                400680,,                256854,                143826,                143826,,,                 44978,,                 39029,,                  3013,                 87020,,,                 56806,,,                  1565,,                132756,,                 19438,                114883,                171689,,                     -8,                171697,                171697,                171697,,                165033,                  6664,,                165033,                  6664,,                              0.25,,                              0.25,,,,,                              0,                              0
2913,2013年01月01日至2013年12月31日,,              1774665,,              1180568,                594097,                594097,,,                179408,,                203755,,                 11824,                394987,,                 -9081,                190029,,,                 31096,,                822196,,                 74680,                778612,                968641,,                -64354,              1032995,              1032995,              1037052,,              1022509,                 10486,,              1025731,                 11321,,                              1.52,,                              1.44,                              1.52,                              1.44,,                  4057,                  4057,
2913,2013年01月01日至2013年09月30日,,              1199931,,                793037,                406894,                406894,,,                128922,,                119014,,                  8443,                256379,,                  4331,                154846,,,                  9341,,                551360,,                 59707,                500994,                655840,,                -23716,                679556,                679556,                679556,,                657807,                 21749,,                657807,                 21749,,                              0.99,,                              0.99,,,,,,
2913,2013年01月01日至2013年06月30日,,                748541,,                491956,                256585,                256585,,,                 86990,,                 80424,,                  5856,                173270,,                  1687,                 85002,,,                  4703,,                431532,,                 40461,                395774,                480776,,                  3737,                477039,                477039,                477039,,                467033,                 10006,,                467033,                 10006,,                              0.70,,                              0.70,,,,,,
2913,2013年01月01日至2013年03月31日,,                348056,,                235102,                112954,                112954,,,                 42012,,                 41395,,                  2843,                 86250,,                  1798,                 28502,,,                  3138,,                253913,,                 21023,                236028,                264530,,                -40812,                305342,                305342,                305342,,                302000,                  3342,,                302000,                  3342,,                              0.45,,                              0.45,                              0.45,                              0.45,,,,
2913,2012年07月01日至2012年09月30日,,                324225,,                313543,                 10682,                 10682,,,                 70433,,                 45134,,                  1016,                116583,,                  8643,                -97258,,,                  2223,,                180257,,                 10235,                172245,                 74987,,                -25212,                100199,                100199,                100115,,                100296,                    -97,,                100212,                    -97,,                              0.16,,                              0.16,,,,,                    -84,                    -84
2913,2012年04月01日至2012年06月30日,,                507660,,                435403,                 72257,                 72257,,,                 37742,,                 65222,,                  1638,                104602,,,                -32345,,,                  2285,,                149265,,                 10223,                141327,                108982,,                -37922,                146904,                146904,                146956,,                145816,                  1088,,                145868,                  1088,,                              0.24,,                              0.24,,,,,                     52,                     52
2913,2012年01月01日至2012年12月31日,,              2130312,,              1592708,                537604,                537604,,,                200040,,                184631,,                  7193,                391864,,                  8844,                154584,,,                 13261,,                630817,,                 48310,                595768,                750352,,               -106010,                856362,                856362,                849576,,                860837,                 -4475,,                853510,                 -3934,,                              1.38,,                              1.30,                              1.38,                              1.30,,                 -6786,                 -6786,
2913,2012年01月01日至2012年09月30日,,              1182002,,              1082092,                 99910,                 99910,,,                143184,,                148218,,                  4081,                295483,,                 21100,               -174473,,,                  8284,,                432435,,                 31733,                408986,                234513,,                -63134,                297647,                297647,                297344,,                295618,                  2029,,                295315,                  2029,,                              0.48,,                              0.48,,,,,                   -303,                   -303
2913,2012年01月01日至2012年06月30日,,                870234,,                768549,                101685,                101685,,,                 72751,,                103084,,                  3065,                178900,,,                -77215,,,                  6061,,                252178,,                 21498,                236741,                159526,,                -37922,                197448,                197448,                197229,,                195322,                  2126,,                195103,                  2126,,                              0.32,,                              0.32,,,,,                   -219,                   -219
2913,2012年01月01日至2012年03月31日,,                362574,,                333146,                 29428,                 29428,,,                 35009,,                 37862,,                  1427,                 74298,,,                -44870,,,                  3776,,                102913,,                 11275,                 95414,                 50544,,                              0,                 50544,                 50544,                 50273,,                 49506,                  1038,,                 49235,                  1038,,                              0.08,,,,,,,                   -271,                   -271
