證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2472,2015年第3季,,,              1418880,              1418880,,,              1078542,              1078542,                340338,                340338,,,                 70697,,                100735,,                 20884,                192316,                148022,,,                 25531,,                 85514,,                 10232,                100813,                248835,,                 44553,                204282,                204282,,,                131755,                  2387,                129368,                129368,                333650,,                168813,                 35469,,                244120,                 89530,,                              1.20,                              1.20,,                              1.19,,,,,,
2472,2015年第2季,,,              1512878,              1512878,,,              1177709,              1177709,                335169,                335169,,,                 67951,,                 91105,,                 21302,                180358,                154811,,,                 19401,,                -28436,,                 10014,                -19049,                135762,,                 47268,                 88494,                 88494,,,,                 -1014,                  1014,                -40851,                 47643,,                 72293,                 16201,,                 45701,                  1942,,                              0.47,                              0.47,,                              0.47,,                 41865,                -41865,,,
2472,2015年01月01日至2015年09月30日,,,              4374788,              4374788,,,              3362611,              3362611,              1012177,              1012177,,,                210726,,                283767,,                 62604,                557097,                455080,,,                 57891,,                 41747,,                 28612,                 71026,                526106,,                132276,                393830,                393830,,,                 65364,                    816,                 64548,                 64548,                458378,,                331267,                 62563,,                364341,                 94037,,                              2.21,                              2.21,,                              2.20,,,,,,
2472,2015年01月01日至2015年06月30日,,,              2955908,              2955908,,,              2284069,              2284069,                671839,                671839,,,                140029,,                183032,,                 41720,                364781,                307058,,,                 32360,,                -43767,,                 18380,                -29787,                277271,,                 87723,                189548,                189548,,,,                 -1571,                  1571,                -64820,                124728,,                162454,                 27094,,                120221,                  4507,,                              1.05,                              1.05,,                              1.05,,                 66391,                -66391,,,
2472,2015年01月01日至2015年03月31日,,,              1443030,              1443030,,,              1106360,              1106360,                336670,                336670,,,                 72078,,                 91927,,                 20418,                184423,                152247,,,                 12959,,                -15331,,                  8366,                -10738,                141509,,                 40455,                101054,                101054,,,                -24526,                   -557,                -23969,                -23969,                 77085,,                 90161,                 10893,,                 74520,                  2565,,,                              0.58,,                              0.58,,,,,,
2472,2014年第3季,,,              1603741,              1603741,,,              1230520,              1230520,                373221,                373221,,,                 75137,,                 86976,,                 21460,                183573,                189648,,,                 10018,,                 77831,,                  9117,                 78732,                268380,,                 62912,                205468,                205468,,,                 62414,                  1519,                 60895,                 60895,                266363,,                163742,                 41726,,                203195,                 63168,,                              1.06,                              1.06,,                              1.06,,,,,,
2472,2014年第2季,,,              1606324,              1606324,,,              1211491,              1211491,                394833,                394833,,,                 69641,,                 85932,,                 18841,                174414,                220419,,,                  8915,,                -15784,,                  9570,                -16439,                203980,,                 42580,                161400,                161400,,,,                 -1099,                  1099,                -40985,                120415,,                137114,                 24286,,                111144,                  9271,,                              0.89,                              0.89,,                              0.89,,                 42084,                -42084,,,
2472,2014年度,,,              6071950,              6071950,,,              4673639,              4673639,              1398311,              1398311,,,                281806,,                364349,,                 80214,                726369,                671942,,,                 71405,,                136362,,                 35353,                172414,                844356,,                203449,                640907,                640907,,,,,,                 89380,                730287,,                555045,                 85862,,                613892,                116395,,                              3.60,                              3.60,,                              3.59,,,,                 92847,                 -1470,                  1997
2472,2014年01月01日至2014年09月30日,,,              4575513,              4575513,,,              3507481,              3507481,              1068032,              1068032,,,                207378,,                260127,,                 59247,                526752,                541280,,,                 42303,,                 59132,,                 25223,                 76212,                617492,,                141067,                476425,                476425,,,                 11579,                    237,                 11342,                 11342,                487767,,                410842,                 65583,,                418540,                 69227,,                              2.66,                              2.66,,                              2.66,,,,,,
2472,2014年01月01日至2014年06月30日,,,              2971772,              2971772,,,              2276961,              2276961,                694811,                694811,,,                132241,,                173151,,                 37787,                343179,                351632,,,                 32285,,                -18699,,                 16106,                 -2520,                349112,,                 78155,                270957,                270957,,,,                 -1282,                  1282,                -49553,                221404,,                247100,                 23857,,                215345,                  6059,,                              1.60,                              1.60,,                              1.60,,                 50835,                -50835,,,
