證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
4906,2015年第3季,,              4429294,,              3920742,                508552,                508552,,,                112964,,                113352,,                278472,                504788,                  3764,,,                 65168,                 65168,,                127358,,                 12054,,                 -7272,                173200,                176964,,                 27802,                149162,                149162,,,                137906,                 -3172,,                    633,                135367,                135367,                284529,,                149162,,                284529,,                              0.50,                              0.50,,                              0.41,                              0.41,,,,,,,,,,,
4906,2015年第2季,,              4772131,,              4193605,                578526,                578526,,,                120246,,                110264,,                287003,                517513,                 61013,,,                 35750,                 35750,,                -88814,,                 18121,,                 29217,                -41968,                 19045,,                  7931,                 11114,                 11114,,,                -48682,                -21001,,                -29855,                -99538,                -99538,                -88424,,                 11114,,                -88424,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,,,,,,
4906,2015年01月01日至2015年09月30日,,             13645165,,             12021022,              1624143,              1624143,,,                352099,,                346971,,                844667,              1543737,                 80406,,,                140960,                140960,,                 56143,,                 47435,,                 23090,                172758,                253164,,                 42648,                210516,                210516,,,                 14933,                -34254,,                -37543,                -56864,                -56864,                153652,,                210516,,                153652,,                              0.70,                              0.70,,                              0.61,                              0.61,,,,,,,,,,,
4906,2015年01月01日至2015年06月30日,,              9215871,,              8100280,              1115591,              1115591,,,                239135,,                233619,,                566195,              1038949,                 76642,,,                 75792,                 75792,,                -77508,,                 35381,,                 36655,                   -442,                 76200,,                 14846,                 61354,                 61354,,,               -122973,                -31082,,                -38176,               -192231,               -192231,               -130877,,                 61354,,               -130877,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,
4906,2015年01月01日至2015年03月31日,,              4443740,,              3906675,                537065,                537065,,,                118889,,                123355,,                279192,                521436,                 15629,,,                 40042,                 40042,,                 11306,,                 17260,,                  7438,                 41526,                 57155,,                  6915,                 50240,                 50240,,,                -74291,                -10081,,                 -8321,                -92693,                -92693,                -42453,,                 50240,,                -42453,,                              0.17,                              0.17,,                              0.15,                              0.15,,                              0,,,,,,,,,
4906,2014年第3季,,              5314389,,              4865405,                448984,                448984,,,                128168,,                107562,,                284855,                520585,                -71601,,,                105060,                105060,,                 -6905,,                 17177,,                  8002,                 88980,                 17379,,                 13965,                  3414,                  3414,,,                 86991,                  5145,,                -44899,                 47237,                 47237,                 50651,,                  3414,,                 50651,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,
4906,2014年第2季,,              4003622,,              3516648,                486974,                486974,,,                147620,,                 97012,,                236027,                480659,                  6315,,,                 93178,                 93178,,                -66892,,                 16027,,                  4666,                 14925,                 21240,,                 11624,                  9616,                  9616,,,                -91463,                 11277,,                 23866,                -56320,                -56320,                -46704,,                  9616,,                -46704,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,
4906,2014年度,,             17684261,,             15833860,              1850401,              1850401,,,                548416,,                422276,,              1082014,              2052706,               -202305,,,,                314011,,                 86645,,                 65789,,                 18479,                353346,                151041,,                 79397,                 71644,                 71644,,,,,,,,                281194,                352838,,                 71644,,                352838,,,                              0.23,,,                              0.23,,,                277483,                 -2548,                   -273,,                  6532,,,,
4906,2014年01月01日至2014年09月30日,,             12932670,,             11572525,              1360145,              1360145,,,                408541,,                303510,,                777053,              1489104,               -128959,,,                258728,                258728,,                  6096,,                 49702,,                 20602,                235724,                106765,,                 44357,                 62408,                 62408,,,                 58125,                 14069,,                -15051,                 57143,                 57143,                119551,,                 62408,,                119551,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,
4906,2014年01月01日至2014年06月30日,,              7618281,,              6707120,                911161,                911161,,,                280373,,                195948,,                492198,                968519,                -57358,,,                153668,                153668,,                 13001,,                 32525,,                 12600,                146744,                 89386,,                 30392,                 58994,                 58994,,,                -28866,                  8924,,                 29848,                  9906,                  9906,                 68900,,                 58994,,                 68900,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,,,,,
