證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 處分投資性不動產損失,　　 財務成本,　　　 財務成本淨額,　　 國外營運機構財務報表換算之兌換差額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
4984,2015年第3季,,,                346915,,                    201,                347116,,                196004,                151112,                151112,,,                  9090,,                 39666,,                 39276,                 88032,                 63080,,,,                  2321,                  3457,                  5778,,                 11352,                              0,                              0,                              0,                 11352,                 17130,                 80210,,                 12632,                 67578,,                              0,                 67578,,,                101635,                101635,,                -10361,                -10361,                 91274,                158852,,                 67578,,                158852,,                              1.49,                              1.49,,                              1.49,                              1.49,,,,,,,,,,,,,,,,,,,,,,,
4984,2015年第2季,,,                273360,,                     91,                273451,,                165823,                107628,                107628,,,                  8966,,                 36238,,                 44056,                 89260,                 18368,,,,                  2114,                  2613,                  4727,,                              0,                              0,                      2,                    287,                   -289,                  4438,                 22806,,                  3862,                 18944,,                              0,                 18944,,,                -22617,                -22617,,                    522,                    522,                -22095,                 -3151,,                 18944,,                 -3151,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,,,,,,,,,,,,,,,,,,
4984,2015年01月01日至2015年09月30日,,,                863042,,                    450,                863492,,                507490,                356002,                356002,,,                 27870,,                115134,,                121178,                264182,                 91820,,,,                  6758,                  8966,                 15724,,                 11560,                              0,                      2,                              0,                 11558,                 27282,                119102,,                 21771,                 97331,,                              0,                 97331,,,                 60833,                 60833,,                 -8750,                 -8750,                 52083,                149414,,                 97331,,                149414,,                              2.15,                              2.15,,                              2.14,                              2.14,,,,,,,,,,,,,,,,,,,,,,,
4984,2015年01月01日至2015年06月30日,,,                516127,,                    249,                516376,,                311486,                204890,                204890,,,                 18780,,                 75468,,                 81902,                176150,                 28740,,,,                  4437,                  5509,                  9946,,                    208,                              0,                      2,                              0,                    206,                 10152,                 38892,,                  9139,                 29753,,                              0,                 29753,,,                -40802,                -40802,,                  1611,                  1611,                -39191,                 -9438,,                 29753,,                 -9438,,                              0.66,                              0.66,,                              0.65,                              0.65,,,,,,,,,,,,,,,,,,,,,,,
4984,2015年01月01日至2015年03月31日,,,                242767,,                    158,                242925,,                145663,                 97262,                 97262,,,                  9814,,                 39230,,                 37846,                 86890,                 10372,,,,                  2323,                  2896,                  5219,,                    495,                              0,,                              0,                    495,                  5714,                 16086,,                  5277,                 10809,,                              0,                 10809,,,                -18185,                -18185,,                  1089,                  1089,                -17096,                 -6287,,                 10809,,                 -6287,,                              0.24,                              0.24,,                              0.24,                              0.24,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,
4984,2014年第3季,,,                279358,,                    271,                279629,,                166970,                112659,                112659,,,                  9929,,                 47793,,                 28508,                 86230,                 26429,,,,                  2128,                  1907,                  4035,,                              0,                              0,                              0,                    219,                   -219,                  3816,                 30245,,                -19715,                 49960,,                              0,                 49960,,,                 -1376,                 -1376,,                 29090,                 29090,                 27714,                 77674,,                 49960,,                 77674,,                              1.10,                              1.10,,                              1.10,                              1.10,,,,,,,,,,,,,,,,,,,,,,,
4984,2014年第2季,,,                262835,,                    121,                262956,,                154275,                108681,                108681,,,                  9563,,                 35748,,                 33847,                 79158,                 29523,,,,                  2231,                    166,                  2397,,                    127,                              0,                     22,                              0,                    105,                  2502,                 32025,,                 14801,                 17224,,                              0,                 17224,,,                -30186,                -30186,,                    340,                    340,                -29846,                -12622,,                 17224,,                -12622,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,,,,,,,,,,,,,,,,
4984,2014年度,,,              1115471,,                    676,              1116147,,                653156,                462991,                462991,,,                 43738,,                158270,,                148007,                350015,                112976,,,,                  8778,                  2330,                 11108,,                              0,,                     55,                    251,                   -306,                 10802,                123778,,                 11362,                112416,,,                112416,,,,,,,,                 92651,                205067,,                112416,,                205067,,                              2.49,                              2.49,,                              2.47,                              2.47,,,,,                              0,                 92651,,,,,,,,,,,,,,,,,
4984,2014年01月01日至2014年09月30日,,,                801342,,                    422,                801764,,                474968,                326796,                326796,,,                 29830,,                117957,,                101384,                249171,                 77625,,,,                  6571,                  2073,                  8644,,                              0,                      4,                     22,                    987,                 -1013,                  7631,                 85256,,                  2911,                 82345,,                              0,                 82345,,,                  1355,                  1355,,                 27647,                 27647,                 29002,                111347,,                 82345,,                111347,,                              1.82,                              1.82,,                              1.81,                              1.81,,,,,,,,,,,,,,,,,,,,,,,
4984,2014年01月01日至2014年06月30日,,,                521984,,                    151,                522135,,                307998,                214137,                214137,,,                 19901,,                 70164,,                 72876,                162941,                 51196,,,,                  4443,                    166,                  4609,,                              0,                      4,                     22,                    768,                   -794,                  3815,                 55011,,                 22626,                 32385,,                              0,                 32385,,,                  2731,                  2731,,                 -1443,                 -1443,                  1288,                 33673,,                 32385,,                 33673,,                              0.72,                              0.72,,                              0.71,                              0.71,,,,,,,,,,,,,,,,,,,,,,,
4984,2014年01月01日至2014年03月31日,,,                259149,,                     30,                259179,,                153723,                105456,                105456,,,                 10338,,                 34416,,                 39029,                 83783,                 21673,,,,                  2212,                              0,                  2212,,                              0,                      4,,                    895,                   -899,                  1313,                 22986,,                  7825,                 15161,,                              0,                 15161,,,                 32917,                 32917,,                 -1783,                 -1783,                 31134,                 46295,,                 15161,,                 46295,,                              0.34,                              0.34,,                              0.33,                              0.33,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,
4984,2013年第3季,,,                306752,,                    536,                307288,,                206451,                100837,                100837,,,                 11236,,                 35102,,                 34845,                 81183,                 19654,,,,                  2084,                    184,                  2268,,                              0,                              0,                      1,                    607,                   -608,                  1660,                 21314,,                 -2571,                 23885,,                              0,                 23885,,,,,,,,                -21459,                  2426,,                 23885,,                  2426,,                              0.53,                              0.53,,                              0.52,                              0.52,,,,,,                -21459,,,,,,,,,,,,,,,,,
4984,2013年第2季,,,                225304,,                     30,                225334,,                168942,                 56392,                 56392,,,                  8687,,                 33404,,                 29441,                 71532,                -15140,,,,                  2225,                    150,                  2375,,                  1750,                              0,                      4,                              0,                  1746,                  4121,                -11019,,                  1792,                -12811,,                              0,                -12811,,,,,,,,                 14375,                  1564,,                -12811,,                  1564,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,,,,,,                 14375,,,,,,,,,,,,,,,,,
4984,2013年度,,,                988166,,                    809,                988975,,                691627,                297348,                297348,,,                 38644,,                132782,,                118071,                289497,                  7851,,,,                  8427,                  1074,                  9501,,                    702,,                    139,                              0,                    563,                 10063,                 17914,,                 15879,                  2035,,,                  2035,,,,,,,,                 45682,                 47717,,                  2035,,                 47717,,                              0.05,                              0.05,,                              0.04,                              0.04,,,,,                      1,                 45682,,,,,,,,,,,,,,,,,
