證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
1717,2015年第3季,,              9876913,,              7605594,              2271319,              2271319,,,                541952,,                433206,,                350603,              1325761,                945558,,,,                 32169,                 32169,                 65466,                 97635,,                              0,                    651,                 18748,                 19464,                -37561,,                 79686,,                 39854,                 20242,                965800,,                182448,                783352,                783352,,,              1035038,                -98914,                936124,                936124,              1719476,,                784954,                 -1602,,              1710271,                  9205,,                              0.77,                              0.77,,                              0.77,                              0.77,,,,,,,,,,
1717,2015年第2季,,              9939069,,              7806878,              2132191,              2132191,,,                530821,,                431579,,                358079,              1320479,                811712,,,,                 31281,                 31281,                 33351,                 64632,,,                  1652,                 18164,                 15310,                -31822,,                 71130,,                 42949,                  4629,                816341,,                162244,                654097,                654097,,,               -372460,                -20739,               -393199,               -393199,                260898,,                655936,                 -1839,,                269576,                 -8678,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,,,,,
1717,2015年第1季,,              9119151,,              7169956,              1949195,              1949195,,,                477078,,                467177,,                316706,              1260961,                688234,,,,                 34695,                 34695,                 43706,                 78401,,,                  2963,                 27712,                 33271,                -58020,,                 76181,,                 24764,                -31036,                657198,,                121504,                535694,                535694,,,               -208798,                -11168,               -219966,               -219966,                315728,,                537418,                 -1724,,                321061,                 -5333,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,,,,,,
1717,2015年01月01日至2015年09月30日,,             28935133,,             22582428,              6352705,              6352705,,,              1549851,,              1331962,,              1025388,              3907201,              2445504,,,,                 98145,                 98145,                142523,                240668,,                              0,                  5266,                 64624,                 68045,               -127403,,                226997,,                107567,                 -6165,              2439339,,                466196,              1973143,              1973143,,,                453780,               -130821,                322959,                322959,              2296102,,              1978308,                 -5165,,              2300908,                 -4806,,                              1.94,                              1.94,,                              1.93,                              1.93,,,,,,,,,,
1717,2015年01月01日至2015年06月30日,,             19058220,,             14976834,              4081386,              4081386,,,              1007899,,                898756,,                674785,              2581440,              1499946,,,,                 65976,                 65976,                 77057,                143033,,,                  4615,                 45876,                 48581,                -89842,,                147311,,                 67713,                -26407,              1473539,,                283748,              1189791,              1189791,,,               -581258,                -31907,               -613165,               -613165,                576626,,              1193354,                 -3563,,                590637,                -14011,,                              1.17,                              1.17,,                              1.17,                              1.17,,,,,,,,,,
1717,2014年第3季,,             10788117,,              8710777,              2077340,              2077340,,,                506590,,                386182,,                331645,              1224417,                852923,,,,                 44142,                 44142,                 73893,                118035,,                 41788,                  2690,                 17880,                              0,                 26598,,                 78679,,                 23604,                 89558,                942481,,                233157,                709324,                709324,,,                554770,                -11168,                543602,                543602,              1252926,,                701357,                  7967,,              1235724,                 17202,,                              0.69,                              0.69,,                              0.69,                              0.69,,,,,,,,,,
1717,2014年第2季,,             10492911,,              8417527,              2075384,              2075384,,,                509597,,                372518,,                340267,              1222382,                853002,,,,                 45818,                 45818,                 34514,                 80332,,,                  5140,                 25185,                 43269,                -63314,,                 82065,,                 17439,                -47608,                805394,,                175925,                629469,                629469,,,               -409818,                  6381,               -403437,               -403437,                226032,,                628079,                  1390,,                229899,                 -3867,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,,,,,,,
1717,2014年第1季,,              8777830,,              7192617,              1585213,              1585213,,,                430148,,                359960,,                314424,              1104532,                480681,,,,                 37940,                 37940,                 41544,                 79484,,,                  1319,                  4053,                 16437,                -19171,,                 81731,,                 22716,                  1298,                481979,,                125828,                356151,                356151,,,                -34871,                -19144,                -54015,                -54015,                302136,,                352699,                  3452,,                299013,                  3123,,                              0.35,                              0.35,,                              0.34,                              0.34,,,,,,,,,,
1717,2014年度,,             40343325,,             32563766,              7779559,              7779559,,,              2041150,,              1568791,,              1344123,              4954064,              2825495,,,,                167735,                167735,                209962,                377697,,                 95643,                 10064,                 86815,,                 18892,,                323224,,                108702,                182067,              3007562,,                694541,              2313021,              2313021,,,,,,                759015,              3072036,,              2303471,                  9550,,              3047457,                 24579,,                              2.25,                              2.25,,                              2.25,                              2.25,                832305,                -33503,                -47936,                 -8149,,,,,,
1717,2014年01月01日至2014年09月30日,,             30058858,,             24320921,              5737937,              5737937,,,              1446335,,              1118660,,                986336,              3551331,              2186606,,,,                127900,                127900,                149951,                277851,,                              0,                  7830,                 45799,                 17918,                -55887,,                242475,,                 63759,                 43248,              2229854,,                534910,              1694944,              1694944,,,                110081,                -23931,                 86150,                 86150,              1781094,,              1682135,                 12809,,              1764636,                 16458,,                              1.65,                              1.65,,                              1.64,                              1.64,,,,,,,,,,
