證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損損失,　　　　 減損損失合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息費用,　　　 處分投資性不動產利益,　　 其他綜合損益,　　 其他營業成本
1101,2015年第3季,,             22683975,,             19378040,              3305935,              3305935,,,                199106,,              1099865,,                 10487,              1309458,              1996477,,,,                109978,                340987,                167132,                618097,,                  1639,                152495,              1031230,             -1182086,,                482851,,                221674,               -825166,              1171311,,                181884,                989427,                989427,,,              2374207,             -2989773,                  2988,,                322462,               -290116,               -290116,                699311,,                948745,                 40682,,               -255288,                954599,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,,,,,,,,,,,,,
1101,2015年第2季,,             24994185,,             21076772,              3917413,              3917413,,,                229300,,                765974,,                  4508,                999782,              2917631,,,,                 88841,                423438,                139792,                652071,,                    982,                228138,                -89579,               -137577,,                418250,,                228634,                324878,              3242509,,                514664,              2727845,              2727845,,,               -983216,             -1061188,                  1523,,                -96511,             -2139392,             -2139392,                588453,,              2243129,                484716,,                512044,                 76409,,                              0.61,                              0.61,,                              0.61,                              0.61,,,,,,,,,,,,,,,,,,
1101,2015年01月01日至2015年09月30日,,             69118302,,             59033946,             10084356,             10084356,,,                655744,,              2799602,,                 21394,              3476740,              6607616,,,,                325186,                764425,                402586,              1492197,,                  2756,                465117,              1001716,             -1464077,,              1383484,,                631435,               -723929,              5883687,,              1191897,              4691790,              4691790,,,                601813,             -3936366,                -20216,,                153038,             -3201731,             -3201731,              1490059,,              4000652,                691138,,                605877,                884182,,                              1.08,                              1.08,,                              1.08,                              1.08,,,,,,,,,,,,,,,,,,
1101,2015年01月01日至2015年06月30日,,             46434327,,             39655906,              6778421,              6778421,,,                456638,,              1699737,,                 10907,              2167282,              4611139,,,,                215208,                423438,                235454,                874100,,                  1117,                312622,                -29514,               -281991,,                900633,,                409761,                101237,              4712376,,              1010013,              3702363,              3702363,,,             -1772394,               -946593,                -23204,,               -169424,             -2911615,             -2911615,                790748,,              3051907,                650456,,                861165,                -70417,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,,,,,,,,,,,,,,,
1101,2015年01月01日至2015年03月31日,,             21440142,,             18579134,              2861008,              2861008,,,                227338,,                933763,,                  6399,              1167500,              1693508,,,,                126367,,                 95662,                222029,,                    135,                 84484,                 60065,               -144414,,                482383,,                181127,               -223641,              1469867,,                495349,                974518,                974518,,,               -789178,                114595,                -24727,,                -72913,               -772223,               -772223,                202295,,                808778,                165740,,                349121,               -146826,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,,,,,,,,,,,,,
1101,2014年第3季,,             30094955,,             23421140,              6673815,              6673815,,,                238759,,                880729,,                 10163,              1129651,              5544164,,,,                 76676,                597612,                 62679,                736967,,                    444,                 47107,                 23216,                -69879,,                475282,,                360453,                552259,              6096423,,              1161937,              4934486,              4934486,,,              1757546,               -787040,                 15128,,                186357,              1171991,              1171991,              6106477,,              3215834,              1718652,,              3621052,              2485425,,                              0.87,                              0.87,,                              0.87,                              0.87,,,,,,,,,,,,,,,,,,
1101,2014年第2季,,             31873459,,             24732219,              7141240,              7141240,,,                227869,,                966067,,                  8987,              1202923,              5938317,,,,                 71416,                223942,                178899,                474257,,                              0,                 10716,                 10602,                -21318,,                470428,,                365369,                347880,              6286197,,              1457502,              4828695,              4828695,,,             -1153962,             -3081800,                 -9616,,               -151297,             -4396675,             -4396675,                432020,,              3195746,              1632949,,               -754894,              1186914,,                              0.86,                              0.86,,                              0.86,                              0.86,,,,,,,,,,,,,,,,,,
1101,2014年度,,            118325809,,             93453214,             24872595,             24872595,,,                964818,,              4011430,,                 38678,              5014926,             19857669,,,,                309383,                832814,              1096352,              2238549,,                163222,                403723,,               -240371,,              1907215,,              1250088,              1341051,             21198720,,              4614844,             16583876,             16583876,,,,,,,,,              3225651,             19809527,,             10828868,              5755008,,             13340699,              6468828,,                              2.93,                              2.93,,                              2.93,                              2.93,                    130,              2106968,                826077,                 21883,                -72678,,                331223,                -12178,,,,,,,,,,
1101,2014年01月01日至2014年09月30日,,             88684641,,             70005452,             18679189,             18679189,,,                699818,,              2783245,,                 29421,              3512484,             15166705,,,,                204319,                821554,                416074,              1441947,,                135724,                132881,                247807,               -244964,,              1427905,,                997683,                766761,             15933466,,              3379050,             12554416,             12554416,,,                102574,             -1550455,                 12909,,                 52080,             -1382892,             -1382892,             11171524,,              8244719,              4309697,,              6881333,              4290191,,                              2.23,                              2.23,,                              2.23,                              2.23,,,,,,,,,,,,,,,,,,
1101,2014年01月01日至2014年06月30日,,             58589686,,             46584312,             12005374,             12005374,,,                461059,,              1902516,,                 19258,              2382833,              9622541,,,,                127643,                223942,                353395,                704980,,                135280,                 85774,                224591,               -175085,,                952623,,                637230,                214502,              9837043,,              2217113,              7619930,              7619930,,,             -1654972,               -763415,                 -2219,,               -134277,             -2554883,             -2554883,              5065047,,              5028885,              2591045,,              3260281,              1804766,,                              1.36,                              1.36,,                              1.36,                              1.36,,,,,,,,,,,,,,,,,,
