證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 非控制權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）
8249,2013年第3季,,              1436712,,              1239192,                197520,                197520,,,                 25366,,                 44379,,                 25877,                 95622,                101898,,,                 30657,,                 -9706,,                  1559,,                  5170,                 24562,                126460,,                 43819,                 82641,                 82641,,,,,,,,                 30306,                112947,,                 82641,,                112947,,                              0.65,                              0.65,,                              0.65,                              0.65,,                -27276,                 47942,,,                  9640,,,,
8249,2013年第2季,,              1230669,,              1112112,                118557,                118557,,,                 19391,,                 40742,,                 20387,                 80520,                 38037,,,                 10888,,                 -5127,,                  1927,,                   -270,                  3564,                 41601,,                 13948,                 27653,                 27653,,,,,,,,                120343,                147996,,                 27653,,                147996,,                              0.22,                              0.22,,                              0.22,                              0.22,,                 38398,                 72660,,,                  9285,,,,
8249,2013年度,,              4780858,,              4230404,                550454,                550454,,,                 85019,,                137775,,                 96431,                319225,                231229,,,                 59580,,                -17244,,                  7175,,                  7424,                 42585,                273814,,                 84516,                189298,                189298,,,,,,,,                397754,                587052,,                189298,,                587052,,                              1.49,                              1.49,,                              1.47,                              1.47,                              0,                120355,                233714,                  1668,,                 42301,                    284,                              0,                              0,                              0
8249,2013年04月01日至2013年06月30日,,              1230669,,              1112112,                118557,                118557,,,                 19391,,                 40742,,                 20387,                 80520,                 38037,,,                 10888,,                 -5127,,                  1927,,                   -270,                  3564,                 41601,,                 13948,                 27653,                 27653,,,,,,,,                120343,                147996,,                 27653,,                147996,,                              0.22,                              0.22,,                              0.22,                              0.22,                              0,                 38398,                 72660,,,                  9285,,,                              0,
8249,2013年01月01日至2013年12月31日,,              4780858,,              4197671,                583187,                583187,,,                 85019,,                170508,,                 96431,                351958,                231229,,,                 59580,,                -17244,,                  7175,,                  7424,                 42585,                273814,,                 84516,                189298,                189298,,,,,,,,                397754,                587052,,                189298,,                587052,,                              1.49,                              1.49,,                              1.47,                              1.47,,                120355,                233714,                  1668,,                 42301,                    284,,,
8249,2013年01月01日至2013年09月30日,,              3467481,,              3074532,                392949,                392949,,,                 61556,,                120725,,                 64957,                247238,                145711,,,                 49920,,                -11206,,                  5676,,                  1559,                 34597,                180308,,                 60065,                120243,                120243,,,,,,,,                256266,                376509,,                120243,,                376509,,                              0.95,                              0.95,,                              0.93,                              0.93,,                 76474,                155112,,,                 24680,,,,
8249,2013年01月01日至2013年06月30日,,              2030769,,              1835340,                195429,                195429,,,                 36190,,                 76346,,                 39080,                151616,                 43813,,,                 19263,,                 -1500,,                  4117,,                 -3611,                 10035,                 53848,,                 16246,                 37602,                 37602,,,,,,,,                225960,                263562,,                 37602,,                263562,,                              0.30,                              0.30,,                              0.29,                              0.29,,                103750,                107170,,,                 15040,,,,
8249,2013年01月01日至2013年03月31日,,                800100,,                723228,                 76872,                 76872,,,                 16799,,                 35604,,                 18693,                 71096,                  5776,,,                  8375,,                  3627,,                  2190,,                 -3341,                  6471,                 12247,,                  2298,                  9949,                  9949,,,,,,,,                105617,                115566,,                  9949,,                115566,,                              0.08,                              0.08,,                              0.08,                              0.08,,                 65352,                 34510,,,                  5755,,,,
8249,2012年04月01日至2012年06月30日,,              1317766,,              1179276,                138490,                138490,,,                 19368,,                 41940,,                 24071,                 85379,                 53111,,,                 15290,,                  1662,,                  3261,,                 -1622,                 12069,                 65180,,                  5213,                 59967,                 59967,,,,,,,,                   -976,                 58991,,                 59967,,                 58991,,                              0.47,                              0.47,,                              0.47,                              0.47,                              0,                 18189,                -13327,,,                 -5838,,,                              0,
8249,2012年01月01日至2012年12月31日,,              4713155,,              4271320,                441835,                441835,,,                 68510,,                154610,,                 97469,                320589,                121246,,,                 82965,,                -18889,,                 10100,,                  7330,                 61306,                182552,,                 34004,                148548,                148548,,,,,,,,                -48443,                100105,,                148548,,                100105,,                              1.17,                              1.17,,                              1.15,                              1.15,,                -69581,                 25708,                 -1120,,                 -3640,                   -190,,,
8249,2012年01月01日至2012年06月30日,,              2502417,,              2273913,                228504,                228504,,,                 33589,,                 77530,,                 47270,                158389,                 70115,,,                 31756,,                 -5346,,                  6691,,                 -1213,                 18506,                 88621,,                  7399,                 81222,                 81222,,,,,,,,                -29486,                 51736,,                 81222,,                 51736,,                              0.64,                              0.64,,                              0.63,                              0.63,                              0,                -39649,                  7117,,,                  3046,,,                              0,
8249,2012年01月01日至2012年03月31日,,              1184651,,              1094637,                 90014,                 90014,,,                 14221,,                 35590,,                 23199,                 73010,                 17004,,,                 16466,,                 -7008,,                  3430,,                    409,                  6437,                 23441,,                  2186,                 21255,                 21255,,,,,,,,                -28510,                 -7255,,                 21255,,                 -7255,,                              0.17,                              0.17,,                              0.17,                              0.17,                              0,                -57838,                 20444,,,                  8884,,,                              0,
