證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 銷貨成本,　　　 銷貨成本合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 租賃收入,　　　 租賃收入合計
2106,2015年第3季,,,              8111536,              8111536,,              5924598,              2186938,              2186938,,,                687053,,                225499,,                264349,              1176901,              1010037,,,                230517,,                291173,,                 39092,                482598,              1492635,,                221187,              1271448,              1271448,,,                916127,                155742,                760385,                760385,              2031833,,              1271447,                              0,                      1,,              2031833,                              0,                              0,,                              1.48,,                              1.48,,,,,,,,,,,,,,,,,,,,
2106,2015年第2季,,,              8447797,              8447797,,              6062728,              2385069,              2385069,,,                698526,,                248584,,                261531,              1208641,              1176428,,,                 70819,,                -12561,,                 47746,                 10512,              1186940,,                342923,                844017,                844017,,,               -283494,                -48194,               -235300,               -235300,                608717,,                844017,                              0,,,                608717,                              0,                              0,,                              1.03,,                              1.03,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
2106,2015年01月01日至2015年09月30日,,,             23992405,             23992405,,             17556427,              6435978,              6435978,,,              2049610,,                709434,,                770142,              3529186,              2906792,,,                391053,,                204258,,                129558,                465753,              3372545,,                689187,              2683358,              2683358,,,                260377,                 44265,                216112,                216112,              2899470,,              2683357,                              0,                      1,,              2899472,                              0,                     -2,,                              3.13,,                              3.13,,,,,,,,,,,,,,,,,,,,
2106,2015年01月01日至2015年06月30日,,,             15880869,             15880869,,             11631829,              4249040,              4249040,,,              1362557,,                483935,,                505793,              2352285,              1896755,,,                160536,,                -86915,,                 90466,                -16845,              1879910,,                468000,              1411910,              1411910,,,               -655750,               -111477,               -544273,               -544273,                867637,,              1411910,                              0,,,                867639,                              0,                     -2,,                              1.73,,                              1.73,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
2106,2015年01月01日至2015年03月31日,,,,              7433072,,              5569101,              1863971,              1863971,,,                664031,,                235351,,                244262,              1143644,                720327,,,                 89717,,                -74354,,                 42720,                -27357,                692970,,                125077,                567893,                567893,,,               -372256,                -63283,               -308973,               -308973,                258920,,                567893,                              0,                              0,,                258922,                              0,                     -2,,                              0.70,,                              0.70,,,,,,,,,,,,,              5569101,,                              0,,,,,
2106,2014年第3季,,,              8413978,              8413978,,              6157156,              2256822,              2256822,,,                730100,,                192023,,                142014,              1064137,              1192685,,,                 64394,,                 22955,,                 36086,                 51263,              1243948,,                308186,                935762,                935762,,,                407960,                 69353,                338607,                338607,              1274369,,                935762,                              0,                              0,,              1274369,                              0,                              0,,                              1.09,,                              1.09,,,,,,,,,,,,,,,,,,,,
2106,2014年第2季,,,              9101326,              9101326,,              6712457,              2388869,              2388869,,,                749213,,                267467,,                146157,              1162837,              1226032,,,                 61186,,                -62115,,                 33239,                -34168,              1191864,,                281373,                910491,                910491,,,               -425615,                -72354,               -353261,               -353261,                557230,,                910491,                              0,,,                557230,                              0,                              0,,                              1.12,,                              1.11,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
2106,2014年度,,,,             33292513,,             24486803,              8805710,              8805710,,,              2859256,,                946668,,                701856,              4507780,              4297930,,,                284640,,                139573,,                144575,                279638,              4577568,,                900149,              3677419,              3677419,,,,,,              1056172,              4733591,,              3677419,                              0,,,              4733591,                              0,,,                              4.50,,                              4.50,,,,,,,,,,,,,,,,              1320197,                -47701,                216324,,
2106,2014年01月01日至2014年09月30日,,,             25417194,             25417194,,             18747394,              6669800,              6669800,,,              2145530,,                690333,,                417961,              3253824,              3415976,,,                170428,,                 30154,,                102408,                 98174,              3514150,,                811793,              2702357,              2702357,,,                305961,                 52013,                253948,                253948,              2956305,,              2702357,                              0,                              0,,              2956305,                              0,                              0,,                              3.15,,                              3.15,,,,,,,,,,,,,,,,,,,,
2106,2014年01月01日至2014年06月30日,,,             17003216,             17003216,,             12590238,              4412978,              4412978,,,              1415430,,                498310,,                275947,              2189687,              2223291,,,                106034,,                  7199,,                 66322,                 46911,              2270202,,                503607,              1766595,              1766595,,,               -101999,                -17340,                -84659,                -84659,              1681936,,              1766595,                              0,,,              1681936,                              0,                              0,,                              2.16,,                              2.16,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,
