證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資性不動產利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 處分不動產、廠房及設備損失,　　 與其他綜合損益組成部分相關之所得稅,　　　 透過損益按公允價值衡量之金融資產（負債）利益
1454,2015年第3季,,,,                520476,                    306,                     65,                520105,                520105,,                469081,                 51024,                 51024,,,                 21300,,                 15436,,                  1726,                 38462,,                   -122,                   -122,                 12440,,,,                              0,                  7277,                     53,                  7330,,                              0,                     -3,                  7094,                 -2277,                  9368,,                    202,                 16496,                 28936,,                  3495,                 25441,                 25441,,,                -24124,                -24124,                -24124,                  1317,,                 25443,                     -2,,                  1319,                     -2,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,,
1454,2015年第2季,,,,                559276,                    701,                  1535,                557040,                557040,,                493444,                 63596,                 63596,,,                 22334,,                 -4627,,                  1633,                 19340,,                   -180,                   -180,                 44076,,,,                     25,,                  1303,                  1328,,                              0,                  4035,                              0,                  1807,                  2228,,                    536,                  3020,                 47096,,                  9357,                 37739,                 37739,,,                 37304,                 37304,                 37304,                 75043,,                 37736,                      3,,                 75040,                      3,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,,,
1454,2015年01月01日至2015年09月30日,,,,              1612022,                  3152,                  1833,              1607037,              1607037,,              1426892,                180145,                180145,,,                 64717,,                 22960,,                  4610,                 92287,,                   -239,                   -239,                 87619,,,,                     25,                  7277,                  1381,                  8683,,                              0,                  4032,                  7094,                              0,                 11126,,                  1190,                 18619,                106238,,                 17188,                 89050,                 89050,,,                 13728,                 13728,                 13728,                102778,,                 89049,                      1,,                102777,                      1,,                              0.67,                              0.67,,                              0.67,                              0.67,,,,,,,,
1454,2015年01月01日至2015年06月30日,,,,              1091546,                  2846,                  1768,              1086932,              1086932,,                957811,                129121,                129121,,,                 43417,,                  7524,,                  2884,                 53825,,                   -117,                   -117,                 75179,,,,                     25,,                  1328,                  1353,,                              0,                  4035,                              0,                  2277,                  1758,,                    988,                  2123,                 77302,,                 13693,                 63609,                 63609,,,                 37852,                 37852,                 37852,                101461,,                 63606,                      3,,                101458,                      3,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,,,
1454,2015年01月01日至2015年03月31日,,,,                532270,                  2145,                    233,                529892,                529892,,                464367,                 65525,                 65525,,,                 21083,,                 12151,,                  1251,                 34485,,                     63,                     63,                 31103,,,,,,                     25,                     25,,                              0,                              0,                              0,                    470,                   -470,,                    452,                   -897,                 30206,,                  4336,                 25870,                 25870,,,                    548,                    548,                    548,                 26418,,                 25870,                              0,,                 26418,                              0,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,
1454,2014年第3季,,,,                563300,                  1770,                      6,                561524,                561524,,                512209,                 49315,                 49315,,,                 22239,,                  9039,,                    876,                 32154,,                     10,                     10,                 17171,,,,                              0,                 10993,                    685,                 11678,,                              0,                              0,                  2598,                              0,                  2598,,                    652,                 13624,                 30795,,                  1953,                 28842,                 28842,,,                -18001,                -18001,                -18001,                 10841,,                 28842,                              0,,                 10841,                              0,,                              0.22,                              0.22,,                              0.22,                              0.22,,,,,,,,
1454,2014年第2季,,,,                555040,                    585,                    193,                554262,                554262,,                503252,                 51010,                 51010,,,                 20735,,                 10319,,                  1011,                 32065,,                     65,                     65,                 19010,,,,                     21,,                    263,                    284,,                              0,                              0,                 -2467,                              0,                 -2467,,                    456,                 -2639,                 16371,,                  2092,                 14279,                 14279,,,                 -7447,                 -7447,                 -7447,                  6832,,                 14279,                              0,,                  6832,                              0,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,
1454,2014年度,,,,              2116766,                  6098,                  2469,              2108199,              2108199,,              1930468,                177731,                177731,,,                 80371,,                 43770,,                  4125,                128266,,                     33,                     33,                 49498,,,,                     44,                 10993,                  1531,                 12568,,                  3335,                  1665,                  8547,,                 13547,,                  1609,                 24506,                 74004,,                  5460,                 68544,                 68544,,,,,                -55553,                 12991,,                 68543,                      1,,                 12990,                      1,,                              0.52,                              0.52,,                              0.52,                              0.52,                              0,                              0,                -40888,                -17668,                  3003,,,
1454,2014年01月01日至2014年09月30日,,,,              1576756,                  4402,                    452,              1571902,              1571902,,              1445844,                126058,                126058,,,                 60444,,                 29485,,                  3047,                 92976,,                     60,                     60,                 33142,,,,                     21,                 10993,                  1241,                 12255,,                  3335,                  1665,                  4855,                              0,                  9855,,                  1299,                 20811,                 53953,,                  4144,                 49809,                 49809,,,                -37053,                -37053,                -37053,                 12756,,                 49808,                      1,,                 12755,                      1,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,
1454,2014年01月01日至2014年06月30日,,,,              1013456,                  2632,                    446,              1010378,              1010378,,                933635,                 76743,                 76743,,,                 38205,,                 20446,,                  2171,                 60822,,                     50,                     50,                 15971,,,,                     21,,                    556,                    577,,                  3335,                  1665,                  2257,                              0,                  7257,,                    647,                  7187,                 23158,,                  2191,                 20967,                 20967,,,                -19052,                -19052,                -19052,                  1915,,                 20966,                      1,,                  1914,                      1,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,
