證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6117,2013年度,,              3152587,,              2578204,                574383,                574383,,,                160267,,                268463,,                115746,                544476,                 29907,,,                 19849,,                 11559,,                 16626,                 14782,                 44689,,                 24214,                 20475,                 20475,,,,,,,                 62822,                 83297,,                 20475,                              0,,                 83297,                              0,,                              0.23,,                              0.23,,,                              0,                              0,                 54475,                 10057,                  1710
6117,2013年07月01日至2013年09月30日,,                744263,,                633761,                110502,                110502,,,                 38563,,                 65676,,                 30414,                134653,                -24151,,,                  9734,,                 -5370,,                  4083,                    281,                -23870,,                  1652,                -25522,                -25522,,,,,,,                 -8756,                -34278,,                -25522,                              0,,                -34278,                              0,,                             -0.29,,,,,,,                 -8756,,
6117,2013年04月01日至2013年06月30日,,                725351,,                572259,                153092,                153092,,,                 41311,,                 65631,,                 27387,                134329,                 18763,,,                  6314,,                  3870,,                  4105,                  6079,                 24842,,                  7987,                 16855,                 16855,,,,,,,                 19310,                 36165,,                 16855,                              0,,                 36165,                              0,,                              0.19,,,,,,,                 19310,,
6117,2013年01月01日至2013年12月31日,,              3152587,,              2578204,                574383,                574383,,,                160267,,                268463,,                115746,                544476,                 29907,,,                 19849,,                 11559,,                 16626,                 14782,                 44689,,                 24214,                 20475,                 20475,,,,,,,                 62822,                 83297,,                 20475,                              0,,                 83297,                              0,,                              0.23,,                              0.23,,,                              0,                              0,                 54475,                 10057,                  1710
6117,2013年01月01日至2013年09月30日,,              2327327,,              1912724,                414603,                414603,,,                119965,,                201200,,                 87658,                408823,                  5780,,,                 17415,,                  7806,,                 12642,                 12579,                 18359,,                 14559,                  3800,                  3800,,,,,,,                 38609,                 42409,,                  3800,,,                 42409,,,                              0.04,,                              0.04,,,,,                 38609,,
6117,2013年01月01日至2013年06月30日,,              1583064,,              1278963,                304101,                304101,,,                 81402,,                135524,,                 57244,                274170,                 29931,,,                  8630,,                 12227,,                  8559,                 12298,                 42229,,                 12907,                 29322,                 29322,,,,,,,                 47365,                 76687,,                 29322,                              0,,                 76687,                              0,,                              0.33,,                              0.33,,,,,                 47365,,
6117,2013年01月01日至2013年03月31日,,                857713,,                706704,                151009,                151009,,,                 40091,,                 69893,,                 29857,                139841,                 11168,,,                  2457,,                  8216,,                  4454,                  6219,                 17387,,                  4920,                 12467,                 12467,,,,,,,                 28055,                 40522,,                 12467,,,                 40522,,,                              0.14,,                              0.14,,                857713,,,                 28055,,
6117,2012年07月01日至2012年09月30日,,                723914,,                603392,                120522,                120522,,,                 40721,,                 63943,,                 26399,                131063,                -10541,,,                  3589,,                 -3234,,                  5074,                 -4719,                -15260,,                 -1380,                -13880,                -13880,,,,,,,                -21270,                -35150,,                -11420,                 -2460,,                -31616,                 -3534,,                             -0.13,,,,,,,                -21270,,
6117,2012年04月01日至2012年06月30日,,                814288,,                676722,                137566,                137566,,,                 46274,,                 61307,,                 28206,                135787,                  1779,,,                  8359,,                 -2795,,                  5024,                    540,                  2319,,                  4883,                 -2564,                 -2564,,,,,,,                 10874,                  8310,,                   -836,                 -1728,,                  9660,                 -1350,,                             -0.01,,,,,,,                 10874,,
6117,2012年01月01日至2012年12月31日,,              3058033,,              2567845,                490188,                490188,,,                162902,,                257373,,                111042,                531317,                -41129,,,                 26168,,                 -9940,,                 19555,                 -3327,                -44456,,                  2087,                -46543,                -46543,,,,,,,                -61473,               -108016,,                -37766,                 -8777,,                -96687,                -11329,,                             -0.43,,                             -0.43,,,                              0,                              0,                -46848,                -17621,                 -2996
6117,2012年01月01日至2012年09月30日,,              2268514,,              1897899,                370615,                370615,,,                123824,,                190693,,                 82600,                397117,                -26502,,,                 16860,,                -10290,,                 14789,                 -8219,                -34721,,                  3809,                -38530,                -38530,,,,,,,                -39204,                -77734,,                -30236,                 -8294,,                -67325,                -10409,,                             -0.34,,,,,,,                -39204,,
6117,2012年01月01日至2012年06月30日,,              1544600,,              1294507,                250093,                250093,,,                 83103,,                126750,,                 56201,                266054,                -15961,,,                 13271,,                 -7056,,                  9715,                 -3500,                -19461,,                  5189,                -24650,                -24650,,,,,,,                -17934,                -42584,,                -18816,                 -5834,,                -35709,                 -6875,,                             -0.21,,,,,,,                -17934,,
6117,2012年01月01日至2012年03月31日,,                730312,,                617785,                112527,                112527,,,                 36829,,                 65443,,                 27995,                130267,                -17740,,,                  4912,,                 -4261,,                  4691,                 -4040,                -21780,,                    306,                -22086,                -22086,,,,,,,                -28808,                -50894,,                -17980,                 -4106,,                -45369,                 -5525,,                             -0.20,,,,                730312,,,                -28808,,
