證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額
4927,2013年07月01日至2013年09月30日,,              1665529,,              1303352,                362177,                362177,,                188119,                174058,,,                  2196,,                -22341,,                 14885,,                              0,                -35030,                139028,,,                  9049,                129979,                129979,,,,,,                -84378,                 45601,,                129174,                    805,,                 45260,                    341,,                              1.35,,                              1.25,                  9049,                -84378,,,              1665177,              1665177,                  3672,                    -86,              1661591,,                  3938,                  3938
4927,2013年04月01日至2013年06月30日,,              1600840,,              1292178,                308662,                308662,,                171078,                137584,,,                  2920,,                -85525,,                 12970,,                              0,                -95575,                 42009,,,                  3052,                 38957,                 38957,,,,,,               -158588,               -119631,,                 38711,                    246,,               -119006,                   -625,,                              0.41,,                              0.40,                  3052,               -158588,,,              1596265,              1596265,                  1338,                    106,              1594821,,                  6019,                  6019
4927,2013年01月01日至2013年12月31日,,              6340786,,              5095825,              1244961,              1244961,,                712632,                532329,,,                 12236,,                -96741,,                 56685,,,               -141190,                391139,,,                 38364,                352775,                352775,,,,,,               -132400,                220375,,                350705,                  2070,,                219032,                  1343,,                              3.70,,                              3.31,                 38364,               -132400,,,              6321258,              6321258,                 11742,                  1569,              6307947,,                 32839,                 32839
4927,2013年01月01日至2013年09月30日,,              4769195,,              3839586,                929609,                929609,,                521641,                407968,,,                  5561,,                -55859,,                 38570,,                              0,                -88868,                319100,,,                 23972,                295128,                295128,,,,,,                -20137,                274991,,                293366,                  1762,,                273338,                  1653,,                              3.11,,                              2.81,                 23972,                -20137,,,,,,,,,,
4927,2013年01月01日至2013年06月30日,,              3103666,,              2536234,                567432,                567432,,                333522,                233910,,,                  3365,,                -33518,,                 23685,,                              0,                -53838,                180072,,,                 14923,                165149,                165149,,,,,,                 64241,                229390,,                164192,                    957,,                228078,                  1312,,                              1.75,,                              1.56,                 14923,                 64241,,,,,,,,,,
4927,2013年01月01日至2013年03月31日,,              1502826,,              1244056,                258770,                258770,,                162444,                 96326,,,                    445,,                 52007,,                 10715,,                              0,                 41737,                138063,,,                 11871,                126192,                126192,,,,,,                222829,                349021,,                125481,                    711,,                347084,                  1937,,                              1.35,,                              1.16,                 11871,                222829,,,              1491304,              1491304,                  3677,                  2056,              1485571,,                 17255,                 17255
4927,2012年07月01日至2012年09月30日,,              1620833,,              1289936,                330897,                330897,,                169147,                161750,,,                    762,,                 37070,,                 14906,,                 -2878,                 20048,                181798,,,                  8313,                173485,                173485,,,,,,                 30379,                203864,,                172331,                  1154,,                202515,                  1349,,                              1.85,,                              1.85,                  8313,                 30379,,,              1620819,              1620819,                 13004,                   -129,              1607944,,                 12889,                 12889
4927,2012年04月01日至2012年06月30日,,              1334402,,              1041456,                292946,                292946,,                141618,                151328,,,                  2026,,                -29803,,                 12634,,                  3265,                -37146,                114182,,,                  6107,                108075,                108075,,,,,,                -42711,                 65364,,                107362,                    713,,                 64928,                    436,,                              1.16,,                              1.15,                  6107,                -42711,,,              1337511,              1337511,                 17633,                  1351,              1318527,,                 15875,                 15875
4927,2012年01月01日至2012年12月31日,,              5739338,,              4541068,              1198270,              1198270,,                593438,                604832,,,                 10747,,                 22892,,                 58190,,,                -24551,                580281,,,                 33901,                546380,                546380,,,,,,                -17525,                528855,,                543229,                  3151,,                525630,                  3225,,                              5.84,,                              5.79,                 33901,                -17525,,,              5741757,              5741757,                 59378,                  4940,              5677439,,                 61899,                 61899
4927,2012年01月01日至2012年09月30日,,              4310911,,              3372834,                938077,                938077,,                442663,                495414,,,                  9143,,                 17495,,                 43530,,                 -6434,                -23326,                472088,,,                 28404,                443684,                443684,,,,,,                -15082,                428602,,                440737,                  2947,,                425754,                  2848,,                              4.74,,                              4.74,                 28404,                -15082,,,              4303635,              4303635,                 41596,                  4674,              4257365,,                 53546,                 53546
4927,2012年01月01日至2012年06月30日,,              2690078,,              2082898,                607180,                607180,,                273516,                333664,,,                  8381,,                -19575,,                 28624,,                 -3556,                -43374,                290290,,,                 20091,                270199,                270199,,,,,,                -45461,                224738,,                268406,                  1793,,                223239,                  1499,,                              2.89,,                              2.89,                 20091,                -45461,,,              2682816,              2682816,                 28592,                  4803,              2649421,,                 40657,                 40657
4927,2012年01月01日至2012年03月31日,,              1355676,,              1041442,                314234,                314234,,                131898,                182336,,,                  6355,,                 10228,,                 15990,,                 -6821,                 -6228,                176108,,,                 13984,                162124,                162124,,,,,,                 -2750,                159374,,                161044,                  1080,,                158311,                  1063,,                              1.73,,                              1.73,                 13984,                 -2750,,,              1345305,              1345305,                              0,                 14411,              1330894,,                 24782,                 24782
