證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 技術服務收入,　　　　 技術服務收入,　　　　 技術服務收入淨額,　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 加工成本,　　　 勞務成本合計
1702,2015年第3季,,              4091717,,              2600606,              1491111,              1491111,,,                605843,,                296108,,                 35793,                937744,                553367,,,                 51470,,               -181479,,                 35108,               -165117,                388250,,                148199,                240051,                240051,,,                210252,                 -1380,                              0,                208872,                208872,                448923,,                224837,                 15214,,                428734,                 20189,,                              0.91,,                              0.91,,,,,,,,,,,,,,,,,,,,,,
1702,2015年第2季,,              3807228,,              2433663,              1373565,              1373565,,,                561316,,                299326,,                 32462,                893104,                480461,,,                 50970,,                  2805,,                 38787,                 14988,                495449,,                166052,                329397,                329397,,,               -134489,                   -355,                              0,               -134844,               -134844,                194553,,                306851,                 22546,,                175270,                 19283,,                              1.24,,                              1.24,,,,,,,,,,,,,,,,,,,,,,
1702,2015年01月01日至2015年09月30日,,             11473501,,              7362125,              4111376,              4111376,,,              1714011,,                864958,,                 99847,              2678816,              1432560,,,                131986,,               -201313,,                111335,               -180662,              1251898,,                393071,                858827,                858827,,,                 27552,                 -2008,                              0,                 25544,                 25544,                884371,,                820863,                 37964,,                846276,                 38095,,                              3.31,,                              3.31,,,,,,,,,,,,,,,,,,,,,,
1702,2015年01月01日至2015年06月30日,,              7381784,,              4761519,              2620265,              2620265,,,              1108168,,                568850,,                 64054,              1741072,                879193,,,                 80516,,                -19834,,                 76227,                -15545,                863648,,                244872,                618776,                618776,,,               -182700,                   -628,                              0,               -183328,               -183328,                435448,,                596026,                 22750,,                417542,                 17906,,                              2.40,,                              2.40,,,,,,,,,,,,,,,,,,,,,,
1702,2015年01月01日至2015年03月31日,,              3574556,,              2327856,              1246700,              1246700,,,                546852,,                269524,,                 31592,                847968,                398732,,,                 29546,,                -22639,,                 37440,                -30533,                368199,,                 78820,                289379,                289379,,,                -48211,                   -273,                              0,                -48484,                -48484,                240895,,                289175,                    204,,                242272,                 -1377,,                              1.17,,                              1.16,,,,,,,,,,,,,,,,,,,,,,
1702,2014年第3季,,              3864379,,              2607534,              1256845,              1256845,,,                559618,,                291695,,                 30730,                882043,                374802,,,                 31083,,                 35696,,                 39379,                 27400,                402202,,                146914,                255288,                255288,,,                106508,                 -1983,                              0,                104525,                104525,                359813,,                235190,                 20098,,                335879,                 23934,,                              0.95,,                              0.95,,,,,,,,,,,,,,,,,,,,,,
1702,2014年第2季,,              3797079,,              2516412,              1280667,              1280667,,,                528921,,                268375,,                 31319,                828615,                452052,,,                 29735,,                  4095,,                 28462,                  5368,                457420,,                167061,                290359,                290359,,,                -95708,                    342,                              0,                -95366,                -95366,                194993,,                270734,                 19625,,                178340,                 16653,,                              1.09,,                              1.09,,,,,,,,,,,,,,,,,,,,,,
1702,2014年度,,             14831846,,              9913530,              4918316,              4918316,,,              2094263,,              1120434,,                125678,              3340375,              1577941,,,                157000,,                -30377,,                125961,                    662,              1578603,,                569866,              1008737,              1008737,,,,,,,                165608,              1174345,,                948634,                 60103,,              1109117,                 65228,,                              3.82,,                              3.82,                177728,                   -820,                -11300,                              0,,,,,,,,,,,,,,,,,,
1702,2014年01月01日至2014年09月30日,,             11023916,,              7390437,              3633479,              3633479,,,              1570101,,                816495,,                 90641,              2477237,              1156242,,,                100876,,                  7772,,                 94313,                 14335,              1170577,,                409350,                761227,                761227,,,                 30212,                 -1436,                              0,                 28776,                 28776,                790003,,                715187,                 46040,,                743793,                 46210,,                              2.88,,                              2.88,,,,,,,,,,,,,,,,,,,,,,
1702,2014年01月01日至2014年06月30日,,              7159537,,              4782903,              2376634,              2376634,,,              1010483,,                524800,,                 59911,              1595194,                781440,,,                 69793,,                -27924,,                 54934,                -13065,                768375,,                262436,                505939,                505939,,,                -76296,                    547,                              0,                -75749,                -75749,                430190,,                479997,                 25942,,                407914,                 22276,,                              1.93,,                              1.93,,,,,,,,,,,,,,,,,,,,,,
1702,2014年01月01日至2014年03月31日,,              3362458,,              2266491,              1095967,              1095967,,,                481562,,                256425,,                 28592,                766579,                329388,,,                 40058,,                -32019,,                 26472,                -18433,                310955,,                 95375,                215580,                215580,,,                 19412,                    205,                              0,                 19617,                 19617,                235197,,                209263,                  6317,,                229574,                  5623,,                              0.84,,                              0.84,,,,,,,,,,,,,,,,,,,,,,
1702,2013年第3季,,              3610616,,              2429338,              1181278,              1181278,,,                493081,,                248164,,                 28459,                769704,                411574,,,                 17360,,                 -3636,,                 24052,                -10328,                401246,,                126691,                274555,                274555,,,,,,,                -60948,                213607,,                260490,                 14065,,                201193,                 12414,,                              1.05,,                              1.05,                -60884,                    -64,,                              0,,,,,,,,,,,,,,,,,,
1702,2013年第2季,,              3413818,,              2307355,              1106463,              1106463,,,                458725,,                255719,,                 23502,                737946,                368517,,,                 17148,,                 10863,,                 22954,                  5057,                373574,,                146682,                226892,                226892,,,,,,,                -14519,                212373,,                208621,                 18271,,                191817,                 20556,,                              0.84,,                              0.84,                -13768,                   -751,,                              0,,,,,,,,,,,,,,,,,,
1702,2013年度,,             13426115,,              9100697,              4325418,              4325418,,,              1838043,,                989779,,                110587,              2938409,              1387009,,,                 77818,,                -42683,,                 94047,                -58912,              1328097,,                428551,                899546,                899546,,,,,,,                102365,              1001911,,                854366,                 45180,,                948536,                 53375,,                              3.44,,                              3.44,                124052,                   -137,                -21550,                              0,,,,,,,,,,,,,,,,,,
1702,2013年07月01日至2013年09月30日,,              3610616,,              2429338,              1181278,              1181278,,,                493081,,                248164,,                 28459,                769704,                411574,,,                 17360,,                 -3636,,                 24052,                -10328,                401246,,                126691,                274555,                274555,,,,,,,                -60948,                213607,,                260490,                 14065,,                201193,                 12414,,                              1.05,,                              1.05,                -60884,                    -64,,                              0,,,,,,,,,,,,,,,,,,
1702,2013年04月01日至2013年06月30日,,              3413818,,              2307355,              1106463,              1106463,,,                458725,,                255719,,                 23502,                737946,                368517,,,                 17148,,                 10863,,                 22954,                  5057,                373574,,                146682,                226892,                226892,,,,,,,                -14519,                212373,,                208621,                 18271,,                191817,                 20556,,                              0.84,,                              0.84,                -13768,                   -751,,                              0,,,,,,,,,,,,,,,,,,
1702,2013年01月01日至2013年12月31日,,             13426115,,              9100697,              4325418,              4325418,,,              1838043,,                989779,,                110587,              2938409,              1387009,,,                 77818,,                -42683,,                 94047,                -58912,              1328097,,                428551,                899546,                899546,,,,,,,                102365,              1001911,,                854366,                 45180,,                948536,                 53375,,                              3.44,,                              3.44,                124052,                   -137,                -21550,                              0,,,,,,,,,,,,,,,,,,
