證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
9945,2015年第3季,,              4584709,,              3144891,              1439818,              1439818,,,                272203,,                210980,,                 10479,                493662,                946156,,,                273581,,                 26901,,                101812,,              2595378,              2794048,              3740204,,                 23935,              3716269,              3716269,,,                137863,                121129,,             -8289272,                -48782,             -7981498,             -7981498,             -4265229,,              3496066,                220203,,             -4267744,                  2515,,                              2.72,                              2.72,,                              2.71,                              2.71,,,,,,,,,,,
9945,2015年第2季,,              2037114,,              1542037,                495077,                495077,,,                175670,,                187058,,                  9771,                372499,                122578,,,                 26627,,                -32578,,                 86978,,              1647114,              1554185,              1676763,,                 34976,              1641787,              1641787,,,                -40230,               -282241,,             -3422148,                -29202,             -3715417,             -3715417,             -2073630,,              1545544,                 96243,,             -2213812,                140182,,                              1.34,                              1.34,,                              1.34,                              1.34,,,,,,,,,,,
9945,2015年01月01日至2015年09月30日,,              8787497,,              6349555,              2437942,              2437942,,,                617232,,                606786,,                 36531,              1260549,              1177393,,,                314333,,                 73426,,                249764,,              5837791,              5975786,              7153179,,                125946,              7027233,              7027233,,,                 51084,               -355401,,             -9886761,                -50955,            -10140123,            -10140123,             -3112890,,              6629377,                397856,,             -3345592,                232702,,                              5.53,                              5.53,,                              5.51,                              5.51,,,,,,,,,,,
9945,2015年01月01日至2015年06月30日,,              4202788,,              3204664,                998124,                998124,,,                345029,,                395806,,                 26052,                766887,                231237,,,                 40752,,                 46525,,                147952,,              3242413,              3181738,              3412975,,                102011,              3310964,              3310964,,,                -86779,               -476530,,             -1597489,                 -2173,             -2158625,             -2158625,              1152339,,              3133311,                177653,,                922152,                230187,,                              2.72,                              2.72,,                              2.71,                              2.71,,,,,,,,,,,
9945,2015年01月01日至2015年03月31日,,              2165674,,              1662627,                503047,                503047,,,                169359,,                208748,,                 16281,                394388,                108659,,,                 14125,,                 79103,,                 60974,,              1595299,              1627553,              1736212,,                 67035,              1669177,              1669177,,,                -46549,               -194289,,              1824659,                 27029,              1556792,              1556792,              3225969,,              1587767,                 81410,,              3135964,                 90005,,                              1.38,                              1.38,,                              1.37,                              1.37,,,,,,,,,,,
9945,2014年第3季,,              3002027,,              2404922,                597105,                597105,,,                268033,,                218121,,                 13554,                499708,                 97397,,,                225290,,                277553,,                 94746,,              2549001,              2957098,              3054495,,                 49257,              3005238,              3005238,,,                 60128,               -697569,,             -6383147,               -131933,             -6888655,             -6888655,             -3883417,,              2720084,                285154,,             -4004820,                121403,,                              2.36,                              2.36,,                              2.35,                              2.35,,,,,,,,,,,
9945,2014年第2季,,              3411138,,              2577834,                833304,                833304,,,                241452,,                181648,,                  9278,                432378,                400926,,,                 25030,,                221888,,                106776,,                993085,              1133227,              1534153,,                -20124,              1554277,              1554277,,,                -56800,              1186981,,              2126226,                102597,              3153810,              3153810,              4708087,,              1415349,                138928,,              4510295,                197792,,                              1.23,                              1.23,,                              1.22,                              1.22,,,,,,,,,,,
9945,2014年度,,             12291900,,              9623262,              2668638,              2668638,,,              1017792,,                881603,,                 45877,              1945272,                723366,,,                384902,,                531987,,                422767,,              6206320,              6700442,              7423808,,                138605,              7285203,              7285203,,,,,,,,,              3116775,             10401978,,              6568581,                716622,,              9854503,                547475,,                              5.69,                              5.69,,                              5.67,                              5.67,,                              0,                471523,                488512,                              0,                 11317,,              2445566,                300143,                              0.00,                              0.00
9945,2014年01月01日至2014年09月30日,,              9378656,,              7375539,              2003117,              2003117,,,                753542,,                584348,,                 36229,              1374119,                628998,,,                275892,,                524407,,                311354,,              4523709,              5012654,              5641652,,                 69726,              5571926,              5571926,,,                 43181,                604931,,             -2614193,                 31227,             -1997308,             -1997308,              3574618,,              5043454,                528472,,              3217815,                356803,,                              4.37,                              4.37,,                              4.36,                              4.36,,,,,,,,,,,
9945,2014年01月01日至2014年06月30日,,              6376629,,              4970617,              1406012,              1406012,,,                485509,,                366227,,                 22675,                874411,                531601,,,                 50875,,                246581,,                216608,,              1974708,              2055556,              2587157,,                 20469,              2566688,              2566688,,,                -16947,              1302500,,              3768954,                163160,              4891347,              4891347,              7458035,,              2323370,                243318,,              7222635,                235400,,                              2.01,                              2.01,,                              2.00,                              2.00,,,,,,,,,,,
