證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 現金流量避險,　　　 銷貨退回,　　　 銷貨折讓
1708,2015年第3季,,,,              1206249,              1206249,              1206249,,,                822437,                822437,                822437,                383812,                383812,,,                 85502,,                 57221,,                    818,                143541,                240271,,,                    473,,                 45625,,                 10133,                 35965,                276236,,                 45437,                230799,                230799,,,                164470,                     48,                              0,                164518,                164518,                395317,,                221282,                  9517,,                385001,                 10316,,                              1.21,,                              1.20,,,,,,,
1708,2015年第2季,,,,              1185673,              1185673,              1185673,,,                790573,                790573,                790573,                395100,                395100,,,                 81223,,                 56889,,                    842,                138954,                256146,,,                    400,,                 10842,,                  9711,                  1531,                257677,,                 65436,                192241,                192241,,,                -34148,                              0,                              0,                -34148,                -34148,                158093,,                183965,                  8276,,                149990,                  8103,,                              1.01,,                              1.00,,,,,,,
1708,2015年01月01日至2015年09月30日,,,,              3550880,              3550880,              3550880,,,              2371417,              2371417,              2371417,              1179463,              1179463,,,                250809,,                169209,,                  2450,                422468,                756995,,,                  1437,,                 69400,,                 29389,                 41448,                798443,,                156508,                641935,                641935,,,                104055,                     48,                              0,                104103,                104103,                746038,,                616116,                 25819,,                719729,                 26309,,                              3.37,,                              3.34,,,,,,,
1708,2015年01月01日至2015年06月30日,,,,              2344631,              2344631,              2344631,,,              1548980,              1548980,              1548980,                795651,                795651,,,                165307,,                111988,,                  1632,                278927,                516724,,,                    964,,                 23775,,                 19256,                  5483,                522207,,                111071,                411136,                411136,,,                -60415,                              0,                              0,                -60415,                -60415,                350721,,                394834,                 16302,,                334728,                 15993,,                              2.16,,                              2.14,,,,,,,
1708,2015年01月01日至2015年03月31日,,,,              1158958,              1158958,              1158958,,,                758407,                758407,                758407,                400551,                400551,,,                 84084,,                 55099,,                    790,                139973,                260578,,,                    564,,                 12933,,                  9545,                  3952,                264530,,                 45635,                218895,                218895,,,                -26267,                              0,                              0,                -26267,                -26267,                192628,,                210869,                  8026,,                184738,                  7890,,                              1.21,,                              1.20,,,,,,,
1708,2014年第3季,,,,              1048591,              1048591,              1048591,,,                715497,                715497,                715497,                333094,                333094,,,                 75938,,                 49684,,                  1032,                126654,                206440,,,                  1604,,                 10152,,                 11213,                    543,                206983,,                 35737,                171246,                171246,,,                 38116,                              0,                              0,                 38116,                 38116,                209362,,                169268,                  1978,,                207169,                  2193,,                              0.93,,                              0.92,,,,,,,
1708,2014年第2季,,,,              1011704,              1011704,              1011704,,,                691371,                691371,                691371,                320333,                320333,,,                 73994,,                 52275,,                  1363,                127632,                192701,,,                  1356,,                 34712,,                 13518,                 22550,                215251,,                 59970,                155281,                155281,,,                -38863,                     68,                              0,                -38795,                -38795,                116486,,                154639,                    642,,                115794,                    692,,                              0.85,,                              0.84,,,,,,,
1708,2014年度,,,,              4188340,              4188340,              4188340,,,              2886535,              2886535,              2886535,              1301805,              1301805,,,                297537,,                205335,,                  4584,                507456,                794349,,,                  4031,,                 83236,,                 46934,                 40333,                834682,,                181396,                653286,                653286,,,,,,,                 86513,                739799,,                649779,                  3507,,                735547,                  4252,,                              3.73,,                              3.71,                125024,                -18343,                -17134,                  3034,,,
1708,2014年01月01日至2014年09月30日,,,,              3078803,              3078803,              3078803,,,              2109610,              2109610,              2109610,                969193,                969193,,,                218237,,                153173,,                  3826,                375236,                593957,,,                  3246,,                 74132,,                 36312,                 41066,                635023,,                131007,                504016,                504016,,,                 38365,                -18296,                              0,                 20069,                 20069,                524085,,                499785,                  4231,,                519589,                  4496,,                              2.74,,                              2.72,,,,,,,
1708,2014年01月01日至2014年06月30日,,,,              2030212,              2030212,              2030212,,,              1394113,              1394113,              1394113,                636099,                636099,,,                142299,,                103489,,                  2794,                248582,                387517,,,                  1642,,                 63980,,                 25099,                 40523,                428040,,                 95270,                332770,                332770,,,                    249,                -18296,                              0,                -18047,                -18047,                314723,,                330517,                  2253,,                312420,                  2303,,                              1.81,,                              1.80,,,,,,,
1708,2014年01月01日至2014年03月31日,,,,              1018508,              1018508,              1018508,,,                702742,                702742,                702742,                315766,                315766,,,                 68305,,                 51214,,                  1431,                120950,                194816,,,                    286,,                 29268,,                 11581,                 17973,                212789,,                 35300,                177489,                177489,,,                 39112,                -18364,                              0,                 20748,                 20748,                198237,,                175878,                  1611,,                196626,                  1611,,                              1.01,,                              1.00,,,,,,,
1708,2013年第3季,,,,                973810,                973810,                973810,,,                744357,                744357,                744357,                229453,                229453,,,                 69340,,                 41960,,                  1361,                112661,                116792,,,                    842,,                  3621,,                  7675,                 -3212,                113580,,                 17092,                 96488,                 96488,,,,,,,                -14352,                 82136,,                 94950,                  1538,,                 80598,                  1538,,                              0.55,,                              0.54,                -23460,                    861,,                              0,                  8247,,
1708,2013年第2季,,,,              1026118,              1026118,              1026118,,,                797677,                797677,                797677,                228441,                228441,,,                 65630,,                 40010,,                  1434,                107074,                121367,,,                    496,,                  5252,,                  7493,                 -1745,                119622,,                 43570,                 76052,                 76052,,,,,,,                  8514,                 84566,,                 74515,                  1537,,                 83029,                  1537,,                              0.43,,                              0.43,                  8713,                   -199,,,,,
1708,2013年度,,,,              4050573,              4050573,              4050573,,,              3128876,              3128876,              3128876,                921697,                921697,,,                278198,,                170528,,                  5886,                454612,                467085,,,                  1814,,                119552,,                 32940,                 88426,                555511,,                117579,                437932,                437932,,,,,,,                  9694,                447626,,                434383,                  3549,,                444622,                  3004,,                              2.50,,                              2.48,                 38801,                -31504,                  1777,                   -620,,,
1708,2013年07月01日至2013年09月30日,,,,                973810,                973810,                973810,,,                744357,                744357,                744357,                229453,                229453,,,                 69340,,                 41960,,                  1361,                112661,                116792,,,                    842,,                  3621,,                  7675,                 -3212,                113580,,                 17092,                 96488,                 96488,,,,,,,                -14352,                 82136,,                 94950,                  1538,,                 80598,                  1538,,                              0.57,,                              0.57,                -23460,                    861,,                              0,                  8247,,
1708,2013年04月01日至2013年06月30日,,,,              1026118,              1026118,              1026118,,,                797677,                797677,                797677,                228441,                228441,,,                 65630,,                 40010,,                  1434,                107074,                121367,,,                    496,,                  5252,,                  7493,                 -1745,                119622,,                 43570,                 76052,                 76052,,,,,,,                  8514,                 84566,,                 74515,                  1537,,                 83029,                  1537,,                              0.45,,                              0.45,                  8713,                   -199,,                              0,,,
1708,2013年01月01日至2013年12月31日,,,,              4050573,              4050573,              4050573,,,              3128876,              3128876,              3128876,                921697,                921697,,,                278198,,                170528,,                  5886,                454612,                467085,,,                  1814,,                119552,,                 32940,                 88426,                555511,,                117579,                437932,                437932,,,,,,,                  9694,                447626,,                434383,                  3549,,                444622,                  3004,,                              2.62,,                              2.60,                 38801,                -31504,                  1777,                   -620,,,
1708,2013年01月01日至2013年09月30日,,,,              2996632,              2996632,              2996632,,,              2323945,              2323945,              2323945,                672687,                672687,,,                211503,,                127729,,                  4452,                343684,                329003,,,                  1468,,                113959,,                 22991,                 92436,                421439,,                 90799,                330640,                330640,,,,,,,                   -208,                330432,,                326001,                  4639,,                325793,                  4639,,                              1.87,,                              1.86,                 25731,                -34186,,                              0,                  8247,,
1708,2013年01月01日至2013年06月30日,,,,              2022822,              2022822,              2022822,,,              1579588,              1579588,              1579588,                443234,                443234,,,                142163,,                 85769,,                  3091,                231023,                212211,,,                    626,,                110338,,                 15316,                 95648,                307859,,                 73707,                234152,                234152,,,,,,,                 14144,                248296,,                231051,                  3101,,                245195,                  3101,,                              1.33,,                              1.32,                 49191,                -35047,,,,,
1708,2013年01月01日至2013年03月31日,,,,                996704,                996704,                996704,,,                781911,                781911,                781911,                214793,                214793,,,                 76533,,                 45759,,                  1657,                123949,                 90844,,,                    130,,                105086,,                  7823,                 97393,                188237,,                 30137,                158100,                158100,,,,,,,                  5630,                163730,,                156536,                  1564,,                162166,                  1564,,                              0.94,,                              0.94,                 40478,                -34848,,,,,
1708,2012年07月01日至2012年09月30日,,,,              1045053,              1045053,              1045053,,,                827848,                827848,                827848,                217205,                217205,,,                 72620,,                 43397,,                   -132,                115885,                101320,,,                  3153,,                 34796,,                  9873,                 28076,                129396,,                 10268,                119128,                119128,,,,,,,                -53710,                 65418,,                118368,                    760,,                 64658,                    760,,                              0.71,,                              0.71,                -25984,                -27726,,                              0,                              0,,
1708,2012年04月01日至2012年06月30日,,,,                960105,                960105,                960105,,,                751389,                751389,                751389,                208716,                208716,,,                 78383,,                 35159,,                  2082,                115624,                 93092,,,                  1597,,                -20458,,                  8896,                -27757,                 65335,,                 21395,                 43940,                 43940,,,,,,,                 34810,                 78750,,                 42410,                  1530,,                 77220,                  1530,,                              0.26,,                              0.25,                 16309,                 18501,,                              0,,,
