證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　　 與可能重分類之項目相關之所得稅,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
5259,2015年第3季,,                169485,,                218404,                -48919,                -48919,,,                 95716,,                  7399,,                  1892,                105007,               -153926,,,                    294,,                -16748,,                 11614,                -28068,               -181994,,                  1694,               -183688,               -183688,,,                  6158,                  6158,                  6158,               -177530,,                             -2.55,                             -2.55,,                             -2.55,                             -2.55,,,,,,,
5259,2015年第2季,,                321453,,                334404,                -12951,                -12951,,,                  9568,,                  8383,,                  1929,                 19880,                -32831,,,                    530,,                 -7925,,                  3735,                -11130,                -43961,,                 -2420,                -41541,                -41541,,,                  3726,                  3726,                  3726,                -37815,,                             -0.58,                             -0.58,,                             -0.58,                             -0.58,,                              0,                              0,                              0,,,
5259,2015年01月01日至2015年09月30日,,                673661,,                757183,                -83522,                -83522,,,                110252,,                 23521,,                  5767,                139540,               -223062,,,                  1048,,                -24192,,                 22505,                -45649,               -268711,,                 -2887,               -265824,               -265824,,,                  7092,                  7092,                  7092,               -258732,,                             -3.69,                             -3.69,,                             -3.69,                             -3.69,,,,,,,
5259,2015年01月01日至2015年06月30日,,                504176,,                538779,                -34603,                -34603,,,                 14536,,                 16122,,                  3875,                 34533,                -69136,,,                    754,,                 -7444,,                 10891,                -17581,                -86717,,                 -4581,                -82136,                -82136,,,                    934,                    934,                    934,                -81202,,                             -1.14,                             -1.14,,                             -1.14,                             -1.14,,                              0,                              0,                              0,,,
5259,2015年01月01日至2015年03月31日,,                182723,,                204375,                -21652,                -21652,,,                  4968,,                  7739,,                  1946,                 14653,                -36305,,,                    224,,                    481,,                  7156,                 -6451,                -42756,,                 -2161,                -40595,                -40595,,,                 -2792,                 -2792,                 -2792,                -43387,,                             -0.56,                             -0.56,,                             -0.56,                             -0.56,,,,,,,
5259,2014年第3季,,                142774,,                158952,                -16178,                -16178,,,                  9685,,                  6774,,                  1788,                 18247,                -34425,,,                  1088,,                  1253,,                  6125,                 -3784,                -38209,,                    823,                -39032,                -39032,,,                   -928,                   -928,                   -928,                -39960,,                             -0.54,                             -0.54,,                             -0.54,                             -0.54,,,,,,,
5259,2014年第2季,,                154666,,                176648,                -21982,                -21982,,,                  2979,,                  6832,,                  2015,                 11826,                -33808,,,                    729,,                   -216,,                  6085,                 -5572,                -39380,,                 -5228,                -34152,                -34152,,,                 -6401,                 -6401,                 -6401,                -40553,,                             -0.48,                             -0.48,,                             -0.48,                             -0.48,,                              0,                              0,                              0,,,
5259,2014年度,,                545292,,                638032,                -92740,                -92740,,,                 23041,,                 28801,,                  7793,                 59635,               -152375,,,                  4552,,                -24470,,                 24591,                -44509,               -196884,,                -17538,               -179346,               -179346,,,,,                 -4409,               -183755,,                             -2.50,                             -2.50,,                             -2.50,                             -2.50,,,,,                 -3270,                 -1372,                   -233
5259,2014年01月01日至2014年09月30日,,                411767,,                472333,                -60566,                -60566,,,                 15769,,                 21014,,                  6141,                 42924,               -103490,,,                  3868,,                    663,,                 18079,                -13548,               -117038,,                 -9174,               -107864,               -107864,,,                -10498,                -10498,                -10498,               -118362,,                             -1.50,                             -1.50,,                             -1.50,                             -1.50,,,,,,,
5259,2014年01月01日至2014年06月30日,,                268993,,                313381,                -44388,                -44388,,,                  6084,,                 14240,,                  4353,                 24677,                -69065,,,                  2780,,                   -590,,                 11954,                 -9764,                -78829,,                 -9997,                -68832,                -68832,,,                 -9570,                 -9570,                 -9570,                -78402,,                             -0.96,                             -0.96,,                             -0.96,                             -0.96,,                              0,                              0,                              0,,,
5259,2014年01月01日至2014年03月31日,,                114327,,                136733,                -22406,                -22406,,,                  3105,,                  7408,,                  2338,                 12851,                -35257,,,                  2051,,                   -374,,                  5869,                 -4192,                -39449,,                 -4769,                -34680,                -34680,,,                 -3169,                 -3169,                 -3169,                -37849,,                             -0.48,                             -0.48,,                             -0.48,                             -0.48,,,,,,,
5259,2013年第3季,,                193222,,                187020,                  6202,                  6202,,,                  3173,,                  7956,,                  3336,                 14465,                 -8263,,,                    404,,                    183,,                  5926,                 -5339,                -13602,,                 -2326,                -11276,                -11276,,,,,                              0,                -11276,,                             -0.17,                             -0.17,,                             -0.17,                             -0.17,,,,,                              0,,
5259,2013年第2季,,                213778,,                220777,                 -6999,                 -6999,,,                  7447,,                  9189,,                  3035,                 19671,                -26670,,,                    301,,                 -1578,,                  2176,                 -3453,                -30123,,                   -958,                -29165,                -29165,,,,,                    791,                -28374,,                             -0.45,                             -0.45,,                             -0.45,                             -0.45,,,,,                    791,,
5259,2013年度,,                763780,,                758495,                  5285,                  5285,,,                 17841,,                 35568,,                 12257,                 65666,                -60381,,,                  1573,,                 -3357,,                 15000,                -16784,                -77165,,                 -8908,                -68257,                -68257,,,,,                  5048,                -63209,,                             -1.04,                             -1.04,,                             -1.04,                             -1.04,,,,,                  5076,                    -34,                     -6
5259,2013年07月01日至2013年09月30日,,                193222,,                187020,                  6202,                  6202,,,                  3173,,                  7956,,                  3336,                 14465,                 -8263,,,                    404,,                    183,,                  5926,                 -5339,                -13602,,                 -2326,                -11276,                -11276,,,,,                              0,                -11276,,                             -0.17,                             -0.17,,                             -0.17,                             -0.17,,,,,                              0,,
