證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
8070,2015年第3季,,              3556986,,              3186333,                370653,                370653,,,                118300,,                217593,,                 12958,                348851,                 21802,,,                 21289,,                -29848,,                 19624,,                 56446,                 28263,                 50065,,                 -1220,                 51285,,                      1,                 51286,,,                 58478,                -91665,,                 11426,                  5133,                -26894,                -26894,                 24392,,                 52489,                 -1203,,                   -945,                 25337,,                              0.68,                              0.00,                              0.68,,                              0.68,                              0.00,                              0.68,,,,,,
8070,2015年第2季,,              3852301,,              3676569,                175732,                175732,,,                108529,,                217595,,                 25960,                352084,               -176352,,,                 11693,,                897708,,                 20884,,                 25251,                913768,                737416,,                 57055,                680361,,                    -11,                680350,,,                -27890,                  5184,,                 -5261,                  1648,                -29615,                -29615,                650735,,                671270,                  9080,,                652454,                 -1719,,                              8.72,                              0.00,                              8.72,,                              8.69,                              0.00,                              8.69,,,,,,
8070,2015年01月01日至2015年09月30日,,             11486788,,             10441043,              1045745,              1045745,,,                323504,,                578402,,                 61378,                963284,                 82461,,,                 43306,,                876783,,                 63939,,                110942,                967092,              1049553,,                 94243,                955310,,                    -16,                955294,,,                 26034,                -46977,,                   -715,                 11113,                -32771,                -32771,                922523,,                874287,                 81007,,                806459,                116064,,                             11.40,                              0.00,                             11.40,,                             11.32,                              0.00,                             11.32,,,,,,
8070,2015年01月01日至2015年06月30日,,              7929802,,              7254710,                675092,                675092,,,                205204,,                360809,,                 48420,                614433,                 60659,,,                 22017,,                906631,,                 44315,,                 54496,                938829,                999488,,                 95463,                904025,,                    -17,                904008,,,                -32444,                 44688,,                -12141,                  5980,                 -5877,                 -5877,                898131,,                821798,                 82210,,                807404,                 90727,,                             10.68,                              0.00,                             10.68,,                             10.64,                              0.00,                             10.64,,,,,,
8070,2015年01月01日至2015年03月31日,,              4077501,,              3578141,                499360,                499360,,,                 96675,,                143214,,                 22460,                262349,                237011,,,                 10324,,                  8923,,                 23431,,                 29245,                 25061,                262072,,                 38408,                223664,,                     -6,                223658,,,                 -4554,                 39504,,                 -6880,                  4332,                 23738,                 23738,                247396,,                150528,                 73130,,                154950,                 92446,,                              1.96,                              0.00,                              1.96,,                              1.95,                              0.00,                              1.95,,,,,,
8070,2014年第3季,,              4577522,,              4277468,                300054,                300054,,,                224952,,                145640,,                 20512,                391104,                -91050,,,                 13597,,                 44083,,                 20769,,                 37165,                 74076,                -16974,,                 -5195,                -11779,,                    746,                -11033,,,                 53257,                -19898,,                  7672,                  3512,                 37519,                 37519,                 26486,,                 77345,                -88378,,                100871,                -74385,,                              0.97,                              0.00,                              0.97,,                              0.97,                              0.00,                              0.97,,,,,,
8070,2014年第2季,,              4464373,,              4212374,                251999,                251999,,,                108474,,                134902,,                 10633,                254009,                 -2010,,,                  8784,,                    652,,                 20687,,                 35136,                 23885,                 21875,,                 -8020,                 29895,,                 -9515,                 20380,,,                -58782,                -52906,,                 -7702,                -19693,                -99697,                -99697,                -79317,,                 71136,                -50756,,                -13741,                -65576,,                              0.94,                             -0.04,                              0.90,,                              0.94,                             -0.05,                              0.89,,,,,,
8070,2014年度,,             17361628,,             16163496,              1198132,              1198132,,,                569182,,                515786,,                 64031,              1148999,                 49133,,,                 45482,,                139453,,                 83003,,                150559,                252491,                301624,,                 -3043,                304667,,                -12326,                292341,,,,,,,,,                101651,                393992,,                417151,               -124810,,                478136,                -84144,,                              5.35,                             -0.06,                              5.29,,                              5.34,                             -0.06,                              5.28,                121925,                -28941,                 -1185,,                 24988,                 15136
8070,2014年01月01日至2014年09月30日,,             12858560,,             12021017,                837543,                837543,,,                438755,,                396322,,                 36053,                871130,                -33587,,,                 27057,,                 88720,,                 59477,,                104283,                160583,                126996,,                 -3902,                130898,,                -12238,                118660,,,                 36755,                -45392,,                  4601,                 -6453,                  2417,                  2417,                121077,,                263402,               -144742,,                256708,               -135631,,                              3.38,                             -0.06,                              3.32,,                              3.37,                             -0.06,                              3.31,,,,,,
8070,2014年01月01日至2014年06月30日,,              8281038,,              7743549,                537489,                537489,,,                213803,,                250682,,                 15541,                480026,                 57463,,,                 13460,,                 44637,,                 38708,,                 67118,                 86507,                143970,,                  1293,                142677,,                -12984,                129693,,,                -16502,                -25494,,                 -3071,                 -9965,                -35102,                -35102,                 94591,,                186057,                -56364,,                155837,                -61246,,                              2.40,                             -0.06,                              2.34,,                              2.40,                             -0.06,                              2.34,,,,,,
8070,2014年01月01日至2014年03月31日,,              3816665,,              3531175,                285490,                285490,,,                105329,,                115780,,                  4908,                226017,                 59473,,,                  4676,,                 43986,,                 18021,,                 31982,                 62623,                122096,,                  9313,                112783,,                 -3470,                109313,,,                 42280,                 27412,,                  4631,                  9728,                 64595,                 64595,                173908,,                114921,                 -5608,,                169578,                  4330,,                              1.46,                             -0.01,                              1.45,,                              1.46,                             -0.02,                              1.44,,,,,,
8070,2013年第3季,,              4187164,,              3775024,                412140,                412140,,,                 83474,,                103750,,                  2705,                189929,                222211,,,                 28639,,                -18710,,                 17983,,                 22238,                 14184,                236395,,                 60346,                176049,,                   -621,                175428,,,,,,,,,                -20850,                154578,,                148482,                 26946,,                133475,                 21103,,                              2.00,                              0.00,                              2.00,,                              1.97,                              0.00,                              1.97,                -24426,                 -5097,,,,                 -8673
8070,2013年第2季,,              4250051,,              3856321,                393730,                393730,,,                105156,,                 99278,,                  2547,                206981,                186749,,,                 13696,,                 13604,,                 18728,,                 23309,                 31881,                218630,,                111248,                107382,,                 -2054,                105328,,,,,,,,,                 -4792,                100536,,                 81715,                 23613,,                 64822,                 35714,,                              1.11,                             -0.01,                              1.10,,                              1.09,                             -0.01,                              1.08,                 47333,                -57274,,,,                 -5149
8070,2013年度,,             15997318,,             14652851,              1344467,              1344467,,,                391164,,                427677,,                 10575,                829416,                515051,,,                 82446,,                 56932,,                 71394,,                109313,                177297,                692348,,                188782,                503566,,                 -8103,                495463,,,,,,,,,                 42022,                537485,,                440960,                 54503,,                457981,                 79504,,                              5.94,                             -0.05,                              5.89,,                              5.87,                             -0.05,                              5.82,                121890,               -107785,                  1905,,                 15394,                -10618
8070,2013年07月01日至2013年09月30日,,              4191173,,              3776731,                414442,                414442,,,                 83623,,                105279,,                  2705,                191607,                222835,,,                  7107,,                  1577,,                 17983,,                 22238,                 12939,                235774,,                 60346,                175428,,,                175428,,,,,,,,,                -20850,                154578,,                148482,                 26946,,                133475,                 21103,,                              2.00,,                              2.00,,                              1.97,,                              1.97,                -24426,                 -5097,,,,                 -8673
8070,2013年04月01日至2013年06月30日,,              4250836,,              3859704,                391132,                391132,,,                105374,,                100340,,                  2547,                208261,                182871,,,                  9863,,                 19261,,                 18728,,                 23309,                 33705,                216576,,                111248,                105328,,,                105328,,,,,,,,,                 -4792,                100536,,                 81715,                 23613,,                 64822,                 35714,,                              1.10,,                              1.10,,                              1.08,,                              1.08,                 47333,                -57274,,,,                 -5149
8070,2013年01月01日至2013年12月31日,,             16004507,,             14659455,              1345052,              1345052,,,                392074,,                434283,,                 10575,                836932,                508120,,,                 50373,,                 87833,,                 71394,,                109313,                176125,                684245,,                188782,                495463,,,                495463,,,,,,,,,                 42022,                537485,,                440960,                 54503,,                457981,                 79504,,                              5.89,,                              5.89,,                              5.82,,                              5.82,                132697,               -107785,                  1905,,,                -15205
8070,2013年01月01日至2013年09月30日,,             12008841,,             10837633,              1171208,              1171208,,,                279203,,                301213,,                  6966,                587382,                583826,,,                 49545,,                 31390,,                 54558,,                 81517,                107894,                691720,,                224828,                466892,,                 -5954,                460938,,,,,,,,,                 18856,                479794,,                376444,                 84494,,                378852,                100942,,                              5.10,                             -0.04,                              5.06,,                              5.02,                             -0.04,                              4.98,                 88807,                -82058,,,,                -12107
