證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　　 什項支出,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 不動產、廠房及設備減損迴轉利益,　　　　 減損迴轉利益合計,　　　 處分投資損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 無形資產減損損失,　　　　 減損損失合計,　 停業單位損益,　　 停業單位損益合計,　　　 租金收入,　　　 壞帳轉回利益,　　　 處分不動產、廠房及設備損失,　　　 利息費用
2331,2015年第3季,,,,             13674265,             13674265,                 16664,                  8092,             13649509,             13649509,,,             12010220,             12010220,             12010220,              1639289,              1639289,,,                344333,,                400505,,                346741,              1091579,                547710,,,,                 15204,                 61334,                 76538,,                123645,,                  5546,                194637,                742347,,                278507,                463840,                463840,,,                363286,                -48649,                 60552,                254085,                254085,                717925,,                471586,                 -7746,,                718573,                   -648,,                              0.85,                              0.85,,                              0.83,                              0.83,,,,,,,,,,,,,,,,,,,,,,,,
2331,2015年第2季,,,,             13096494,             13096494,                 54866,                  4346,             13037282,             13037282,,,             11714985,             11714985,             11714985,              1322297,              1322297,,,                268305,,                368257,,                311796,                948358,                373939,,,,                 17216,                 46642,                 63858,,                -37453,,                 11227,                 15178,                389117,,                 79832,                309285,                309285,,,               -108866,                  3462,                -18213,                -87191,                -87191,                222094,,                312919,                 -3634,,                227460,                 -5366,,                              0.56,                              0.56,,                              0.54,                              0.54,,,,,,,,,,,,,,,,,,,,,,,,
2331,2015年01月01日至2015年09月30日,,,,             38650159,             38650159,                 83018,                 22646,             38544495,             38544495,,,             34160672,             34160672,             34160672,              4383823,              4383823,,,                908665,,              1148105,,                965433,              3022203,              1361620,,,,                 48353,                134615,                182968,,                 87471,,                 33098,                237341,              1598961,,                477517,              1121444,              1121444,,,                114029,                -41118,                 18728,                 54183,                 54183,              1175627,,              1161648,                -40204,,              1211970,                -36343,,                              2.08,                              2.08,,                              1.99,                              1.99,,,,,,,,,,,,,,,,,,,,,,,,
2331,2015年01月01日至2015年06月30日,,,,             24975894,             24975894,                 66354,                 14554,             24894986,             24894986,,,             22150452,             22150452,             22150452,              2744534,              2744534,,,                564332,,                747600,,                618692,              1930624,                813910,,,,                 33149,                 73281,                106430,,                -36174,,                 27552,                 42704,                856614,,                199010,                657604,                657604,,,               -249257,                  7531,                -41824,               -199902,               -199902,                457702,,                690062,                -32458,,                493397,                -35695,,                              1.24,                              1.24,,                              1.19,                              1.19,,,,,,,,,,,,,,,,,,,,,,,,
2331,2015年01月01日至2015年03月31日,,,,             11879400,             11879400,                 11488,                 10208,             11857704,             11857704,,,             10435467,             10435467,             10435467,              1422237,              1422237,,,                296027,,                379343,,                306896,                982266,                439971,,,,                 15933,                 26639,                 42572,,                  1279,,                 16325,                 27526,                467497,,                119178,                348319,                348319,,,               -140391,                  4069,                -23611,               -112711,               -112711,                235608,,                377143,                -28824,,                265937,                -30329,,                              0.68,                              0.68,,                              0.66,                              0.66,,,,,,,,,,,,,,,,,,,,,,,,
2331,2014年第3季,,,,             13795901,             13795901,                129363,                 57903,             13608635,             13608635,,,             12349646,             12349646,             12349646,              1258989,              1258989,,,                257805,,                382316,,                306232,                946353,                312636,,,,                 24607,                 46173,                 70780,,                106435,,                  2707,                174508,                487144,,                105080,                382064,                382064,,,                181360,               -120176,                 30090,                 31094,                 31094,                413158,,                401846,                -19782,,                428580,                -15422,,                              0.64,                              0.64,,                              0.62,                              0.62,,,,,,,,,,,,,,,,,,,,,,,,
2331,2014年第2季,,,,             15896363,             15896363,                 64442,                  6082,             15825839,             15825839,,,             14134181,             14134181,             14134181,              1691658,              1691658,,,                331077,,                389084,,                292777,              1012938,                678720,,,,                 22725,                 46286,                 69011,,                -11477,,                  4418,                 53116,                731836,,                288170,                443666,                443666,,,               -205742,                 28568,                -34000,               -143174,               -143174,                300492,,                463708,                -20042,,                326276,                -25784,,                              0.63,                              0.63,,                              0.61,                              0.61,,,,,,,,,,,,,,,,,,,,,,,,
2331,2014年度,,,,             56297378,             56297378,                254500,                147571,             55895307,             55895307,,,             50321751,             50321751,             50321751,              5573556,              5573556,,,              1257199,,              1478687,,              1223341,              3959227,              1614329,,,,                 94028,                206902,                300930,,                139034,,                 17383,                422581,              2036910,,                734782,              1302128,              1302128,,,,,,,                470897,              1773025,,              1386390,                -84262,,              1848911,                -75886,,,                              2.09,,,                              2.05,                 12926,               -126108,                518489,                 45423,                 -7584,                 85431,,,,,,,,,,,,,,,,,,
2331,2014年01月01日至2014年09月30日,,,,             42141602,             42141602,                221982,                136728,             41782892,             41782892,,,             37604004,             37604004,             37604004,              4178888,              4178888,,,                910680,,              1123984,,                881853,              2916517,              1262371,,,,                 75947,                112061,                188008,,                152303,,                 13062,                327249,              1589620,,                478642,              1110978,              1110978,,,                 85147,                 94211,                 13905,                165453,                165453,              1276431,,              1170032,                -59054,,              1332133,                -55702,,                              1.67,                              1.67,,                              1.61,                              1.61,,,,,,,,,,,,,,,,,,,,,,,,
2331,2014年01月01日至2014年06月30日,,,,             28345701,             28345701,                 92619,                 78825,             28174257,             28174257,,,             25254358,             25254358,             25254358,              2919899,              2919899,,,                652874,,                741668,,                575622,              1970164,                949735,,,,                 51340,                 65888,                117228,,                 45868,,                 10355,                152741,              1102476,,                373562,                728914,                728914,,,                -96213,                214387,                -16185,                134359,                134359,                863273,,                768186,                -39272,,                903553,                -40280,,                              1.05,                              1.05,,                              1.01,                              1.01,,,,,,,,,,,,,,,,,,,,,,,,
