證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計
2413,2015年第3季,,              1158668,,                945345,                213323,                213323,,,                 30138,,                 80146,,                 53412,                163696,                 49627,,,                 16521,,                 53916,,                  8781,,                    630,                 62286,                111913,,                 21833,                 90080,                 90080,,,                 19143,                -65846,                  2313,                -49016,                -49016,                 41064,,                 90138,                    -58,,                 41122,                    -58,,                              0.71,,                              0.71,,,,,,,,,,
2413,2015年第2季,,              1098660,,                903340,                195320,                195320,,,                 25480,,                 81258,,                 51551,                158289,                 37031,,,                  7593,,                 -5339,,                  4312,,                    440,                 -1618,                 35413,,                 15754,                 19659,                 19659,,,                 -6284,                -20219,                 -5584,                -20919,                -20919,                 -1260,,                 19765,                   -106,,                 -1154,                   -106,,                              0.16,,                              0.16,,              1098660,,                903340,,,,,,
2413,2015年01月01日至2015年09月30日,,              3279037,,              2666035,                613002,                613002,,,                 79274,,                239752,,                155334,                474360,                138642,,,                 51854,,                 26631,,                 27250,,                    575,                 51810,                190452,,                 48736,                141716,                141716,,,                  8680,                -93773,                 -4098,                -80995,                -80995,                 60721,,                141876,                   -160,,                 60881,                   -160,,                              1.11,,                              1.11,,,,,,,,,,
2413,2015年01月01日至2015年06月30日,,              2120369,,              1720690,                399679,                399679,,,                 49136,,                159606,,                101922,                310664,                 89015,,,                 35333,,                -27285,,                 18469,,                    -55,                -10476,                 78539,,                 26903,                 51636,                 51636,,,                -10463,                -27927,                 -6411,                -31979,                -31979,                 19657,,                 51738,                   -102,,                 19759,                   -102,,                              0.41,,                              0.41,,              2120369,,              1720690,,,,,,
2413,2015年01月01日至2015年03月31日,,              1021709,,                817350,                204359,                204359,,,                 23656,,                 78348,,                 50371,                152375,                 51984,,,                 27740,,                -21946,,                 14157,,                   -495,                 -8858,                 43126,,                 11149,                 31977,                 31977,,,                 -4179,                 -7708,                   -827,                -11060,                -11060,                 20917,,                 31973,                      4,,                 20913,                      4,,                              0.25,,                              0.25,,              1021709,,                817350,,,,,,
2413,2014年第3季,,              1077148,,                861764,                215384,                215384,,,                 35564,,                 77450,,                 54859,                167873,                 47511,,,                  9982,,                 21579,,                 12082,,                    801,                 20280,                 67791,,                  3135,                 64656,                 64656,,,                 13709,                 18371,                  2854,                 29226,                 29226,                 93882,,                 64828,                   -172,,                 94054,                   -172,,                              0.51,,                              0.51,,,,,,,,,,
2413,2014年第2季,,              1148780,,                940221,                208559,                208559,,,                 31488,,                 84046,,                 49051,                164585,                 43974,,,                  8749,,               -106272,,                 13572,,                    -57,               -111152,                -67178,,                -19839,                -47339,                -47339,,,                 -9196,                -40336,                  2195,                -51727,                -51727,                -99066,,                -47572,                    233,,                -99299,                    233,,                             -0.37,,                             -0.37,,              1148780,,                940221,,,,,,
2413,2014年度,,              4324849,,              3540512,                784337,                784337,,,                112655,,                325727,,                207175,                645557,                138780,,,                 39514,,                -61517,,                 47590,,                    983,                -68610,                 70170,,                 17330,                 52840,                 52840,,,,,,,                110108,                162948,,                 53430,                   -590,,                163538,                   -590,,                              0.42,,                              0.42,,              4324849,,              3540512,                 18194,                 97216,                 -2680,                  2622,,
2413,2014年01月01日至2014年09月30日,,              3268837,,              2688657,                580180,                580180,,,                 95876,,                245592,,                147078,                488546,                 91634,,,                 23665,,                -64455,,                 37586,,                    714,                -77662,                 13972,,                 -4452,                 18424,                 18424,,,                  4027,                103086,                  3460,                103653,                103653,                122077,,                 18758,                   -334,,                122411,                   -334,,                              0.15,,                              0.15,,,,,,,,,,
2413,2014年01月01日至2014年06月30日,,              2191689,,              1826893,                364796,                364796,,,                 60312,,                168142,,                 92219,                320673,                 44123,,,                 13683,,                -86034,,                 25504,,                    -87,                -97942,                -53819,,                 -7587,                -46232,                -46232,,,                 -9682,                 84715,                    606,                 74427,                 74427,                 28195,,                -46070,                   -162,,                 28357,                   -162,,                             -0.36,,                             -0.36,,              2191689,,              1826893,,,,,,
