證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
4551,2015年第3季,,,,                733793,                 10031,                  3524,                720238,                720238,,                549191,                171047,                171047,,,                 18457,,                 43118,,                  7582,                 69157,                101890,,,                  2229,                  2229,,                   -596,,                  3108,                 -1475,                100415,,                 14507,                 85908,                 85908,,,                              0,                              0,,                 29322,                    189,                 29511,                 29511,                115419,,                 85908,,                115419,,                              1.08,                              1.08,,                              1.07,                              1.07,,,,,,,,,,,,,,,,
4551,2015年第2季,,,,                757960,                  9169,                  5783,                743008,                743008,,                562676,                180332,                180332,,,                 19251,,                 46424,,                 10312,                 75987,                104345,,,                  2242,                  2242,,                 -2862,,                  2838,                 -3458,                100887,,                 25593,                 75294,                 75294,,,                              0,                              0,,                -13812,                              0,                -13812,                -13812,                 61482,,                 75294,,                 61482,,                              1.01,                              1.01,,                              1.01,                              1.01,,,,,,,,,,,,,,,,
4551,2015年01月01日至2015年09月30日,,,,              2279896,                 27290,                 18622,              2233984,              2233984,,              1734812,                499172,                499172,,,                 59389,,                135919,,                 22698,                218006,                281166,,,                 16140,                 16140,,                -20016,,                  8382,                -12258,                268908,,                 58715,                210193,                210193,,,                              0,                              0,,                 -8347,                    189,                 -8158,                 -8158,                202035,,                210193,,                202035,,                              2.74,                              2.74,,                              2.73,                              2.73,,,,,,,,,,,,,,,,
4551,2015年01月01日至2015年06月30日,,,,              1546103,                 17259,                 15098,              1513746,              1513746,,              1185621,                328125,                328125,,,                 40932,,                 92801,,                 15116,                148849,                179276,,,                 13911,                 13911,,                -19420,,                  5274,                -10783,                168493,,                 44208,                124285,                124285,,,                              0,                              0,,                -37669,                              0,                -37669,                -37669,                 86616,,                124285,,                 86616,,                              1.66,                              1.66,,                              1.66,                              1.66,,,,,,,,,,,,,,,,
4551,2015年01月01日至2015年03月31日,,,,                788143,                  8090,                  9315,                770738,                770738,,                622945,                147793,                147793,,,                 21681,,                 46377,,                  4804,                 72862,                 74931,,,                 11669,                 11669,,                -16558,,                  2436,                 -7325,                 67606,,                 18615,                 48991,                 48991,,,                              0,                              0,,                -23857,                              0,                -23857,                -23857,                 25134,,                 48991,,                 25134,,                              0.65,                              0.65,,                              0.65,                              0.65,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,,
4551,2014年第3季,,,,                743718,                 12912,                  6751,                724055,                724055,,                555156,                168899,                168899,,,                 17361,,                 51014,,                  3406,                 71781,                 97118,,,                  5062,                  5062,,                  3741,,                  6351,                  2452,                 99570,,                 25034,                 74536,                 74536,,,                              0,                              0,,                 26507,                 -5274,                 21233,                 21233,                 95769,,                 74536,,                 95769,,                              0.99,                              0.99,,                              0.99,                              0.99,,,,,,,,,,,,,,,,
4551,2014年第2季,,,,                702791,                  4264,                  7057,                691470,                691470,,                468828,                222642,                222642,,,                 21093,,                 53676,,                  1616,                 76385,                146257,,,                  1219,                  1219,,                 -5517,,                  1795,                 -6093,                140164,,                 55835,                 84329,                 84329,,,                      6,                      6,,                -24500,                  5065,                -19435,                -19429,                 64900,,                 84329,,                 64900,,                              1.13,                              1.13,,                              1.13,                              1.13,,,,,,,,,,,,,,,,
4551,2014年度,,,,              2854461,                 31108,                 28444,              2794909,              2794909,,              2078434,                716475,                716475,,,                 84444,,                190909,,                 19166,                294519,                421956,,,                  5968,                  5968,,                 27810,,                  7964,                 25814,                447770,,                127883,                319887,                319887,,,,,,,,,                 69757,                389644,,                319887,,                389644,,                              4.27,                              4.27,,                              4.25,                              4.25,,,,,,,,,                 98930,                -12476,                    121,                -16818,,,,
4551,2014年上半年度,,,,              1379413,                  8728,                 14495,              1356190,              1356190,,                962771,                393419,                393419,,,                 37846,,                100662,,                  6539,                145047,                248372,,,                  2184,                  2184,,                 10241,,                  3740,                  8685,                257057,,                 86178,                170879,                170879,,,,,,,,,                -16512,                154367,,                170879,,                154367,,                              2.28,                              2.28,,                              2.28,                              2.28,,,,,,,,,                -15940,                 -3288,                      6,                  2710,,,,
4551,2014年01月01日至2014年09月30日,,,,              2123131,                 21640,                 21246,              2080245,              2080245,,              1517927,                562318,                562318,,,                 55207,,                151676,,                  9945,                216828,                345490,,,                  7246,                  7246,,                 13982,,                 10091,                 11137,                356627,,                111212,                245415,                245415,,,                      6,                      6,,                 13277,                 -8562,                  4715,                  4721,                250136,,                245415,,                250136,,                              3.27,                              3.27,,                              3.27,                              3.27,,,,,,,,,,,,,,,,
