證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額
2206,2014年01月01日至2014年03月31日,,              7999930,,              6950484,              1049446,              1049446,,,                726975,,                365486,,                173566,              1266027,               -216581,,,                 66883,,                 24722,,                 51854,,                 -8180,                 31571,               -185010,,                -31955,               -153055,               -153055,,,                179737,                  7641,,                 -1154,                 23088,                163136,                163136,                 10081,,               -111835,                -41220,,                    891,                  9190,,                             -0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2013年第3季,,              8376465,,              7073007,              1303458,              1303458,,,              1068537,,                279453,,                134499,              1482489,               -179031,,,                103738,,                 91721,,                135380,,                 61211,                121290,                -57741,,                -22399,                -35342,                -35342,,,,,,,,,                198265,                162923,,                -14938,                -20404,,                263488,               -100565,,                             -0.02,,                             -0.02,                272189,                -16898,,,,                 57026,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2013年第2季,,              8486387,,              7254787,              1231600,              1231600,,,                713123,,                407789,,                229488,              1350400,               -118800,,,                214368,,                 61006,,                 82008,,                 59771,                253137,                134337,,                 24332,                110005,                110005,,,,,,,,,                 60734,                170739,,                134581,                -24576,,                189823,                -19084,,                              0.16,,                              0.16,                 56407,                  8769,,,,                  4442,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2013年度,,             32626286,,             28254224,              4372062,              4372062,,,              2880057,,              1598285,,                791353,              5269695,               -897633,,,                455097,,                205126,,                349670,,                311221,                621774,               -275859,,                241246,               -517105,               -517105,,,,,,,,,                943029,                425924,,               -474054,                -43051,,                359154,                 66770,,                             -0.56,,,                820370,                 78611,                 75561,,                116548,                148061,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2013年07月01日至2013年09月30日,,              8376465,,              7073007,              1303458,              1303458,,,              1068537,,                279453,,                134499,              1482489,               -179031,,,                103738,,                 91721,,                135380,,                 61211,                121290,                -57741,,                -22399,                -35342,                -35342,,,,,,,,,                198265,                162923,,                -14938,                -20404,,                263488,               -100565,,                             -0.02,,,                215163,                -16898,,,,                              0,,,              8518276,              8518276,                637291,               -185622,              8066607,,                 40841,,                230620,,                 38397,,              6677710,              6677710,,                 37705,,                294542,                 63050,,                 81333,                 24770,                 -2365,                 61211,                              0
2206,2013年04月01日至2013年06月30日,,              8498952,,              7254787,              1244165,              1244165,,,                713123,,                407789,,                229488,              1350400,               -106235,,,                201803,,                 61006,,                 82008,,                 59771,                240572,                134337,,                 24332,                110005,                110005,,,,,,,,,                 60734,                170739,,                134581,                -24576,,                189823,                -19084,,                              0.16,,,                 51965,                  8769,,,,                              0,,,,,,,              8187453,,                 82023,,                140786,,                 88690,,              7098126,              7098126,,                 36998,,                 62959,                 56704,,,,,,
2206,2013年01月01日至2013年12月31日,,             32626286,,             28254224,              4372062,              4372062,,,              2829615,,              1648727,,                791353,              5269695,               -897633,,,                455097,,                205126,,                349670,,                311221,                621774,               -275859,,                241246,               -517105,               -517105,,,,,,,,,                943029,                425924,,               -474054,                -43051,,                359154,                 66770,,                             -0.56,,                             -0.56,                820370,,                 75561,,                195159,                148061,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2013年01月01日至2013年09月30日,,             25046256,,             21233119,              3813137,              3813137,,,              2414370,,              1137501,,                530601,              4082472,               -269335,,,                383386,,                157027,,                274585,,                122266,                388094,                118759,,                 35466,                 83293,                 83293,,,,,,,,,                578297,                661590,,                126000,                -42707,,                719783,                -58193,,                              0.15,,                              0.15,                699957,                    -35,,,,                121625,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2013年01月01日至2013年06月30日,,             16657226,,             14160112,              2497114,              2497114,,,              1345833,,                858048,,                396102,              2599983,               -102869,,,                292213,,                 65306,,                139205,,                 61055,                279369,                176500,,                 57865,                118635,                118635,,,,,,,,,                380032,                498667,,                140938,                -22303,,                456295,                 42372,,                              0.17,,                              0.17,                406757,                 16863,,,,                 43588,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2013年01月01日至2013年03月31日,,              8170839,,              6905325,              1265514,              1265514,,,                632710,,                450259,,                166614,              1249583,                 15931,,,                 77845,,                  4300,,                 57197,,                  1284,                 26232,                 42163,,                 33533,                  8630,                  8630,,,,,,,,,                319298,                327928,,                  6357,                  2273,,                266472,                 61456,,                              0.01,,,                355424,                  8094,,,                              0,                 44220,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2012年07月01日至2012年09月30日,,              9824622,,              8428927,              1395695,              1395695,,,                881606,,                290791,,                171276,              1343673,                 52022,,,                 62178,,                109386,,                135321,,                132310,                168553,                220575,,                 -1020,                221595,                221595,,,,,,,,,               -156693,                 64902,,                203538,                 18057,,                 80642,                -15740,,                              0.23,,,               -143572,                -13121,,,,                              0,,,              9908600,              9908600,                194808,                229894,              9483898,,                 74665,,                134422,,                131637,,              8291340,              8291340,,                 38683,,                 51987,                 46917,,                 62178,                              0,                              0,                132310,                              0
2206,2012年04月01日至2012年06月30日,,              8764323,,              7298164,              1466159,              1466159,,,                706054,,                390071,,                177335,              1273460,                192699,,,                133103,,                 29346,,                 70111,,                 63603,                155941,                348640,,                176506,                172134,                172134,,,,,,,,,                 66581,                238715,,                158433,                 13701,,                207420,                 31295,,                              0.18,,,                 68251,                 -1670,,,,                              0,,,,,,,              8385084,,                 72264,,                173533,,                133442,,              7066584,              7066584,,                 35341,,                 95039,                101200,,,,,,
2206,2012年01月01日至2012年12月31日,,             34397220,,             29104362,              5292858,              5292858,,,              2763207,,              1459282,,                802520,              5025009,                267849,,,                388530,,                135748,,                379511,,                365016,                509783,                777632,,                237253,                540379,                540379,,,,,,,,,               -505387,                 34992,,                463526,                 76853,,                 45844,                -10852,,                              0.53,,                              0.53,               -388682,,               -106624,,                -56491,                -46410,,,,,,,,,,,,,,,,,,,,,,,,,,,
2206,2012年01月01日至2012年09月30日,,             26792150,,             22587759,              4204391,              4204391,,,              2119176,,              1082956,,                559414,              3761546,                442845,,,                261863,,                165317,,                293491,,                220943,                354632,                797477,,                170271,                627206,                627206,,,,,,,,,               -307433,                319773,,                579522,                 47684,,                314631,                  5142,,                              0.66,,,               -307433,                              0,,,,                              0,,,             26544457,             26544457,                287950,                501707,             25754800,,                221989,,                446245,,                369116,,             22074494,             22074494,,                111433,,                248783,                153049,,                213708,                              0,                 48155,                              0,               -220943
2206,2012年01月01日至2012年06月30日,,             16967528,,             14158832,              2808696,              2808696,,,              1237570,,                792165,,                388138,              2417873,                390823,,,                199685,,                 55931,,                158170,,                 88633,                186079,                576902,,                171291,                405611,                405611,,,,,,,,,               -150740,                254871,,                375984,                 29627,,                233989,                 20882,,                              0.43,,,               -163861,                 13121,,,,                              0,,,,,,,             16270902,,                147324,,                311823,,                237479,,             13783154,             13783154,,                 72750,,                196796,                106132,,,,,,
2206,2012年01月01日至2012年03月31日,,              8203205,,              6860668,              1342537,              1342537,,,                531516,,                402094,,                210803,              1144413,                198124,,,                 66582,,                 26585,,                 88059,,                 25030,                 30138,                228262,,                 -5215,                233477,                233477,,,,,,,,,               -217321,                 16156,,                217551,                 15926,,                 26569,                -10413,,                              0.25,,,               -232112,                 14791,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,
