證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 銀行存款利息,　　 本期所得稅費用（利益）,　　　 廉價購買利益,　　　 處分不動產、廠房及設備利益,　　　 什項支出,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 當期所得稅費用（利益）,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
3596,2015年第3季,,,              5034696,,                 20972,              5055668,,,              4456394,              4456394,                599274,                599274,,,                121299,,                 91803,,                237400,                450502,                148772,,,,                  2528,                 13711,                 16239,,                249777,                -88009,                161768,,                  5523,                  5523,,                 21102,                 21102,                193586,                342358,,                 49250,                293108,                293108,,,                 86875,                  5202,,                     40,                 13763,                 78354,                 78354,                371462,,                267777,                 25331,,                344154,                 27308,,                              1.42,                              1.42,,                              1.40,                              1.40,,,,,,,,,,,,,,,,,,
3596,2015年第2季,,,              4759944,,                  9322,              4769266,,,,              4329485,                439781,                439781,,,                118731,,                 82074,,                221287,                422092,                 17689,,,,                  3599,                    941,                  4540,,                 73138,                -35803,                 37335,,                  6108,                  6108,,                 10600,                 10600,                 46367,                 64056,,                 38534,                 25522,                 25522,,,                -10991,                 -6816,,                     -6,                 -1907,                -15906,                -15906,                  9616,,                 53817,                -28295,,                 34499,                -24883,,,                              0.29,,,                              0.28,,,,,,,,,,,,,,,,,,
3596,2015年01月01日至2015年09月30日,,,             14298722,,                 87550,             14386272,,,             12826152,             12826152,              1560120,              1560120,,,                388727,,                268498,,                679255,              1336480,                223640,,,,                  9184,                 16052,                 25236,,                109017,                 34914,                143931,,                 17591,                 17591,,                 44442,                 44442,                196018,                419658,,                 94367,                325291,                325291,,,                 48682,                 -1614,,                     25,                  8491,                 38602,                 38602,                363893,,                350791,                -25500,,                387588,                -23695,,                              1.87,                              1.87,,                              1.83,                              1.83,,,,,,,,,,,,,,,,,,
3596,2015年01月01日至2015年06月30日,,,              9264026,,                 66578,              9330604,,,,              8369758,                960846,                960846,,,                267428,,                176695,,                441855,                885978,                 74868,,,,                  6656,                  2341,                  8997,,               -140760,                122923,                -17837,,                 12068,                 12068,,                 23340,                 23340,                  2432,                 77300,,                 45117,                 32183,                 32183,,,                -38193,                 -6816,,                    -15,                 -5272,                -39752,                -39752,                 -7569,,                 83014,                -50831,,                 43434,                -51003,,,                              0.44,,,                              0.43,,,,,,,,,,,,,,,,,,
3596,2015年01月01日至2015年03月31日,,,              4504082,,                 57256,              4561338,,,,              4040273,                521065,                521065,,,                148697,,                 94621,,                220568,                463886,                 57179,,,,                  3057,                  1400,                  4457,,               -213898,                158726,                -55172,,                  5960,                  5960,,                 12740,                 12740,                -43935,                 13244,,                  6583,                  6661,                  6661,,,                -27202,,,                     -9,                 -3365,                -23846,                -23846,                -17185,,                 29197,                -22536,,                  8935,                -26120,,                              0.16,                              0.16,,                              0.15,                              0.15,                  3057,                  6583,,,,,,,,,,,,,,,,
3596,2014年第3季,,,              4128313,,                 13051,              4141364,,,              3527320,              3527320,                614044,                614044,,,                135287,,                 94857,,                241574,                471718,                142326,,,,                  3294,                  7629,                 10923,,                -29295,                 82712,                 53417,,                  6077,                  6077,,                 30088,                 30088,                 88351,                230677,,                 47473,                183204,                183204,,,                  7886,                              0,,                     11,                  1701,                  6196,                  6196,                189400,,                161629,                 21575,,                168909,                 20491,,                              0.99,                              0.99,,                              0.97,                              0.97,,,,,,,,,,,,,,,,,,
3596,2014年第2季,,,              4223522,,                 30029,              4253551,,,,              3550873,                702678,                702678,,,                148027,,                 94449,,                240161,                482637,                220041,,,,                  3760,                  7139,                 10899,,                -57389,                 29134,                -28255,,                  7422,                  7422,,                 27856,                 27856,                  3078,                223119,,                 55630,                167489,                167489,,,                -12925,                              0,,                    -12,                 -1867,                -11070,                -11070,                156419,,                143712,                 23777,,                133539,                 22880,,,                              0.88,,,                              0.86,,,,,,,,,,,,,,,,,,
3596,2014年度,,,             17373891,,                 54144,             17428035,,,,             14690323,              2737712,              2737712,,,                606903,,                384873,,                931003,              1922779,                814933,,,,                 14643,                  8141,                 22784,,                -61433,                103237,                 44030,,                 26178,                 26178,,                118701,                118701,                159337,                974270,,                190282,                783988,                783988,,,,,,,,,                 49016,                833004,,                692255,                 91733,,                741746,                 91258,,                              4.29,                              4.29,,                              4.19,                              4.19,                 14643,,                              0,                  2226,                              0,                 57620,                  1519,,                     36,                 10159,                              0.00,,,,,,,
3596,2014年01月01日至2014年09月30日,,,             12434700,,                 26147,             12460847,,,             10456284,             10456284,              2004563,              2004563,,,                409563,,                288866,,                710056,              1408485,                596078,,,,                 11253,                 18448,                 29701,,                -51292,                 86483,                 35191,,                 19095,                 19095,,                 89149,                 89149,                134946,                731024,,                165730,                565294,                565294,,,                  7749,                              0,,                     11,                  1713,                  6047,                  6047,                571341,,                479578,                 85716,,                486811,                 84530,,                              2.93,                              2.93,,                              2.86,                              2.86,,,,,,,,,,,,,,,,,,
3596,2014年01月01日至2014年06月30日,,,              8287819,,                 31664,              8319483,,,,              6928964,              1390519,              1390519,,,                274276,,                194009,,                468482,                936767,                453752,,,,                  7959,                 10819,                 18778,,                -21997,                  3771,                -18226,,                 13018,                 13018,,                 59061,                 59061,                 46595,                500347,,                118257,                382090,                382090,,,                   -137,                              0,,                              0,                     12,                   -149,                   -149,                381941,,                317949,                 64141,,                317902,                 64039,,,                              1.94,,,                              1.90,,,,,,,,,,,,,,,,,,
