證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
4952,2015年第3季,,,                884576,                884576,,,                547283,                547283,                337293,                337293,,,                 33089,,                 41681,,                127956,                202726,                134567,,,                  4199,,                 19587,,                    598,                 23188,                157755,,                 22514,                135241,                135241,,,                 20289,                    -34,                 20255,                 20255,                155496,,                135241,,                155496,,                              1.24,                              1.24,,                              1.22,                              1.22,,,
4952,2015年第2季,,,                945451,                945451,,,                594294,                594294,                351157,                351157,,,                 29096,,                 41337,,                126462,                196895,                154262,,,                  4415,,                 -5772,,                    335,                 -1692,                152570,,                 21738,                130832,                130832,,,                 -6997,                    239,                 -6758,                 -6758,                124074,,                130832,,                124074,,                              1.20,                              1.20,,                              1.17,                              1.17,,,
4952,2015年01月01日至2015年09月30日,,,              2392345,              2392345,,,              1497029,              1497029,                895316,                895316,,,                 83327,,                115789,,                354203,                553319,                341997,,,                 12819,,                  9677,,                  1047,                 21449,                363446,,                 51689,                311757,                311757,,,                  8654,                     29,                  8683,                  8683,                320440,,                311757,,                320440,,                              2.86,                              2.86,,                              2.77,                              2.77,,,
4952,2015年01月01日至2015年06月30日,,,              1507769,              1507769,,,                949746,                949746,                558023,                558023,,,                 50238,,                 74108,,                226247,                350593,                207430,,,                  8620,,                 -9910,,                    449,                 -1739,                205691,,                 29175,                176516,                176516,,,                -11635,                     63,                -11572,                -11572,                164944,,                176516,,                164944,,                              1.62,                              1.62,,                              1.58,                              1.58,,,
4952,2015年01月01日至2015年03月31日,,,                562318,                562318,,,                355452,                355452,                206866,                206866,,,                 21142,,                 32771,,                 99785,                153698,                 53168,,,                  4205,,                 -4138,,                    114,                    -47,                 53121,,                  7437,                 45684,                 45684,,,                 -4638,                   -176,                 -4814,                 -4814,                 40870,,                 45684,,                 40870,,                              0.42,                              0.42,,                              0.41,                              0.41,,,
4952,2014年第3季,,,                832021,                832021,,,                529761,                529761,                302260,                302260,,,                 35558,,                 39190,,                126976,                201724,                100536,,,                  3880,,                  9173,,                    664,                 12389,                112925,,                 15663,                 97262,                 97262,,,                 12094,                   -437,                 11657,                 11657,                108919,,                 97262,,                108919,,                              0.89,                              0.89,,                              0.88,                              0.88,,,
4952,2014年第2季,,,                931384,                931384,,,                572665,                572665,                358719,                358719,,,                 37206,,                 38753,,                134125,                210084,                148635,,,                  4345,,                 -4824,,                    270,                   -749,                147886,,                 20219,                127667,                127667,,,                 -8714,                    240,                 -8474,                 -8474,                119193,,                127667,,                119193,,                              1.17,                              1.17,,                              1.14,                              1.14,,,
4952,2014年度,,,              2847345,              2847345,,,              1789038,              1789038,              1058307,              1058307,,,                122092,,                140729,,                468401,                731222,                327085,,,                 16496,,                 19354,,                  1200,                 34650,                361735,,                 50175,                311560,                311560,,,,,,                 17234,                328794,,                311560,,                328794,,                              2.86,                              2.86,,                              2.78,                              2.78,                 17298,                    -64,                              0
4952,2014年01月01日至2014年09月30日,,,              2236451,              2236451,,,              1394656,              1394656,                841795,                841795,,,                 99561,,                107071,,                364280,                570912,                270883,,,                 12264,,                  5888,,                  1040,                 17112,                287995,,                 39552,                248443,                248443,,,                  1617,                    -20,                  1597,                  1597,                250040,,                248443,,                250040,,                              2.28,                              2.28,,                              2.22,                              2.22,,,
4952,2014年01月01日至2014年06月30日,,,              1404430,              1404430,,,                864895,                864895,                539535,                539535,,,                 64003,,                 67881,,                237304,                369188,                170347,,,                  8384,,                 -3285,,                    376,                  4723,                175070,,                 23889,                151181,                151181,,,                -10477,                    417,                -10060,                -10060,                141121,,                151181,,                141121,,                              1.39,                              1.39,,                              1.35,                              1.35,,,
