證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 備供出售金融資產未實現評價損益,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 利息費用
1583,2015年第3季,,              1672578,,              1196566,                476012,                476012,,,                149154,,                 67428,,                 27781,                244363,                231649,,,                 19132,,                212349,,                 16610,                214871,                446520,,                 77679,                368841,                368841,,,                 65085,                 65085,                 65085,                433926,,                283608,                 85233,,                335184,                 98742,,                              2.84,,                              2.67,,,,,,,,,,,,,,,
1583,2015年第2季,,              1877425,,              1391077,                486348,                486348,,,                178749,,                 68291,,                 42366,                289406,                196942,,,                 12209,,                -45132,,                 15019,                -47942,                149000,,                 58336,                 90664,                 90664,,,                -19532,                -19532,                -19532,                 71132,,                 83472,                  7192,,                 68018,                  3114,,                              0.83,,                              0.80,,,,,,,,,,,,,,,
1583,2015年第1季,,              1808125,,              1320637,                487488,                487488,,,                190594,,                 75563,,                 42968,                309125,                178363,,,                118366,,                -73207,,                 12700,                 32459,                210822,,                 50622,                160200,                160200,,,                -13218,                -13218,                -13218,                146982,,                127646,                 32554,,                117078,                 29904,,                              1.28,,                              1.20,,,,,,,,,,,,,,,
1583,2015年01月01日至2015年09月30日,,              5358128,,              3908280,              1449848,              1449848,,,                518497,,                211282,,                113115,                842894,                606954,,,                149707,,                 94010,,                 44329,                199388,                806342,,                186637,                619705,                619705,,,                 32335,                 32335,                 32335,                652040,,                494726,                124979,,                520280,                131760,,                              4.95,,                              4.67,,,,,,,,,,,,,,,
1583,2015年01月01日至2015年06月30日,,              3685550,,              2711714,                973836,                973836,,,                369343,,                143854,,                 85334,                598531,                375305,,,                130575,,               -118339,,                 27719,                -15483,                359822,,                108958,                250864,                250864,,,                -32750,                -32750,                -32750,                218114,,                211118,                 39746,,                185096,                 33018,,                              2.11,,                              2.00,,,,,,,,,,,,,,,
1583,2014年第3季,,              1947451,,              1455163,                492288,                492288,,,                178824,,                 65515,,                 32924,                277263,                215025,,,                 15161,,                 32346,,                 12681,                 34826,                249851,,                 50521,                199330,                199330,,,                 28767,                 28767,                 28767,                228097,,                159448,                 39882,,                181722,                 46375,,                              1.59,,                              1.57,,,,,,,,,,,,,,,
1583,2014年第2季,,              1969106,,              1426795,                542311,                542311,,,                208538,,                 64516,,                 38372,                311426,                230885,,,                 25306,,                -43706,,                 11649,                -30049,                200836,,                 52188,                148648,                148648,,,                -22315,                -22315,                -22315,                126333,,                124028,                 24620,,                106613,                 19720,,                              1.24,,                              1.23,,,,,,,,,,,,,,,
1583,2014年第1季,,              1624918,,              1200290,                424628,                424628,,,                152334,,                 64167,,                 33499,                250000,                174628,,,                  4788,,                 31990,,                 10649,                 26129,                200757,,                 37707,                163050,                163050,,,                  1662,                  1662,                  1662,                164712,,                116569,                 46481,,                118398,                 46314,,                              1.16,,                              1.15,,,,,,,,,,,,,,,
1583,2014年度,,              7817221,,              5740018,              2077203,              2077203,,,                760207,,                272513,,                146196,              1178916,                898287,,,                160214,,                 86710,,                 47306,                199618,              1097905,,                246393,                851512,                851512,,,,,                 41587,                893099,,                685834,                165678,,                721464,                171635,,                              6.88,,                              6.81,                 52385,                -11792,                   -994,,,,,,,,,,,,
1583,2014年01月01日至2014年09月30日,,              5541475,,              4082248,              1459227,              1459227,,,                539696,,                194198,,                104795,                838689,                620538,,,                 45255,,                 20630,,                 34979,                 30906,                651444,,                140416,                511028,                511028,,,                  8114,                  8114,                  8114,                519142,,                400045,                110983,,                406733,                112409,,                              4.00,,                              3.95,,,,,,,,,,,,,,,
1583,2014年01月01日至2014年06月30日,,              3594024,,              2627085,                966939,                966939,,,                360872,,                128683,,                 71871,                561426,                405513,,,                 30094,,                -11716,,                 22298,                 -3920,                401593,,                 89895,                311698,                311698,,,                -20653,                -20653,                -20653,                291045,,                240597,                 71101,,                225011,                 66034,,                              2.40,,                              2.38,,,,,,,,,,,,,,,
1583,2014年01月01日至2014年03月31日,,              1624918,,              1200290,                424628,                424628,,,                152334,,                 64185,,                 33499,                250018,                174610,,,                  4788,,                 31990,,                 10649,                 26129,                200739,,                 37704,                163035,                163035,,,,,                  1662,                164697,,                116554,                 46481,,                118383,                 46314,,                              1.20,,                              1.19,                  1662,,,,,,,,,,,,,,
1583,2013年第3季,,              1446553,,              1072528,                374025,                374025,,,                150650,,                 43525,,                 31377,                225552,                148473,,,                  7409,,                -20743,,                 10481,                -23815,                124658,,                 23644,                101014,                101014,,,,,                -13818,                 87196,,                 79872,                 21142,,                 69419,                 17777,,                              0.80,,                              0.79,                -13818,,,,,,,,,,,,,,
1583,2013年第2季,,              1565897,,              1190892,                375005,                375005,,,                144926,,                 55001,,                 28685,                228612,                146393,,,                  4817,,                 25616,,                  9665,                 20768,                167161,,                 55766,                111395,                111395,,,,,                 17439,                128834,,                 79679,                 31716,,                 92794,                 36040,,                              0.82,,                              0.81,                 17439,,,,,,,,,,,,,,
1583,2013年度,,              5882764,,              4365494,              1517270,              1517270,,,                585603,,                233989,,                114183,                933775,                583495,,,                 33042,,                104288,,                 40149,                 97181,                680676,,                146625,                534051,                534051,,,,,                 82470,                616521,,                390078,                143973,,                452805,                163716,,                              3.92,,                              3.86,                 73829,                 10397,                  1756,,,,,,,,,,,,
1583,2013年07月01日至2013年09月30日,,              1446553,,              1072528,                374025,                374025,,,                150650,,                 43525,,                 31377,                225552,                148473,,,                  7409,,                -20743,,                 10481,                -23815,                124658,,                 23644,                101014,                101014,,,,,                -13818,                 87196,,                 79872,                 21142,,                 69419,                 17777,,                              0.83,,                              0.82,                -13818,,,                              0,,,,,,,,,,,
1583,2013年04月01日至2013年06月30日,,              1565897,,              1190892,                375005,                375005,,,                144926,,                 55001,,                 28685,                228612,                146393,,,                  4817,,                 25616,,                  9665,                 20768,                167161,,                 55766,                111395,                111395,,,,,                 17439,                128834,,                 79679,                 31716,,                 92794,                 36040,,                              0.83,,                              0.81,                 17439,,,                              0,,,,,,,,,,,
1583,2013年01月01日至2013年12月31日,,              5882764,,              4365494,              1517270,              1517270,,,                585603,,                233989,,                114183,                933775,                583495,,,                 33042,,                104288,,                 40149,                 97181,                680676,,                146625,                534051,                534051,,,,,                 82470,                616521,,                390078,                143973,,                452805,                163716,,                              4.05,,                              3.99,                 73829,                 10397,                  1756,                              0,,,,,,,,,,,
1583,2013年01月01日至2013年09月30日,,              4278374,,              3192152,              1086222,              1086222,,,                429561,,                163381,,                 86608,                679550,                406672,,,                 27177,,                 72388,,                 30042,                 69523,                476195,,                116350,                359845,                359845,,,,,                 56364,                416209,,                268563,                 91282,,                309049,                107160,,                              2.70,,                              2.66,                 56364,,,,,,,,,,,,,,
1583,2013年01月01日至2013年06月30日,,              2831821,,              2119624,                712197,                712197,,,                278911,,                119856,,                 55231,                453998,                258199,,,                 19768,,                 93131,,                 19561,                 93338,                351537,,                 92706,                258831,                258831,,,,,                 70182,                329013,,                188691,                 70140,,                239630,                 89383,,                              1.95,,                              1.91,                 70182,,,,,,,,,,,,,,
1583,2013年01月01日至2013年03月31日,,              1265924,,                928732,                337192,                337192,,,                133985,,                 64855,,                 26546,                225386,                111806,,,                 14951,,                 67515,,                  9896,                 72570,                184376,,                 36940,                147436,                147436,,,,,                 52743,                200179,,                109012,                 38424,,                146836,                 53343,,                              1.13,,                              1.11,                 52743,,,,,,,,,,,,,,
1583,2012年07月01日至2012年09月30日,,              1605675,,              1157628,                448047,                448047,,,                169539,,                 38162,,                 30144,                237845,                210202,,,                 18155,,                -28087,,                 10753,                -20685,                189517,,                 44531,                144986,                144986,,,,,                -17348,                127638,,                 94309,                 50677,,                 83025,                 44613,,                              0.98,,                              0.96,                -17348,,,                              0,,,,,,,,,,,
1583,2012年04月01日至2012年06月30日,,              1912492,,              1406217,                506275,                506275,,,                218316,,                 26189,,                 25222,                269727,                236548,,,                 20136,,                 10912,,                 10671,                 20377,                256925,,                 80276,                176649,                176649,,,,,                  5034,                181683,,                132761,                 43888,,                135783,                 45900,,                              1.38,,                              1.35,                  5035,,,                     -1,,,,,,,,,,,
1583,2012年01月01日至2012年12月31日,,              6685855,,              4870931,              1814924,              1814924,,,                674894,,                194577,,                128201,                997672,                817252,,,                 50642,,                -76553,,                 42890,                -68801,                748451,,                192182,                556269,                556269,,,,,                -54352,                501917,,                404032,                152237,,                363754,                138163,,                              4.19,,                              4.11,                -42124,                -15928,                 -2708,                    992,,,,,,,,,,,
1583,2012年01月01日至2012年09月30日,,              5223973,,              3776117,              1447856,              1447856,,,                506490,,                143115,,                 86867,                736472,                711384,,,                 42682,,                -58714,,                 31784,                -47816,                663568,,                176688,                486880,                486880,,,,,                -42841,                444039,,                349940,                136940,,                321330,                122709,,                              3.63,,                              3.56,                -43833,,,                    992,,,,,,,,,,,
1583,2012年01月01日至2012年06月30日,,              3618298,,              2618489,                999809,                999809,,,                336951,,                104953,,                 56723,                498627,                501182,,,                 24527,,                -30627,,                 21031,                -27131,                474051,,                132157,                341894,                341894,,,,,                -25493,                316401,,                255631,                 86263,,                238305,                 78096,,                              2.65,,                              2.59,                -26485,,,                    992,,,,,,,,,,,
