證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1215,2015年第3季,,              4436577,,              3870568,                566009,                566009,,,                215954,,                 86171,                302125,,                 -1919,                261965,,,                 17641,,                -20696,,                  6712,                 -9767,                252198,,                 48917,                203281,                203281,,,                103809,               -289822,               -186013,               -186013,                 17268,,                191655,                 11626,,                  2009,                 15259,,                              0.72,                              0.72,,                              0.71,                              0.71,,,,
1215,2015年第2季,,              3929486,,              3538463,                391023,                391023,,,                187535,,                 81588,                269123,,                 14552,                136452,,,                 28905,,                  5110,,                  7770,                 26245,                162697,,                 54295,                108402,                108402,,,                -20984,                 37619,                 16635,                 16635,                125037,,                101870,                  6532,,                119442,                  5595,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,
1215,2015年01月01日至2015年09月30日,,             12374527,,             10914623,              1459904,              1459904,,,                588679,,                256466,                845145,,                    287,                615046,,,                 47230,,                 -3483,,                 22882,                 20865,                635911,,                145525,                490386,                490386,,,                 59967,               -529871,               -469904,               -469904,                 20482,,                468372,                 22014,,                 -3215,                 23697,,                              1.75,                              1.75,,                              1.75,                              1.75,,,,
1215,2015年01月01日至2015年06月30日,,              7937950,,              7044055,                893895,                893895,,,                372725,,                170295,                543020,,                  2206,                353081,,,                 29589,,                 17213,,                 16170,                 30632,                383713,,                 96608,                287105,                287105,,,                -43842,               -240049,               -283891,               -283891,                  3214,,                276717,                 10388,,                 -5224,                  8438,,                              1.14,                              1.14,,                              1.13,                              1.13,,,,
1215,2015年01月01日至2015年03月31日,,              4008464,,              3505592,                502872,                502872,,,                185190,,                 88707,                273897,,                -12346,                216629,,,                    684,,                 12103,,                  8400,                  4387,                221016,,                 42313,                178703,                178703,,,                -22858,               -277668,               -300526,               -300526,               -121823,,                174847,                  3856,,               -124666,                  2843,,                              0.72,                              0.72,,                              0.72,                              0.72,,,,
1215,2014年第3季,,              4541137,,              4048009,                493128,                493128,,,                211238,,                 84521,                295759,,                 14834,                212203,,,                 18153,,                    586,,                  8217,                 10522,                222725,,                 44991,                177734,                177734,,,                 11137,                207668,                218805,                218805,                396539,,                167949,                  9785,,                385203,                 11336,,                              0.63,                              0.63,,                              0.63,                              0.63,,,,
1215,2014年第2季,,              4309282,,              3797195,                512087,                512087,,,                202437,,                 79749,                282186,,                 -5003,                224898,,,                 15401,,                 11072,,                  9086,                 17387,                242285,,                 56319,                185966,                185966,,,                -11072,                -73222,                -84294,                -84294,                101672,,                179473,                  6493,,                 96502,                  5170,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,
1215,2014年度,,             17527760,,             15440281,              2087479,              2087479,,,                796513,,                325715,              1122228,,                  8237,                973488,,,                 34652,,                 21730,,                 34489,                 21893,                995381,,                187134,                808247,                808247,,,,,,               -137533,                670714,,                782892,                 25355,,                640960,                 29754,,                              3.21,                              3.21,,                              3.21,                              3.21,                145830,               -289831,                  7792,                  1324
1215,2014年01月01日至2014年09月30日,,             13008758,,             11505883,              1502875,              1502875,,,                604132,,                243093,                847225,,                 21213,                676863,,,                 34000,,                 29635,,                 27009,                 36626,                713489,,                143177,                570312,                570312,,,                 10689,                -47738,                -37049,                -37049,                533263,,                550008,                 20304,,                511822,                 21441,,                              2.05,                              2.05,,                              2.05,                              2.05,,,,
1215,2014年01月01日至2014年06月30日,,              8467621,,              7457874,              1009747,              1009747,,,                392894,,                158572,                551466,,                  6379,                464660,,,                 15847,,                 29049,,                 18792,                 26104,                490764,,                 98186,                392578,                392578,,,                   -448,               -255406,               -255854,               -255854,                136724,,                382059,                 10519,,                126619,                 10105,,                              1.57,                              1.57,,                              1.57,                              1.57,,,,
