證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資性不動產利益,　　　 處分投資利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益[duplicate]60,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　 停業單位損益,　　 停業單位損益合計,　　　 處分不動產、廠房及設備利益,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
9937,2015年第3季,,,,              5225176,              5225176,              5225176,              5225176,,,              4819645,              4819645,              4819645,                405531,                405531,,,                306982,,                 38288,                345270,                 60261,,,,                  6110,                  6110,                  6449,                 11178,                 56398,                 80135,,                              0,                              0,                  7500,                  1616,,                  5030,                  5030,                -14146,,                  3562,                 62427,                122688,,                 19727,                102961,                102961,,,                 10492,                 10492,                 10492,                113453,,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
9937,2015年第2季,,,,              5520012,              5520012,              5520012,              5520012,,,              5097814,              5097814,              5097814,                422198,                422198,,,                313713,,                 53277,                366990,                 55208,,,,                  6441,                  6441,                 11686,                    322,                 22127,                 40576,,                156179,                              0,                  5915,                  1417,,                  9800,                  9800,                139047,,                  3727,                175896,                231104,,                 21036,                210068,                210068,,,                -18022,                -18022,                -18022,                192046,,                              0.68,,,,,,,,,,,,,,,,,,,,,,,,,,
9937,2015年01月01日至2015年09月30日,,,,             15775245,             15775245,             15775245,             15775245,,,             14545580,             14545580,             14545580,              1229665,              1229665,,,                931200,,                121711,              1052911,                176754,,,,                 18705,                 18705,                 27888,                 11500,                100072,                158165,,                156179,                              0,                 18525,                  3061,,                 14830,                 14830,                119763,,                 11463,                266465,                443219,,                 55799,                387420,                387420,,,                 -6145,                 -6145,                 -6145,                381275,,                              1.25,,,,,,,,,,,,,,,,,,,,,,,,,,
9937,2015年01月01日至2015年06月30日,,,,             10550069,             10550069,             10550069,             10550069,,,              9725935,              9725935,              9725935,                824134,                824134,,,                624218,,                 83423,                707641,                116493,,,,                 12595,                 12595,                 21439,                    322,                 43674,                 78030,,                156179,                              0,                 11025,                  1445,,                  9800,                  9800,                133909,,                  7901,                204038,                320531,,                 36072,                284459,                284459,,,                -16637,                -16637,                -16637,                267822,,                              0.92,,,,,,,,,,,,,,,,,,,,,,,,,,
9937,2015年01月01日至2015年03月31日,,,,              5030057,              5030057,              5030057,              5030057,,,              4628121,              4628121,              4628121,                401936,                401936,,,                310505,,                 30146,                340651,                 61285,,,,                  6154,                  6154,                  9753,,                 21547,                 37454,,,                              0,                  5108,                     30,,,,                 -5138,,                  4174,                 28142,                 89427,,                 15036,                 74391,                 74391,,,                  1385,                  1385,                  1385,                 75776,,                              0.24,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,
9937,2014年第3季,,,,              7350001,              7350001,              7350001,              7350001,,,              6946244,              6946244,              6946244,                403757,                403757,,,                331583,,                 34399,                365982,                 37775,,,,                  6522,                  6522,                  9508,                 12555,                 66100,                 94685,,                              0,                  5951,                  5674,                 10198,,                              0,                              0,                 -9921,,                  2917,                 81847,                119622,,                 16818,                102804,                102804,,,                 -6297,                 -6297,                 -6297,                 96507,,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,
9937,2014年第2季,,,,              7468549,              7468549,              7468549,              7468549,,,              7075196,              7075196,              7075196,                393353,                393353,,,                322127,,                 28144,                350271,                 43082,,,,                  6981,                  6981,                 12137,                  1196,                 16883,                 37197,,                              0,                  9734,                  5593,                    175,,                              0,                              0,                  3966,,                  3120,                 38043,                 81125,,                 11928,                 69197,                 69197,,,                -16567,                -16567,                -16567,                 52630,,                              0.22,,,,,,,,,,,,,,,,,,,,,,,,,,
9937,2014年度,,,,             28294765,             28294765,             28294765,             28294765,,,             26619208,             26619208,             26619208,              1675557,              1675557,,,              1308815,,                126790,              1435605,                239952,,,,                 26658,                 26658,                 40635,                 13751,                118188,                199232,,,                 17331,                 22787,                 10536,,                 17500,                 17500,                -33492,,                 13129,                152611,                392563,,                 63548,                329015,                329015,,,,,                -59376,                269639,,                              1.06,,,,,,,,,,,,,,,,,,,,                -62983,                  3607,,,,,
9937,2014年01月01日至2014年09月30日,,,,             22049696,             22049696,             22049696,             22049696,,,             20820574,             20820574,             20820574,              1229122,              1229122,,,                981309,,                 93858,              1075167,                153955,,,,                 19932,                 19932,                 31418,                 13751,                101580,                166681,,                              0,                 17331,                 17274,                 10501,,                              0,                              0,                -10444,,                  9607,                146630,                300585,,                 45438,                255147,                255147,,,                -54922,                -54922,                -54922,                200225,,                              0.83,,,,,,,,,,,,,,,,,,,,,,,,,,
9937,2014年01月01日至2014年06月30日,,,,             14699695,             14699695,             14699695,             14699695,,,             13874330,             13874330,             13874330,                825365,                825365,,,                649726,,                 59459,                709185,                116180,,,,                 13410,                 13410,                 21910,                  1196,                 35480,                 71996,,                              0,                 11380,                 11600,                    303,,                              0,                              0,                   -523,,                  6690,                 64783,                180963,,                 28620,                152343,                152343,,,                -48625,                -48625,                -48625,                103718,,                              0.49,,,,,,,,,,,,,,,,,,,,,,,,,,
9937,2014年01月01日至2014年03月31日,,,,              7231146,              7231146,              7231146,              7231146,,,              6799134,              6799134,              6799134,                432012,                432012,,,                327599,,                 31315,                358914,                 73098,,,,                  6429,                  6429,                  9773,,                 18597,                 34799,,,                  1646,                  6007,                    128,,,,                 -4489,,                  3570,                 26740,                 99838,,                 16692,                 83146,                 83146,,,                -32058,                -32058,                -32058,                 51088,,                              0.27,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,,,,,,,
9937,2013年第3季,,,,              7769141,              7769141,              7769141,              7769141,,,              7331779,              7331779,              7331779,                437362,                437362,,,                340796,,                 36859,                377655,                 59707,,,,                  6608,                  6608,                 12216,                 10387,                 59009,                 88220,,,                  2032,                  5803,                    530,,                              0,                              0,                 -4301,,                  2566,                 81353,                141060,,                 21699,                119361,                119361,,,,,                 26404,                145765,,                              0.39,,,,,,,,,,,,,,,,,,,,                 26404,,,                              0,,,
9937,2013年第2季,,,,              7410283,              7410283,              7410283,              7410283,,,              6995972,              6995972,              6995972,                414311,                414311,,,                333579,,                 31047,                364626,                 49685,,,,                  7789,                  7789,                 14214,                              0,                 20760,                 42763,,,                              0,                  5801,                              0,,                    500,                    500,                 -6298,,                  1064,                 35401,                 85086,,                 14550,                 70536,                 70536,,,,,                -81131,                -10595,,                              0.23,,,,,,,,,,,,,,,,,,,,                -81131,,,                              0,                      3,,
9937,2013年度,,,,             30486204,             30486204,             30486204,             30486204,,,             28739126,             28739126,             28739126,              1747078,              1747078,,,              1367267,,                136521,              1503788,                243290,,,,                 28471,                 28471,                 49348,                 10387,                169888,                258094,,,                  2032,                 30285,                 13825,,                    500,                    500,                -42578,,                  6982,                208534,                451824,,                 76828,                374996,                374996,,,,,                -13440,                361556,,                              1.21,,,,,,,,,,,,,,,,,,,,                -13260,                   -180,,,,,
9937,2013年07月01日至2013年09月30日,,,,              7769141,              7769141,              7769141,              7769141,,,              7331779,              7331779,              7331779,                437362,                437362,,,                340796,,                 36859,                377655,                 59707,,,,                  6608,                  6608,                 12216,                 10387,                 59009,                 88220,,,                  2032,                  5803,                    530,,                              0,                              0,                 -4301,,                  2566,                 81353,                141060,,                 21699,                119361,                119361,,,,,                 26404,                145765,,                              0.39,,,,,,,,,,,,,,,,,,,,                 26404,,,                              0,,,
9937,2013年04月01日至2013年06月30日,,,,              7410283,              7410283,              7410283,              7410283,,,              6995972,              6995972,              6995972,                414311,                414311,,,                333579,,                 31047,                364626,                 49685,,,,                  7789,                  7789,                 14214,,                 20760,                 42763,,,,                  5801,,,                    500,                    500,                 -6298,,                  1064,                 35401,                 85086,,                 14550,                 70536,                 70536,,,,,                -81131,                -10595,,                              0.23,,,,,,,,,,,,,,,,,,,,                -81131,,,                              0,                      3,,                              0.23
9937,2013年01月01日至2013年12月31日,,,,             30486204,             30486204,             30486204,             30486204,,,             28739126,             28739126,             28739126,              1747078,              1747078,,,              1367267,,                136521,              1503788,                243290,,,,                 28471,                 28471,                 49348,                 10387,                169888,                258094,,,                  2032,                 30285,                 13825,,                    500,                    500,                -42578,,                  6982,                208534,                451824,,                 76828,                374996,                374996,,,,,                -13440,                361556,,                              1.21,,,,,,,,,,,,,,,,,,,,                -13260,                   -180,,,,,
9937,2013年01月01日至2013年09月30日,,,,             22800488,             22800488,             22800488,             22800488,,,             21503127,             21503127,             21503127,              1297361,              1297361,,,              1004410,,                101640,              1106050,                191311,,,,                 21269,                 21269,                 37170,                 10387,                140941,                209767,,,                  2032,                 24510,                  2137,,                    500,                    500,                -25115,,                  3927,                180725,                372036,,                 61050,                310986,                310986,,,,,                -53497,                257489,,                              1.01,,,,,,,,,,,,,,,,,,,,                -53497,,,                              0,,,
9937,2013年01月01日至2013年06月30日,,,,             15031347,             15031347,             15031347,             15031347,,,             14171348,             14171348,             14171348,                859999,                859999,,,                663614,,                 64781,                728395,                131604,,,,                 14661,                 14661,                 24954,                              0,                 81932,                121547,,,                              0,                 18707,                  1607,,                    500,                    500,                -20814,,                  1361,                 99372,                230976,,                 39351,                191625,                191625,,,,,                -79901,                111724,,                              0.62,,,,,,,,,,,,,,,,,,,,                -79901,,,                              0,                              0,,
9937,2013年01月01日至2013年03月31日,,,,              7621064,              7621064,              7621064,              7621064,,,              7175376,              7175376,              7175376,                445688,                445688,,,                330035,,                 33734,                363769,                 81919,,,,                  6872,                  6872,                 10740,,                 61172,                 78784,,,                              0,                 12907,                  1609,,,,                -14516,,                    297,                 63971,                145890,,                 24801,                121089,                121089,,,,,                  1230,                122319,,                              0.39,,,,,,,,,,,,,,,,,,,,                  1230,,,                              0,,,
9937,2012年07月01日至2012年09月30日,,,,              8140638,              8140638,              8140638,              8140638,,,              7655804,              7655804,              7655804,                484834,                484834,,,                359247,,                 44185,                403432,                 81402,,,,                  8222,                  8222,                 11010,                  1333,                 60571,                 81136,,,                              0,                  5846,                  5879,,                              0,                              0,                -11725,,                    173,                 69238,                150640,,                 25384,                125256,                125256,,,,,                 10007,                135263,,                              0.41,,,,,,,,,,,,,,,,,,,,                 10007,,,                              0,,,
9937,2012年04月01日至2012年06月30日,,,,              7624225,              7624225,              7624225,              7624225,,,              7158363,              7158363,              7158363,                465862,                465862,,,                352954,,                 44215,                397169,                 68693,,,,                 12277,                 12277,                 12514,,                 25345,                 50136,,,,                  5685,,,                              0,                              0,                 -6950,,                    325,                 42861,                111554,,                 20392,                 91162,                 91162,,,,,                 -3549,                 87613,,                              0.30,,,,,,,,,,,,,,,,,,,,                 -3549,,,                              0,                 -1265,,                              0.29
9937,2012年01月01日至2012年12月31日,,,,             31232730,             31232730,             31232730,             31232730,,,             29237112,             29237112,             29237112,              1995618,              1995618,,,              1488324,,                177415,              1665739,                329879,,,,                 40332,                 40332,                 43622,                  1334,                149458,                234746,,,                              0,                 24395,                 15292,,                              0,                              0,                -39687,,                    926,                194133,                524012,,                 92309,                431703,                431703,,,,,                 42723,                474426,,                              1.40,,,,,,,,,,,,,,,,,,,,                 48272,                 -5549,,,,,
9937,2012年01月01日至2012年09月30日,,,,             23447975,             23447975,             23447975,             23447975,,,             21912980,             21912980,             21912980,              1534995,              1534995,,,              1130189,,                136477,              1266666,                268329,,,,                 31947,                 31947,                 32101,                  1333,                125671,                191052,,,                              0,                 17306,                 13454,,                              0,                              0,                -30760,,                    791,                159501,                427830,,                 74709,                353121,                353121,,,,,                  6495,                359616,,                              1.14,,,,,,,,,,,,,,,,,,,,                  6495,,,                              0,,,
9937,2012年01月01日至2012年06月30日,,,,             15307337,             15307337,             15307337,             15307337,,,             14257176,             14257176,             14257176,              1050161,              1050161,,,                770942,,                 92292,                863234,                186927,,,,                 23725,                 23725,                 21091,,                 65100,                109916,,,,                 11460,,,                              0,                              0,                -19035,,                    618,                 90263,                277190,,                 49325,                227865,                227865,,,,,                 -3512,                224353,,                              0.74,,,,,,,,,,,,,,,,,,,,                 -3512,,,                              0,                 -7575,,                              0.73
9937,2012年01月01日至2012年03月31日,,,,              7683112,              7683112,              7683112,              7683112,,,              7098813,              7098813,              7098813,                584299,                584299,,,                417988,,                 48077,                466065,                118234,,,,                 11448,                 11448,                  8577,,                 39755,                 59780,,,,                  5776,,,,,                -12085,,                    293,                 47402,                165636,,                 28933,                136703,                136703,,,,,                     37,                136740,,                              0.44,,,,,,,,,,,,,,,,,,,,                     37,,,                              0,                 -6309,,
