證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1773,2015年第3季,,,,              1634727,                              0,                  1266,              1633461,              1633461,,              1330636,                302825,                302825,,,                 68836,,                 91197,,                 17519,                177552,                125273,,,,                    154,                    154,                 19359,                 19513,,                    410,                 28023,                     76,                 28357,,                              0,,                              0,,                    234,,                 18703,                 66339,                191612,,                 31281,                160331,                160331,,,                 20287,,                 13021,                  3449,                 29859,                 29859,                190190,,                160331,                              0,,                190190,                              0,,                              1.06,,,,,,,,,,
1773,2015年第2季,,,,              1683624,                     34,                  2603,              1680987,              1680987,,              1322818,                358169,                358169,,,                 73044,,                 93845,,                 13510,                180399,                177770,,,,                    359,                    359,                  3637,                  3996,,                              0,                              0,                     46,                 -5530,,                              0,,                              0,,                     73,,                 12564,                 10957,                188727,,                 35523,                153204,                153204,,,                 -6858,,                 -4681,                 -1166,                -10373,                -10373,                142831,,                153204,                              0,,                142831,                              0,,                              1.02,                              0,                  5484,,,,,,,,
1773,2015年01月01日至2015年09月30日,,,,              4946447,                     79,                  5999,              4940369,              4940369,,              3966556,                973813,                973813,,,                206661,,                268316,,                 46007,                520984,                452829,,,,                    632,                    632,                 26188,                 26820,,                    384,                 19733,                    155,                 19962,,                              0,,                              0,,                    497,,                 43576,                 89861,                542690,,                 93521,                449169,                449169,,,                  8628,,                  5066,                  1467,                 12227,                 12227,                461396,,                449169,                              0,,                461396,                              0,,                              2.99,,,,,,,,,,
1773,2015年01月01日至2015年06月30日,,,,              3311720,                     79,                  4733,              3306908,              3306908,,              2635920,                670988,                670988,,,                137825,,                177119,,                 28488,                343432,                327556,,,,                    478,                    478,                  6829,                  7307,,                              0,                              0,                     79,                 -8395,,                              0,,                              0,,                    263,,                 24873,                 23522,                351078,,                 62240,                288838,                288838,,,                -11659,,                 -7955,                 -1982,                -17632,                -17632,                271206,,                288838,                              0,,                271206,                              0,,                              1.93,                     26,                  8290,,,,,,,,
1773,2015年01月01日至2015年03月31日,,,,              1628096,                     45,                  2130,              1625921,              1625921,,              1313102,                312819,                312819,,,                 64781,,                 83274,,                 14978,                163033,                149786,,,,                    119,                    119,                  3192,                  3311,,                              0,                              0,                     33,                 -2865,,                              0,,                              0,,                    190,,                 12309,                 12565,                162351,,                 26717,                135634,                135634,,,                 -4801,,                 -3274,                   -816,                 -7259,                 -7259,                128375,,                135634,                              0,,                128375,                              0,,                              0.90,                     26,                  2806,,,,,,,,
1773,2014年第3季,,,,              1948952,                  1519,                  1899,              1945534,              1945534,,              1600785,                344749,                344749,,,                 80726,,                 92893,,                 12678,                186297,                158452,,,,                     28,                     28,                  1953,                  1981,,                     53,                  7406,                    225,                  7234,,                              0,,                              0,,                    405,,                 16150,                 24960,                183412,,                 31809,                151603,                151603,,,                 13770,,                  8692,                  2341,                 20121,                 20121,                171724,,                151603,                              0,,                171724,                              0,,                              1.01,,,,,,,,,,
1773,2014年第2季,,,,              1788423,                              0,                  1868,              1786555,              1786555,,              1501843,                284712,                284712,,,                 67078,,                 83014,,                 11534,                161626,                123086,,,,                     44,                     44,                  2916,                  2960,,                    866,                              0,                    463,                 -1711,,                              0,,                              0,,                    488,,                 14690,                 15451,                138537,,                 23343,                115194,                115194,,,                 -8528,,                 -5511,                 -1450,                -12589,                -12589,                102605,,                115194,                              0,,                102605,                              0,,                              0.77,                              0,                  2114,,,,,,,,
1773,2014年度,,,,              7292134,                  1624,                  7195,              7283315,              7283315,,              6106552,              1176763,              1176763,,,                278616,,                322203,,                 46871,                647690,                529073,,,,                    162,                    162,                 13820,                 13982,,                  2026,                 25325,                  1193,                 13158,,                              0,,                              0,,                  2190,,                 69656,                 94606,                623679,,                 99424,                524255,                524255,,,,,,,,                 16915,                541170,,                524255,                              0,,                541170,                              0,,                              3.50,                              0,                              0,,                 13000,                 13000,                 16913,                -10766,,                 11813,                  1045
1773,2014年01月01日至2014年09月30日,,,,              5488933,                  1624,                  5238,              5482071,              5482071,,              4589889,                892182,                892182,,,                207159,,                248234,,                 34361,                489754,                402428,,,,                     94,                     94,                  8422,                  8516,,                  1348,                 10543,                    903,                 10988,,                              0,,                              0,,                  1672,,                 48886,                 66718,                469146,,                 78902,                390244,                390244,,,                  3311,,                  1703,                    563,                  4451,                  4451,                394695,,                390244,                              0,,                394695,                              0,,                              2.60,,,,,,,,,,
1773,2014年01月01日至2014年06月30日,,,,              3539981,                    105,                  3339,              3536537,              3536537,,              2989104,                547433,                547433,,,                126433,,                155341,,                 21683,                303457,                243976,,,,                     66,                     66,                  6469,                  6535,,                  1295,                  3137,                    678,                  3754,,                              0,,                              0,,                  1267,,                 32736,                 41758,                285734,,                 47093,                238641,                238641,,,                -10459,,                 -6989,                 -1778,                -15670,                -15670,                222971,,                238641,                              0,,                222971,                              0,,                              1.59,                              0,                              0,,,,,,,,
