證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 減損損失,　　　　 減損損失合計,　　 其他綜合損益,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 旅遊服務收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 處分不動產、廠房及設備利益,　　　 處分投資性不動產利益,　　　 處分無形資產利益,　　　 處分投資利益,　　　 按攤銷後成本衡量之金融負債利益,　　　 當期原始認列生物資產之利益,　　　 生物資產當期公允價值減出售成本之變動之利益,　　　 公允價值調整利益－投資性不動產,　　　 不動產、廠房及設備重估價利益,　　　 無形資產重估價利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 手續費支出合計,　　　 停工損失,　　　 虧損性合約損失,　　　 保證合約損失,　　　 賠償損失,　　　 處分不動產、廠房及設備損失,　　　 處分投資性不動產損失,　　　 處分無形資產損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 按攤銷後成本衡量之金融負債損失,　　　 當期原始認列生物資產之損失,　　　 生物資產當期公允價值減出售成本之變動之損失,　　　 公允價值調整損失－投資性不動產,　　　 不動產、廠房及設備重估價損失,　　　 無形資產重估價損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益
1729,2015年第3季,,                404063,,                320996,                 83067,                 83067,,,                 15384,,                 63444,,                 20700,                 99528,                -16461,,,                 14704,,                 31450,,                  1549,,                    329,                 44934,                 28473,,                  7051,                 21422,                 21422,,,                 47988,,                              0,                              0,                 47988,                 47988,                 69410,,                  5747,                 15675,,                 53735,                 15675,,                              0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2015年第2季,,                378563,,                282945,                 95618,                 95618,,,                 16057,,                 70318,,                 22909,                109284,                -13666,,,                 15776,,                 -8675,,                  1801,,                    751,                  6051,                 -7615,,                  4399,                -12014,                -12014,,,                -15624,,                              0,                              0,                -15624,                -15624,                -27638,,                -20440,                  8426,,                -36064,                  8426,,                             -0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2015年01月01日至2015年09月30日,,              1054384,,                794513,                259871,                259871,,,                 48510,,                172474,,                 64787,                285771,                -25900,,,                 45370,,                  8530,,                  5394,,                  1727,                 50233,                 24333,,                 14140,                 10193,                 10193,,,                 21839,,                              0,                              0,                 21839,                 21839,                 32032,,                -13076,                 23269,,                  8763,                 23269,,                             -0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2015年01月01日至2015年06月30日,,                650321,,                473517,                176804,                176804,,,                 33126,,                109030,,                 44087,                186243,                 -9439,,,                 30666,,                -22920,,                  3845,,                  1398,                  5299,                 -4140,,                  7089,                -11229,                -11229,,,                -26149,,                              0,                              0,                -26149,                -26149,                -37378,,                -18823,                  7594,,                -44972,                  7594,,                             -0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2015年01月01日至2015年03月31日,,                271758,,                190572,                 81186,                 81186,,,                 17069,,                 38712,,                 21178,                 76959,                  4227,,,                 14890,,                -14245,,                  2044,,                    647,                   -752,                  3475,,                  2690,                    785,                    785,,,                -10525,,                              0,                              0,                -10525,                -10525,                 -9740,,                  1617,                   -832,,                 -8908,                   -832,,                              0.01,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2014年第3季,,                281767,,                193371,                 88396,                 88396,,,                 32927,,                 49675,,                 20573,                103175,                -14779,,,                 29413,,                 -4544,,                  6713,,                     19,                 18175,                  3396,,                  5975,                 -2579,                 -2579,,,                 17145,,                   -366,                              0,                 16779,                 16779,                 14200,,                     57,                 -2636,,                 16811,                 -2611,,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2014年第2季,,                270543,,                213430,                 57113,                 57113,,,                 20708,,                 51385,,                 19907,                 92000,                -34887,,,                 17400,,                -17661,,                  5800,,                   -151,                 -6212,                -41099,,                -58917,                 17818,                 17818,,,                -19361,,                    -28,                              0,                -19389,                -19389,                 -1571,,                 36385,                -18567,,                 17024,                -18595,,                              0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2014年度,,              1074462,,                790114,                284348,                284348,,,                113609,,                184132,,                 84173,                381914,                -97566,,,                 64490,,                 -7730,,                 24023,,                    639,                 33376,                -64190,,                -53693,                -10497,                -10497,,,,,,,,                 43197,                 32700,,                 42645,                -53142,,                 85499,                -52799,,                              0.23,,,,,,,,,,,,,,,,,,,,,,,,,                              0.23,,              1074462,,                              0,                   -639,                 44098,                 -1085,,                              0,                   -184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2014年01月01日至2014年09月30日,,                781040,,                579120,                201920,                201920,,,                 73730,,                144737,,                 57442,                275909,                -73989,,,                 60240,,                -21491,,                 18344,,                  1132,                 21537,                -52452,,                -61919,                  9467,                  9467,,,                 12746,,                    -74,                              0,                 12672,                 12672,                 22139,,                 37546,                -28079,,                 49958,                -27819,,                              0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,2014年01月01日至2014年06月30日,,                499273,,                385749,                113524,                113524,,,                 40803,,                 95062,,                 36869,                172734,                -59210,,,                 30827,,                -16947,,                 11631,,                  1113,                  3362,                -55848,,                -67894,                 12046,                 12046,,,                 -4342,,                    235,                              0,                 -4107,                 -4107,                  7939,,                 37489,                -25443,,                 33147,                -25208,,                              0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
