證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
1314,2015年第3季,,              6428940,,              6703758,               -274818,                    -18,                              0,               -274800,,,                149338,,                129630,,                 52086,                331054,               -605854,,,                176418,,               -118395,,                 45162,,                218805,                231666,               -374188,,                 14783,               -388971,               -388971,,,                191019,               -175187,,                   -129,                 15703,                 15703,               -373268,,               -386616,                 -2355,,               -369546,                 -3722,,                             -0.17,,                             -0.17,,,,,
1314,2015年第2季,,              7652831,,              7403907,                248924,                     -7,                              0,                248931,,,                136202,,                122335,,                 47298,                305835,                -56904,,,                 59110,,                213175,,                 45169,,                186044,                413160,                356256,,                  8149,                348107,                348107,,,                -55979,                103417,,                   -154,                 47284,                 47284,                395391,,                353820,                 -5713,,                401090,                 -5699,,                              0.15,,                              0.04,,,,,
1314,2015年第1季,,              7398603,,              7228836,                169767,                    546,                    931,                170152,,,                154545,,                116678,,                 38684,                309907,               -139755,,,                 93790,,                 81410,,                 51297,,                208802,                332705,                192950,,                 10000,                182950,                182950,,,                -33736,                 -1948,,                    -98,                -35782,                -35782,                147168,,                183688,                   -738,,                147334,                   -166,,                              0.08,,                              0.03,,,,,
1314,2015年01月01日至2015年09月30日,,             21480374,,             21336501,                143873,                    521,                    931,                144283,,,                440085,,                368643,,                138068,                946796,               -802513,,,                329318,,                176190,,                141628,,                613651,                977531,                175018,,                 32932,                142086,                142086,,,                101304,                -73718,,                   -381,                 27205,                 27205,                169291,,                150892,                 -8806,,                178878,                 -9587,,                              0.06,,                             -0.06,,,,,
1314,2015年01月01日至2015年06月30日,,             15051434,,             14632743,                418691,                    539,                    931,                419083,,,                290747,,                239013,,                 85982,                615742,               -196659,,,                152900,,                294585,,                 96466,,                394846,                745865,                549206,,                 18149,                531057,                531057,,,                -89715,                101469,,                   -252,                 11502,                 11502,                542559,,                537508,                 -6451,,                548424,                 -5865,,                              0.23,,                              0.06,,,,,
1314,2014年第3季,,              8732452,,              8919633,               -187181,                              0,                              0,               -187181,,,                143888,,                117337,,                 42037,                303262,               -490443,,,                 80160,,                 44859,,                 20643,,                140541,                244917,               -245526,,                 23365,               -268891,               -268891,,,                 51376,                -61476,,                   -961,                -11061,                -11061,               -279952,,               -268163,                   -728,,               -279277,                   -675,,                             -0.12,,                             -0.12,,,,,
1314,2014年第2季,,              8028084,,              8331120,               -303036,                              0,                              0,               -303036,,,                141847,,                110363,,                 47025,                299235,               -602271,,,                 42010,,              2286096,,                 18703,,                132101,              2441504,              1839233,,                  7372,              1831861,              1831861,,,                -42904,                 -1694,,                    404,                -44194,                -44194,              1787667,,              1832949,                 -1088,,              1788188,                   -521,,                              0.79,,                              0.79,,,,,
1314,2014年第1季,,              9122934,,              9004890,                118044,                              0,                    474,                118518,,,                141513,,                 98599,,                 38712,                278824,               -160306,,,                 28834,,               -190658,,                 17133,,                145338,                -33619,               -193925,,                 16892,               -210817,               -210817,,,                 19407,                -65255,,                    206,                -45642,                -45642,               -256459,,               -209832,                   -985,,               -255332,                 -1127,,                             -0.09,,                             -0.09,,,,,
1314,2014年度,,             33249482,,             34012188,               -762706,                    931,                    474,               -763163,,,                588044,,                627335,,                196090,              1411469,             -2174632,,,                207653,,              1841513,,                 83211,,                561268,              2527223,                352591,,                 58059,                294532,                294532,,,,,,,,                 25641,                320173,,                304449,                 -9917,,                329224,                 -9051,,                              0.13,,                              0.13,                112327,                 11774,                -58651,,                -39809
1314,2014年01月01日至2014年09月30日,,             25883470,,             26255643,               -372173,                              0,                    474,               -371699,,,                427248,,                326299,,                127774,                881321,             -1253020,,,                151004,,              2140297,,                 56479,,                417980,              2652802,              1399782,,                 47629,              1352153,              1352153,,,                 27879,               -128425,,                   -351,               -100897,               -100897,              1251256,,              1354954,                 -2801,,              1253579,                 -2323,,                              0.58,,                              0.58,,,,,
