證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分投資損失,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
5215,2015年第3季,,,                502123,                502123,,,                383838,                383838,                118285,                118285,,,                 11822,,                 37404,,                 13702,                 62928,,                     -7,                 55350,,,,                  6993,                    373,                     95,                    287,                  7748,,                    -97,                 35486,                    133,                    404,                 35118,,                  1238,                  1238,,                  1432,                 43060,                 98410,,                 33956,                 64454,                 64454,,,                 40133,                 40133,                 40133,                104587,,                 68398,                 -3944,,                108254,                 -3667,,                              1.26,,                              1.19,,,,,
5215,2015年第2季,,,,                436344,,,,                315855,                120489,                120489,,,                 10706,,                 40749,,                 13252,                 64707,,                 -1432,                 54350,,,,                  6198,                    373,,                    383,                  6954,,                              0,                              0,                   -264,                     75,                   -438,,                    423,                    423,,                    263,                  6356,                 60706,,                  3322,                 57384,                 57384,,,                -10870,                -10870,                -10870,                 46514,,                 57839,                   -455,,                 47073,                   -559,,                              1.06,,                              1.04,                     10,                     89,,,
5215,2015年01月01日至2015年09月30日,,,              1385248,              1385248,,,              1024305,              1024305,                360943,                360943,,,                 32233,,                121489,,                 39040,                192762,,                 -1383,                166798,,,,                 19219,                  1118,                     95,                  1218,                 21650,,                  2072,                 39530,                 -2004,                    530,                 39068,,                  1909,                  1909,,                  2176,                 60985,                227783,,                 61117,                166666,                166666,,,                  1472,                  1472,                  1472,                168138,,                171888,                 -5222,,                173362,                 -5224,,                              3.16,,                              3.06,,,,,
5215,2015年01月01日至2015年06月30日,,,,                883125,,,,                640467,                242658,                242658,,,                 20411,,                 84085,,                 25338,                129834,,                 -1376,                111448,,,,                 12226,                    745,,                    931,                 13902,,                  2169,                  4044,                 -2137,                    126,                  3950,,                    671,                    671,,                    744,                 17925,                129373,,                 27161,                102212,                102212,,,                -38661,                -38661,                -38661,                 63551,,                103490,                 -1278,,                 65108,                 -1557,,                              1.90,,                              1.87,                              0,                              0,,,
5215,2015年01月01日至2015年03月31日,,,,                446781,,,,                324612,                122169,                122169,,,                  9705,,                 43336,,                 12086,                 65127,,                     56,                 57098,,,,                  6028,                    372,,                    548,                  6948,,                  2179,                  4133,                 -1873,                     51,                  4388,,                    248,                    248,,                    481,                 11569,                 68667,,                 23839,                 44828,                 44828,,,                -27791,                -27791,                -27791,                 17037,,                 45651,                   -823,,                 18035,                   -998,,                              0.84,,                              0.83,,,,,
5215,2014年第3季,,,                554940,                554940,,,                387866,                387866,                167074,                167074,,,                  9101,,                 41860,,                 11439,                 62400,,                    -10,                104664,,,,                  4834,                    372,                    366,                    187,                  5759,,                              0,                  2541,                   -681,                    114,                  1746,,                    163,                    163,,                  1927,                  9269,                113933,,                 36629,                 77304,                 77304,,,                 29893,                 29893,                 29893,                107197,,                 78554,                 -1250,,                108235,                 -1038,,                              1.45,,                              1.44,,,,,
5215,2014年第2季,,,,                499362,,,,                377435,                121927,                121927,,,                  8147,,                 39463,,                 11139,                 58749,,                   -141,                 63037,,,,                  5114,                    372,,                    795,                  6281,,                  6015,                    279,                  5967,                    120,                 12141,,                    176,                    176,,                  1550,                 19796,                 82833,,                 24062,                 58771,                 58771,,,                -30518,                -30518,                -30518,                 28253,,                 59719,                   -948,,                 29406,                 -1153,,                              1.10,,                              1.09,                              0,                              0,,,
5215,2014年度,,,,              1978734,,,,              1454549,                524185,                524185,,,                 34410,,                170230,,                 44657,                249297,,                   -594,                274294,,,,                 19692,                  1488,                    366,                  1805,                 23351,,                 14513,                 11613,                  2186,                    650,                 27662,,                    695,                    695,,                  5071,                 55389,                329683,,                101097,                228586,                228586,,,,,                 90702,                319288,,                232645,                 -4059,,                322739,                 -3451,,                              4.28,,                              4.25,,                              0,                 90702,                              4.28,                              4.25
5215,2014年01月01日至2014年09月30日,,,              1474999,              1474999,,,              1105240,              1105240,                369759,                369759,,,                 24112,,                119758,,                 33544,                177414,,                   -336,                192009,,,,                 15505,                  1116,                    366,                  1302,                 18289,,                  6015,                  4540,                  9843,                    503,                 19895,,                    524,                    524,,                  4515,                 42175,                234184,,                 71307,                162877,                162877,,,                 17703,                 17703,                 17703,                180580,,                166155,                 -3278,,                183752,                 -3172,,                              3.06,,                              3.04,,,,,
5215,2014年01月01日至2014年06月30日,,,,                920059,,,,                717374,                202685,                202685,,,                 15011,,                 77898,,                 22105,                115014,,                   -326,                 87345,,,,                 10671,                    744,,                  1115,                 12530,,                  6015,                  1999,                 10524,                    389,                 18149,,                    361,                    361,,                  2588,                 32906,                120251,,                 34678,                 85573,                 85573,,,                -12190,                -12190,                -12190,                 73383,,                 87601,                 -2028,,                 75517,                 -2134,,                              1.61,,                              1.60,                              0,                              0,,,
