證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2488,2015年第3季,,                657635,,                500220,                157415,                157415,,,                 17263,,                 31975,,                 27308,                 76546,                 80869,,,                  7341,,                  1545,,                    188,                  8698,                 89567,,                 20515,                 69052,                 69052,,,                 43350,                  7228,                 36122,                 36122,                105174,,                 67610,                  1442,,                102903,                  2271,,                              0.85,                              0.85,,                              0.84,                              0.84,,,
2488,2015年第2季,,                533911,,                411239,                122672,                122672,,,                 14414,,                 28366,,                 24765,                 67545,                 55127,,,                  2947,,                  2427,,                     34,                  5340,                 60467,,                 16895,                 43572,                 43572,,,                -11985,                 -2008,                 -9977,                 -9977,                 33595,,                 43970,                   -398,,                 34162,                   -567,,                              0.55,                              0.55,,                              0.54,                              0.54,,,
2488,2015年01月01日至2015年09月30日,,              1678969,,              1288884,                390085,                390085,,,                 45236,,                 87768,,                 76442,                209446,                180639,,,                 14726,,                 12166,,                    748,                 26144,                206783,,                 47937,                158846,                158846,,,                 22436,                  3725,                 18711,                 18711,                177557,,                157923,                    923,,                176111,                  1446,,                              1.97,                              1.97,,                              1.95,                              1.95,,,
2488,2015年01月01日至2015年06月30日,,              1021334,,                788664,                232670,                232670,,,                 27973,,                 55793,,                 49134,                132900,                 99770,,,                  7385,,                 10621,,                    560,                 17446,                117216,,                 27422,                 89794,                 89794,,,                -20914,                 -3503,                -17411,                -17411,                 72383,,                 90313,                   -519,,                 73208,                   -825,,                              1.13,                              1.13,,                              1.12,                              1.12,,,
2488,2015年01月01日至2015年03月31日,,                487423,,                377425,                109998,                109998,,,                 13559,,                 27427,,                 24369,                 65355,                 44643,,,                  4438,,                  8194,,                    526,                 12106,                 56749,,                 10527,                 46222,                 46222,,,                 -8929,                 -1495,                 -7434,                 -7434,                 38788,,                 46343,                   -121,,                 39046,                   -258,,                              0.58,                              0.58,,                              0.58,                              0.58,,,
2488,2014年第3季,,                475890,,                374919,                100971,                100971,,,                 15012,,                 32547,,                 24702,                 72261,                 28710,,,                  8023,,                 13719,,                    600,                 21142,                 49852,,                  8537,                 41315,                 41315,,,                 19495,                  3279,                 16216,                 16216,                 57531,,                 40865,                    450,,                 56877,                    654,,                              0.51,                              0.51,,                              0.51,                              0.51,,,
2488,2014年第2季,,                496793,,                387805,                108988,                108988,,,                 13450,,                 27429,,                 21847,                 62726,                 46262,,,                  4278,,                  1665,,                    655,                  5288,                 51550,,                 17348,                 34202,                 34202,,,                -12704,                 -2123,                -10581,                -10581,                 23621,,                 33911,                    291,,                 23546,                     75,,                              0.42,                              0.42,,                              0.42,                              0.42,,,
2488,2014年度,,              2017130,,              1573201,                443929,                443929,,,                 54766,,                123609,,                 92398,                270773,                173156,,,                 22009,,                 41374,,                  3066,                 60317,                233473,,                 51321,                182152,                182152,,,,,,                 22628,                204780,,                181073,                  1079,,                202993,                  1787,,                              2.26,                              2.26,,                              2.24,                              2.24,                 32126,                 -5009,                  4489
2488,2014年01月01日至2014年09月30日,,              1408535,,              1095570,                312965,                312965,,,                 39481,,                 88205,,                 67981,                195667,                117298,,,                 16502,,                 18620,,                  2224,                 32898,                150196,,                 33037,                117159,                117159,,,                  6691,                  1099,                  5592,                  5592,                122751,,                116625,                    534,,                121993,                    758,,                              1.46,                              1.46,,                              1.45,                              1.45,,,
2488,2014年01月01日至2014年06月30日,,                932645,,                720651,                211994,                211994,,,                 24469,,                 55658,,                 43279,                123406,                 88588,,,                  8479,,                  4901,,                  1624,                 11756,                100344,,                 24500,                 75844,                 75844,,,                -12804,                 -2180,                -10624,                -10624,                 65220,,                 75760,                     84,,                 65116,                    104,,                              0.95,                              0.95,,                              0.94,                              0.94,,,
