證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 外幣兌換利益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
5434,2014年01月01日至2014年03月31日,,,,,              3732704,,,,                130943,,                129391,              3993038,,,              3346165,,                107898,                 43690,              3497753,                495285,                495285,,,                163468,,                134138,                297606,                197679,,,                  7925,,                  2866,,                    549,                -11607,,                  2448,,                 24672,                 18542,                216221,,                 37506,                178715,                178715,,,                  5152,                  8106,,                     75,                    792,                 12541,                 12541,                191256,,                178066,                    649,,                190607,                    649,,                              1.15,,                              1.14,                  8192,                              0,,                              0,,,,,,,
5434,2013年第3季,,,,,              3660867,,,,                115240,,                115721,              3891828,,,              3261474,,                106510,                 23377,              3391361,                500467,                500467,,,                152356,,                123093,                275449,                225018,,,                  2316,,,,,                 -3266,,                  1013,,                 19192,                 17229,                242247,,                 42561,                199686,                199686,,,,,,,,,                 -9968,                189718,,                199389,                    297,,                189421,                    297,,                              1.28,,                              1.26,,,,,,                 -6825,                 -4175,,,                   -233,                 -1265
5434,2013年第2季,,,,,              3811140,,,,                 95131,,                104215,              4010486,,,              3394146,,                 86539,                 27767,              3508452,                502034,                502034,,,                149774,,                129055,                278829,                223205,,,                 35752,,,,,                  6552,,                  2418,,                 22641,                 62527,                285732,,                 56580,                229152,                229152,,,,,,,,,                -13552,                215600,,                228577,                    575,,                215025,                    575,,                              1.50,,                              1.47,,,,,,                  4891,                -17959,,,                    348,                    832
5434,2013年度,,,,,             14589788,,,,                507046,,                457915,             15554749,,,             13017281,,                444174,                130229,             13591684,              1963065,              1963065,,,                587856,,                489264,              1077120,                885945,,,                 53675,,,,,                -28445,,                  8167,,                 75591,                 92654,                978599,,                179490,                799109,                799109,,,,,,,,,                 24534,                823643,,                797569,                  1540,,                822103,                  1540,,                              5.11,,                              4.96,,,,,                              0,                 26131,                 12917,                -11433,,                   -182,                  2899
5434,2013年07月01日至2013年09月30日,,,,              3660867,              3660867,,,                115240,                115240,,                115721,              3891828,,,              3261474,,                106510,                 23377,              3391361,                500467,                500467,,,                152356,,                123093,                275449,                225018,,,                  2316,,,,,                 -3266,,                  1013,,                 19192,                 17229,                242247,,                 42561,                199686,                199686,,,,,,,,,                 -9968,                189718,,                199389,                    297,,                189421,                    297,,                              1.30,,                              1.29,,,,,                              0,                 -6825,                 -4175,,,                   -233,                 -1265
5434,2013年04月01日至2013年06月30日,,,,              3811140,              3811140,,,                 95131,                 95131,,                104215,              4010486,,,              3394146,,                 86539,                 27767,              3508452,                502034,                502034,,,                149774,,                129055,                278829,                223205,,,                 35752,,,,,                  6552,,                  2418,,                 22641,                 62527,                285732,,                 56580,                229152,                229152,,,,,,,,,                -13552,                215600,,                228577,                    575,,                215025,                    575,,                              1.50,,                              1.47,,,,,                              0,                  4891,                -17959,,,                    348,                    832
5434,2013年01月01日至2013年12月31日,,,,,             14589788,,,,                507046,,                457915,             15554749,,,             13017281,,                444174,                130229,             13591684,              1963065,              1963065,,,                587856,,                489264,              1077120,                885945,,,                 53675,,,,,                -28445,,                  8167,,                 75591,                 92654,                978599,,                179490,                799109,                799109,,,,,,,,,                 24534,                823643,,                797569,                  1540,,                822103,                  1540,,                              5.22,,                              5.06,,,,,                              0,                 26131,                 12917,                -11433,,                   -182,                  2899
5434,2013年01月01日至2013年09月30日,,,,,             11189661,,,,                336319,,                332039,             11858019,,,              9964046,,                300665,                 91623,             10356334,              1501685,              1501685,,,                466030,,                359510,                825540,                676145,,,                 40683,,,,,                -11479,,                  4580,,                 57299,                 81923,                758068,,                136142,                621926,                621926,,,,,,,,,                 -7769,                614157,,                620724,                  1202,,                612955,                  1202,,                              3.99,,                              3.87,,,,,,                 14753,                -22856,,,                  2737,                  2403
5434,2013年01月01日至2013年06月30日,,,,,              7528794,,,,                221079,,                216318,              7966191,,,              6702572,,                194155,                 68246,              6964973,              1001218,              1001218,,,                313674,,                236417,                550091,                451127,,,                 38367,,,,,                 -8213,,                  3567,,                 38107,                 64694,                515821,,                 93581,                422240,                422240,,,,,,,,,                  2199,                424439,,                421335,                    905,,                423534,                    905,,                              2.76,,                              2.70,,,,,,                 21577,                -18680,,,                  2970,                  3668
5434,2013年01月01日至2013年03月31日,,,,,              3717654,,,,                125948,,                112103,              3955705,,,              3308426,,                107616,                 40479,              3456521,                499184,                499184,,,                163900,,                107362,                271262,                227922,,,                  2615,,,,,                -14765,,                  1149,,                 15466,                  2167,                230089,,                 37001,                193088,                193088,,,,,,,,,                 15751,                208839,,                192758,                    330,,                208509,                    330,,                              1.29,,                              1.27,,,,,,                 16686,                   -721,,,                  2622,                  2836
5434,2012年07月01日至2012年09月30日,,,,              4092312,              4092312,,,                 86105,                 86105,,                 99732,              4278149,,,              3657902,,                 69405,                  9910,              3737217,                540932,                542162,,,                154516,,                122992,                277508,                264654,,,                 30919,,,,,                 -6470,,                    765,,                 14232,                 37916,                302570,,                 50672,                251898,                251898,,,,,,,,,                -17917,                233981,,                251668,                    230,,                233751,                    230,,                              1.65,,                              1.64,,,,,                  1230,                -19158,                 -3393,,,                  1642,                 -2992
5434,2012年04月01日至2012年06月30日,,,,              3984190,              3984190,,,                220447,                220447,,                112301,              4316938,,,              3591163,,                214452,                 34775,              3840390,                476548,                477779,,,                153425,,                106181,                259606,                218173,,,                  4257,,,,,                -14547,,                     36,,                 41148,                 30822,                248995,,                 58371,                190624,                190624,,,,,,,,,                  2617,                193241,,                175875,                 14749,,                178492,                 14749,,                              1.16,,                              1.14,,,,,                  1231,                  2158,                 -1300,,,                  2708,                    949
5434,2012年01月01日至2012年12月31日,,,,,             15237207,,,,                536918,,                403156,             16177281,,,             13648704,,                483293,                125812,             14257809,              1919472,              1924391,,,                600875,,                432766,              1033641,                890750,,,                 69346,,,,,                -48811,,                  2479,,                 76847,                 94903,                985653,,                181166,                804487,                804487,,,,,,,,,                 12184,                816671,,                802766,                  1721,,                814950,                  1721,,                              5.28,,                              5.17,,,,,                  4919,                -15361,                 -2577,                 25588,,                  7170,                  2636
5434,2012年01月01日至2012年09月30日,,,,             11525406,             11525406,,,                424064,                424064,,                288233,             12237703,,,             10332328,,                387302,                 65837,             10785467,              1452236,              1455926,,,                446432,,                332291,                778723,                677203,,,                 49169,,,,,                -20747,,                  1597,,                 63213,                 90038,                767241,,                147051,                620190,                620190,,,,,,,,,                -21237,                598953,,                618714,                  1476,,                597477,                  1476,,                              4.07,,                              3.99,,,,,                  3690,                -27694,                 -1678,,,                  4350,                 -3785
5434,2012年01月01日至2012年06月30日,,,,              7433094,              7433094,,,                337959,                337959,,                188501,              7959554,,,              6674426,,                317897,                 55927,              7048250,                911304,                913764,,,                291916,,                209299,                501215,                412549,,,                 18250,,,,,                -14277,,                    832,,                 48981,                 52122,                464671,,                 96379,                368292,                368292,,,,,,,,,                 -3320,                364972,,                367046,                  1246,,                363726,                  1246,,                              2.42,,                              2.38,,,,,                  2460,                 -8536,                  1715,,,                  2708,                   -793
5434,2012年01月01日至2012年03月31日,,,,              3448904,              3448904,,,                117512,                117512,,                 76200,              3642616,,,              3083263,,                103445,                 21152,              3207860,                434756,                435985,,,                138491,,                103118,                241609,                194376,,,                 13993,,,,,                    270,,                    796,,                  7833,                 21300,                215676,,                 38008,                177668,                177668,,,,,,,,,                 -5937,                171731,,                191171,                -13503,,                185234,                -13503,,                              1.29,,                              1.27,,,,,                  1229,                -10694,                  3015,,,                              0,                 -1742
