證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 確定福利計畫精算利益（損失）
9955,2015年第3季,,                447378,,                452033,                 -4655,                 -4655,,,                  2810,,                 23730,,                    668,                 27208,                -31863,,,                    539,,                  8624,,                  1226,,                    512,                  8449,                -23414,,                              0,                -23414,                -23414,,,                 12276,                  2087,                 10189,                 10189,                -13225,,                -23414,                              0,,                -13225,                              0,,                             -0.23,,                             -0.23,,,
9955,2015年第2季,,                609914,,                613090,                 -3176,                 -3176,,,                  3401,,                 25235,,                    892,                 29528,                -32704,,,                    575,,                 -8910,,                  1221,,                   -125,                 -9681,                -42385,,                 -6650,                -35735,                -35735,,,                 -4293,                   -730,                 -3563,                 -3563,                -39298,,                -35735,                              0,,                -39298,                              0,,                             -0.35,,                             -0.35,,,
9955,2015年01月01日至2015年09月30日,,              1816704,,              1780376,                 36328,                 36328,,,                  9362,,                 73776,,                  2581,                 85719,                -49391,,,                  1779,,                 -3641,,                  3476,,                    387,                 -4951,                -54342,,                 -3879,                -50463,                -50463,,,                  4555,                    774,                  3781,                  3781,                -46682,,                -50464,                      1,,                -46683,                      1,,                             -0.49,,                             -0.49,,,
9955,2015年01月01日至2015年06月30日,,              1369326,,              1328343,                 40983,                 40983,,,                  6552,,                 50046,,                  1913,                 58511,                -17528,,,                  1240,,                -12265,,                  2250,,                   -125,                -13400,                -30928,,                 -3879,                -27049,                -27049,,,                 -7721,                 -1313,                 -6408,                 -6408,                -33457,,                -27050,                      1,,                -33458,                      1,,                             -0.26,,                             -0.26,,,
9955,2015年01月01日至2015年03月31日,,                759412,,                715253,                 44159,                 44159,,,                  3151,,                 24811,,                  1021,                 28983,                 15176,,,                    665,,                 -3355,,                  1029,,,                 -3719,                 11457,,                  2771,                  8686,                  8686,,,                 -3428,                   -583,                 -2845,                 -2845,                  5841,,                  8685,                      1,,                  5840,                      1,,                              0.08,,                              0.08,,,
9955,2014年第3季,,                657955,,                616584,                 41371,                 41371,,,                  4419,,                 27842,,                    974,                 33235,                  8136,,,                    299,,                     13,,                  1128,,                              0,                   -816,                  7320,,                  2478,                  4842,                  4842,,,                  8832,                  1502,                  7330,                  7330,                 12172,,                  4841,                      1,,                 12171,                      1,,                              0.05,,                              0.05,                  8832,                  1502,
9955,2014年第2季,,                639967,,                602460,                 37507,                 37507,,,                  4599,,                 28093,,                    360,                 33052,                  4455,,,                    405,,                   -693,,                    974,,                              0,                 -1262,                  3193,,                  1913,                  1280,                  1280,,,                 -5445,                   -926,                 -4519,                 -4519,                 -3239,,                  1283,                     -3,,                 -3236,                     -3,,                              0.01,,                              0.01,,,
9955,2014年01月01日至2014年09月30日,,              1959834,,              1833458,                126376,                126376,,,                 12677,,                 86160,,                  1334,                100171,                 26205,,,                  1091,,                  3123,,                  3031,,                              0,                  1183,                 27388,,                  9189,                 18199,                 18199,,,                  1722,                    293,                  1429,                  1429,                 19628,,                 18202,                     -3,,                 19631,                     -3,,                              0.18,,                              0.18,                  1722,                    293,
9955,2014年01月01日至2014年06月30日,,              1301879,,              1216874,                 85005,                 85005,,,                  8258,,                 58318,,                    360,                 66936,                 18069,,,                    792,,                  3110,,                  1903,,                              0,                  1999,                 20068,,                  6711,                 13357,                 13357,,,                 -7110,                 -1209,                 -5901,                 -5901,                  7456,,                 13361,                     -4,,                  7460,                     -4,,                              0.13,,                              0.13,,,
9955,2014年01月01日至2014年03月31日,,                661912,,                614414,                 47498,                 47498,,,                  3659,,                 30225,,                              0,                 33884,                 13614,,,                    387,,                  3803,,                    929,,,                  3261,                 16875,,                  4798,                 12077,                 12077,,,                 -1665,                   -283,                 -1382,                 -1382,                 10695,,                 12078,                     -1,,                 10696,                     -1,,                              0.12,,                              0.12,,,
