證券代號,年季,　 收入,　　 利息收入,　　 保費收入,　　 再保佣金收入,　　 手續費收入,　　 採用權益法認列之關聯企業及合資利益之份額,　　 分離帳戶保險商品收益,　　 備供出售金融資產已實現利益,　　 以成本衡量之金融資產及負債利益,　　 無活絡市場之債務工具投資利益,　　 銷貨收入淨額,　　　 銷貨收入,　　　 銷貨退回 ,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　 勞務收入,　　 營建工程收入,　　 處分投資利益,　　 投資性不動產利益,　　 外匯價格變動準備淨變動,　　 兌換利益,　　 其他收入,　　 收入合計,　 支出,　　 利息費用,　　 承保費用,　　 佣金費用,　　 保險賠款與給付,　　 其他保險負債淨變動,　　 採用權益法認列之關聯企業及合資損失之份額,　　 分離帳戶保險商品費用,　　 透過損益按公允價值衡量之金融資產及負債損失,　　 銷貨成本,　　 租賃成本,　　 勞務成本,　　 工程成本,　　 營業費用,　　　 推銷費用,　　　 管理及總務費用,　　　 研究發展費用,　　　 營業費用合計,　　 處分不動產、廠房及設備損失,　　 其他支出,　　 支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價利益（損失）,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目,　　 其他綜合損益淨額,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制股權,　 綜合損益總額歸屬,　　 母公司業主[duplicate]62,　　 非控制股權[duplicate]63,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　　 透過損益按公允價值衡量之金融資產及負債利益,　　 以成本衡量之金融資產及負債損失,　　 處分投資損失,　　 兌換損失,　　 母公司業主[duplicate]65,　　 非控制股權[duplicate]66,　　 處分不動產、廠房及設備利益,　　 母公司業主[duplicate]64,　　 非控制股權[duplicate]65,　　 無活絡市場之債券投資利益,　　 減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 母公司業主[duplicate]63,　　 非控制股權[duplicate]64,　　 母公司業主[duplicate]59,　　 非控制股權[duplicate]60,　　 持有至到期日金融資產已實現利益,　　 保險負債淨變動,　　 其他綜合損益－其他,　　 母公司業主[duplicate]67,　　 共同控制下前手權益,　　 持有至到期日金融資產已實現損失
2905,2015年第3季,,              5885990,             31067353,                  5875,                121758,                              0,               -736607,                482703,                              0,                              0,,              5567332,                  2177,                    325,              5564830,                 26300,                 75245,                 41882,                     90,                118384,               -875012,             14503386,                 58526,             56340703,,                 39074,                 15679,              2700576,             10307755,             22718017,                 25470,               -736607,             13132065,              3621695,                  3770,                  3446,                 42988,,                232593,              2871110,                 35705,              3139408,                  1168,                110570,             55125074,              1215629,               -111617,              1327246,              1327246,,,                 43028,             -3788651,               -125644,             -3619979,             -3619979,             -2292733,,                645434,                681812,,             -1225329,             -1067404,,                              1.01,                              1.01,,,,,,,,,,,,,,,,,,,,,,,,,
2905,2015年第2季,,              5564576,             25560646,                 10467,                131378,                  8768,              1004699,              2117012,                              0,                 14643,,              5304856,                 13782,                    332,              5290742,                 14181,                 82335,                 28390,                 16592,                127836,                198052,                              0,                 87719,             42132005,,                 39619,                 13178,              2394056,              8039533,             19320968,,              1004699,                              0,              3390942,                  3819,                  3447,                 27901,,                485519,              2426249,                 35397,              2947165,                 13209,                 90356,             39686465,              2445540,                267740,              2177800,              2177800,,,                -16975,             -2658748,                 34477,             -2710200,             -2710200,               -532400,,              1078671,              1099129,,,,,                              1.68,                              1.68,              1873969,                              0,                              0,              2397573,               -122074,               -410326,,,,,,,,,,,,,,,,,,,
2905,2015年01月01日至2015年09月30日,,             16734949,             95222358,                 54101,                373233,                 17927,              2763983,              4096160,                  1312,                797075,,             16008694,                 18691,                    952,             15989051,                 84038,                266275,                 82256,                 17027,                372781,               -732956,              9225832,                210419,            145575821,,                118200,                 40717,              8559632,             51524626,             48737358,                              0,              2763983,              8635325,             10314679,                 11311,                 10339,                 82701,,              1200483,              7967781,                106870,              9275134,                 16926,                340538,            140431469,              5144352,                897656,              4246696,              4246696,,,                 15954,             -5548225,                -97663,             -5434608,             -5434608,             -1187912,,              2055693,              2191003,,               -576793,               -611119,,                              3.20,                              3.20,,,,,,,,,,,,,,,,,,,,,,,,,
2905,2015年01月01日至2015年06月30日,,             10848959,             64155005,                 48226,                251475,                 43396,              3500590,              3613457,                  1312,                797075,,             10441361,                 16514,                    627,             10424220,                 57738,                191030,                 40373,                 16937,                254397,                142056,                              0,                151895,             99034881,,                 79126,                 25038,              5859056,             41216871,             26019341,,              3500590,                              0,              6692985,                  7541,                  6893,                 39712,,                967890,              5096671,                 71166,              6135727,                 15759,                229965,             95106158,              3928723,              1009273,              2919450,              2919450,,,                -27074,             -1759574,                 27981,             -1814629,             -1814629,              1104821,,              1410259,              1509191,,,,,                              2.20,                              2.20,              4496740,                              0,                              0,              5277554,                648536,                456285,,,,,,,,,,,,,,,,,,,
2905,2015年01月01日至2015年03月31日,,              5284382,             38594359,                 37759,                120097,                 34628,              2495891,              1496445,                  1312,                782432,,              5136506,                  2732,                    295,              5133479,                 43557,                108695,                 11984,                    345,                126561,                -55996,                              0,                 64176,             56902876,,                 39507,                 11860,              3465000,             33177338,              6698373,,              2495891,                              0,              3302042,                  3722,                  3446,                 11811,,                482372,              2670422,                 35768,              3188562,                  2550,                139610,             55419693,              1483183,                741533,                741650,                741650,,,                -10099,                912166,                  6496,                895571,                895571,              1637221,,                331588,                410062,,,,,                              0.52,                              0.52,              2622770,,,              2879981,,,                              0,                770610,                866611,,,,,,,,,,,,,,,,
2905,2014年第3季,,              4895044,             31451066,                380482,                118611,                    304,                 91803,              1886027,                  1480,                              0,,              5214046,                 17336,                  1313,              5195397,                 17216,                 71277,                 19796,                     53,                125664,                -88359,              1826106,                 35574,             46027541,,                 36903,                 12277,              3069401,              7725375,             25046977,                              0,                 91803,              2081924,              3316224,                  4159,                  3446,                 19558,,                326134,              2659391,                 26932,              3012457,                    282,                 66268,             44487054,              1540487,                 78219,              1462268,              1462268,,,                 30953,             -2461340,                -26702,             -2403685,             -2403685,               -941417,,                743395,                718873,,               -343864,               -597553,,                              1.16,                              1.16,,,,,,,,,,,,,,,,,,,,,,,,,
2905,2014年第2季,,              4151107,             24148600,                380785,                127320,                 49237,              2612019,              2150544,                              0,                179123,,              4879340,                 18328,                    870,              4860142,                 18479,                 91420,                  3828,                 40286,                115895,                 98178,                              0,                 29509,             41136104,,                 32988,                 10821,              2282270,              8853801,             16801668,,              2612019,                              0,              3158114,                  5547,                  3446,                  3689,,                354534,              2434825,                 34875,              2824234,                    943,                 45905,             39396108,              1739996,                165903,              1574093,              1574093,,,                -13886,                496631,                 44212,                438533,                438533,              2012626,,                789607,                784486,,,,,                              1.23,                              1.23,              2079632,                              0,                              0,              2760663,                960617,              1052009,,,,,,,,,,,,,,,,,,,
2905,2014年度,,             19406225,            119726527,              1621709,                484868,                145716,              8575449,              5825025,,,,             20217739,                 47759,                  2284,             20167696,                 83179,                411410,                 54888,                 41738,                466758,               -211671,              9429846,                130137,            186870139,,                149447,                 46045,             11018701,             53409848,             74345037,,              8575449,             11361926,             13115353,                 14905,                 14793,                 53919,,              1834518,              9780288,                139311,             11754117,                    460,                255799,            184208897,              2661242,                 26480,              2634762,              2634762,,,,,,,              1419865,              4054627,,              1259900,              1374862,,              2003571,              2051056,,                              1.96,                              1.96,                  8857,                 12822,,,,,,,,                501782,                 80276,                 35873,              1968588,               -251131,                333465,,,,,,,,,,
2905,2014年01月01日至2014年09月30日,,             13645946,             89865158,              1237366,                365462,                 95264,              6372536,              5104061,                  1480,                187225,,             14993485,                 37920,                  2586,             14952979,                 52509,                274216,                 28239,                 40339,                340628,                -26914,              2115070,                109145,            134760709,,                106827,                 33601,              8320099,             25410086,             69624271,                              0,              6372536,              3560351,              9675121,                 11032,                 10339,                 27701,,              1061601,              7413745,                 95477,              8570823,                  1207,                186592,            131910586,              2850123,                390106,              2460017,              2460017,,,                  2096,                 94298,                124043,                -27649,                -27649,              2432368,,              1229722,              1230295,,              1354143,              1078225,,                              1.92,                              1.92,,,,,,,,,,,,,,,,,,,,,,,,,
2905,2014年01月01日至2014年06月30日,,              8750902,             58414092,                856884,                246851,                 94960,              6280733,              3218034,                              0,                187225,,              9779439,                 20584,                  1273,              9757582,                 35293,                202939,                  8444,                 40286,                214964,                 61445,                288963,                 73571,             88733168,,                 69924,                 21324,              5250698,             17684711,             44577294,,              6280733,              1478426,              6358896,                  6874,                  6893,                  8142,,                735467,              4754354,                 68544,              5558365,                    925,                120326,             87423531,              1309637,                311888,                997749,                997749,,,                -28857,              2555638,                150745,              2376036,              2376036,              3373785,,                486328,                511421,,,,,                              0.76,                              0.76,                              0,                              0,                              0,                              0,              1698006,              1675779,,,,,,,,,,,,,,,,,,,
