證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 其他收益,　　 其他費損,　　 共同控制下前手權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（綜合損益）,　　 繼續營業單位淨利（淨損）
3024,2015年第3季,,              1279786,,              1131703,                148083,                              0,                              0,                148083,,,                139335,,                110916,,                 42498,                292749,,                              0,               -144666,,,                 14660,,                  6360,,                  9251,,                    567,                   -567,                 11202,               -133464,,                -12526,               -120938,,                              0,               -120938,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 98846,                 14147,                 84699,                 84699,                -36239,,                -95405,                -25533,,                -26332,                 -9907,,                             -0.34,,,,,,,,
3024,2015年第2季,,              1578895,,              1378153,                200742,                              0,                              0,                200742,,,                133612,,                105978,,                 36510,                276100,,                              0,                -75358,,,                 17916,,                 15213,,                  8640,,                    465,                   -465,                 24024,                -51334,,                  3800,                -55134,,                              0,                -55134,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -43541,                 -5194,                -38347,                -38347,                -93481,,                -40025,                -15109,,                -65387,                -28094,,                             -0.14,,,,,,,,
3024,2015年01月01日至2015年09月30日,,              4015185,,              3494455,                520730,                              0,                              0,                520730,,,                385720,,                313363,,                117178,                816261,,                              0,               -295531,,,                 46291,,                 23909,,                 24573,,                  1114,                 -1114,                 44513,               -251018,,                -11156,               -239862,,                              0,               -239862,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 18638,                  4017,                 14621,                 14621,               -225241,,               -185173,                -54689,,               -165559,                -59682,,                             -0.67,,,,,,,,
3024,2015年01月01日至2015年06月30日,,              2735399,,              2362752,                372647,                              0,                              0,                372647,,,                246385,,                202447,,                 74680,                523512,,                              0,               -150865,,,                 31631,,                 17549,,                 15322,,                    547,                   -547,                 33311,               -117554,,                  1370,               -118924,,                              0,               -118924,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -80208,                -10130,                -70078,                -70078,               -189002,,                -89768,                -29156,,               -139227,                -49775,,                             -0.32,,,,,,,,
3024,2015年01月01日至2015年03月31日,,              1156504,,                984599,                171905,                              0,                              0,                171905,,,                112773,,                 96469,,                 38170,                247412,,                              0,                -75507,,,                 13715,,                  2336,,                  6682,,,                    -82,                  9287,                -66220,,                 -2430,                -63790,,                              0,                -63790,,,,,,,,,,,,,,,,,,,                -36667,                 -4936,                -31731,                -31731,                -95521,,                -49743,                -14047,,                -73840,                -21681,,                             -0.18,                              0,                              0,                              0,,,,,
3024,2014年第3季,,              1487065,,              1283523,                203542,                              0,                              0,                203542,,,                107526,,                101857,,                 30827,                240210,,                              0,                -36668,,,                 41130,,                 -3189,,                  6880,,                              0,                              0,                 31061,                 -5607,,                  6779,                -12386,,                              0,                -12386,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 61480,                  8034,                 53446,                 53446,                 41060,,                -12834,                    448,,                 26391,                 14669,,                             -0.05,,,,,,,,
3024,2014年第2季,,              1299437,,              1111083,                188354,                              0,                              0,                188354,,,                111694,,                101853,,                 30475,                244022,,                              0,                -55668,,,                 31837,,                 -7462,,                  5450,,                              0,                              0,                 18925,                -36743,,                  1129,                -37872,,                              0,                -37872,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -46042,                 -5418,                -40624,                -40624,                -78496,,                -36566,                 -1306,,                -63019,                -15477,,                             -0.13,,,,,,,,
3024,2014年度,,              5677276,,              4950143,                727133,                              0,                              0,                727133,,,                388880,,                505112,,                142008,              1036000,,                              0,               -308867,,,                 50698,,                -35734,,                 20049,,,,                 -5085,               -313952,,                 12260,               -326212,,                              0,               -326212,,,,,,,,,,,,,,,,,,,,,,                 92929,               -233283,,               -310967,,,               -243513,                 10230,,                             -1.12,                              0,                              0,                -15245,                113598,                 -5291,                 15378,,
3024,2014年01月01日至2014年09月30日,,              3858282,,              3336299,                521983,                              0,                              0,                521983,,,                308030,,                315347,,                 97689,                721066,,                              0,               -199083,,,                 95759,,                 -4395,,                 22839,,                              0,                              0,                 68525,               -130558,,                 16983,               -147541,,                              0,               -147541,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 21411,                  4026,                 17385,                 17385,               -130156,,               -128475,                -19066,,               -108818,                -21338,,                             -0.46,,,,,,,,
3024,2014年01月01日至2014年06月30日,,              2371217,,              2052776,                318441,                              0,                              0,                318441,,,                201844,,                212150,,                 66862,                480856,,                              0,               -162415,,,                 54629,,                 -1206,,                 15959,,                              0,                              0,                 37464,               -124951,,                 10204,               -135155,,                              0,               -135155,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -40069,                 -4008,                -36061,                -36061,               -171216,,               -115641,                -19514,,               -135210,                -36006,,                             -0.42,,,,,,,,
