證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 附賣回票債券投資利息收入,　　　　 投資有價證券利息收入（持有票債券利息收入）,　　　　 其他利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 央行及同業融資利息費用,　　　　 附買回票債券負債利息費用,　　　　 其他利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費收入,　　　　　 保證手續費收入,　　　　　 簽證手續費收入,　　　　　 承銷手續費收入,　　　　　 其他手續費收入,　　　　　 手續費收入合計,　　　　 手續費費用,　　　　　 其他手續費費用,　　　　　 手續費費用合計,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　　 透過損益按公允價值衡量之金融資產處分利益,　　　　　 透過損益按公允價值衡量之金融資產評價利益,　　　　　 透過損益按公允價值衡量之金融負債處分利益,　　　　　 透過損益按公允價值衡量之金融負債評價利益,　　　　　 透過損益按公允價值衡量之金融資產及負債利益合計,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　　 透過損益按公允價值衡量之金融資產處分損失,　　　　　 透過損益按公允價值衡量之金融資產評價損失,　　　　　 透過損益按公允價值衡量之金融負債處分損失,　　　　　 透過損益按公允價值衡量之金融資產及負債損失合計,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 其他利息以外淨損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 不重分類至損益之項目(稅後),　　　 確定福利計畫之再衡量數,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 其他不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額(稅後),　　 後續可能重分類至損益之項目(稅後),　　　 備供出售金融資產未實現評價損益,　　　 減：重分類調整數─除列備供出售金融資產未實現損益,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損（損失）迴轉利益淨額,　　　 短期員工福利,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　 國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 減：重分類調整數─處分國外營運機構財務報表換算之兌換差額,　　　 減：重分類調整數─現金流量避險中屬有效避險之避險工具損益,　　　 減：重分類調整數─國外營運機構淨投資避險屬有效避險部分之避險損益,　　　 其他可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　 合併前非屬共同控制股權綜合損益淨額,　　　　　 透過損益按公允價值衡量之金融負債評價損失,　　　　 備供出售金融資產之已實現利益,　　　　　 備供出售金融資產之已實現利益合計,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　　 兌換利益,　　　　　 兌換利益合計,　　　　 兌換損失,　　　　　 兌換損失合計,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算損益,　　 與其他綜合損益組成部分相關之所得稅 ,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額,　　 停業單位淨利（淨損）,　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　 國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額,　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額,　　 其他綜合損益－其他
2820,2015年第3季,,,,                  2671,                513209,                     34,                515914,,                 17116,                222244,                  2144,                241504,                274410,,,,                126045,                  3977,                 71102,                  6741,                207865,,                  3729,                  3729,                204136,,,                 45262,                  6183,                              0,                     53,                 51498,,                              0,                              0,                    109,                    109,                 51389,,                -17264,,                 19533,,                  6376,                264170,                538580,,                -69074,,,                 81271,,                  3036,,                 38925,                123232,,                484422,                -84561,                399861,,                484422,                -84561,                399861,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                109798,                -27180,                136978,                136978,,                621400,                -84561,                536839,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,2015年第2季,,,,,                482666,,                482666,,,,,                231064,                251602,,,,,,,,,,,,                195344,,,,,,,,,,,,,                 55325,,                 61148,,                 -2906,,                  6560,                315471,                567073,,                -36901,,,                 80899,,                  3195,,                 41107,                125201,,                478773,                -66686,                412087,,                478773,                -66686,                412087,,,,,,,,,,,,                 25384,                 61148,                -35764,                -35764,,                443009,                -66686,                376323,,                              0.31,                              0.31,,                              0.31,                              0.31,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,2015年01月01日至2015年09月30日,,,,                 10282,              1457505,                    195,              1467982,,                 49019,                637483,                  6723,                693225,                774757,,,,                367039,                 12491,                200879,                 19624,                600033,,                 11014,                 11014,                589019,,,                108780,                 39164,                              0,                    599,                148543,,                              0,                              0,                    109,                    109,                148434,,                 88588,,                 13721,,                 13480,                853242,              1627999,,               -148695,,,                236971,,                  9326,,                114595,                360892,,              1415802,               -221834,              1193968,,              1415802,               -221834,              1193968,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                242512,                 78672,                163840,                163840,,              1579642,               -221834,              1357808,,                              0.89,                              0.89,,                              0.89,                              0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,2015年01月01日至2015年06月30日,,,,,                952068,,                952068,,,,,                451721,                500347,,,,,,,,,,,,                384883,,,,,,,,,,,,,                 97045,,                105852,,                 -5812,,                  7104,                589072,              1089419,,                -79621,,,                155700,,                  6290,,                 75670,                237660,,                931380,               -137273,                794107,,                931380,               -137273,                794107,,,,,,,,,,,,                132714,                105852,                 26862,                 26862,,                958242,               -137273,                820969,,                              0.59,                              0.59,,                              0.59,                              0.59,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,2015年01月01日至2015年03月31日,,,,,,,                469402,,,,,                220657,                248745,,,,,,,,,,,,                189539,,,,,,,,,,,,,                 41720,,                 44704,,                 -2906,,                    544,                273601,                522346,,                -42720,,,                 74801,,                  3095,,                 34563,                112459,,                452607,                -70587,                382020,,                452607,                -70587,                382020,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                107330,                 44704,                 62626,                 62626,,                515233,                -70587,                444646,,                              0.28,                              0.28,,                              0.28,                              0.28,,                              0,                 74801,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
2820,2014年第3季,,,,                  5027,                467927,                  1175,                474129,,                 14197,                216435,                  2041,                232673,                241456,,,,                119050,                  3692,                 44150,                  7191,                174083,,                  3387,                  3387,                170696,,,                 39596,                              0,                     12,                    194,                 39802,,                              0,                 15532,                              0,                 15532,                 24270,,                  9306,,                  6176,,                  2787,                213235,                454691,,               -134816,,,                 75726,,                  3149,,                 40769,                119644,,                469863,                -77613,                392250,,                469863,                -77613,                392250,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -81413,                   -128,                -81285,                -81285,,                388578,                -77613,                310965,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,2014年第2季,,,,,                488937,,                488937,,,,,                247125,                241812,,,,,,,,,,,,                171617,,,,,,,,,,,,,                 49232,,                 -3038,,                 -3804,,                  9279,                223286,                465098,,                -22810,,,                 71494,,                  3302,,                 36311,                111107,,                376801,                -62818,                313983,,                376801,                -62818,                313983,,,,,,,,,,,,                 39373,                 -3039,                 42412,                 42412,,                419213,                -62818,                356395,,                              0.23,                              0.23,,                              0.23,                              0.23,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,2014年度,,,,                 17146,              1895137,                  2579,              1914862,,                 58595,                879017,                  9577,                947189,                967673,,,,                459876,                 14748,                173584,                 32693,                680901,,                 16189,                 16189,                664712,,,                116142,                 33538,                              0,                  2286,                151966,,,                              0,                     45,                     45,                151921,,                 63143,,                 14993,,                 12767,                907536,              1875209,,               -234907,,,                293898,,                 12488,,                145530,                451916,,              1658200,               -272857,              1385343,,              1658200,               -272857,              1385343,,,,,,,,,,,,,,,,,              1730990,               -272213,,,                              1.03,                              1.03,,                              1.03,                              1.03,,                              0,,,,,,,,,,,,,                              0,,                 63143,,                              0,,                 14993,,                              0,,                              0,                 76575,                 -3785,                    644,                 73434,              1458777,                              0.00,,,,,
2820,2014年01月01日至2014年09月30日,,,,                 13165,              1424281,                  2375,              1439821,,                 43570,                668055,                  6962,                718587,                721234,,,,                343394,                 11195,                134233,                 25553,                514375,,                 11831,                 11831,                502544,,,                128685,                  5606,                              0,                  1124,                135415,,                              0,                              0,                     45,                     45,                135370,,                 63960,,                  3638,,                 12593,                718105,              1439339,,               -196045,,,                220842,,                  9365,,                108151,                338358,,              1297026,               -204158,              1092868,,              1297026,               -204158,              1092868,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 25597,                 54529,                -28932,                -28932,,              1268094,               -204158,              1063936,,                              0.81,                              0.81,,                              0.81,                              0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,2014年01月01日至2014年06月30日,,,,,                965692,,                965692,,,,,                485914,                479778,,,,,,,,,,,,                331848,,,,,,,,,,,,,                111100,,                 54654,,                 -2538,,                  9806,                504870,                984648,,                -61229,,,                145116,,                  6216,,                 67382,                218714,,                827163,               -126545,                700618,,                827163,               -126545,                700618,,,,,,,,,,,,                107006,                 54653,                 52353,                 52353,,                879516,               -126545,                752971,,                              0.52,                              0.52,,                              0.52,                              0.52,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2820,2014年01月01日至2014年03月31日,,,,,,,                476755,,,,,                238789,                237966,,,,,,,,,,,,                160231,,,,,,,,,,,,,                 61868,,                 57692,,                  1266,,                    527,                281584,                519550,,                -38419,,,                 73622,,                  2914,,                 31071,                107607,,                450362,                -63727,                386635,,                450362,                -63727,                386635,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 67633,                 57692,                  9941,                  9941,,                460303,                -63727,                396576,,                              0.29,                              0.29,,                              0.29,                              0.29,,                              0,                 73622,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
2820,2013年第3季,,,,                  5657,                481330,                 17760,                504747,,                 14910,                245411,                  3353,                263674,                241073,,,,                100525,                  3143,                 35540,                  4063,                143271,,                  4091,                  4091,                139180,,,                 43699,                  4578,                    434,                  2512,                 51223,,                              0,                              0,                              0,                              0,                 51223,,                 -4627,,                 -1739,,                  4546,                188583,                429656,,                 43330,,,                 75617,,                  2573,,                 37267,                115457,,                270869,                -44483,                226386,,                270869,                -44483,                226386,,,,,,,,,,,,,,,,,                181459,                -44483,,,                              0.17,                              0.17,,                              0.17,                              0.17,,                              0,,,,,,,,,,,,,,,,,,,,,,,,                -89410,                              0,                              0,                -89410,                136976,,                              0,                              0,                              0,                              0,                              0
2820,2013年第2季,,,,,                481240,,                481240,,,,,                265203,                216037,,,,,,,,,,,,                125215,,,,,,,,,,,,,                  9450,,                  9915,,                  1562,,                  6752,                152894,                368931,,                -20808,,,                 79154,,                  2436,,                 34654,                116244,,                273495,                -44895,                228600,,                273495,                -44895,                228600,,,,,,,,,,,,,,,,,                234056,                -44895,,,                              0.17,                              0.17,,                              0.17,                              0.17,,                              0,,,,,,,,,,,,,,,,,,,,,,,,                -39439,                              0,                              0,                -39439,                189161,,                              0,                              0,                              0,                              0,                              0
2820,2013年度,,,,                 17662,              1916012,                 34090,              1967764,,                 56666,                989385,                 10726,              1056777,                910987,,,,                379765,                 12647,                129008,                 16284,                537704,,                 14334,                 14334,                523370,,,                188797,                              0,                              0,                  2823,                191620,,,                 33421,                  6563,                 39984,                151636,,                 11969,,                  3642,,                 14515,                705132,              1616119,,               -543319,,,                302532,,                 10392,,                162627,                475551,,              1683887,               -283026,              1400861,,              1683887,               -283026,              1400861,,,,,,,,,,,,,,,,,              1515845,               -283962,,,                              1.04,                              1.04,,                              1.04,                              1.04,,                              0,,,,,,,,,,,,,                              0,,                 11969,,                              0,,                  3642,,                              0,,                              0,               -173541,                  5499,                   -936,               -168978,              1231883,                              0.00,,,,,
