證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用
3338,2015年第3季,,,,                710277,                710277,                 42790,                667487,                667487,,                513112,                154375,                154375,,,                 45386,,                 35009,,                 38283,                118678,                 35697,,,                  2405,,                 29069,,                  1155,,                 -6707,                 23612,                 59309,,                 10147,                 49162,                 49162,,,                 28828,                              0,                 28828,                 28828,                 77990,,                 49162,,                 77990,,                              0.70,,                              0.64,,,,
3338,2015年第2季,,,,                628706,                628706,                 37973,                590733,                590733,,                469250,                121483,                121483,,,                 41308,,                 30244,,                 33365,                104917,                 16566,,,                  4197,,                 -3899,,                  1170,,                 -4578,                 -5450,                 11116,,                  1603,                  9513,                  9513,,,                 -9945,                              0,                 -9945,                 -9945,                   -432,,                  9513,,                   -432,,                              0.14,,                              0.13,,,,
3338,2015年01月01日至2015年09月30日,,,,              1931133,              1931133,                113973,              1817160,              1817160,,              1417257,                399903,                399903,,,                129932,,                 96811,,                103716,                330459,                 69444,,,                 14384,,                 22403,,                  3345,,                -12819,                 20623,                 90067,,                 14460,                 75607,                 75607,,,                 11723,                              0,                 11723,                 11723,                 87330,,                 75607,,                 87330,,                              1.08,,                              0.99,,,,
3338,2015年01月01日至2015年06月30日,,,,              1220856,              1220856,                 71183,              1149673,              1149673,,                904145,                245528,                245528,,,                 84546,,                 61802,,                 65433,                211781,                 33747,,,                 11979,,                 -6666,,                  2190,,                 -6112,                 -2989,                 30758,,                  4313,                 26445,                 26445,,,                -17105,                              0,                -17105,                -17105,                  9340,,                 26445,,                  9340,,                              0.38,,                              0.36,,,,
3338,2015年01月01日至2015年03月31日,,,,,,,                558940,                558940,,                434895,                124045,                124045,,,                 43238,,                 31558,,                 32068,                106864,                 17181,,,                  7782,,                 -2767,,                  1020,,                 -1534,                  2461,                 19642,,                  2710,                 16932,                 16932,,,                 -7160,                              0,                 -7160,                 -7160,                  9772,,                 16932,,                  9772,,                              0.24,,                              0.22,,,,
3338,2014年第3季,,,,                729088,                729088,                 43375,                685713,                685713,,                517247,                168466,                168466,,,                 46171,,                 36899,,                 34110,                117180,                 51286,,,                  2653,,                   -468,,                    594,,                 -9111,                 -7520,                 43766,,                  1483,                 42283,                 42283,,,                 16613,                              0,                 16613,                 16613,                 58896,,                 42283,,                 58896,,                              0.61,,                              0.61,,,,
3338,2014年第2季,,,,                729807,                729807,                 32166,                697641,                697641,,                522665,                174976,                174976,,,                 44908,,                 34744,,                 30247,                109899,                 65077,,,                  8521,,                -14388,,                    717,,                              0,                 -6584,                 58493,,                 11982,                 46511,                 46511,,,                -11961,                              0,                -11961,                -11961,                 34550,,                 46511,,                 34550,,                              0.67,,                              0.66,,,,
3338,2014年度,,,,,,,              2630352,              2630352,,              2019385,                610967,                610967,,,                173756,,                134466,,                125079,                433301,                177666,,,                 23073,,                  3609,,                  2726,,                -13605,                 10351,                188017,,                 22034,                165983,                165983,,,,,,                 28501,                194484,,                165983,,                194484,,                              2.38,,                              2.37,                 28170,                    331,                              0,
3338,2014年01月01日至2014年09月30日,,,,              2052245,              2052245,                104808,              1947437,              1947437,,              1493336,                454101,                454101,,,                128769,,                101981,,                 90717,                321467,                132634,,,                 18181,,                 -4008,,                  2134,,                 -9111,                  2928,                135562,,                 16039,                119523,                119523,,,                  4119,                              0,                  4119,                  4119,                123642,,                119523,,                123642,,                              1.71,,                              1.71,,,,
3338,2014年01月01日至2014年06月30日,,,,              1323157,              1323157,                 61433,              1261724,              1261724,,                976089,                285635,                285635,,,                 82598,,                 65082,,                 56607,                204287,                 81348,,,                 15528,,                 -3540,,                  1540,,                              0,                 10448,                 91796,,                 14556,                 77240,                 77240,,,                -12494,                              0,                -12494,                -12494,                 64746,,                 77240,,                 64746,,                              1.11,,                              1.10,,,,
3338,2014年01月01日至2014年03月31日,,,,,,,                564083,                564083,,                453424,                110659,                110659,,,                 37690,,                 30338,,                 26360,                 94388,                 16271,,,                  7007,,                 10848,,                    823,,                              0,                 17032,                 33303,,                  2574,                 30729,                 30729,,,                   -533,                              0,                   -533,                   -533,                 30196,,                 30729,,                 30196,,                              0.44,,                              0.44,,,,
3338,2013年第3季,,,,,,,                660604,                660604,,                535145,                125459,                125459,,,                 40828,,                 32533,,                 25043,                 98404,                 27055,,,                  3583,,                 -6098,,                    874,,                              0,                 -3389,                 23666,,                  1941,                 21725,                 21725,,,,,,                 -6806,                 14919,,                 21725,,                 14919,,                              0.35,,                              0.35,                 -6806,,                              0,
3338,2013年第2季,,,,,,,                732966,                732966,,                579392,                153574,                153574,,,                 53645,,                 39564,,                 26995,                120204,                 33370,,,                  4356,,                 -4363,,                    482,,,                   -489,                 32881,,                  8777,                 24104,                 24104,,,,,,                  8720,                 32824,,                 24104,,                 32824,,                              0.40,,                              0.39,                  8720,,                              0,                    482
3338,2013年度,,,,,,,              2801685,              2801685,,              2215288,                586397,                586397,,,                166284,,                140285,,                106753,                413322,                173075,,,                 13954,,                -15372,,                  3111,,                              0,                 -4529,                168546,,                 24893,                143653,                143653,,,,,,                 27599,                171252,,                143653,,                171252,,                              2.34,,                              2.33,                 27632,                    -33,                              0,
3338,2013年01月01日至2013年09月30日,,,,,,,              1996204,              1996204,,              1588430,                407774,                407774,,,                130177,,                101907,,                 73260,                305344,                102430,,,                 12405,,                -10141,,                  2322,,                              0,                    -58,                102372,,                 14436,                 87936,                 87936,,,,,,                 17645,                105581,,                 87936,,                105581,,                              1.45,,                              1.44,                 17645,,                              0,
