證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
6189,2015年第3季,,,              4483139,              4483139,,,              4022097,              4022097,                461042,                461042,,,                219219,,                 29573,,                 19807,                268599,                192443,,,                    252,,                 58973,,                  6961,,                   -101,                 52163,                244606,,                 29564,                215042,                215042,,,                  9700,                    -34,                  1649,                  8017,                  8017,                223059,,                208635,                  6407,,                215140,                  7919,,                              1.17,                              1.17,,                              1.16,                              1.16,,,,,,
6189,2015年第2季,,,              4283678,              4283678,,,              3943452,              3943452,                340226,                340226,,,                148502,,                 29351,,                 25347,                203200,                137026,,,                  5674,,                 -9324,,                  6861,,                   -104,                -10615,                126411,,                 24429,                101982,                101982,,,                 -2250,                    -28,                   -425,                 -1853,                 -1853,                100129,,                 97521,                  4461,,                 95986,                  4143,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,
6189,2015年01月01日至2015年09月30日,,,             13012879,             13012879,,,             11794033,             11794033,              1218846,              1218846,,,                537403,,                 90731,,                 68132,                696266,                522580,,,                  6165,,                 38896,,                 20338,,                   -305,                 24418,                546998,,                 85659,                461339,                461339,,,                  5329,                    -56,                    906,                  4367,                  4367,                465706,,                446158,                 15181,,                449579,                 16127,,                              2.49,                              2.49,,                              2.46,                              2.46,,,,,,
6189,2015年01月01日至2015年06月30日,,,              8529740,              8529740,,,              7771936,              7771936,                757804,                757804,,,                318184,,                 61158,,                 48325,                427667,                330137,,,                  5913,,                -20077,,                 13377,,                   -204,                -27745,                302392,,                 56095,                246297,                246297,,,                 -4371,                    -22,                   -743,                 -3650,                 -3650,                242647,,                237523,                  8774,,                234439,                  8208,,                              1.33,                              1.33,,                              1.31,                              1.31,,,,,,
6189,2015年01月01日至2015年03月31日,,,              4246062,              4246062,,,              3828484,              3828484,                417578,                417578,,,                169682,,                 31807,,                 22978,                224467,                193111,,,                  8463,,                -18977,,                  6516,,                   -100,                -17130,                175981,,                 31666,                144315,                144315,,,                 -1803,                      6,,                 -1797,                 -1797,                142518,,                140002,                  4313,,                138453,                  4065,,                              0.78,                              0.78,,                              0.77,                              0.77,,,,,,
6189,2014年第3季,,,              5350806,              5350806,,,              4912352,              4912352,                438454,                438454,,,                180844,,                 38557,,                 23950,                243351,                195103,,,                    212,,                  5779,,                  4938,,                    -95,                    958,                196061,,                 35642,                160419,                160419,,,                  3631,                    -21,                    531,                  3079,                  3079,                163498,,                157471,                  2948,,                160036,                  3462,,                              0.88,                              0.88,,                              0.88,                              0.88,,,,,,
6189,2014年第2季,,,              5222854,              5222854,,,              4764905,              4764905,                457949,                457949,,,                183621,,                 32276,,                 21106,                237003,                220946,,,                  5683,,                -24535,,                  4994,,                   -197,                -24043,                196903,,                 42102,                154801,                154801,,,                 -3186,                     28,                   -470,                 -2688,                 -2688,                152113,,                152390,                  2411,,                150117,                  1996,,                              0.85,                              0.85,,                              0.84,                              0.84,,,,,,
6189,2014年度,,,             20455178,             20455178,,,             18688295,             18688295,              1766883,              1766883,,,                812929,,                114439,,                 86585,              1013953,                752930,,,                 16379,,                 30668,,                 21464,,                   -389,                 25194,                778124,,                140572,                637552,                637552,,,,,,,                  4237,                641789,,                622771,                 14781,,                625725,                 16064,,                              3.48,                              3.48,,                              3.45,                              3.45,                 10945,                     55,                 -5177,                 -1586,,
6189,2014年01月01日至2014年09月30日,,,             15122593,             15122593,,,             13778056,             13778056,              1344537,              1344537,,,                557191,,                121345,,                 62487,                741023,                603514,,,                  6179,,                  8080,,                 15664,,                   -292,                 -1697,                601817,,                107596,                494221,                494221,,,                  4042,                     42,                    564,                  3520,                  3520,                497741,,                485009,                  9212,,                487790,                  9951,,                              2.71,                              2.71,,                              2.69,                              2.69,,,,,,
6189,2014年01月01日至2014年06月30日,,,              9771787,              9771787,,,              8901394,              8901394,                870393,                870393,,,                340657,,                 82788,,                 38537,                461982,                408411,,,                  5967,,                  2301,,                 10726,,                   -197,                 -2655,                405756,,                 71954,                333802,                333802,,,                    411,                     63,                     33,                    441,                    441,                334243,,                327538,                  6264,,                327754,                  6489,,                              1.83,                              1.83,,                              1.81,                              1.81,,,,,,
6189,2014年01月01日至2014年03月31日,,,              4548933,              4548933,,,              4118909,              4118909,                430024,                430024,,,                194177,,                 30951,,                 17431,                242559,                187465,,,                    773,,                 26347,,                  5732,,                              0,                 21388,                208853,,                 29852,                179001,                179001,,,                  3094,                     35,,                  3129,                  3129,                182130,,                175148,                  3853,,                177637,                  4493,,                              0.98,                              0.98,,                              0.97,                              0.97,,,,,,
6189,2013年第3季,,,              5063970,              5063970,,,              4637950,              4637950,                426020,                426020,,,                155904,,                 38464,,                 27787,                222155,                203865,,,                  7389,,                -24669,,                  5578,,                    -94,                -22952,                180913,,                 34423,                146490,                146490,,,,,,,                 -2061,                144429,,                142916,                  3574,,                141287,                  3142,,                              0.80,                              0.80,,                              0.79,                              0.79,                 -2274,                    -19,,                    232,,
6189,2013年第2季,,,              4773662,              4773662,,,              4362381,              4362381,                411281,                411281,,,                166624,,                 39835,,                 12538,                218997,                192284,,,                  6190,,                 11099,,                  4075,,                   -101,                 13113,                205397,,                 32954,                172443,                172443,,,,,,,                   -237,                172206,,                170169,                  2274,,                169975,                  2231,,                              0.95,                              0.95,,                              0.93,                              0.93,                 -1772,                   -179,,                  1714,                              0.00,                              0.00
6189,2013年度,,,             20164047,             20164047,,,             18458837,             18458837,              1705210,              1705210,,,                807703,,                107568,,                 69418,                984689,                720521,,,                 15266,,                 15123,,                 19883,,                   -382,                 10124,                730645,,                143603,                587042,                587042,,,,,,,                  1836,                588878,,                578656,                  8386,,                577187,                 11691,,                              3.23,                              3.23,,                              3.20,                              3.20,                  7030,                   -142,                 -4419,                   -633,,
6189,2013年07月01日至2013年09月30日,,,              5063970,              5063970,,,              4655969,              4655969,                408001,                408001,,,                137885,,                 38464,,                 27787,                204136,                203865,,,                  7389,,                -24669,,                  5578,,                    -94,                -22952,                180913,,                 34423,                146490,                146490,,,,,,,                 -2061,                144429,,                142916,                  3574,,                141287,                  3142,,                              0.80,                              0.80,,                              0.79,                              0.79,                 -2274,                    -19,,                    232,,
6189,2013年04月01日至2013年06月30日,,,              4773662,              4773662,,,              4362381,              4362381,                411281,                411281,,,                166624,,                 39835,,                 12538,                218997,                192284,,,                  6190,,                 11099,,                  4075,,                   -101,                 13113,                205397,,                 32954,                172443,                172443,,,,,,,                   -237,                172206,,                170169,                  2274,,                169975,                  2231,,                              0.96,                              0.96,,                              0.93,                              0.93,                 -1772,                   -179,,                  1714,,
6189,2013年01月01日至2013年12月31日,,,             20164047,             20164047,,,             18526350,             18526350,              1637697,              1637697,,,                649731,,                198027,,                 69418,                917176,                720521,,,                 15266,,                 15123,,                 19883,,                   -382,                 10124,                730645,,                143603,                587042,                587042,,,,,,,                  1836,                588878,,                578656,                  8386,,                577187,                 11691,,                              3.23,                              3.23,,                              3.20,                              3.20,                  7030,                   -142,                 -4419,                   -633,,
6189,2013年01月01日至2013年09月30日,,,             14711425,             14711425,,,             13413251,             13413251,              1298174,              1298174,,,                533955,,                127340,,                 51470,                712765,                585409,,,                 14449,,                  1900,,                 14115,,                   -288,                  1946,                587355,,                116525,                470830,                470830,,,,,,,                  3843,                474673,,                462568,                  8262,,                466157,                  8516,,                              2.58,                              2.58,,                              2.54,                              2.54,                  3757,                   -147,,                    233,,
6189,2013年01月01日至2013年06月30日,,,              9647455,              9647455,,,              8807778,              8807778,                839677,                839677,,,                345574,,                 88876,,                 23683,                458133,                381544,,,                  7060,,                 26569,,                  8537,,                   -194,                 24898,                406442,,                 82102,                324340,                324340,,,,,,,                  5905,                330245,,                319652,                  4688,,                324871,                  5374,,                              1.79,                              1.79,,                              1.75,                              1.75,                  6031,                   -128,,                      2,                              0.00,                              0.00
6189,2013年01月01日至2013年03月31日,,,              4873793,              4873793,,,              4445397,              4445397,                428396,                428396,,,                178950,,                 49041,,                 11145,                239136,                189260,,,                    870,,                 15970,,                  4462,,                   -593,                 11785,                201045,,                 49148,                151897,                151897,,,,,,,                  6142,                158039,,                149483,                  2414,,                154896,                  3143,,                              0.83,                              0.83,,                              0.82,                              0.82,                  7803,                     51,,                 -1712,,
6189,2012年07月01日至2012年09月30日,,,              5476679,              5476679,,,              5061513,              5061513,                415166,                415166,,,                169223,,                 38551,,                 18689,                226463,                188703,,,                  1450,,                -17927,,                  5138,,                    120,                -21495,                167208,,                 30426,                136782,                136782,,,,,,,                 -6002,                130780,,                134581,                  2201,,                129159,                  1621,,                              0.75,                              0.75,,                              0.75,                              0.75,                 -4255,                 -2213,,                    466,,
6189,2012年04月01日至2012年06月30日,,,              5099593,              5099593,,,              4699224,              4699224,                400369,                400369,,,                139075,,                 79937,,                  7754,                226766,                173603,,,                   -675,,                 -3009,,                  3463,,                   -100,                 -7247,                166356,,                 28416,                137940,                137940,,,,,,,                    635,                138575,,                134218,                  3722,,                134498,                  4077,,                              0.75,                              0.75,,                              0.74,                              0.74,                  2336,                 -1449,,                   -252,,
6189,2012年01月01日至2012年12月31日,,,             19767899,             19767899,,,             18327624,             18327624,              1440275,              1440275,,,                583464,,                198607,,                 43120,                825191,                615084,,,                 12455,,                -30233,,                 18725,,                 -1034,                -37537,                577547,,                109601,                467946,                467946,,,,,,,                -23089,                444857,,                461419,                  6527,,                439525,                  5332,,                              2.58,                              2.58,,                              2.54,                              2.54,                 -6735,                 -9989,                 -5413,                   -952,,
6189,2012年01月01日至2012年09月30日,,,             14979735,             14979735,,,             13835500,             13835500,              1144235,              1144235,,,                452856,,                163059,,                 38326,                654241,                489994,,,                 10950,,                -37610,,                 14233,,                    -74,                -40967,                449027,,                 83543,                365484,                365484,,,,,,,                 -2590,                362894,,                357598,                  7886,,                355956,                  6938,,                              2.00,                              2.00,,                              1.98,                              1.98,                 -7021,                  3661,,                    770,,
6189,2012年01月01日至2012年06月30日,,,              9503056,              9503056,,,              8773987,              8773987,                729069,                729069,,,                283633,,                124508,,                 19637,                427778,                301291,,,                  9500,,                -19683,,                  9095,,                   -194,                -19472,                281819,,                 53117,                228702,                228702,,,,,,,                  3412,                232114,,                223017,                  5685,,                226797,                  5317,,                              1.25,                              1.25,,                              1.22,                              1.22,                 -2766,                  5874,,                    304,,
6189,2012年01月01日至2012年03月31日,,,              4403463,              4403463,,,              4074763,              4074763,                328700,                328700,,,                144558,,                 44571,,                 11883,                201012,                127688,,,                 10175,,                -16674,,                  5632,,                    -94,                -12225,                115463,,                 24701,                 90762,                 90762,,,,,,,                  2777,                 93539,,                 88799,                  1963,,                 92299,                  1240,,                              0.50,                              0.50,,                              0.49,                              0.49,                 -5102,                  7323,,                    556,,
