證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3036,2015年第3季,,             28729214,,             27081468,              1647746,              1647746,,,                723198,,                196142,,                 82766,              1002106,                645640,,,                 25251,,                 77144,,                 93541,,                -47759,                -38905,                606735,,                 98390,                508345,                508345,,,                601129,             -1062291,,                 -4900,               -466062,               -466062,                 42283,,                508291,                     54,,                 42219,                     64,,                              1.14,                              1.14,,                              1.13,                              1.13,,,,,,
3036,2015年第2季,,             28755667,,             27142594,              1613073,              1613073,,,                687670,,                199948,,                 80482,                968100,                644973,,,                 17482,,                 53503,,                 85552,,                -35715,                -50282,                594691,,                106876,                487815,                487815,,,               -100563,                560610,,                    163,                460210,                460210,                948025,,                487791,                     24,,                948127,                   -102,,                              1.09,                              1.09,,                              1.09,                              1.09,,,,,,
3036,2015年01月01日至2015年09月30日,,             86022643,,             81192395,              4830248,              4830248,,,              2075591,,                605676,,                243851,              2925118,              1905130,,,                 46870,,                204983,,                282026,,               -102019,               -132192,              1772938,,                297540,              1475398,              1475398,,,                347739,                 40921,,                 -2402,                386258,                386258,              1861656,,              1475284,                    114,,              1861616,                     40,,                              3.35,                              3.35,,                              3.35,                              3.35,,,,,,
3036,2015年01月01日至2015年06月30日,,             57293429,,             54110927,              3182502,              3182502,,,              1352479,,                409448,,                161085,              1923012,              1259490,,,                 21619,,                127839,,                188485,,                -54260,                -93287,              1166203,,                199150,                967053,                967053,,,               -253390,              1103212,,                  2498,                852320,                852320,              1819373,,                966993,                     60,,              1819397,                    -24,,                              2.22,                              2.22,,                              2.21,                              2.21,,,,,,
3036,2015年01月01日至2015年03月31日,,             28537762,,             26968333,              1569429,              1569429,,,                664809,,                209500,,                 80603,                954912,                614517,,,                  4137,,                 74336,,                102933,,                -18545,                -43005,                571512,,                 92274,                479238,                479238,,,               -152827,                542602,,                  2335,                392110,                392110,                871348,,                479202,                     36,,                871270,                     78,,                              1.24,                              1.24,,                              1.24,                              1.24,,,,,,
3036,2014年第3季,,             28720311,,             27081292,              1639019,              1639019,,,                675364,,                192230,,                 79708,                947302,                691717,,,                 17461,,                 54576,,                 93184,,                 -5956,                -27103,                664614,,                111264,                553350,                553350,,,                155133,                265421,,                     37,                420591,                420591,                973941,,                553314,                     36,,                973848,                     93,,                              1.42,                              1.42,,                              1.42,                              1.42,,,,,,
3036,2014年第2季,,             25711407,,             24188818,              1522589,              1522589,,,                643627,,                179914,,                 78520,                902061,                620528,,,                 17063,,                 47171,,                 79196,,                -10452,                -25414,                595114,,                137265,                457849,                457849,,,               -137639,                 34393,,                    -40,               -103286,               -103286,                354563,,                457815,                     34,,                354537,                     26,,                              1.17,                              1.17,,                              1.17,                              1.17,,,,,,
3036,2014年度,,            107766685,,            101585423,              6181262,              6181262,,,              2644951,,                759635,,                314762,              3719348,              2461914,,,                 49245,,                138267,,                368397,,                -35667,               -216552,              2245362,,                408022,              1837340,              1837340,,,,,,,,                606728,              2444068,,              1837202,                    138,,              2443948,                    120,,                              5.18,                              5.18,,                              5.18,                              5.18,                525501,                 80709,                  2336,,                 -1421,                    397
3036,2014年01月01日至2014年09月30日,,             77439497,,             72917161,              4522336,              4522336,,,              1934354,,                549807,,                233858,              2718019,              1804317,,,                 43654,,                 95905,,                257040,,                -20450,               -137931,              1666386,,                316349,              1350037,              1350037,,,                173075,                 56051,,                   -169,                228957,                228957,              1578994,,              1349932,                    105,,              1578836,                    158,,                              3.46,                              3.46,,                              3.46,                              3.46,,,,,,
3036,2014年01月01日至2014年06月30日,,             48719186,,             45835869,              2883317,              2883317,,,              1258990,,                357577,,                154150,              1770717,              1112600,,,                 26193,,                 41329,,                163856,,                -14494,               -110828,              1001772,,                205085,                796687,                796687,,,                 17942,               -209370,,                   -206,               -191634,               -191634,                605053,,                796618,                     69,,                604988,                     65,,                              2.04,                              2.04,,                              2.04,                              2.04,,,,,,
3036,2014年01月01日至2014年03月31日,,             23007779,,             21647051,              1360728,              1360728,,,                615363,,                177663,,                 75630,                868656,                492072,,,                  9130,,                 -5842,,                 84660,,                 -4042,                -85414,                406658,,                 67820,                338838,                338838,,,                155581,               -243763,,                   -166,                -88348,                -88348,                250490,,                338803,                     35,,                250451,                     39,,                              0.96,                              0.96,,                              0.95,                              0.95,,,,,,
3036,2013年第3季,,             23274190,,             21918057,              1356133,              1356133,,,                620683,,                174421,,                 71649,                866753,                489380,,,                 18234,,                 10255,,                 68593,,                 -2006,                -42110,                447270,,                 87176,                360094,                360094,,,,,,,,                  5429,                365523,,                360144,                    -50,,                365577,                    -54,,                              1.02,                              1.02,,                              1.02,                              1.02,                -86460,                 91892,,,                     -3,
3036,2013年第2季,,             21018646,,             19767392,              1251254,              1251254,,,                587275,,                170917,,                 69845,                828037,                423217,,,                  6097,,                 67373,,                 62371,,                 -2615,                  8484,                431701,,                108818,                322883,                322883,,,,,,,,                 15772,                338655,,                322828,                     55,,                338597,                     58,,                              0.91,                              0.91,,                              0.91,                              0.91,                 14774,                  1229,                              0,,                   -231,                              0
3036,2013年度,,             87759131,,             82643922,              5115209,              5115209,,,              2357537,,                723938,,                279409,              3360884,              1754325,,,                 41224,,                119363,,                268020,,                 -6459,               -113892,              1640433,,                336073,              1304360,              1304360,,,,,,,,                985590,              2289950,,              1304342,                     18,,              2290019,                    -69,,                              3.68,                              3.68,,                              3.67,                              3.67,                226779,                750870,                  9735,,                   -139,                  1655
3036,2013年07月01日至2013年09月30日,,             23274190,,             21918057,              1356133,              1356133,,,                620683,,                174421,,                 71649,                866753,                489380,,,                 18234,,                 10255,,                 68593,,                 -2006,                -42110,                447270,,                 87176,                360094,                360094,,,,,,,,                  5429,                365523,,                360144,                    -50,,                365577,                    -54,,                              1.07,                              1.07,,                              1.07,                              1.07,                -86460,                 91892,,,                     -3,
3036,2013年04月01日至2013年06月30日,,             21018646,,             19767392,              1251254,              1251254,,,                587275,,                170917,,                 69845,                828037,                423217,,,                  6097,,                 67373,,                 62371,,                 -2615,                  8484,                431701,,                108818,                322883,                322883,,,,,,,,                 15772,                338655,,                322828,                     55,,                338597,                     58,,                              0.96,                              0.96,,                              0.96,                              0.96,                 14774,                  1229,,,                   -231,
