證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 不動產重估增值,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主[duplicate]60,　　 非控制股權,　 基本每股盈餘,　　 基本每股盈餘合計,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 重估價之利益(損失),　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　 母公司業主[duplicate]56,　　 母公司業主[duplicate]55,　　 母公司業主[duplicate]54,　　　　 資產減損損失（迴轉利益）,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 母公司業主[duplicate]53,　　 母公司業主[duplicate]52
2881,2015年第3季,,,             31719120,              6826722,             24892398,,,             -3525993,,             84384503,,            -42635306,,                618958,,             13243679,,                   -104,,             52505825,,               -183378,,                277712,,                730058,            105415954,            130308352,,                 89588,,             97406618,,              6700208,                880002,              5784063,             13364273,             19447873,             -3271298,             16176575,             16176575,,,                              0,                              0,                              0,,              5661084,            -55970373,                407520,                -30279,              6017543,            -43914505,            -43914505,            -27737930,,             16089828,                 86747,,            -28143858,                405928,,                              1.57,,,,,,,,,,,,,,,,,
2881,2015年第2季,,,             29403173,              7015776,             22387397,,,             -2470518,,             56538072,,              7205135,,              1052498,,             23815529,,                 -9745,,             -8473811,,               -614004,,                292630,,                696502,             78032288,            100419685,,               -617255,,             61766307,,              6776028,                866177,              5474677,             13116882,             26153751,             -4126365,             22027386,             22027386,,,                124580,                              0,                124580,,               -119580,            -53924598,                -62776,                138396,              6470248,            -47498310,            -47373730,            -25346344,,             21959007,                 68379,,            -25355918,                  9574,,                              2.15,,,,,,,,,,,,,,,,,
2881,2015年第1季,,,             29344989,              7104142,             22240847,,,             -1485195,,             45818862,,              6469570,,              1059619,,             22150569,,                  9326,,             -9393334,,                 10762,,                276746,,                653368,             65570293,             87811140,,                  5691,,             50667031,,              6625066,                865664,              4963241,             12453971,             24684447,             -4541414,             20143033,             20143033,,,                214376,                              0,                214376,,             -1692180,             13743461,                 78499,               -133825,               -763786,             11232169,             11446545,             31589578,,             20094240,                 48793,,             31656281,                -66703,,                              1.96,,,,,,,,,,,,,,,,,
2881,2015年01月01日至2015年09月30日,,,             90467282,             20946640,             69520642,,,             -7481706,,            186741437,,            -28960601,,              2731075,,             59209777,,                   -523,,             34638680,,               -786620,,                847088,,              2079928,            249018535,            318539177,,               -521976,,            209839956,,             20101302,              2611843,             16221981,             38935126,             70286071,            -11939077,             58346994,             58346994,,,                338956,                              0,                338956,,              3849324,            -96151510,                423243,                -25708,             11724005,            -80180646,            -79841690,            -21494696,,             58143075,                203919,,            -21843495,                348799,,                              5.68,,,,,,,,,,,,,,,,,
2881,2015年01月01日至2015年06月30日,,,             58748162,             14119918,             44628244,,,             -3955713,,            102356934,,             13674705,,              2112117,,             45966098,,                   -419,,            -17867145,,               -603242,,                569376,,              1349870,            143602581,            188230825,,               -611564,,            112433338,,             13401094,              1731841,             10437918,             25570853,             50838198,             -8667779,             42170419,             42170419,,,                338956,                              0,                338956,,             -1811760,            -40181137,                 15723,                  4571,              5706462,            -36266141,            -35927185,              6243234,,             42053247,                117172,,              6300363,                -57129,,                              4.11,,,,,,,,,,,,,,,,,
2881,2014年第3季,,,             29287895,              6966538,             22321357,,,             -2426078,,             65711717,,             -8433907,,              1256918,,             23741775,,                   -206,,              9164447,,                  6033,,                159948,,                485638,             89666285,            111987642,,                429932,,             70829586,,              6764935,                589860,              5309485,             12664280,             28063844,             -2883484,             25180360,             25180360,,,                 79402,                  2238,                 81640,,              1710617,            -44837759,                -97459,                100340,              2390048,            -40734213,            -40652573,            -15472213,,             25123675,                 56685,,            -15694781,                222568,,                              2.46,,,,,,,,,,,,,,,,,
2881,2014年第2季,,,             28805000,              6779312,             22025688,,,             -1533462,,             49901651,,             10087058,,              1809937,,             12456570,,                   -758,,            -12393616,,                 82295,,                263210,,              1540241,             62213126,             84238814,,                411330,,             54570337,,              6363692,                717136,              4621184,             11702012,             17555135,             -2758093,             14797042,             14797042,,,                101124,                    -46,                101078,,             -1423674,             17877989,                -22580,                 99316,             -2621059,             13909992,             14011070,             28808112,,             14729063,                 67979,,             28839457,                -31345,,                              1.44,,,,,,,,,,,,,,,,,
2881,2014年第1季,,,             28041617,              6247954,             21793663,,,               -949591,,             61067641,,             -8724263,,                995599,,             10464306,,                    219,,             12322661,,                -12264,,                153873,,                514641,             75832822,             97626485,,                -12815,,             69112119,,              6302379,                715950,              4451685,             11470014,             17057167,             -3262415,             13794752,             13794752,,,                126146,                 -2806,                123340,,                236236,             20824324,                 12453,                -33374,             -3332943,             17706696,             17830036,             31624788,,             13725556,                 69196,,             31598954,                 25834,,                              1.34,,,,,,,,,,,,,,,,,
2881,2014年度,,,            116090170,             26848652,             89241518,,,             -6769741,,            230938241,,            -32627938,,              4936075,,             55129028,,                -37633,,             37329039,,               -125695,,                718430,,              3104001,            292593807,            381835325,,              2988582,,            257599143,,             26433591,              2848288,             20016906,             49298785,,            -11466171,             60482644,             60482644,,,,,,,,,,,,,,             82245866,,             60248412,                234232,,,                530042,,                              5.89,             71948815,              4010740,             23532594,                 -4402,               -579328,                110831,                317430,             -5624643,             21763222,             81715824,,,,,,,
2881,2014年01月01日至2014年09月30日,,,             86134512,             19993804,             66140708,,,             -4909131,,            176681009,,             -7071112,,              4062454,,             46662651,,                   -745,,              9093492,,                 76064,,                577031,,              2540520,            227712233,            293852941,,                828447,,            194512042,,             19431006,              2022946,             14382354,             35836306,             62676146,             -8903992,             53772154,             53772154,,,                306672,                   -614,                306058,,                523179,             -6135446,               -107586,                166282,             -3563954,             -9117525,             -8811467,             44960687,,             53578294,                193860,,             44743630,                217057,,                              5.24,,,,,,,,,,,,,,,,,
2881,2014年01月01日至2014年06月30日,,,             56846617,             13027266,             43819351,,,             -2483053,,            110969292,,              1362795,,              2805536,,             22920876,,                   -539,,                -70955,,                 70031,,                417083,,              2054882,            138045948,            181865299,,                398515,,            123682456,,             12666071,              1433086,              9072869,             23172026,             34612302,             -6020508,             28591794,             28591794,,,                227270,                 -2852,                224418,,             -1187438,             38702313,                -10127,                 65942,             -5954002,             31616688,             31841106,             60432900,,             28454619,                137175,,             60438411,                 -5511,,                              2.78,,,,,,,,,,,,,,,,,
2881,2014年01月01日至2014年03月31日,,,             28041617,              6247954,             21793663,,,               -954791,,             61086749,,             -8837689,,                744537,,             10464306,,                    219,,             12322661,,                -23266,,                153873,,                632158,             75588757,             97382420,,                -12815,,             69112119,,              6328430,                675238,              4443278,             11446946,,             -2901351,             13934819,             13934819,,,,,,,,,,,,,,             31641515,,             13865623,                 69196,,,                 25834,,                              1.35,             16836170,                236236,             20824324,                 12453,,                -33374,,             -3332943,             17706696,,,             31615681,,,,,
2881,2013年第3季,,,             22504476,              3696922,             18807554,,,             -1553286,,             71705696,,              9715782,,                701329,,             12862806,,                   -275,,             -9951460,,                 12951,,                 77525,,               -393761,             83177307,            101984861,,              3890368,,             77582946,,              5692954,                544723,              4437822,             10675499,,               -762321,              9073727,              9073727,,,,,,,,,,,,,,             -6887304,,              9088437,                -14710,,,                -14710,,                              0.89,              9836048,               -453012,            -15740997,                -69015,,               -123996,                              0,                425989,            -15961031,,             -6872594,,,,,,
2881,2013年第2季,,,             20958074,              3575832,             17382242,,,             -1294233,,             66009162,,             -1773667,,                320627,,             10546633,,                   -533,,              1856074,,                151023,,                127963,,                -18131,             75924918,             93307160,,                115391,,             72191583,,              5820380,                462721,              4340369,             10623470,,             -2624490,              7752226,              7752226,,,,,,,,,,,,,,            -12894460,,              7752226,                              0,,,                              0,,                              0.81,             10376716,                261107,            -26913998,                -45386,,                 10086,,              6041505,            -20646686,,,            -12894460,,,,,
2881,2013年度,,,             87927936,             14663686,             73264250,,,             -4480859,,            266247244,,             -7089693,,              7814630,,             35846164,,                 -1587,,              9021102,,               -109627,,                435073,,               -764403,            306918044,            380182294,,              4082710,,            288361779,,             24019688,              2173439,             17345669,             43538796,,             -5735319,             38463690,             38463690,,,,,,,,,,,,,,               -219960,,             38513720,                -50030,,,                -50030,,                              3.90,             44199009,                810035,            -46939207,               -156176,                160448,                -56534,                334780,              7163004,            -38683650,               -169930,,,,,,,
2881,2013年07月01日至2013年09月30日,,,             22504476,              3696922,             18807554,,,             -1577812,,             71720671,,              9443933,,                526896,,             12809825,,                   -276,,             -9951460,,,,                 77525,,               -104440,             82957793,            101765347,,              3890369,,             77582946,,              5666675,                527837,              4394968,             10589480,,               -737201,              8965351,              8965351,,,,,,,,,,,,,,             -6995680,,              8980061,                -14710,,,                -14710,,                              0.88,              9702552,               -438425,            -15928378,                -69016,,               -134234,,                609022,            -15961031,,,             -6980970,                 12931,,,,
2881,2013年04月01日至2013年06月30日,,,             20958074,              3575832,             17382242,,,             -1329836,,             66009162,,             -1773667,,                318654,,             10546633,,                   -533,,              1856074,,,,                127963,,                -18211,             75887262,             93269504,,                115391,,             72191583,,              5857213,                492557,              4235944,             10585714,,             -2624490,              7752326,              7752326,,,,,,,,,,,,,,            -12894361,,              7752326,,,,,,                              0.81,             10376816,                318980,            -28825668,                -56500,,                -38896,,              7955397,            -20646687,,,,                151023,,,            -12894361,
2881,2013年01月01日至2013年12月31日,,,             87927936,             14663686,             73264250,,,             -4480859,,            266317557,,             -7089693,,              1707539,,             35846164,,                 -1587,,              9021102,,,,                435073,,               -768870,            300856743,            374120993,,              4082710,,            288361779,,             24019672,              2007623,             17415998,             43443293,,             -5573890,             32659321,             32659321,,,,,,,,,,,,,,             -6352609,,             32709351,                -50030,,,                -50030,,                              3.31,             38233211,                810035,            -46939207,               -156176,                160448,                -56534,,              7169504,            -39011930,,             -6302579,,               -129683,,                              3.31,,
2881,2013年01月01日至2013年09月30日,,,             64250626,             10735851,             53514775,,,             -3926462,,            197045691,,             -1754826,,              4875537,,             31687285,,                 -1285,,              3613351,,                214343,,                286506,,               -934676,            231105464,            284620239,,              3816106,,            213622993,,             17369793,              1627593,             12478838,             31476224,,             -5606590,             30098326,             30098326,,,,,,,,,,,,,,            -17503637,,             30113036,                -14710,,,                -14710,,                              3.09,             35704916,                472312,            -55778751,               -147088,,                -35580,                333083,              7554061,            -47601963,,            -17488927,,,,,,
2881,2013年01月01日至2013年06月30日,,,             41746150,              7038929,             34707221,,,             -2373176,,            125377772,,            -11470608,,                911516,,             18824479,,                 -1009,,             13564811,,                193832,,                208981,,               -543150,            144693448,            179400669,,                -74263,,            136040047,,             11618330,                983284,              8159143,             20760757,,             -4775486,             17898642,             17898642,,,,,,,,,,,,,,            -14068875,,             17898642,                              0,,,                              0,,                              1.88,             22674128,                925323,            -40037747,                -78073,,                 88414,,              7134566,            -31967517,,,            -14068875,,,,,
2881,2013年01月01日至2013年03月31日,,,             20788076,              3463097,             17324979,,,             -1078943,,             59368610,,             -9696941,,                590889,,              8277846,,                   -476,,             11708737,,                 42809,,                 81018,,               -525019,             68768530,             86093509,,               -189654,,             63848464,,              5797950,                520563,              3818774,             10137287,,             -2150996,             10146416,             10146416,,,,,,,,,,,,,,             -1174415,,             10146416,                              0,,,                              0,,                              1.06,             12297412,                664216,            -13123749,                -32687,,                 78328,,              1093061,            -11320831,,,             -1174415,,,,,
2881,2012年07月01日至2012年09月30日,,,             20399821,              3541777,             16858044,,,             -2777696,,             69236681,,              6709523,,                399249,,             13280497,,                    193,,             -7113273,,,,                 73572,,               -126286,             79732566,             96590610,,               -107049,,             72391424,,              5544024,                509107,              4693979,             10747110,,             -1397196,             12161929,             12161929,,,,,,,,,,,,,,             53947375,,             12161929,                              0,,,                              0,,                              1.28,             13559125,               -158399,             44365948,                -12148,,                613533,,             -3023488,             41785446,,,             53947375,                 50106,,,,
2881,2012年04月01日至2012年06月30日,,,             20170529,              3702495,             16468034,,,             -2125960,,             83554583,,             -1942007,,                252289,,              5585236,,                   -381,,              1185448,,,,                152980,,                277289,             87008750,            103476784,,                -80910,,             86858635,,              5315850,                506711,              5487975,             11310536,,             -1626061,              3762462,              3762462,,,,,,,,,,,,,,              4476284,,              3762462,,,,,,                              0.42,              5388523,               -405544,              1751348,                 24564,,                 58656,,               -715202,                713822,,,,                 69273,,,              4476284,
2881,2012年01月01日至2012年12月31日,,,             80271640,             14380313,             65891327,,,             -6874621,,            281320103,,             14970998,,              1311185,,             28032206,,                   -561,,            -16709869,,,,                375030,,                697456,            303141486,            369032813,,               -511914,,            292919015,,             22669528,              1953097,             18506074,             43128699,,             -4348024,             29148989,             29148989,,,,,,,,,,,,,,             77803119,,             29148989,                              0,,,                              0,,                              3.07,             33497013,               -685654,             55522350,                -64776,             -1339146,                 19978,,             -4798622,             48654130,,             77803119,,                 19559,,                              3.07,,
2881,2012年01月01日至2012年09月30日,,,             60062427,             10810219,             49252208,,,             -6409656,,            232673005,,             12320957,,              1028113,,             23265372,,                   -188,,            -14117615,,,,                359429,,                551876,            249852411,            299104619,,               -717928,,            240960670,,             16294489,              1467962,             14271265,             32033716,,             -3825729,             23002432,             23002432,,,,,,,,,,,,,,             69760065,,             23002432,                              0,,,                              0,,                              2.42,             26828161,               -503006,             50794043,                -35973,,                652899,,             -4150330,             46757633,,,             69760065,                181118,,,,
2881,2012年01月01日至2012年06月30日,,,             39662606,              7268442,             32394164,,,             -3631960,,            163436324,,              5611434,,                628864,,              9984875,,                   -381,,             -7004342,,,,                285857,,                678162,            170119845,            202514009,,               -610879,,            168569246,,             10750465,                958855,              9577286,             21286606,,             -2428533,             10840503,             10840503,,,,,,,,,,,,,,             15812690,,             10840503,,,,,,                              1.20,             13269036,               -344607,              6428095,                -23825,,                 39366,,             -1126842,              4972187,,,,                131012,,,             15812690,
2881,2012年01月01日至2012年03月31日,,,             19492077,              3565947,             15926130,,,             -1506000,,             79881741,,              7553441,,                376575,,              4399639,,                              0,,             -8189790,,,,                132877,,                400873,             83111095,             99037225,,               -529969,,             81710611,,              5434615,                452144,              4089311,              9976070,,               -802472,              7078041,              7078041,,,,,,,,,,,,,,             11336406,,              7078041,,,,,,                              0.78,              7880513,                 67533,              4250285,                -40163,,                -19290,,,              4258365,,,,                 61739,,,,             11336406
