證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損（損失）迴轉利益淨額,　　　 採用權益法認列之關聯企業及合資損益之份額,　　　　 採用權益法認列之關聯企業及合資損益之份額,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨損益,　　　　　 以成本衡量之金融資產淨損益,　　　　 出售承受擔保品淨損益,　　　　　 出售承受擔保品淨損益,　　　　 證券經紀收入淨額,　　　　　 證券經紀收入淨額,　　　　 租賃收入,　　　　　 租賃收入合計,　　　　 其他什項損益,　　　　　 其他什項損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 貼現及放款利息收入,　　　　 存放及拆放同業利息收入（銀行存款利息收入）,　　　　 信用卡循環利息收入,　　　　 其他利息收入,　　　　 存款利息費用,　　　　 央行及同業存款利息費用,　　　　 附買回票債券負債利息費用,　　　　 發行債券利息費用,　　　　 其他利息費用,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 與本期綜合損益組成部分相關之所得稅,　　　　 附賣回票債券投資利息收入,　　　　 投資有價證券利息收入（持有票債券利息收入）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算損益,　　 與其他綜合損益組成部分相關之所得稅 ,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　　 手續費收入,　　　　　 進出口業務手續費收入,　　　　　 匯費收入,　　　　　 跨行手續費收入,　　　　　 放款手續費收入,　　　　　 保證手續費收入,　　　　　 信託業務收入,　　　　　 代理手續費收入,　　　　　 信用卡手續費收入,　　　　　 其他手續費收入,　　　　　 手續費收入合計,　　　　 手續費費用,　　　　　 跨行手續費,　　　　　 其他手續費費用,　　　　　 手續費費用合計,　　　　　 信託附屬業務手續費收入,　　 放款呆帳費用調整,　　　 短期員工福利
2838,2015年第3季,,,,              2613371,,              1024023,              1589348,,,                558765,,                 85604,,                158804,,                 76222,,               -119283,,                    -58,,,                 41840,,                   -467,,                 49879,,                519611,,                    799,                611662,              1371716,              2961064,,                -48651,,,                722402,,                440063,,                817367,              1979832,,              1029883,               -145893,                883990,,                883990,                883990,,,                742128,               -360949,               -149221,                231958,                231958,,              1115948,              1115948,,                882439,                  1551,,              1114397,                  1551,,                              0.34,,                              0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,2015年第2季,,,,              2542329,,              1016451,              1525878,,,                577619,,                254420,,                 78714,,               -297748,,                              0,,                    -39,,,                 11064,,                              0,,                 45222,,                507548,,                  5606,                569440,              1182406,              2708284,,                  4308,,,                687014,,                425248,,                809446,              1921708,,                782268,               -146968,                635300,,                635300,                635300,,,               -133465,                 46582,                 22061,                -64822,                -64822,,                570478,                570478,,                632087,                  3213,,                567265,                  3213,,                              0.24,,                              0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,2015年01月01日至2015年09月30日,,,,              7668303,,              3016631,              4651672,,,              1628988,,                232845,,                248760,,                  7518,,               -104843,,                   -253,,,                 52904,,                  6593,,                138244,,              1519445,,                 13435,              1730621,              3743636,              8395308,,                -71574,,,              2149574,,              1269023,,              2378222,              5796819,,              2670063,               -420333,              2249730,,              2249730,              2249730,,,                492513,                -83319,               -108044,                301150,                301150,,              2550880,              2550880,,              2241119,                  8611,,              2542269,                  8611,,                              0.86,,                              0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,2015年01月01日至2015年06月30日,,,,              5054932,,              1992608,              3062324,,,              1070223,,                147241,,                 89956,,                -68704,,                 14440,,                   -195,,,                 11064,,                  7060,,                 88365,,                999834,,                 12636,              1118959,              2371920,              5434244,,                -22923,,,              1427172,,                828960,,              1560855,              3816987,,              1640180,               -274440,              1365740,,              1365740,              1365740,,,               -249615,                277630,                 41177,                 69192,                 69192,,              1434932,              1434932,,              1358680,                  7060,,              1427872,                  7060,,                              0.52,,                              0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,2015年01月01日至2015年03月31日,,,,              2512603,,                976157,              1536446,,,                492604,,               -107179,,                 11242,,                229044,,                 14440,,                   -156,,,                              0,,                  7060,,                 43143,,                492286,,                  7030,                549519,              1189514,              2725960,,                -27231,,,                740158,,                403712,,                751409,              1895279,,                857912,               -127472,                730440,,                857912,                730440,,,               -116150,                231048,                 19116,                134014,                134014,,                972810,                864454,,                726593,                  3847,,                860607,                  3847,,                              0.30,,                              0.30,              1558060,                161448,                213087,                580008,                854243,                 12630,                 49135,                 42548,                 17601,               -127472,               -108356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,2014年第3季,,,,              2444000,,                943263,              1500737,,,                578927,,                  5721,,                 43720,,                 46825,,                              0,,                 -3201,,,                 34036,,                              0,,                 60067,,                479486,,                 15548,                589137,              1261129,              2761866,,               -151588,,,                712307,,                405801,,                822874,              1940982,,                972472,               -162526,                809946,,                809946,                809946,,,                164641,               -112321,                -34439,                 17881,                 17881,,                827827,                827827,,                805071,                  4875,,                822952,                  4875,,                              0.31,,                              0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,2014年第2季,,,,              2403657,,                926209,              1477448,,,                539914,,                102961,,                 19304,,                 -1740,,                              0,,                 -1480,,,                 20375,,                              0,,                 50031,,                486820,,                -14369,                542857,              1201816,              2679264,,               -247837,,,                739749,,                409865,,                766467,              1916081,,              1011020,               -183586,                827434,,                827434,                827434,,,               -187945,                 84551,                 40394,                -63000,                -63000,,                764434,                764434,,                812933,                 14501,,                749933,                 14501,,                              0.31,,                              0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,2014年度,,,,              9675323,,              3730345,              5944978,,,              2128262,,                321564,,                153874,,                199691,,                   -654,,                 -6791,,,                 54110,,                              0,,                213943,,              1931836,,                 -5872,              2194017,              4989963,             10934941,,               -494806,,,              2971179,,              1634372,,              3086400,              7691951,,              3737796,               -614311,              3123485,,              3737796,              3123485,,,,,,,,,              4350847,,,              3093795,                 29690,,              3564000,                 29654,,                              1.26,,                              1.26,              5862436,                697039,                892076,              2100736,              3234871,                 64073,                179551,                179950,                 71900,               -614311,               -757193,                114536,                  8500,,                              0,                502267,                191330,                -80546,               -142882,                470169,              3593654,,,,,,,,,,,,,,,,,,,,
2838,2014年01月01日至2014年09月30日,,,,              7201042,,              2761233,              4439809,,,              1568596,,                166491,,                 64407,,                134346,,                              0,,                 -6940,,,                 54110,,                              0,,                163754,,              1456354,,                -11686,              1662532,              3589432,              8029241,,               -434731,,,              2162983,,              1231900,,              2204949,              5599832,,              2864140,               -498797,              2365343,,              2365343,              2365343,,,                153089,                 36760,                -17893,                171956,                171956,,              2537299,              2537299,,              2336958,                 28385,,              2508914,                 28385,,                              0.90,,                              0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2838,2014年01月01日至2014年06月30日,,,,              4757042,,              1817970,              2939072,,,                989669,,                160770,,                 20687,,                 87521,,                              0,,                 -3739,,,                 20074,,                              0,,                103687,,                976868,,                -27234,              1073395,              2328303,              5267375,,               -283143,,,              1450676,,                826099,,              1382075,              3658850,,              1891668,               -336271,              1555397,,              1555397,              1555397,,,                -11552,                149081,                 16546,                154075,                154075,,              1709472,              1709472,,              1531887,                 23510,,              1685962,                 23510,,                              0.59,,                              0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
