證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2337,2015年第3季,,              5647200,,              4860913,                786287,                    147,                786434,,,                260093,,                366783,,              1209401,              1836277,             -1049843,,,                 76014,,                112519,,                 79758,,                 -4907,                103868,               -945975,,                  4892,               -950867,               -950867,,,                 80955,               -199788,,                     49,                     49,               -118784,               -118784,             -1069651,,               -949199,                 -1668,,             -1068152,                 -1499,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,,,,,,,,,
2337,2015年第2季,,              4975229,,              4366925,                608304,                      6,                608310,,,                244314,,                381346,,              1154002,              1779662,             -1171352,,,                 49947,,                -15591,,                 73312,,                 -6958,                -45914,             -1217266,,                  5201,             -1222467,             -1222467,,,                -16924,               -185762,,                    -18,                    -18,               -202704,               -202704,             -1425171,,             -1220566,                 -1901,,             -1423218,                 -1953,,                             -0.35,                             -0.35,,                             -0.35,                             -0.35,                              0,,,                              0,                              0,,,,
2337,2015年第1季,,              4706274,,              4085771,                620503,,                620462,,,                245943,,                367496,,              1254468,              1867907,             -1247445,,,                975014,,                -10040,,                 65062,,                 -6163,                893749,               -353696,,                  2780,               -356476,               -356476,,,                -30353,                238265,,                    -19,                    -19,                207893,                207893,               -148583,,               -354718,                 -1758,,               -146762,                 -1821,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,                     41,,,,,,,,
2337,2015年01月01日至2015年09月30日,,             15328703,,             13283434,              2045269,                    112,              2045381,,,                750350,,              1115625,,              3648046,              5514021,             -3468640,,,              1100975,,                 86888,,                218132,,                -18028,                951703,             -2516937,,                 12873,             -2529810,             -2529810,,,                 33678,               -147285,,                     12,                     12,               -113595,               -113595,             -2643405,,             -2524483,                 -5327,,             -2638132,                 -5273,,                             -0.72,                             -0.72,,                             -0.72,                             -0.72,,,,,,,,,
2337,2015年01月01日至2015年06月30日,,              9681503,,              8422521,              1258982,                              0,              1258947,,,                490257,,                748842,,              2438645,              3677744,             -2418797,,,              1024961,,                -25631,,                138374,,                -13121,                847835,             -1570962,,                  7981,             -1578943,             -1578943,,,                -47277,                 52503,,                    -37,                    -37,                  5189,                  5189,             -1573754,,             -1575284,                 -3659,,             -1569980,                 -3774,,                             -0.45,                             -0.45,,                             -0.45,                             -0.45,                     35,,,                              0,                              0,,,,
2337,2014年第3季,,              6691327,,              5519772,              1171555,                     76,              1171631,,,                291333,,                421931,,              1555683,              2268947,             -1097316,,,                 64788,,                 12655,,                 70248,,                 -8156,                   -961,             -1098277,,                  1065,             -1099342,             -1099342,,,                 20494,                  4306,,                     21,                     21,                 24821,                 24821,             -1074521,,             -1094999,                 -4343,,             -1069699,                 -4822,,                             -0.31,                             -0.31,,                             -0.31,                             -0.31,,,,,,,,,
2337,2014年第2季,,              4972711,,              4663762,                308949,                     13,                308962,,,                264260,,                410506,,              1430043,              2104809,             -1795847,,,                 71547,,                  3242,,                 70280,,                 -6926,                 -2417,             -1798264,,                  1980,             -1800244,             -1800244,,,                -32532,                  8410,,                   -851,                   -851,                -24973,                -24973,             -1825217,,             -1794417,                 -5827,,             -1820136,                 -5081,,                             -0.51,                             -0.51,,                             -0.51,                             -0.51,                              0,,,                              0,                              0,,,,
2337,2014年第1季,,              4790063,,              3929251,                860812,,                860812,,,                265343,,                384576,,              1480081,              2130000,             -1269188,,,                 22154,,                 34660,,                 70050,,                              0,                -13236,             -1282424,,                  1112,             -1283536,             -1283536,,,                 35109,                229866,,                              0,                              0,                264975,                264975,             -1018561,,             -1274411,                 -9125,,             -1009455,                 -9106,,                             -0.36,                             -0.36,,                             -0.36,                             -0.36,                              0,,,,,,,,
2337,2014年度,,             22414213,,             19654775,              2759438,                    114,              2759552,,,              1112116,,              1664181,,              6306087,              9082384,             -6322832,,,                178229,,                -19313,,                281388,,                -24097,               -146569,             -6469401,,                 13523,             -6482924,             -6482924,,,,,,,,,                487279,             -5995645,,             -6461208,                -21716,,             -5974333,                -21312,,                             -1.84,                             -1.84,,                             -1.84,                             -1.84,,,,,,                 77565,                410511,,                   -797
2337,2014年01月01日至2014年09月30日,,             16454101,,             14086258,              2367843,                     89,              2367932,,,                820936,,              1217013,,              4492334,              6530283,             -4162351,,,                158489,,                 50557,,                210578,,                -15082,                -16614,             -4178965,,                  4157,             -4183122,             -4183122,,,                 23071,                242582,,                   -830,                   -830,                264823,                264823,             -3918299,,             -4163827,                -19295,,             -3899290,                -19009,,                             -1.18,                             -1.18,,                             -1.18,                             -1.18,,,,,,,,,
2337,2014年01月01日至2014年06月30日,,              9762774,,              8566486,              1196288,                     13,              1196301,,,                529603,,                795082,,              2936651,              4261336,             -3065035,,,                 93701,,                 37902,,                140330,,                 -6926,                -15653,             -3080688,,                  3092,             -3083780,             -3083780,,,                  2577,                238276,,                   -851,                   -851,                240002,                240002,             -2843778,,             -3068828,                -14952,,             -2829591,                -14187,,                             -0.87,                             -0.87,,                             -0.87,                             -0.87,                              0,,,                              0,                              0,,,,
2337,2014年01月01日至2014年03月31日,,              4790063,,              3930307,                859756,,                859756,,,                265440,,                384869,,              1480484,              2130793,             -1271037,,,                 22154,,                 34660,,                 70050,,,                -13236,             -1284273,,                  1112,             -1285385,             -1285385,,,,,,,,,                264975,             -1020410,,             -1276260,                 -9125,,             -1011304,                 -9106,,                             -0.36,                             -0.36,,                             -0.36,                             -0.36,,,,,,                 35109,                229866,,
2337,2013年第3季,,              6708259,,              5477099,              1231160,                              0,              1231160,,,                278736,,                430972,,              1449797,              2159505,               -928345,,,                 77190,,                 28090,,                 83424,,                              0,                 21856,               -906489,,                    797,               -907286,               -907286,,,,,,,,,                -31341,               -938627,,               -896588,                -10698,,               -927896,                -10731,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,,,                -19101,                -12240,,                              0
2337,2013年第2季,,              5231009,,              5005412,                225597,,                225597,,,                277276,,                450375,,              1361637,              2089288,             -1863691,,,                 53639,,                 43355,,                 86081,,                              0,                 10913,             -1852778,,                  1044,             -1853822,             -1853822,,,,,,,,,                -72166,             -1925988,,             -1839563,                -14259,,             -1911783,                -14205,,                             -0.52,                             -0.52,,                             -0.52,                             -0.52,                              0,,,,,                 14292,                -86458,,                              0
2337,2013年度,,             22204420,,             20253610,              1950810,                              0,              1950810,,,              1096303,,              1758269,,              5452567,              8307139,             -6356329,,,                209395,,                128678,,                334896,,                              0,                  3177,             -6353152,,                  5087,             -6358239,             -6358239,,,,,,,,,                111735,             -6246504,,             -6305647,                -52592,,             -6194058,                -52446,,                             -1.79,                             -1.79,,                             -1.79,                             -1.79,,,,,,                 53790,                 57945,,                              0
2337,2013年07月01日至2013年09月30日,,              6708259,,              5477099,              1231160,,              1231160,,,                278736,,                430972,,              1449797,              2159505,               -928345,,,                 77190,,                 28090,,                 83424,,,                 21856,               -906489,,                    797,               -907286,               -907286,,,,,,,,,                -31341,               -938627,,               -896588,                -10698,,               -927896,                -10731,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,,,                -19101,                -12240,,
2337,2013年04月01日至2013年06月30日,,              5231009,,              5005412,                225597,,                225597,,,                277276,,                450375,,              1361637,              2089288,             -1863691,,,                 53639,,                 43355,,                 86081,,,                 10913,             -1852778,,                  1044,             -1853822,             -1853822,,,,,,,,,                -72166,             -1925988,,             -1839563,                -14259,,             -1911783,                -14205,,                             -0.52,                             -0.52,,                             -0.52,                             -0.52,,,,,,                 14292,                -86458,,
