證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 現金流量避險無效而認列於損益之損失,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 其他費用,　　 共同控制下前手權益（綜合損益）,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　 當期所得稅費用（利益）,　　 租賃收入,　　　 租賃收入合計,　　 租賃成本,　　　 租賃成本合計
9944,2015年第3季,,                955075,,                762393,                192682,                192682,,,                 72846,,                 94954,,                  2864,                170664,                 22018,,,                  9065,,                 21350,,                  6946,                              0,                  6946,                 23469,                 45487,,                 27166,                 18321,                 18321,,,                 67581,                 11653,                 55928,                 55928,                 74249,,                 17709,                    612,,                 74603,                   -354,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,,,,,,,,,,,,,
9944,2015年第2季,,              1094256,,                832909,                261347,                261347,,,                 85560,,                 89895,,                  3420,                178875,                 82472,,,                  6854,,                 -7383,,                  8045,                              0,                  8045,                 -8574,                 73898,,                 32711,                 41187,                 41187,,,                -29611,                 -4301,                -25310,                -25310,                 15877,,                 39410,                  1777,,                 18411,                 -2534,,                              0.37,                              0.37,,                              0.35,                              0.35,                              0,                              0,                              0.00,                              0.00,,,,,,,,,,,,,,,,
9944,2015年01月01日至2015年09月30日,,              2981201,,              2293864,                687337,                687337,,,                223057,,                277859,,                  8749,                509665,                177672,,,                 26721,,                  6261,,                 20842,                              0,                 20842,                 12140,                189812,,                 81148,                108664,                108664,,,                 10331,                  2638,                  7693,                  7693,                116357,,                 99661,                  9003,,                112540,                  3817,,                              0.93,                              0.93,,                              0.89,                              0.89,,,,,,,,,,,,,,,,,,,,
9944,2015年01月01日至2015年06月30日,,              2026126,,              1531471,                494655,                494655,,,                150211,,                182905,,                  5885,                339001,                155654,,,                 17656,,                -15089,,                 13896,                              0,                 13896,                -11329,                144325,,                 53982,                 90343,                 90343,,,                -57250,                 -9015,                -48235,                -48235,                 42108,,                 81952,                  8391,,                 37937,                  4171,,                              0.77,                              0.77,,                              0.73,                              0.73,                              0,                              0,                              0.00,                              0.00,,,,,,,,,,,,,,,,
9944,2015年01月01日至2015年03月31日,,                931870,,                698562,                233308,                233308,,,                 64651,,                 93010,,                  2465,                160126,                 73182,,,                 10802,,                 -7706,,                  5851,,                  5851,                 -2755,                 70427,,                 21271,                 49156,                 49156,,,                -27639,                 -4714,                -22925,                -22925,                 26231,,                 42542,                  6614,,                 19526,                  6705,,                              0.40,                              0.40,,                              0.38,                              0.38,,,,,,,,,,,,,,,,,,,,
9944,2014年第3季,,              1013291,,                837575,                175716,                175716,,,                 61453,,                 78515,,                  1683,                141651,                 34065,,,                  6422,,                  9044,,                  8671,                              0,                  8671,                  6795,                 40860,,                 16654,                 24206,                 24206,,,                 38489,                  6284,                 32205,                 32205,                 56411,,                 19224,                  4982,,                 49907,                  6504,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,,,,,,,,,,,,
9944,2014年第2季,,              1155528,,                905941,                249587,                249587,,,                 63083,,                 95739,,                    467,                159289,                 90298,,,                  5997,,                -12599,,                  8831,                              0,                  8831,                -15433,                 74865,,                 33334,                 41531,                 41531,,,                -40690,                 -6688,                -34002,                -34002,                  7529,,                 36896,                  4635,,                  4241,                  3288,,                              0.36,                              0.36,,                              0.34,                              0.34,                              0,                              0,                              0.00,                              0.00,,,,,,,,,,,,,,,,
9944,2014年度,,              4141170,,              3374587,                766583,                766583,,,                249016,,                339873,,                  3911,                592800,                173783,,,                 42292,,                 26674,,                 30716,                              0,                 30716,                 38250,                212033,,                 75813,                136220,                136220,,,,,,                 97672,                233892,,                115525,                 20695,,                208895,                 24997,,                              1.12,                              1.12,,                              1.06,                              1.06,,,,,,              4141170,,              3374587,              3374587,                118551,                 -1752,                 19127,,,,,,,,
9944,2014年01月01日至2014年09月30日,,              3179595,,              2553913,                625682,                625682,,,                181036,,                250479,,                  2486,                434001,                191681,,,                 16781,,                  2551,,                 23353,                              0,                 23353,                 -4021,                187660,,                 69276,                118384,                118384,,,                 30489,                  4750,                 25739,                 25739,                144123,,                102288,                 16096,,                125480,                 18643,,                              1.00,                              1.00,,                              0.94,                              0.94,,,,,,,,,,,,,,,,,,,,
9944,2014年01月01日至2014年06月30日,,              2166304,,              1716338,                449966,                449966,,,                119583,,                171964,,                    803,                292350,                157616,,,                 10359,,                 -6493,,                 14682,                              0,                 14682,                -10816,                146800,,                 52622,                 94178,                 94178,,,                 -8000,                 -1534,                 -6466,                 -6466,                 87712,,                 83064,                 11114,,                 75573,                 12139,,                              0.82,                              0.82,,                              0.77,                              0.77,                              0,                              0,                              0.00,                              0.00,,,,,,,,,,,,,,,,
