證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換利益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 財務成本淨額,　　　 處分投資損失,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 停業單位淨利（淨損）,　　 其他營業收入,　　　 其他營業收入淨額
3002,2015年第3季,,,,                124977,                    162,                     47,                124768,,                  1165,                125933,,                 88422,                 37511,                 37511,,,                 10754,,                 10904,,                  6679,                 28337,,                              0,                  9174,,,,                  6120,                    378,                  1894,                    796,                  9188,,                    863,                              0,                     79,                  2229,                              0,,                 10546,                 10546,                -11991,,                    928,                 -1875,                  7299,,                  2162,                  5137,                  5137,,,                 73310,                -31354,,                  1805,                 43761,                 43761,                 48898,,                  5137,,                 48898,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,,,,
3002,2015年第2季,,,,                108414,                    101,                              0,                108313,,                    902,                109215,,                 77648,                 31567,                 31567,,,                 13673,,                 11461,,                  7042,                 32176,,                              0,                   -609,,,,                  5296,                    359,                    399,                    682,                  6736,,                  4783,                              0,                    150,                              0,,,,,                  5433,,                    586,                 12755,                 12146,,                    872,                 11274,                 11274,,,                -17252,                 -8754,,                   -739,                -26745,                -26745,                -15471,,                 11274,,                -15471,,                              0.11,                              0.11,,                              0.11,                              0.11,                    800,,                              0,,                              0,,                              0,,,,,,,,,,,
3002,2015年01月01日至2015年09月30日,,,,                356851,                    617,                     92,                356142,,                  3737,                359879,,                253945,                105934,                105934,,,                 34639,,                 33206,,                 20386,                 88231,,                              0,                 17703,,,,                 14787,                  1086,                  2293,                  2139,                 20305,,                  9774,                              0,                    557,                  4251,                              0,,                 10546,                 10546,                 -5580,,                    982,                 15707,                 33410,,                  4814,                 28596,                 28596,,,                 40085,                -21775,,                   -100,                 18210,                 18210,                 46806,,                 28596,,                 46806,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,,,,,,,,,,,,,
3002,2015年01月01日至2015年06月30日,,,,                231874,                    455,                     45,                231374,,                  2572,                233946,,                165523,                 68423,                 68423,,,                 23885,,                 22302,,                 13707,                 59894,,                              0,                  8529,,,,                  8667,                    708,                    399,                  1343,                 11117,,                  8911,                              0,                    478,                  2022,,,,,                  6411,,                     54,                 17582,                 26111,,                  2652,                 23459,                 23459,,,                -33225,                  9579,,                 -1905,                -25551,                -25551,                 -2092,,                 23459,,                 -2092,,                              0.23,                              0.23,,                              0.23,                              0.23,                              0,,                              0,,                              0,,                              0,,,,,,,,,,,
3002,2015年01月01日至2015年03月31日,,,,                123460,                    354,                     45,                123061,,                  1670,                124731,,                 87875,                 36856,                 36856,,,                 10212,,                 10841,,                  6665,                 27718,,                              0,                  9138,,,,                  3371,                    349,                              0,                    661,                  4381,,                  4128,                              0,                    328,                  2822,                              0,,,,                    978,,                   -532,                  4827,                 13965,,                  1780,                 12185,                 12185,,,                -15973,                 18333,,                 -1166,                  1194,                  1194,                 13379,,                 12185,,                 13379,,,                              0.12,,,                              0.12,                              0,,                              0,,                              0,,                              0,                              0,,,,,,,,,,
3002,2014年第3季,,,,                105017,                    237,                    721,                104059,,                    268,                104327,,                 70800,                 33527,                 33527,,,                  9427,,                 11700,,                  9822,                 30949,,                              0,                  2578,,,,                  3113,                    362,                  2912,                    253,                  6640,,                 18850,                    972,                     67,                  3152,                    895,,                              0,                              0,                 15708,,                   -888,                 21460,                 24038,,                  2431,                 21607,                 21607,,,                 23298,                -23319,,                  1421,                  1400,                  1400,                 23007,,                 21607,,                 23007,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,,,,,,,,,,,,,
3002,2014年第2季,,,,                104547,                      8,                     19,                104520,,                     83,                104603,,                 75222,                 29381,                 29381,,,                  9591,,                 11664,,                  6873,                 28128,,                              0,                  1253,,,,                  3793,                    363,                    388,                    575,                  5119,,                  2894,                    703,                    137,                              0,,,,,                  5297,,                  1941,                 12357,                 13610,,                  4169,                  9441,                  9441,,,                -25202,                   -526,,                 -1501,                -27229,                -27229,                -17788,,                  9441,,                -17788,,                              0.09,                              0.09,,                              0.09,                              0.09,                  1837,,                              0,,                              0,,                              0,,,,,,,,,,,
3002,2014年度,,,,                508552,                    354,                    746,                507452,,                  5027,                512479,,                356017,                156462,                156462,,,                 40692,,                 47828,,                 30854,                119374,,                    -80,                 37008,,,,                 12558,                  1482,                  4088,                  2917,                 21045,,                 39082,                    978,                    568,                  8473,                              0,,,,                 31019,,                  4148,                 56212,                 93220,,                 15070,                 78150,                 78150,,,,,,,,                 52179,                130329,,                 78150,,                130329,,                              0.77,                              0.77,,                              0.76,                              0.76,                              0,,,,,,,,,                              0,                 76555,                -27602,                   -885,,                  4111,                              0.00,,
3002,2014年01月01日至2014年09月30日,,,,                374676,                    245,                    740,                373691,,                  4813,                378504,,                268090,                110414,                110414,,,                 30698,,                 35956,,                 24267,                 90921,,                    -80,                 19413,,,,                  9427,                  1105,                  3705,                  2311,                 16548,,                 38253,                    972,                    485,                  1665,                              0,,                              0,                              0,                 37075,,                  3474,                 57097,                 76510,,                 11406,                 65104,                 65104,,,                 23035,                -34933,,                    842,                -11056,                -11056,                 54048,,                 65104,,                 54048,,                              0.64,                              0.64,,                              0.63,                              0.63,,,,,,,,,,,,,,,,,,
3002,2014年01月01日至2014年06月30日,,,,                269659,                      8,                     19,                269632,,                  4545,                274177,,                197290,                 76887,                 76887,,,                 21271,,                 24256,,                 14445,                 59972,,                    -80,                 16835,,,,                  6314,                    743,                    793,                  2058,                  9908,,                 19403,                    895,                    418,                              0,,,,,                 21367,,                  4362,                 35637,                 52472,,                  8975,                 43497,                 43497,,,                   -263,                -11614,,                   -579,                -12456,                -12456,                 31041,,                 43497,,                 31041,,                              0.43,                              0.43,,                              0.42,                              0.42,                  1487,,                              0,,                              0,,                              0,,,,,,,,,,,
