證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　　 其他利息收入,　　 當期所得稅費用（利益）,　　 其他綜合損益
9908,2015年第3季,,                884953,,                691523,                193430,                193430,,,                 16332,,                 46201,                 62533,,                   -309,                130588,,,,                  2097,                211232,                  4118,                217447,,                 -2626,                 -6619,                              0,                 65574,                -74819,,                    364,,                 26243,                168507,                299095,,                 34200,                264895,                264895,,,               -167582,,                -10859,               -178441,               -178441,                 86454,,                245751,                 19144,,                 79428,                  7026,,                              0.49,,                              0.49,,,,,,,,,,,,,,,,,,
9908,2015年第2季,,              1038728,,                832021,                206707,                206707,,,                 15948,,                 45483,                 61431,,                     70,                145346,,,,                  3348,                 26499,                  5007,                 34854,,                              0,                 -2600,                     42,,                 -2642,,                    233,,                 24618,                 56597,                201943,,                 19815,                182128,                182128,,,                -32305,,                 -2410,                -34715,                -34715,                147413,,                163716,                 18412,,                125358,                 22055,,                              0.33,,                              0.33,                              0.33,                              0.33,,,,,,,,,,,,,,,,
9908,2015年01月01日至2015年09月30日,,              3171440,,              2626866,                544574,                544574,,,                 47682,,                142883,                190565,,                 -1164,                352845,,,,                  7215,                248453,                 11046,                266714,,                 16980,                              0,                     51,                 65574,                -48645,,                    826,,                 76811,                294054,                646899,,                 91737,                555162,                555162,,,                -52606,,                 -7480,                -60086,                -60086,                495076,,                509527,                 45635,,                445334,                 49742,,                              1.02,,                              1.02,,,,,,,,,,,,,,,,,,
9908,2015年01月01日至2015年06月30日,,              2286487,,              1935343,                351144,                351144,,,                 31350,,                 96682,                128032,,                   -855,                222257,,,,                  5118,                 37221,                  6928,                 49267,,                 19606,                  6619,                     51,,                 26174,,                    462,,                 50568,                125547,                347804,,                 57537,                290267,                290267,,,                114976,,                  3379,                118355,                118355,                408622,,                263776,                 26491,,                365906,                 42716,,                              0.53,,                              0.53,                              0.53,                              0.53,,,,,,,,,,,,,,,,
9908,2015年01月01日至2015年03月31日,,              1247759,,              1103322,                144437,                144437,,,                 15402,,                 51199,                 66601,,                   -925,                 76911,,,,                  1770,                 10722,                  1921,                 14413,,                 19606,                  9219,                      9,,                 28816,,                    229,,                 25950,                 68950,                145861,,                 37722,                108139,                108139,,,                147281,,                  5789,                153070,                153070,                261209,,                100060,                  8079,,                240548,                 20661,,                              0.20,,                              0.20,                              0.20,                              0.20,,,,,,,,,,,,,,,,
9908,2014年第3季,,              1180775,,                979328,                201447,                201447,,,                 17070,,                 50715,                 67785,,                   -278,                133384,,,,                  2233,                 99706,                  5919,                107858,,                              0,                 -5828,                    465,                              0,                 -6293,,                    350,,                 18405,                119620,                253004,,                 21907,                231097,                231097,,,                 62020,,                  2577,                 64597,                 64597,                295694,,                221547,                  9550,,                269163,                 26531,,                              0.44,,                              0.44,,,,,,,,,,,,,,,,,,
9908,2014年第2季,,              1343159,,              1145564,                197595,                197595,,,                 17380,,                 45425,                 62805,,                   -459,                134331,,,,                  2096,                100779,                  2981,                105856,,                 37410,                  1425,                     66,,                 38769,,                    208,,                 24694,                169111,                303442,,                 29499,                273943,                273943,,,                 58243,,                  3643,                 61886,                 61886,                335829,,                252326,                 21617,,                304730,                 31099,,                              0.50,,                              0.50,                              0.50,                              0.50,,,,,,,,,,,,,,,,
9908,2014年度,,              5517446,,              4822578,                694868,                694868,,,                 73977,,                206889,                280866,,                 -1561,                412441,,,,                  8664,                202310,                 13341,                224315,,                 44511,                 11586,                    657,                              0,                 55440,,                  1197,,                 81096,                359654,                772095,,                 83635,                688460,                688460,,,,,,,                 82591,                771051,,                656741,                 31719,,                713180,                 57871,,                              1.31,,                              1.31,                              1.31,                              1.31,                 95572,                -12888,,                 -2284,                 -2191,,,,,,,,,,,
9908,2014年01月01日至2014年09月30日,,              4077487,,              3547268,                530219,                530219,,,                 52429,,                151102,                203531,,                   -862,                325826,,,,                  6400,                200485,                 10809,                217694,,                 42438,                 13817,                    546,                              0,                 55709,,                    780,,                 65719,                338342,                664168,,                 69714,                594454,                594454,,,                122348,,                  2677,                125025,                125025,                719479,,                565475,                 28979,,                654576,                 64903,,                              1.13,,                              1.13,,,,,,,,,,,,,,,,,,
9908,2014年01月01日至2014年06月30日,,              2896712,,              2567940,                328772,                328772,,,                 35359,,                100387,                135746,,                   -584,                192442,,,,                  4167,                100779,                  4890,                109836,,                 42438,                 19645,                     81,,                 62002,,                    430,,                 47314,                218722,                411164,,                 47807,                363357,                363357,,,                 60328,,                    100,                 60428,                 60428,                423785,,                343928,                 19429,,                385413,                 38372,,                              0.69,,                              0.69,                              0.69,                              0.69,,,,,,,,,,,,,,,,
9908,2014年01月01日至2014年03月31日,,              1553553,,              1422376,                131177,                131177,,,                 17979,,                 54962,                 72941,,                   -125,                 58111,,,,                  2071,                              0,                  1909,                  3980,,                  5028,                 18220,                     15,,                 23233,,                    222,,                 22620,                 49611,                107722,,                 18308,                 89414,                 89414,,,                  2085,,                 -3543,                 -1458,                 -1458,                 87956,,                 91602,                 -2188,,                 80683,                  7273,,                              0.18,,                              0.18,                              0.18,                              0.18,,,,,,,,,,,,,,,,
9908,2013年第3季,,              1120856,,                954254,                166602,                166602,,,                 18812,,                 47983,                 66795,,                   -383,                 99424,,,,                  1415,                122077,                  5086,                128578,,                 62367,                 -1570,                    221,                 12964,                 47612,,                    465,,                 16143,                191868,                291292,,                 14334,                276958,                276958,,,,,,,                 -7894,                269064,,                259994,                 16964,,                259550,                  9514,,                              0.52,,                              0.52,,,                 -7290,,,                   -604,,,,,,,,,,,,
