證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1441,2015年第3季,,                446868,,                418089,                 28779,                 28779,,,                 20395,,                 22595,                 42990,                -14211,,,                  3720,,                 -7696,,                  8885,,                  9608,                 -3253,                -17464,,                    938,                -18402,                -18402,,,                  3955,                 -1834,,                   -207,                  1914,                  1914,                -16488,,                -18402,,                -16488,,                             -0.20,                             -0.20,,,,,,,,,
1441,2015年第2季,,                465771,,                425858,                 39913,                 39913,,,                 23240,,                 22793,                 46033,                 -6120,,,                  5902,,                -15077,,                  8663,,                 13307,                 -4531,                -10651,,                 -2752,                 -7899,                 -7899,,,                 -2737,                 -2656,,                     -7,                 -5400,                 -5400,                -13299,,                 -7899,,                -13299,,                             -0.09,                             -0.09,,,,,,,,,
1441,2015年01月01日至2015年09月30日,,              1402920,,              1304495,                 98425,                 98425,,,                 65349,,                 70137,                135486,                -37061,,,                 10741,,                -30187,,                 26057,,                 19782,                -25721,                -62782,,                 -3490,                -59292,                -59292,,,                 -1232,                 -7984,,                   -348,                 -9564,                 -9564,                -68856,,                -59292,,                -68856,,                             -0.66,                             -0.66,,,,,,,,,
1441,2015年01月01日至2015年06月30日,,                956052,,                886406,                 69646,                 69646,,,                 44954,,                 47542,                 92496,                -22850,,,                  7021,,                -22491,,                 17172,,                 10174,                -22468,                -45318,,                 -4428,                -40890,                -40890,,,                 -5187,                 -6150,,                   -141,                -11478,                -11478,                -52368,,                -40890,,                -52368,,                             -0.46,                             -0.46,,,,,,,,,
1441,2015年01月01日至2015年03月31日,,                490281,,                460548,                 29733,                 29733,,,                 21714,,                 24749,                 46463,                -16730,,,                  1119,,                 -7414,,                  8509,,                 -3133,                -17937,                -34667,,                 -1676,                -32991,                -32991,,,                 -2450,                 -3494,,                   -134,                 -6078,                 -6078,                -39069,,                -32991,,                -39069,,                             -0.37,                             -0.37,,,,,,,,,
1441,2014年第3季,,                478520,,                517251,                -38731,                -38731,,,                 19349,,                 24233,                 43582,                -82313,,,                 20984,,                   -665,,                  7352,,                  8152,                 21119,                -61194,,                   -556,                -60638,                -60638,,,                  4421,                 -1603,,                              0,                  2818,                  2818,                -57820,,                -60638,,                -57820,,                             -0.68,                             -0.68,,,,,,,,,
1441,2014年第2季,,                311680,,                303927,                  7753,                  7753,,,                 18044,,                 25558,                 43602,                -35849,,,                  5877,,                 -8473,,                  7337,,                 14363,                  4430,                -31419,,                   -634,                -30785,                -30785,,,                 -6176,                  2043,,                    -53,                 -4186,                 -4186,                -34971,,                -30785,,                -34971,,                             -0.34,                             -0.34,,,,,,,,,
1441,2014年度,,              1662336,,              1701946,                -39610,                -39610,,,                 90905,,                 99816,                190721,               -230331,,,                 30433,,                 -6759,,                 29136,,                 39878,                 34416,               -195915,,                 -1365,               -194550,               -194550,,,,,,,,                  7656,               -186894,,               -194550,,               -186894,,                             -2.17,                             -2.17,                  6889,                  8644,                 -7474,,                 -1674,                 -1271,,,
1441,2014年01月01日至2014年09月30日,,              1122005,,              1135258,                -13253,                -13253,,,                 51772,,                 77467,                129239,               -142492,,,                 30736,,                 -7524,,                 21009,,                 31622,                 33825,               -108667,,                 -1305,               -107362,               -107362,,,                  2736,                  3654,,                   -102,                  6288,                  6288,               -101074,,               -107362,,               -101074,,                             -1.20,                             -1.20,,,,,,,,,
1441,2014年01月01日至2014年06月30日,,                643485,,                618007,                 25478,                 25478,,,                 32423,,                 53234,                 85657,                -60179,,,                  9752,,                 -6859,,                 13657,,                 23470,                 12706,                -47473,,                   -749,                -46724,                -46724,,,                 -1685,                  5257,,                   -102,                  3470,                  3470,                -43254,,                -46724,,                -43254,,                             -0.52,                             -0.52,,,,,,,,,
