證券代號,年季,　 營業收入,　　 勞務收入,　　　 運輸收入,　　　　 海運收入（海陸運輸業適用）,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 勞務成本,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 海運成本,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　　 金融資產減損損失
2606,2015年第3季,,,,              2017307,              2017307,              2017307,,                160644,              2177951,,,,              1904934,              1904934,              1904934,                              0,              1904934,                273017,                273017,,                 79606,                193411,,,,                 67094,                289354,                  1866,                358314,,                    925,                246623,               -789022,                              0,               -422711,               -118763,,                117804,                117804,,                125346,                125346,                247093,                440504,,                 12411,                428093,                428093,,,              3243822,               -816924,,                -62683,              2364215,              2364215,              2792308,,                428093,,              2792308,,                              0.50,                              0.50,,                              0.50,                              0.50,,,,,,,,,
2606,2015年第2季,,,,              1821716,              1821716,              1821716,,                  5609,              1827325,,,,              1895010,              1895010,              1895010,                              0,              1895010,                -67685,                -67685,,                 63644,               -131329,,,,                 77983,,                 60950,                138933,,                108893,                394894,                142936,                    934,                308314,                337475,,                119044,                119044,,                -12335,                -12335,                345029,                213700,,                 95843,                117857,                117857,,,               -720067,               -183271,,,               -903338,               -903338,               -785481,,                117857,,               -785481,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,,,
2606,2015年第1季,,,,              1877626,              1877626,              1877626,,                 20341,              1897967,,,,              1825063,              1825063,              1825063,                              0,              1825063,                 72904,                 72904,,                 72647,                    257,,,,                 92832,,                 50126,                142958,,                              0,                105134,                248665,                  2846,                319829,                 31124,,                103339,                103339,,                 -1081,                 -1081,                 69662,                 69919,,                  5637,                 64282,                 64282,,,               -572628,                135045,,,               -437583,               -437583,               -373301,,                 64282,,               -373301,,                              0.07,                              0.07,,                              0.07,                              0.07,                              0,,,,,,,,
2606,2015年01月01日至2015年09月30日,,,,              5716649,              5716649,              5716649,,                186594,              5903243,,,,              5625007,              5625007,              5625007,                              0,              5625007,                278236,                278236,,                215897,                 62339,,,,                237909,                296568,                105562,                640039,,                109818,                746651,               -397421,                  3614,                205432,                250002,,                340187,                340187,,                111930,                111930,                661784,                724123,,                113891,                610232,                610232,,,              1951127,               -865150,,                -62683,              1023294,              1023294,              1633526,,                610232,,              1633526,,                              0.71,                              0.71,,                              0.71,                              0.71,,,,,,,,,
2606,2015年01月01日至2015年06月30日,,,,              3699342,              3699342,              3699342,,                 25950,              3725292,,,,              3720073,              3720073,              3720073,                              0,              3720073,                  5219,                  5219,,                136291,               -131072,,,,                170815,,                111076,                281891,,                108893,                500028,                391601,                  3780,                628143,                368599,,                222383,                222383,,                -13416,                -13416,                414691,                283619,,                101480,                182139,                182139,,,             -1292695,                -48226,,,             -1340921,             -1340921,             -1158782,,                182139,,             -1158782,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,,,,
2606,2014年第3季,,,,              2276737,              2276737,              2276737,,                132513,              2409250,,,,              1885130,              1885130,              1885130,                              0,              1885130,                524120,                524120,,                 79295,                444825,,,,                 85633,                321744,                 17859,                425236,,                   -868,                 33048,               -227345,                              0,               -222909,                 27744,,                 95929,                 95929,,                 -2109,                 -2109,                354942,                799767,,                 14081,                785686,                785686,,,                899651,               -170721,,                              0,                728930,                728930,              1514616,,                785686,,              1514616,,                              0.92,                              0.92,,                              0.92,                              0.92,,,,,,,,,
2606,2014年第2季,,,,              2251852,              2251852,              2251852,,                 32607,              2284459,,,,              1854370,              1854370,              1854370,                              0,              1854370,                430089,                430089,,                 84978,                345111,,,,                 96184,,                 17786,                113970,,                478110,                179498,                208601,                  1473,                352758,                511978,,                 99503,                 99503,,                 -5790,                 -5790,                520655,                865766,,                248983,                616783,                616783,,,               -979696,                -26358,,,             -1006054,             -1006054,               -389271,,                616783,,               -389271,,                              0.72,                              0.72,,                              0.72,                              0.72,,,,,,,,,
2606,2014年第1季,,,,              2100566,              2100566,              2100566,,                 15795,              2116361,,,,              1724224,              1724224,              1724224,                              0,              1724224,                392137,                392137,,                 74041,                318096,,,,                 62192,,                 23685,                 85877,,                 34791,                 88245,               -352986,                    401,                              0,                 36303,,                 80432,                 80432,,                  9518,                  9518,                 51266,                369362,,                  7686,                361676,                361676,,,              1060372,               -563472,,,                496900,                496900,                858576,,                361676,,                858576,,                              0.42,                              0.42,,                              0.42,                              0.42,                266654,,,,,,,,
2606,2014年度,,,,              8965430,              8965430,              8965430,,                175521,              9140951,,,,              7335071,              7335071,              7335071,                              0,              7335071,              1805880,              1805880,,                333124,              1472756,,,,                334255,                338248,                 71226,                743729,,                514813,                419414,               -951790,                 13128,,                500273,,                376477,                376477,,                 31990,                 31990,                899515,              2372271,,                289154,              2083117,              2083117,,,,,,,,              2433821,              4516938,,              2083117,,              4516938,,                              2.43,                              2.43,,                              2.43,                              2.43,                625889,,                 94925,              2980188,               -590345,                 41661,,                  2317,
2606,2014年01月01日至2014年09月30日,,,,              6629155,              6629155,              6629155,,                180915,              6810070,,,,              5463724,              5463724,              5463724,                              0,              5463724,              1346346,              1346346,,                238314,              1108032,,,,                244009,                338117,                 41083,                623209,,                512033,                300791,               -371730,                              0,               -136805,                577899,,                275864,                275864,,                  1619,                  1619,                926863,              2034895,,                270750,              1764145,              1764145,,,                980327,               -760551,,                              0,                219776,                219776,              1983921,,              1764145,,              1983921,,                              2.06,                              2.06,,                              2.05,                              2.05,,,,,,,,,
